simplification,sitc_rev2,note
toile ; de lin ; coutil,6a,
toile ; de lin ; claire et gaze,6a,
toile ; de lin ; claire,6a,
toile ; de lin ; cirée,6a,
toile ; de lin ; brochée,6a,
toile ; de lin ; blanche,6a,
toile ; de lin ; batiste,6a,
toile ; de lin ; au lait,6a,
toile ; de lin,6a,
toile ; de gris,,
toile ; de fougère,6a,
toile ; de fil ; en coutil,6a,
toile ; de fil ; commune,6a,
toile ; de fil ; blanche,6a,
toile ; de crin ; cirée,,
toile ; de crin,,
toile ; de couleur,,
toile ; de coton ; à jamin,6d,
toile ; de coton ; à carreau,6d,
toile ; de coton ; à bas,6d,
toile ; de coton ; vieux,6d,
toile ; de coton ; teinte,6d,
toile ; de coton et soie,6d,
toile ; de coton ; piquée,6d,
toile ; de coton ; persiste,6d,
toile ; de coton ; peinte,6d,
toile ; de coton ; nankin,6d,
toile ; de coton ; large,6d,
toile ; de coton ; imprimée,6d,
toile ; de coton ; futaine,6d,
toile ; de coton ; forte,6d,
toile ; de coton ; mousseline,6d,
toile ; de coton ; du Levant,6d,
toile ; de coton ; des Indes,6d,
toile ; de coton ; demitte,6d,
toile ; de coton ; du Piémont,6d,
toile ; de coton ; de guinée,6d,
toile ; de coton ; de duvet,6d,
toile ; de coton ; d'Antioche,6d,
toile ; de coton ; cotonnette,6d,
toile ; de coton ; corroyée,6d,
toile ; de coton ; brochée,6d,
toile ; de coton ; bleu,6d,
toile ; de coton ; blanche,6d,
toile ; de coton ; aman,6d,
toile ; de coton,6d,
toile ; de cordat,6a,
toile ; de chanvre ; trillin,6a,
toile ; de chanvre ; ouvrée,6a,
toile ; de chanvre ; lerue,6a,
toile ; de chanvre ; fine,6a,
toile ; de chanvre ; d'emballage,6a,
toile ; de chanvre ; blanche,6a,
toile ; de capiton,6c,
toile ; de caladrie,,
toile ; de bleue,,
toile ; de basin,,
toile ; de Vimoutiers,,
toile ; de Valenciennes,6a,
toile ; de St Quentin,6a,
toile ; de St Georges,,
toile ; de Sevigneau,,
toile ; de Saintonge,6,
toile ; de Saint Jean,6a,
toile ; de Russie,6a,
toile ; de Rouen,6a,
toile ; de Rosconne,,
toile ; de Quintin,,
toile ; de Pouldavi,6a,
toile ; de Pontivy,6a,
toile ; de Piémont,6c,
toile ; de Nicanais,,
toile ; de Moûtiers,,
toile ; de Marigny,6a,
toile ; de Lyon,,
toile ; de Liménéas,,
toile ; de Lille,6a,
toile ; du Levant,6d,
toile ; de Laval,6a,
toile ; d'Hollande,6a,
toile ; de Hanovre,,
toile ; de Grenoble,,
toile ; de Grenade,,
toile ; de Frize,,
toile ; de France,,
toile ; de Flandre,6a,
toile ; de Comté,6a,
toile ; de Combourg,,
toile ; de Château-Gontier,6a,
toile ; de Cholet,6a,
toile ; de Bruges,,
toile ; de Bretagne ; étroite,6a,
toile ; de Bretagne ; à voile,6a,
toile ; de Bretagne ; vitrée,6a,
toile ; de Bretagne ; serpillière,6a,
toile ; de Bretagne ; rousse,6a,
toile ; de Bretagne ; reforme,6a,
toile ; de Bretagne ; rayée,6a,
toile ; de Bretagne ; raxonne,6a,
toile ; de Bretagne ; peinte,6a,
toile ; de Bretagne ; ouvrée,6a,
toile ; de Bretagne ; large,6a,
toile ; de Bretagne ; gracienne,6a,
toile ; de Bretagne ; entre large,6a,
toile ; de Bretagne ; diverse,,
toile ; de Bretagne ; de sept huit,6a,
toile ; de Bretagne ; de rosconne,6a,
toile ; de Bretagne ; de rondelette,6a,
toile ; de Bretagne ; de mantoncour,6a,
toile ; de Bretagne ; de hutte,6a,
toile ; de Bretagne ; de fougère,6a,
toile ; de Bretagne ; de couleur,6a,
toile ; de Bretagne ; de chanvre,6a,
toile ; de Bretagne ; de halle,6a,
toile ; de Bretagne ; de Vitré,,
toile ; de Bretagne ; de Vimoutiers,6a,
toile ; de Bretagne ; de St. Georges,6a,
toile ; de Bretagne ; de Savigny,6a,
toile ; de Bretagne ; de S Mais,6a,
toile ; de Bretagne ; de Quintin,6a,
toile ; de Bretagne ; de Pouldavy,6a,
toile ; de Bretagne ; de Mortagne,6a,
toile ; de Bretagne ; de Mayenne,6a,
toile ; de Bretagne ; de Leon,6a,
toile ; de Bretagne ; de Landerneau,6a,
toile ; de Bretagne ; de Dinant,6a,
toile ; de Bretagne ; de Combourg,6a,
toile ; de Bretagne ; de Boutivy,6a,
toile ; de Bretagne ; de Boutdave,6a,
toile ; de Bretagne ; d'Ernée,,
toile ; de Bretagne ; crue,6a,
toile ; de Bretagne ; cirée,6a,
toile ; de Bretagne ; blanche,6a,
toile ; de Bretagne,6a,
toile ; de Brabant,,
toile ; de Beauvais,,
toile ; de Beaufort,6a,
toile ; de Barrois,,
toile ; de Barbezieux,,
toile ; damassée,6a,
toile ; d'étoupe ; de chanvre,6a,
toile ; d'étoupe,6a,
toile ; jute,,
toile ; lin,,
toile ; d'ecripe,6a,
toile ; d'azar,,
toile ; d'Irlande,,
toile ; d'Antioche,6d,
toile ; d'Antal,,
toile ; d'Angers,,
toile ; d'Amat,6d,
toile ; d'Agen,,
toile ; céruse,,
toile ; crue,6a,
toile ; crise,6a,
toile ; cretonne,6a,
toile ; coutil ; fil,6a,
toile ; coutil,6a,
toile ; cordat,,
toile ; commune ; de Lille,,
toile ; commune,6a,
toile ; colette,6a,
toile ; chapilas,,
toile ; chapelure,,
toile ; canevas,6a,
toile ; caisse,,
toile ; beaudille,,
toile ; brodée,,
toile ; brochée,,
toile ; bougran,6a,
toile ; boucassine,6a,
toile ; bleue,,
toile ; blanche ; ordinaire,6a,
toile ; blanche ; fine,6a,
toile ; blanche ; de la compagnie,6a,
toile ; blanche ; de Saint Quentin et Valenciennes,,
toile ; blanche,,
toile ; lin ; blancard,6a,
toile ; blancard,6a,
toile ; batiste,6a,
toile ; de fil et coton ; basin,6d,
toile ; de fil ; basin,6d,
toile ; basin,6d,
toile ; bajutapeau,6d,
toile ; dessinée,,
toile ; au lait ; lin,6a,
toile ; au lait,6a,
toile ; assortie,6a,
toile ; abas,6a,
toile ; Bem ; à voile,6a,
toile ; Bem ; de Vimoutiers,6a,
tissu ; écarlate,,
tissu ; fin,,
tissu ; pour vêtement militaire,,
tissu ; de soie,,
tissu ; de laine ; angora,,
tissu ; de laine ; fabriqué à Arras,,
tissu ; de laine ; double fil,,
toile ; des Indes,6d,
tissu ; de crin,,
tissu ; de coton ; gratté d'un côté,,
tissu ; de coton,,
tissu ; de Windau,,
tissu,,
tiretaine,,
tiers ; à tonneau,6,
thériaque ; de Venise,,
thériaque,,
thé ; vert,0b,
thé ; tonkay,0b,
thé ; saotchaon,0b,
thé ; pays,0b,
thé ; hayssuen,0b,
thé ; filé,0b,
thé ; et porcelaine,,
thé ; de l'Inde,0b,
thé ; bony,0b,
thé,0b,
poisson ; de mer ; thon ; thonine,0a,
thon ; salé,0a,
thon ; mariné,0a,
thon ; frais,0a,
poisson ; de mer ; thon,0a,
thermomètre,8,
theloc,,
textile ; Stramian,,
toile; laine; saye ; de Honscote,,
textile ; Gronen,,
textile ; Gronekens,,
textile,,
terrier ; de fer,,
terrerie ; blanche,,
terrerie,,
terrementil,,
terre ; à sucre,,
terre ; à potier,,
terre ; à poterie,,
terre ; à pipe,,
terre ; à foulon,,
terre ; à fouler,,
terre ; à ciment,,
terre ; à bâtir,,
terre ; à baril,,
terre ; verte,,
terre ; sigillée,,
terre ; rouge,,
terre ; pourrie,,
terre ; pour verrerie,,
terre ; noire,3,
terre ; manganèse,,
terre ; jaune,,
terre ; houille,,
terre ; grasse,,
terre ; glaise,,
terre ; du Limousin,,
terre ; dite souda,,
terre ; de verrerie,,
terre ; de soufre,,
terre ; de rocou,,
terre ; de porcelaine,,
terre ; de plomb,,
terre ; à faire pipe,,
terre ; de mulardeau,,
terre ; de monnaie,,
terre ; de mine,,
terre ; de marne,,
terre ; de grès,,
terre ; à faïence,,
terre ; de ciment,,
terre ; de Vérone,,
terre ; de Suède,,
terre ; de Satine,,
terre ; de Rouen,,
terre ; de Rome,,
terre ; de France,,
terre ; de Cologne,,
terre ; de Bologne,,
terre ; d'ombre,,
terre ; commune,,
terre ; blanche,,
terre,,
terrasse,,
terraille ; noire ; de Gênes,,
terraille ; noire,,
terraille,,
tercq,,
tenaille,6,
teinture,,
tayolle,8,
tavelle ; de laine,,
tavelle ; de fil et de laine,,
tavelle,6,
tasse ; rouge,6,
ouvrage ; de faïence ; tasse,6,
tartre ; émétique,,
tartre ; vitriolé,,
tartre ; rouge,,
tartre ; glan,,
tartre ; de vin,,
tartre,,
tapsel ; large,6d,
tapsel,6d,
tapisserie ; vieille,6,
tapisserie ; verdure,6,
tapisserie ; tantisse,6,
tapisserie ; peinte ; de Hongrie,6,
tapisserie ; peinte,6,
tapisserie ; des Gobelins,6,
tapisserie ; de toile peinte,6,
tapisserie ; de toile cirée,6,
tapisserie ; de moquette,6,
tapisserie ; de laine,6,
tapisserie ; de la Marche,6,
tapisserie ; de filoselle,6,
tapisserie ; de Rouen,6,
tapisserie ; de Dauphiné,6,
tapisserie ; de Bergame,6,
tapisserie ; de Beauvais,6,
tapisserie ; d'Auvergne,6,
tapisserie ; d'Aubusson,6,
tapisserie ; d'Anvers,6,
tapisserie ; d'Amiens,6,
tapisserie ; commune,6,
tapisserie,6,
tapis ; fil teint,6a,
tapis ; fabrique de Tournais,,
tapis ; divers,6,
tapis ; de velours,6,
tapis ; de toile peinte,6d,
tapis ; de toile cirée,6d,
tapis ; de table,6,
tapis ; de moquette,6,
tapis ; de laine,,
tapis ; de guinée,6,
tapis ; de coton,6d,
tapis ; de Turquie,6d,
tapis ; d'indienne,6d,
tapis ; d'Auvergne,6,
tapis ; d'Aubusson,6,
tapis ; d'Angleterre,,
tapis,6,
tapetal,,
tanjebs,6d,
tamis ; à tabac,6,
tamis ; de crin,6,
tamis,6,
tambour,8,
tamarin ; gras,0b,
tamarin,0b,
talc,,
taillanderie,8,
tafia,1,
taffetas ; foulas,6c,
taffetas ; d'Avignon,6c,
tableau ; sur toile,8,
tableau ; de famille,8,
tableau ; commun,8,
tableau,8,
table ; à thé,8,
table ; à café,8,
table ; de toilette,8,
table ; de sapin ; peinte,8,
table ; de sapin,8,
table ; de nuit,8,
table ; de noyer,8,
table ; de marbre,8,
table ; de bois,8,
table,8,
tabernacle ; de marbre,8,
tabernacle,8,
tabatière ; enrichie,8,
tabatière ; de paille,8,
tabatière ; de nacre,8,
tabatière ; de forme,8,
tabatière ; de cuir,,
tabatière ; de corne,8,
tabatière ; de carton,8,
tabatière ; de bois verni,,
tabatière ; de bois,8,
tabatière ; de bergamote,8,
tabatière ; d'émail,8,
tabatière ; d'or,8,
tabatière ; d'olivier,8,
tabatière ; d'agate,8,
tabac ; à varié,1,
tabac ; à fumer,1,
tabac ; râpé,1,
tabac ; pressé d'Allemagne,,
tabac ; pour échantillon,1,
tabac ; filé,1,
tabac ; feuille,1,
tabac ; fabriqué,1,
tabac et savon,,
tabac ; en role,,
tabac ; en poudre,1,
tabac ; en manoque,,
tabac ; en feuille,1,
tabac ; en cotte,,
tabac ; en corde,1,
tabac ; en caisse,1,
tabac ; en andouille,1,
tabac ; divers,1,
tabac ; de cantine,1,
tabac ; de caisse,1,
tabac ; de Virginie,1,
tabac ; de Séville,1,
tabac ; de St. Vincent,1,
tabac ; de St. Domingue,1,
tabac ; de Hollande,1,
tabac ; de Brésil,1,
tabac ; d'Espagne,1,
tabac ; commun,1,
tabac ; avarié,1,
tabac,1,
sébeste,,
suine,,
suif ; à faire des chandelle,4,
suif ; pour raffiner le cuivre,,
suif ; pour faire du savon,,
suif ; fondu,4,
suif ; en poil,4,
suif ; en pain,4,
suif ; en masse,,
suif ; en chandelle,4,
suif ; en branche,4,
suif,4,
sucre et fruit ; sec ; raisin,,
sucre ; versoir,0b,
sucre ; vergeoise,0b,
sucre ; tête,0b,
sucre ; raffiné,0b,
sucre ; non raffiné,,
sucre ; mélasse,0a,
sucre ; terré,0b,
sucre ; et vert-de-gris,,
sucre et tabac,,
sucre ; et roucou,,
sucre et prune,,
sucre et cuir,,
sucre ; en poudre blanc,,
sucre ; en poudre,0b,
sucre ; divers,0b,
sucre ; d'érable,0b,
sucre ; d'orge,0b,
sucre ; commun,0b,
sucre ; cassonade,0b,
sucre ; carré,0b,
sucre ; bâtard,0b,
sucre ; brut en forme,0b,
sucre ; brut,0b,
sucre ; brun,0b,
sucre ; blanc ; terré,0b,
sucre ; blanc ; en pain,0b,
sucre ; blanc,0b,
sucre,0b,
succade,0a,
suc ; de réglisse,,
drogue ; médicinale ; sublime ; corosif,,
sublimé,,
storax ; liquide,,
stockfish,0a,
stinkerque,8,
stil de grain,,
stagnon,,
squine,,
squille ; de grain,,
spode,,
spirinck,,
spicanardi,,
spicaceltica,,
spiante,,
spermaceti,4,
spath ; zinc ; smithsonite,,
sparterie,6,
spardilles,8,
spalte,,
spalme,,
soutien,,
soulier ; de cuir,8,
souffre ; en canon,,
souffre,,
soudure,6,
soude ; et tarte,,
soude,,
soucis,,
vin,1,
toile,,
drogue ; médicinale ; plante ; Guajocum,,
sonde,,
son ; de farine,,
son,0a,
sommier ; ou corps d'arbre de sapin,,
sole ; ou langue,,
poisson ; sole,,
soja,,
soierie ; de toile,6c,
soierie ; de fil de fleur,6c,
soie ; écrue,,
soie ; à coudre,6c,
soie ; à broder,6c,
soie ; torce,,
soie ; teinte,,
soie ; tapis,,
soie ; pour tisser,,
soie ; plate,,
soie ; ouvrée,,
soie ; nankin,,
soie ; moresque,,
soie ; grège,,
soie ; floche,,
soie ; fleuret,,
soie ; en cocon,,
soie ; des Indes,,
soie ; de toile,,
soie ; de porc,,
soie ; de nankin,,
soie ; de la chaîne,,
soie ; de Chine,,
soie ; de Bengale,,
soie ; crue,,
soie ; cocon,,
soie ; brute,,
soie ; blanche,,
soie ; apprêtée,6c,
socreton,,
soc ; de fer,8,
soberton,,
smalte,,
sistresay,,
sirop ; terré,1,
sirop ; mélasse,1,
sirop ; fin et mélasse,1,
sirop ; fin,1,
sirop ; de violette,1,
sirop ; de vinaigre,1,
sirop ; de sucre candi,,
sirop ; de sucre,1,
sirop ; de mûre,,
sirop ; de limon,1,
sirop ; de framboise,1,
sirop ; de cèdre,1,
sirop ; de citron,1,
sirop ; de capitaine,,
sirop ; de capillaire,,
sirop ; de calbasse,1,
sirop ; de calabre,1,
sirop ; d'amont,1,
sirop ; brut,1,
siramonbas,,
singe,,
simarouba,,
silex,,
signe,,
toile ; de fil de coton ; siamoise,6d,
serviette ; de table,,
serviette ; de lin,6a,
serviette,6a,
serratule ; de teinture,,
serpentine,,
serpentin ; à distiller,6,
serpentera virgina,,
étoffe ; serge de soie,6c,
serge ; de laine,,
serge ; d'écarlatine,,
drap ; serge ; d'Angleterre,,
drap ; serge ; blanc,,
senegré,,
sempiterne,,
semoule,0a,
semencine,,
semence ; froide,,
semence ; de sainfoin,,
semence ; de luzerne,,
semence ; de jardin,,
semence ; de cumin,,
semence ; de colsaet,,
semence ; de chanvre,,
semence ; d'anis,,
selle ; de poste,6,
selle ; de fer,6,
selle ; de cheval ; en mume,6,
sel ; volatil,,
sel ; teint,,
sel ; pour la pèche libre,,
sel ; peccain,,
sel ; ordinaire,,
sel ; médicinal,,
sel ; mistry,,
sel ; misay,,
sel ; gris,,
sel ; grain,,
sel ; gemme,,
sel ; dit beggere,,
sel ; des sables d'olonne,,
sel ; de vitre,,
sel ; de verre,,
sel ; de tartre,,
sel ; de tartaric,,
sel ; de tamarin,,
sel ; de samoine,,
sel ; de roche,,
sel ; de nitre,,
sel ; de mer,,
sel ; de lait,,
sel ; de gemme,,
sel ; de chimie,,
sel ; de Rocq,,
sel ; de Rez,,
sel ; de Poulinguen,,
sel ; de Nike,,
sel ; de Marennes,,
sel ; de Lorraine,,
sel ; de Franche-Comté,,
sel ; de France,,
sel ; d'ypossum,,
sel ; d'alsem,,
sel ; d'absinthe (alsem),,
sel ; d'Espagne,,
sel ; d'Angleterre,,
sel ; chimique ; de nitre,,
sel ; chimique ; de lait,,
sel ; blanc,,
sel ; armoniac,,
sel ; antarctique,,
sel ; ammoniac,,
sel,,
sekt,,
grain ; seigle et orge,,
grain ; seigle et blé,,
grain ; seigle ; en gerbe,,
seigle ; de grain,0a,
segrin,,
secrétaire,8,
seau ; de vin,6,
seau ; de fer ; blanc,6,
seau ; de cuir,6,
seau ; de bois,6,
seau ; de Martre,6,
seau,6,
scille ; maritime,,
scie ; à moulu,8,
scie ; de fer,8,
scie,8,
schiste,,
sceau ; de bois,,
scarlatine,,
scarfs,,
scaps,,
sayessa,,
saye ; teinte,,
saye ; de Liège,,
saye ; de Bruges,,
saye ; blanche,,
savonnette ; de senteur,,
savonnette,,
savon ; vert,,
savon ; noir,,
savon ; marbré,,
savon ; madré,,
savon et cuir,,
savon ; de Marseille,,
savon ; d'Espagne,,
savon ; d'Alicante,,
savon ; blanc,,
savon,,
saumon ; mariné,0a,
saumon ; fumé,0a,
saumon ; frais,0a,
saumon,0a,
saumure,,
sauge,,
saucisson,0a,
saucisse ; de Boulogne,,
saucisse,0a,
saturne,,
satin ; gris,6c,
satin ; de Chine,6c,
satin ; brodé ; en or,6c,
satin,6c,
sas,,
sarge ; de soie,6c,
sarge ; de poitou,,
sarge ; de Saint-Mexant,,
sarge,,
poisson ; de mer; salé ; sardine,0a,
sardine,0a,
sapin ; à faire échelle,,
sapin ; à faire gaffe,,
sapin ; à faire comble,,
sapin ; à faire belle,,
sapin ; à bâtir,,
sapin ; en bloc,,
sapin ; anspects,,
sapin,,
sapeline,,
santal ; moulu,,
santal ; citrin,,
santal ; blanc,,
santal,,
sanitaire,8,
sanguine,,
sanglier,,
sangle,8,
sang ; de dragon,,
sang,,
sandale,8,
sanas,6d,
salsepareille,0a,
"salpêtre, raffiné",,
"salpêtre, crû",,
salpêtre,,
saloir ; de bois,8,
saloir,8,
salin,8,
salicor,,
salage,,
saindoux,4,
sain,9a,
sagou,0b,
sagne,,
safran ; orange,,
saffle,,
sachet,6,
sac ; vieux,8,
sac ; de toile,6a,
sac ; de poluard,6,
sabre,,
sablier,,
sable ; de verre,,
sable ; de mer,,
sable,,
sabatine,,
réveil,,
résine ; en pot,,
drogue ; médicinale ; jalap ; résine,,
résine,,
réseau ; d'or,,
réseau ; d'argent,,
réglisse,,
réchaud ; de terre,6,
réagal,,
rognure ; de gaïac,,
rognure ; de corne ; de cerf,,
râpe,6,
rusque ; de pin,,
rusque ; de chêne,,
ruche ; à mouche,6,
ruche ; à miel,6,
ruche,,
rubanerie ; ordinaire,6a,
rubanerie ; de soie,6c,
ruban et passementerie ; divers,,
ruban et passementerie ; de soie,6c,
ruban ; velouté,,
ruban ; quart de soie,6c,
ruban ; pour vêtement,,
ruban ; mi soie,6c,
ruban ; dorure ; d'or,,
ruban ; dorure ; d'argent,,
ruban ; de laine,,
ruban ; de fleuret,6c,
ruban ; de filoselle,6c,
ruban ; de fil ; teint,6a,
ruban ; de fil ; blanc,6a,
ruban ; de fil,6a,
ruban ; de fer,,
ruban ; de cuivre,,
ruban ; de Elberfeld,,
ruban ; d'or,,
ruban ; d'argent,,
ruban ; au quart de soie,,
ruban ; au quart,,
ruban,,
rouge ; gros,,
rouge ; gras,,
rouge ; en poudre,,
rouge ; en pierre,,
rouge ; de rosse,,
rouge ; de Perse,,
rouge ; d'Inde,,
rouge ; d'Espagne,,
rouge ; d'Angleterre,,
rouge ; commun ; en poudre,,
rouge ; commun,,
rouge ; clair,,
rouge ; brun,,
rouge ; Annatto colorant,,
rouge,,
rouet ; à filer,7,
rouet,7,
rouergue,,
roue ; à cabrouet,6,
roue ; neuve,,
roue ; ferrée,,
roue ; de morue,6,
roue ; de charrette,6,
roue ; de chariot,,
roue ; de chaise,6,
roue ; de brouette,6,
roue ; de bois,6,
roue,6,
roucou,,
rouauls,,
rotin,,
roseau ; d'Inde,,
roseau ; d'Espagne,,
roseau ; champêtre,,
roseau,,
rose ; de province,,
rosaire,8,
ronnais,,
romarin,,
romaine,8,
rollet et batiste,,
rollet,,
roldor,,
rogue ; pour la pêche,,
rogue ; de stockfish,,
rogue ; de poisson,,
rogue ; de morue,,
rogue ; de maquereau,,
rogue,,
rognure ; de peau,,
rognure ; de parchemin,,
rognure ; de papier,,
rognure ; de mis,,
rognure ; de drap,,
rognure ; de dent d'éléphant,,
rognure ; de cuir,,
rognure ; de chapeau,,
rognure ; de castor,,
rognure ; de carte,,
rognure ; de baleine,,
rognure ; d'écaille,,
rognure ; d'ivoire,,
rognon ; de stockfish,0a,
rognon ; de rat musqué,0a,
rognon ; de cerf,0a,
rognon ; de castor,0b,
poisson ; de mer ; morue ; rave,0a,
rogne,,
rodon,,
roche ; de diable,,
rocaille ; de verre,,
rocaille,,
robinet ; de bronze,8,
robe ; de chambre,8,
robe ; brodée,8,
robe,8,
rivet ; en bois,,
rideau,,
rhum,1,
rhubarbe ; du levant,,
rhubarbe ; de Moscou,0a,
rhubarbe,0a,
rhapontica,,
rez ; de charrue,6,
reuche,,
retaille ; de peau,,
remède,,
remorque ; de navire,,
reliquaire,8,
registre,8,
redon,,
redingote,6,
rebut,,
rognure ; de corne,,
raz ; du Maroc,,
raz ; de laine,,
raz ; de castor,,
raz ; de Saint-Maure,6c,
raz ; de Saint-Cyr,6c,
rayon ; de mouche à miel,,
rayon,8,
ravitaillement,,
raveaux,,
rave ; à filer,0a,
rave ; de morue,0a,
rave,0a,
ratine ; teint,,
ratine ; frisée,,
ratine ; de Hollande,,
ratine ; de Beauvais,,
rasoir ; commun,6,
rasoir,6,
rasade,,
raquette et volant,,
raquette,8,
rapsel,,
raponty,,
rapière,,
ramure ; de sapin,,
ramure,,
ramolaches,,
houblon ; en rame,,
rame ; de bateau,,
rame,,
raisin ; sec,0a,
raisin ; de Galop,0a,
rais,,
rail ; de fer,,
raie,,
radis ; dictame,,
radis ; chins,,
radeau,7,
raclure ; de fer,,
raclure ; de corne,,
raclure ; de carnet,,
racine ; médicinale,,
racine ; marron,,
racine ; de violette,,
racine ; de squine,,
racine ; de riz,,
racine ; de rhubea,,
racine ; de persil,,
racine ; de jalap,,
racine ; de guimauve,,
racine ; de ginsin,,
drogue ; pour la peinture et la teinture ; garance ; racine,,
racine ; de galanga,,
racine ; de brionc,,
racine ; d'ortie,,
racine ; d'arcanette,,
racine ; d'angélique,,
racine ; d'alizari,,
racine ; d'Angleterre,,
quire,,
quintessence,,
quinette,,
quincaillerie ; fine ; d'acier,6,
quincaillerie ; fine,6,
quincaillerie ; faux,6,
quincaillerie ; platine,6,
quincaillerie ; lime,6,
quincaillerie ; clou,6,
quincaillerie ; diverse,6,
quincaillerie ; de laiton ; filé ; noir ; pour épingle,6,
quincaillerie ; de fer ; scie,6,
quincaillerie ; de fer ; pigne à corde,6,
quincaillerie ; de fer ; faux et ferraille,6,
quincaillerie ; de fer ; faux,6,
quincaillerie ; de fer ; clou,6,
quincaillerie ; de cuivre ; clou,6,
quincaillerie ; de cuivre,6,
quincaillerie ; d'acier ; en faucille,6,
quincaillerie ; commune,6,
quincaillerie ; carde,6,
quincaille ; mêlée,6,
quincaille ; grosse,6,
quincaille ; de fumée,6,
quincaille ; de fer ; grosse,6,
quincaillerie ; de fer,6,
quincaille ; de cuivre,6,
quincaille ; de bois,6,
quincaille ; d'acier ; doré,6,
quincaillerie ; d'acier,6,
quincaille,6,
quille ; de vaisseau,7,
quille ; de hêtre,7,
queue ; de petit gris,,
queue ; de martre,,
quercitron,,
quenouille,,
quartier de réduction,8,
quart ; à farine,,
quart ; de nonante,,
pêche ; sèche,0a,
fruit ; pêche,,
pékin,,
pâté ; de chèvre et autre,,
pâté ; de canard,0a,
pâté,0a,
pâte et tablette ; de guimauve,,
pâte ; à papier,,
pâte ; semoule,0a,
pâte d'Italie,0a,
pâte ; de guimauve,0a,
pâte ; de cacao,0a,
pâte ; d'orgeat,0a,
pâte ; vermicelle,0a,
pâte ; d'Italie ; semoule,0a,
pâte ; d'Italie ; sagou,0a,
pâte,0a,
pupitre,8,
présure,,
précipité ; rouge,,
précipité,,
prusus,,
pruneau ; noir,0a,
fruit ; prune ; de St. Catherine,,
fruit ; prune,0a,
provision ; de bouche,0a,
provision,,
marchandise ; prohibée,,
produit ; chimique,,
marchandise diverse,,
primula veris,,
presse,7,
prastras,,
poêle ; à frire,6,
poêle ; à feu,6,
poêle ; à chauffer,6,
poêle ; en laiton,,
poêle ; en fer ; pour faire la cuisine,,
poêle ; en fer ; pour chauffage,,
poêle ; de fer ; à feu,6,
ouvrage ; de faïence ; poêle,6,
poêle,6,
poutrelle ; de sapin,6,
poutrelle,6,
poutre ; de sapin,6,
poutre ; de navire,,
poutre ; de chêne,6,
poutre,6,
poutargue,0a,
poussière ; de vitriol,,
poussière ; de terre,,
poussière ; de tartre,,
poussière ; de résine,,
poussière ; de mûrier,,
poussière ; de buis,,
poudre ; d'or,,
poussière ; d'encens,,
poussière,,
poussin,,
pourette ; de mûrier,0a,
