orthographic_normalization,simplification,note
pereinte ; en chêne,,
perche ; moyenne dit Capravens,perche ; moyenne,
perche ; grande,perche ; grande,
perche ; dite boomse capravens,perche ; moyenne,
perche ; commune ; ou petite ; de sapin,,
percette ; de fer,,
perce-pierre,,
pelleterie ; sans apprêt,,
pelleterie ; mêlée,peau,
pelle ; de bois ; et aile de fléau ; brosse ; etc.,,
pelle ; de bois ; et aile de fléau,,
pelisse ; commune,pelisse ; commune,
peinture ; grossière,peinture ; grossière,
peigne ; d'os,,
peau ; sauvage ; et étrangère,,
peau ; sauvage ; et de castor,,
peau ; petite ; de barbarie ; en poil,,
peau ; petite ; de barbarie,,
peau ; petite ; de barbe,,
peau ; passé ; en chamois,,
peau ; en poil ; de barbarie,,
peau ; de veau ; à paqueter,,
peau ; de veau ; sec ; pour caisse,,
peau ; de veau ; sec ; et à poil,,
peau ; de veau ; pour cordonnier,peau ; de veau pour cordonnier,
peau ; de veau ; en blanc,peau ; de veau en blanc,
peau ; de veau ; en basane,peau ; de veau ; basane,
peau ; de veau ; dit roussette,peau ; de veau ; dit roussette,
peau ; de veau ; apprêtée ; pour cuir doré,,
peau ; de veau ; apprêtée ; en maroquin,,
peau ; de veau ; apprêtée ; en buffle,,
peau ; de veau ; apprêtée ; et en couleur,,
peau ; de veau ; apprêtée ; en chamois,,
peau ; de veau ; à poil,peau ; de veau,
peau ; de veau ; crue,,
peau ; de rosette,,
peau ; de renard ; loutre ; fouine ; etc. ; sans apprêt,,
peau ; de renard ; loutre ; fouine ; etc. ; apprêtée,,
peau ; de renard ; loutre ; fouine ; etc.,,
peau ; de renard ; loutre,,
peau ; de poisson,,
peau ; de mouton ; et brebis : sans apprêt,,
peau ; de mouton ; en gris,peau ; de mouton ; en gris,
peau ; de mouton ; en blanc ; ou en gris,,
peau ; de mouton ; apprêtée ; et en couleur,peau ; de mouton apprêtée et en couleur,
peau ; de mouton ; crue,,
peau ; de martre ; et d'hermine ; apprêtée,,
peau ; de martre ; et d'hermine,,
peau ; de loup ; d'ours ; de tigre ; de chien ; de mer ; etc. ; apprêtée,,
peau ; de loup ; d'ours ; de tigre ; de chien ; de mer ; etc.,,
peau ; de loup ; d'ours ; de tigre ; apprêtée,,
peau ; de loup ; d'ours ; de tigre,,
peau ; de lièvre sans poil,peau ; de lièvre ; sans poil,
peau ; de lièvre et lapin sans apprêt,peau ; non apprêtée ; de lièvre et lapin,
peau ; de lièvre et lapin apprêtée,peau ; apprêtée ; de lièvre et lapin,
peau ; de lièvre et lapin,peau ; de lièvre et lapin,
peau ; de chien de mer,peau ; de chien de mer,
peau ; de chat sans apprêt,,
peau ; de cerf et daim sans apprêt,,
peau ; de cerf et daim apprêtée,,
peau ; de cerf et daim,,
peau ; de cerf ; habillé,,
peau ; de cerf ; crue,,
peau ; de buffle ; en chamois,peau ; de buffle ; chamoisée,
peau ; de buffle ; sans apprêt,peau ; non apprêtée ; de buffle,
peau ; de brebis,,
peau ; de bouc et de chèvre ; sans apprêtée,peau ; non apprêtée ; de chèvre,
peau ; de bouc et de chèvre ; apprêtée,peau ; apprêtée ; de chèvre,
peau ; d'haye,peau ; d'haye,
peau ; d'emballage,peau ; pour emballage,
peau ; d'âne sans apprêt,peau ; non apprêtée ; d'âne,
peau ; d'Alexandrie,,
peau ; d'agneau sans apprêt,peau ; non apprêtée ; d'agneau,
peau ; à panche,peau ; à panche,
pâté ; de chèvre et autre,pâté ; de chèvre et autre,
pâtisserie ; de toute espèce,pâtisserie,
patin ; pour femme,patin ; pour femme,
patin ; de bois,patin ; de bois,
pâte et tablette de guimauve,pâte et tablette ; de guimauve,
passement ; ruban de soie,passementerie ; ruban de soie,
passement ; ruban de filoselle,passementerie ; ruban de filoselle,
passement ; ruban de fil,passementerie ; ruban de fil,
passement ; mêlé ; de soie,passementerie ; mêlé de soie,
passement ; mêlé,passementerie ; divers,
passement ; galon d'or et d'argent fin,passementerie ; galon d'or et d'argent fin,
passement ; galon d'or et d'argent faux,passementerie ; galon d'or et d'argent faux,
passement ; galon d'or et d'argent,passementerie ; galon d'or et d'argent,
passement ; de soie et laine,passementerie ; de soie et laine,
passement ; de poil de chèvre,passementerie ; de poil de chèvre,
passement ; de laine ou sayette,passementerie ; de laine ou sayette,
passement ; de fil et soie,passementerie ; de fil et soie,
passement ; de fil et laine,passementerie ; de fil et laine,
passement ; de fil et coton,passementerie ; de fil et coton,
passement ; de coton,passementerie ; de coton,
passement ; d'or et de soie,passementerie ; d'or et de soie,
parchemin ; vieux,parchemin vieux,
parchemin ; neuf,parchemin neuf,
parapluie ; de toile,parapluie ; de toile,
parapluie ; de taffetas,parapluie ; de taffetas,
parapluie ; commun,parapluie ; commun,
papier ; à paqueter petit format,,
papier ; à paqueter grand format,,
papier ; à paqueter,papier ; d'emballage,
papier ; à meubler,papier ; à meubler,
papier ; à imprimer et à faire carte,papier ; à imprimer et à faire carte,
papier ; à imprimer,papier ; à imprimer,
papier ; à faire carte,papier ; à faire carte,
papier ; pour éventail,,
papier ; peint et à meubler,papier ; peint et à meubler,
"papier ; marbré, fleuragé et doré","papier ; marbré, fleuragé et doré",
papier ; marbré et à meubler,papier ; marbré et à meubler,
papier ; grossier,,
papier ; gris à paqueter,papier ; d'emballage,
papier ; fleurage et doré,,
papier ; estrasse,,
papier ; en balle,papier ; en balle,
papier ; de poste,papier ; de poste,
papier ; collé,papier ; collé,
papier ; bleu petit format,papier ; bleu,
papier ; bleu à couvrir,papier ; bleu à couvrir,
papier ; blanc petit format,papier ; blanc petit,
papier ; blanc grand format,papier ; blanc,
papier ; argenté et doré,papier ; argenté et doré,
papier ; gris cassé,papier ; gris,
"panne, pluche et trippe par aune",,
"panne, pluche et trippe","panne, pluche et trippe",
panne ; d'Amiens,panne ; d'Amiens,
pain ; de navette en poudre,pain ; de navette en poudre,
paille ; hachée,paille ; hachée,
paille ; dite chanvre à couvrir toit,,
osier ; en dessous de 10 paumes,osier,
osier ; de 7 à 9 paumes,osier,
osier ; de 12 à 14 paumes,osier,
osier ; de 10 à 11 paumes,osier,
osier ; d'en dessous de 7 paumes,osier,
"ouvrage ; tricoté pour veste, camisole et culotte",,
horlogerie ; ouvrage et outils,,
ouvrage ; de verre pour dessert,vaisselle ; de verre,
ouvrage ; de terre et de pierre en poterie,poterie ; de terre cuite et de pierre,
ouvrage ; de terre en posture,ouvrage ; de terre en posture,
ouvrage ; de sellier de toute sorte,ouvrage ; de sellier de toute sorte,
ouvrage ; de sculpteur,ouvrage ; sculpture,
ouvrage ; de porcelaine et faïence,ouvrage ; de porcelaine et faïence,
ouvrage ; de plâtre en figure,ouvrage ; de plâtre en figure,
ouvrage ; de menuiserie simple,ouvrage ; de menuiserie,
ouvrage ; de mandrier,ouvrage ; de mandrier,
ouvrage ; de drap,ouvrage ; de drap,
ouvrage ; de coudrier,ouvrage ; de coudrier,
ouvrage ; de bois verni de Spa,ouvrage ; de bois verni de Spa,
ouvrage ; de bois sculpté et doré,ouvrage ; de bois sculpté et doré,
outil ; à faire carte et moule,outil ; à faire carte et moule,
outil ; de tisserand,outil ; de tisserand,
outil ; de orfèvre,,
outil ; de miroitier,outil ; de miroitier,
outil ; de marchand de vin,,
outil ; de ferblanctier,outil ; de ferblantier,
outil ; de moulin à papier,outil ; de moulin à papier,
outil ; de laboureur,outil ; de laboureur,
outil ; de frecatage,outil ; de frecatage,
outil ; de fer,,
outil ; d'imprimerie,outil ; d'imprimerie,
oudre ; vide,,
ouatte,,
orseille ; sèche,drogue ; pour la peinture et la teinture ; orseille,
ormeaux ; à planter,,
orgue ; clavecin et épinette,,
orgue ; de savoyard,orgue ; de savoyard,
orgue,orgue,
orge ; jaune,orge ; jaune,
orge ; soucrion,orge et soucrion,
orge ; ou soucrion en gerbe,orge et soucrion ; en gerbe,
orge ; ou soucrion,orge et soucrion,
orge ; moulu,orge ; moulu,
orge ; mondé et perlé,orge ; mondé et perlé,
orge et avoine,orge et avoine,
orge ; commun en gerbe,orge ; en gerbe,
orego,orego,
oranger ; petit,,
or ; travaillé,or ; travaillé,
or ; massif,or ; massif,
"or et argent ; fin, en fil, cantille, paillette","or et argent ; en fil, cantille, paillette",
or et argent ; fin en livret,or et argent ; en feuille,
or et argent ; fin battu en livret de 24 feuille,or et argent ; en feuille,
"or et argent ; faux en fil, cantille, etc.","or et argent ; faux ; en fil, cantille, etc.",
or et argent ; faux battu en livret de 24 feuille,or et argent ; faux ; en feuille,
or et argent ; en piastre,monnaie ; or et argent ; en piastre,
or et argent ; en fil,or et argent ; en fil,
or et argent ; en barre et lingot,or et argent ; en barre et lingot,
oléane ; ou roucou,,
oignon ; de barbarie,,
oignon ; d'hyacrite,oignon ; d'hyacrite,
œil de bœuf ; garni de cuivre,œil de bœuf ; garni de cuivre,
œil ; de bœuf,œil de bœuf,
ocre ; noir,drogue ; pour la peinture et la teinture ; ocre ; noir,
ocre ; de toute espèce,drogue ; pour la peinture et la teinture ; ocre,
ocre ; brun,drogue ; pour la peinture et la teinture ; ocre ; brun,
nœud d'épée et cordon de montre,nœud d'épée et cordon de montre,
noyer et cerisier,noyer et cerisier,
noix ; épillée,noix ; épillée,
noix ; venimeux,noix ; venimeux,
noix ; empoisonnée,noix ; venimeux,
noix ; de coco,noix ; de coco,
noisette ou avelinne,noisette,
noir ; commun,drogue ; pour la peinture et la teinture ; noir,
noir ; à broyer,noir ; à broyer,
nippe et atour,nippe et atour,
nippe ; de toute espèce,nippe,
nespre,,
nefle,,
naveau,naveau,
natte ; ronde,natte ; ronde,
natte ; de jonc et paille étroite,natte ; de jonc et paille étroite,
natte ; de jonc et de paille large,natte ; de jonc et de paille large,
natte ; de jonc ronde pour les pied,,
natte ; de jonc large,natte ; de jonc large,
natte ; commune à paqueter,,
nappe ; faite,nappe ; faite,
nacette,nacette,
métier ; à faire tapisserie,métier ; à faire tapisserie,
métier ; de tisserand,métier ; de tisserand,
métier ; de drapier,métier ; de drapier,
métier,métier,
métier ; à filer,métier ; à filer,
moyeux,,
mousseline ; et toile de coton blanc,mousseline et toile de coton blanc,
mousseline ; de Suisse et siamoise à ligne de soie,,
mousseline ; brodée,mousseline ; brodée,
mouquette,moquette,
moulon ; à faire chaux,moulon ; à faire chaux,
moulon ; et kibbelinck,moulon et kibbelinck,
moulin ; à tordre fil,moulin ; à tordre fil,
moulin ; à moudre grain,moulin ; à moudre grain,
moulin ; à filer,moulin ; à filer,
moulin ; à bras,moulin ; à bras,
moulin et presse à tabac,,
moulin ; de bois,moulin ; de bois,
moule ; pour faire du sucre,moule,
moule ; pour chandelle,moule,
moule ; de plâtre à faire figure,,
moule ; de pierre pour sucre,moule,
moule ; de chandelle en verre,moule ; pour chandelle,
mouchoir et cravate ; de soie ; mêlée,mouchoir et cravate de soie mêlée,
mouchoir et cravate ; de mousseline,mouchoir et cravate de mousseline,
mouchoir demi soie,mouchoir demi soie,
mouchoir de toile découpé,,
mouchoir de toile par aune,,
mouchoir de toile,mouchoir de toile,
mouchoir ; de fil et coton ; découpé,mouchoir de fil et coton découpé,
mouchoir ; de coton ; découpé,mouchoir de coton découpé,
morue ; verte ; cap ; et gueue,,
moquette ; verte,,
moque de grès,moque de gréz,
montre ; de poche ; à caisse de pinchbeck,,
montre ; de poche ; à caisse d'or,montre ; de poche ; à caisse d'or,
montre ; de poche ; à caisse d'argent,montre ; de poche ; à caisse d'argent,
molenaers,molenaers,
mitraille ; de cuivre,mitraille ; de cuivre,
mitaine ; de peau,mitaine ; de peau,
mythe,,
myrrhe ; en grabeau,,
miroir ; encadré,miroir,
myrobolan,,
minerai ; de plomb,minerai ; de plomb,
mine ; de cuivre rouge,mine ; de cuivre rouge,
milleret et agrément ; de soie,milleret et agrément ; de soie,
milleret et agrément,milleret et agrément,
miel ; brun,miel,
miel ; brouche,miel,
miel ; blanc,miel,
meunier,meunier,
meule ; batarde,,
meuble ; et miroir,,
métillon ; en gerbe,métillon ; en gerbe,
métillon,métillon,
"métier, presse, crible, bulteaux ; de moulin",,
métal ; moulé,métal ; moulé,
"métal ; frappé, ouvré et moulé","métal ; frappé, ouvré et moulé",
métal ; et bronze ; moulé,métal et bronze ; moulé,
métal ; en cloche,métal ; de cloche,
métal ; de fonte,métal ; de fonte,
mesat de clocher,mesat de clocher,
merluche,,
merle,merle,
mercerie et jolité ; mêlée,mercerie et bibelot,
mercerie ; cru,mercerie ; cru,
menuté,menuté,
menus sommiers,,
ouvrage ; de bois ; menu,ouvrage ; de bois ; menu,
charbon de terre ; menu ; dit sméegruys,,
charbon de terre ; menu,charbon ; de terre,
menie,menie,
melon,melon,
meffle,meffle,
"mèche ; flambeau, chandelle et lampe","mèche ; flambeau, chandelle et lampe",
mèche ; souffrée,,
mecerie ; de bois,,
maugarbine,,
mât ; en dessous de 8 paumes,,
mât ; de vaisseau ; assorti,,
mât ; de sapin de 8 à 12 paumes,mât ; de sapin,
mât ; de sapin de 5 paumes,mât ; de sapin,
mât ; de sapin de 4 à 8 paumes,mât ; de sapin,
mât ; de sapin de 3 paumes,mât ; de sapin,
mât ; de sapin de 12 à 16 paumes,mât ; de sapin,
mât ; de sapin ; de 50 à 55 pieds,,
mât ; de sapin ; de 50 pieds,,
mât ; de sapin ; de 36 pieds,,
mat ; de navire ; de 55 pieds,,
mât ; de 72 pieds,,
mâtereau ; de sapin ; de 30 pieds,,
mâtereau ; de sapin ; de 25 pieds,,
matière ; d'or et d'argent,,
matière colorante noir,drogue ; pour la peinture et la teinture,
matière blanche dérivée du plomb,drogue ; pour la peinture et la teinture,
matelas ; de crin et noppe,matelas ; de crin et noppe,
mât ; façonné,mât ; façonné,
mât ; de sapin ; de 16 paumes,,
mât ; de sapin ; de 14 paumes,,
mât ; de sapin ; de 12 à 14 paumes,,
masque ; commun,masque ; commun,
marteau de forge,marteau ; de forge,
marron et châtaigne,fruit ; cru ; châtaigne et marron,
marcassin,marcassin,
marbre ; travaillé,marbre ; travaillé,
marbre ; rouge et gris,marbre ; rouge et gris,
marbre ; oubré,,
marbre ; noir ; travaillé,marbre ; noir ; travaillé,
marbre ; en bloc,marbre ; en bloc,
marbre ; blanc,marbre ; blanc,
mantelet ; de soie,mantelet ; de soie,
mantelet ; court,mantelet ; court,
manteau ; court,manteau ; court,
manouf,,
mande et berce ; d'osier,mande et berce ; d'osier,
manchon ; de tigre,manchon ; de tigre,
manchon ; de renard,manchon ; de renard,
manchon ; de peu de loup et d'ours,,
manchon ; de martre,manchon ; de martre,
manchon ; laine,manchon ; laine,
manchette et mouchoir ; de mousseline,manchette et mouchoir ; de mousseline,
manchette et mouchoir ; brodée,manchette et mouchoir ; brodée,
manche ; de fourche et de balai,manche ; pour jardinage,
mallette ; travaillée,mallette ; travaillée,
malle ; valise et coffre,malle ; valise et coffre,
malle ; travaillée,malle ; travaillée,
maillicot,maillicot,
maguet,,
madrier ; de bois de couleur,madrier ; de bois de couleur,
lustre ; de cristal et verre,lustre ; de cristal et verre,
loque,,
livre ; non relié,livre ; non relié,
livre ; relié,livre ; relié,
litière,,
lisière et rognure ; de drap,lisière et rognure ; de drap,
liqueur ; distillée,liqueur ; distillée,
linge ; travaillé,linge ; travaillé,
lin ; vert ; roui et non roui,lin ; vert ; roui et non roui,
lin ; vert ; non battu,lin,
lin ; sec ; non roui,lin ; sec ; non roui,
lin ; cru en masse,,
limon ; salée,limon ; salée,
limon ou citron,limon ou citron,
lime ; d'acier et de fer,lime ; d'acier et de fer,
limaille ; d'argent,limaille ; d'argent,
lien ; de chanvre,,
liège ; en feuille,liège ; planche,
liège ; en bois,liège,
liège ; du Portugal et d'Espagne,liège,
lie d'huile,lie d'huile,
lie de bière,lie de bière,
licarge,,
licanias,,
licanes,,
légume ; mêlé,légume,
légume ; à la daube,légume ; à la daube,
léchefrite ; de fer,,
lavande et hysope,lavande et hysope,
latte ; sciée en planche,latte ; sciée en planche,
latte ; sciée,latte ; sciée,
latte ; pour cuve de brassage,latte ; pour cuve de brassage,
latte ; pour cuve,latte ; pour cuve,
latte ; pour couvreur de tuile,latte ; pour couvreur de tuile,
latte ; pour couvreur de paille et platreur,,
latte ; divers,latte,
latte ; double,latte ; double,
latte ; dite Solververen,latte ; dite Solververen,
latte ; dite du nord,latte ; dite du nord,
latte ; de sapin,latte ; de sapin,
latte ; de hêtre non sciée,,
latte ; de hêtre façonnée,,
laiton ; en rouleau,,
lasset ; soie ; et filoselle,,
lapereau,lapereau,
lanterne ; de verre décoré,lanterne,
langue ; de mouton,langue ; de mouton,
langue ; de bœuf et vache,langue ; de bœuf et vache,
lancet à rozer voile,lancet à rozer voile,
lampe ; de terre,lampe ; de terre,
lame ; de fer,lame ; de fer,
lame ; d'épée et de sabre,lame ; d'épée,
lame ; d'épée et de fleuret,lame ; d'épée,
lame ; non filée,,
"lait, doux","lait, doux",
lait ; battu,lait ; battu,
laine ; surge ; et pelade,,
laine ; pour chapelier,laine ; pour chapelier,
laine ; panorme,,
laine ; non peignée,laine ; non peignée,
laine ; grasse et filée,laine ; grasse et filée,
laine ; demi lavée,,
laine ; de pelade,,
laine ; de Prusse,laine ; de Prusse,
laine ; de Poméranie,laine ; de Poméranie,
laine ; de Pologne et autre laine étrangère,laine ; de Pologne et autre laine étrangère,
laine ; de Brême,laine ; de Brême,
laine ; commune ; d'Espagne,,
laine ; brute ou non lavée,laine ; brute,
laine ; apprêtée ; pour perruque,laine ; apprêtée ; pour perruque,
laine ; du Levant,laine ; du Levant,
laque ; de Florence,laque ; de Florence,
laque ; commun,,
killis,,
jupe ; piqué,jupe ; piqué,
jupe ; de coton,jupe ; de coton,
jupe,jupe,
juifs qui payent le droit corporel à la sortie,,
joncquine,,
jonc ; à joncher ; les volailles,,
jonc ; à faire des vertgadins,jonc ; à faire des vertgadins,
jonc ; à couvrir les bottes,,
jonc ; à couvrir le toit,,
jonc ; commun,jonc ; commun,
jolité ; mêlée,jolité ; mêlée,
jolité ; en pinchbeck,,
jolité ; en cristal garni de cuivre,,
jeu ; de carmagnole,,
jet et lie ; de bière,jet et lie ; de bière,
jet ; de bière,jet ; de bière,
jaune ; royale,jaune ; royale,
jaune ; doré,jaune ; doré,
jaune ; paille,jaune ; paille,
jaune ; commun,jaune ; commun,
jante et rais,jante et rais,
jante,jante,
janne,janne,
"jais ; en dentelle, collier et bouton","jais ; en dentelle, collier et bouton",
ivoire ; travaillé,ivoire ; ouvré,
ivoire ; brut,ivoire ; brut,
ivoire ; brûlé,ivoire ; brûlé,
issarion ; de palme,,
iris ; de citron,,
jonc et paille travaillée,jonc et paille travaillée,
"instrument ; de mathématiques, chirurgie, etc.",,
instrument ; d'optique et ouvrages dito,,
impériale,étoffe ; de laine ; impériale,
image ; de parchemin de corne,image ; de parchemin de corne,
"image ; de papier, estampe et carte géographique","image ; de papier, estampe et carte géographique",
huile ; de poil cru,huile ; de poil cru,
huile ; médicinale,huile ; médicinale,
huile ; de Majorque,,
huile ; d'Harlem,huile ; d'Harlem,
huile ; de verre,huile ; de verre,
huile ; de semence,huile ; de semence,
huile; de pierre,huile ; de pierre,
huile ; de gras ; pour tanneur,huile ; de gras ; pour tanneur,
huile ; de clou de girofle,huile ; de girofle,
