ÊÈCode","Description"
"778.33","Parties et pièces détachées des appareils ou dispositifs du No 778.31"
"778.34","Appareils électriques d'éclairage ou de signalisation (à l'exclusion de ceux du sous-groupe 778.2); essuie-glaces, dégivreurs et dispositifs anti-buée électriques pour cycles ou automobiles"
"778.35","Parties et pièces détachées des appareils du No 778.34"
"778.4","Outils électromécaniques à moteur électrique incorporé, pour emploi à la main; leurs parties et pièces détachées"
"778.41","Perceuses de tous genres, y compris les perforatrices rotatives"
"778.43","Scies"
"778.45","Autres outils"
"778.48","Parties et pièces détachées des outils électromécaniques à main du sous-groupe 778.4"
"778.6","Condensateurs électriques, fixes, variables ou ajustables"
"778.61","Condensateurs fixes conçus pour les réseaux électriques de 50/60 Hz et capables d'absorber une puissance réactive égale ou supérieure à 0,5 kvar (condensateurs de puissance)"
"778.62","Condensateurs fixes au tantale"
"778.63","Condensateurs fixes électrolytiques à l'aluminium"
"778.64","Condensateurs fixes à diélectrique à une seule couche, en matière céramique"
"778.65","Condensateurs fixes à diélectrique multicouches, en matière céramique"
"778.66","Condensateurs fixes à diélectrique en papier ou matière plastique"
"778.67","Autres condensateurs fixes"
"778.68","Condensateurs variables ou ajustables"
"778.69","Parties et pièces détachées de condensateurs électriques"
"778.7","Machines et appareils électriques ayant une fonction propre, n.d.a.; leurs parties et pièces détachées"
"778.71","Accélérateurs de particules"
"778.78","Autres appareils et dispositifs électriques ayant une fonction propre, n.d.a."
"778.79","Parties et pièces détachées des appareils ou dispositifs électriques du sous-groupe 778.7"
"778.8","Machines et appareils électriques, n.d.a."
"778.81","Electro-aimants; aimants permanents et articles destinés à devenir des aimants permanents après aimantation; plateaux X; mandrins et dispositifs magnétiques ou électromagnétiques similaires de fixation; accouplements, embrayages, variateurs de vitesse et freins électromagnétiques; têtes de levage électromagnétiques"
"778.82","Appareils électriques de signalisation (autres que pour la transmission de messages), de sécurité, de contrôle ou de commande pour voies ferrées ou similaires, voies routières ou fluviales, aires ou parcs de stationnement, installations portuaires ou aérodromes (autres que ceux du No 791.91)"
"778.83","Parties et pièces détachées des appareils du No 778.82"
"778.84","Appareils électriques de signalisation acoustique ou visuelle (sonars, sirènes, tableaux annonciateurs, appareils avertisseurs pour la protection contre le vol ou l'incendie, p. Ex.), autres que ceux du No 778.34 ou 778.82"
"778.85","Parties et pièces détachées des appareils du No 778.84"
"778.86","Electrodes et balais en carbone, charbons pour lampes ou piles, et autres articles en charbon ou en graphite, avec ou sans métal, pour usages électriques"
"778.89","Parties électriques de machines ou d'appareils, n.d.a."
"78","Vehicules routiers (y compris les vehicules a coussin d'air)"
"781","Voitures de tourisme et autres vehicules automobiles principalement concus pour le transport de personnes (autres que pour le transport en commun), y compris les voitures du type ""break"" et les voitures de course"
"781.1","Véhicules spécialement conçus pour se déplacer sur la neige; véhicules spéciaux pour le transport de personnes sur les terrains de golf et véhicules similaires"
"781.2","Véhicules à moteur pour le transport des personnes, n.d.a."
"782","Vehicules automobiles pour le transport de marchandises et vehicules automobiles a usages speciaux"
"782.1","Véhicules automobiles pour le transport de marchandises"
"782.11","Tombereaux automoteurs conçus pour être utilisés en dehors des réseaux routiers"
"782.19","Véhicules automobiles pour le transport de marchandises, n.d.a."
"782.2","Véhicules automobiles à usages spéciaux, autres que ceux principalement conçus pour le transport de personnes ou de marchandises (dépanneuses, camions-grues, voitures de lutte contre l'incendie, camions bétonnières, voitures balayeuses, voitures épandeuses, voitures-ateliers, voitures radiologiques, par exemple)"
"782.21","Camions-grues et voitures-grues"
"782.23","Derricks automobiles pour le sondage ou le forage"
"782.25","Voitures de pompiers"
"782.27","Camions-bétonnières"
"782.29","Autres véhicules à usages spéciaux"
"783","Vehicules routiers, n.d.a."
"783.1","Véhicules automobiles pour le transport en commun de personnes"
"783.11","Véhicules automobiles à moteur Diesel ou semi-Diesel, comportant dix places ou plus y compris le chauffeur"
"783.19","Autres véhicules automobiles à dix places ou plus y compris le chauffeur"
"783.2","Tracteurs routiers de semi-remorques"
"784","Parties, pieces detachees et accessoires des vehicules automobiles des groupes 722, 781, 782 et 783"
"784.1","Châssis, avec moteur, des véhicules automobiles des groupes 722, 781, 782 et 783"
"784.2","Carrosseries des véhicules automobiles des groupes 722, 781, 782 et 783, y compris les cabines"
"784.21","Carrosseries (y compris les cabines) des véhicules automobiles du groupe 781"
"784.25","Carrosseries des véhicules automobiles (y compris les cabines) des groupes 722, 782 et 783"
"784.3","Autres parties et accessoires des véhicules automobiles des groupes 722, 781, 782 et 783"
"784.31","Pare-chocs, et leurs parties, des véhicules automobiles des groupes 722, 781, 782 et 783"
"784.32","Autres parties et accessoires de carrosseries (y compris les cabines) des véhicules automobiles des groupes 722, 781, 782 ou 783"
"784.33","Freins et servofreins et leurs parties et pièces détachées pour véhicules automobiles des groupes 722, 781, 782 ou 783"
"784.34","Boîtes de vitesses pour véhicules automobiles des groupes 722, 781, 782 ou 783"
"784.35","Ponts avec différentiel, même pourvus d'autres organes de transmission, pour véhicules automobiles des groupes 722, 781, 782 ou 783"
"784.36","Essieux porteurs, et leurs parties, pour véhicules automobiles des groupes 722, 781, 782 ou 783"
"784.39","Autres parties, pièces détachées et accessoires des véhicules automobiles des groupes 722, 781, 782 ou 783"
"785","Motocycles (y compris les cyclomoteurs) et cycles, avec ou sans moteur; fauteuils roulants et autres vehicules pour invalides"
"785.1","Motocycles (y compris les cyclomoteurs) et cycles équipés d'un moteur auxiliaire, avec ou sans side-cars; side-cars"
"785.11","Motocycles (y compris les cyclomoteurs) et cycles à moteur auxiliaire avec ou sans side-car, à moteurs à explosion à pistons alternatifs, d'une cylindrée de 50 cm3 ou moins"
"785.13","Motocycles et cycles à moteur auxiliaire avec ou sans side-car, à moteurs à explosion à pistons alternatifs, d'une cylindrée supérieure à 50 cm3 mais ne dépassant pas 250 cm3"
"785.15","Motocycles et cycles à moteur auxiliaire avec ou sans side-car, à moteurs à explosion à pistons alternatifs d'une cylindrée supérieure à 250 cm3 mais ne dépassant pas 500 cm3"
"785.16","Motocycles et cycles à moteur auxiliaire avec ou sans side-car, à moteurs à explosion à pistons alternatifs d'une cylindrée supérieure à 500 cm3 mais ne dépassant 800 cm3"
"785.17","Motocycles et cycles à moteur auxiliaire avec ou sans side-car, à moteurs à explosion à pistons alternatifs d'une cylindrée supérieure à 800 cm3"
"785.19","Autres motocycles (y compris les cyclomoteurs) et cycles à moteur auxiliaire avec ou sans side-car; side-cars"
"785.2","Bicyclettes et autres cycles (y compris les triporteurs) sans moteur"
"785.3","Fauteuils roulants et autres véhicules pour invalides, même avec moteur ou autre mécanisme de propulsion; parties et pièces détachées des articles du groupe 785"
"785.31","Fauteuils roulants et autres véhicules pour invalides, même avec moteur ou autre mécanisme de propulsion"
"785.35","Parties, pièces détachées et accessoires de motocycles (y compris les cyclomoteurs)"
"785.36","Parties, pièces détachées et accessoires de fauteuils roulants et autres véhicules pour invalides"
"785.37","Parties, pièces détachées et accessoires d'autres véhicules du groupe 785"
"786","Remorques et semi-remorques; autres vehicules non automobiles; cadres et conteneurs specialement concus et equipes pour le transport"
"786.1","Remorques et semi-remorques pour l'habitation ou le camping, du type caravane"
"786.2","Remorques et semi-remorques pour le transport de marchandises"
"786.21","Remorques et semi-remorques à chargement ou déchargement automatique à usages agricoles"
"786.22","Citernes"
"786.29","Autres remorques et semi-remorques pour le transport de marchandises"
"786.3","Cadres et conteneurs (y compris les conteneurs-citernes et les conteneurs-réservoirs) spécialement conçus et équipés pour un ou plusieurs modes de transport"
"786.8","Autres véhicules non automobiles, et parties et pièces détachées, de remorques, semi-remorques et véhicules non automobiles"
"786.83","Remorques et semi-remorques, n.d.a."
"786.85","Véhicules non automobiles, n.d.a."
"786.89","Parties et pièces détachées des remorques et semi-remorques des rubriques 786.1, 786.2 et 786.83 et des véhicules du No 786.85"
"79","Autre materiel de transport"
"791","Vehicules et materiel pour chemins de fer (y compris les aerotrains)"
"791.1","Locomotives et locotracteurs à source extérieure d'électricité ou à accumulateurs électriques"
"791.11","Locomotives et locotracteurs à source extérieure d'électricité"
"791.15","Locomotives et locotracteurs à accumulateurs électriques"
"791.2","Autres locomotives et locotracteurs; tenders"
"791.21","Locomotives Diesel-électriques"
"791.29","Locomotives et locotracteurs, n.d.a.; tenders"
"791.6","Automotrices et autorails (autres que les véhicules d'entretien ou de service du No 791.81)"
"791.7","Voitures à voyageurs non autopropulsées; fourgons à bagages, voitures postales et autres voitures spéciales pour voies ferrées ou similaires, non autopropulsés (à l'exclusion des véhicules du No 791.81)"
"791.8","Wagons de service pour voies ferrées et wagons et wagonnets pour le transport sur rail des marchandises"
"791.81","Véhicules autopropulsés ou non pour l'entretien ou le service des voies ferrées (wagons-ateliers, wagons-grues, wagons équipés de bourreuses à ballast, aligneuses de voies, voitures d'essais et draisines, p. Ex.)"
"791.82","Wagons et wagonnets sans moteur pour le transport de marchandises sur rails"
"791.9","Matériel fixe de voies ferrées ou similaires; appareils mécaniques (y compris électromécaniques) de signalisation, de sécurité, de contrôle ou de commande pour voies ferrées ou similaires, routières ou fluviales, aires ou parcs de stationnement, installations portuaires ou aérodromes; parties et pièces détachées, des véhicules, du matériel fixe et des appareils pour voies ferrées ou similaires du groupe 791"
"791.91","Matériels fixes de voies ferrées et appareils mécaniques (y compris électroniques) de signalisation, de sécurité, de contrôle ou de commande de la circulation sur voies ferrées, routières ou fluviales, aires ou parcs de stationnement, installations portuaires ou aérodromes; leurs parties et pièces détachées"
"791.99","Parties de locomotives ou matériels roulants de chemins de fer ou de tramways"
"792","Aeronefs et materiel connexe; vehicules spatiaux (y compris les satellites) et leurs vehicules lanceurs; leurs parties et pieces detachees"
"792.1","Hélicoptères"
"792.11","Hélicoptères d'un poids à vide de 2 000 kg ou moins"
"792.15","Hélicoptères d'un poids à vide supérieur à 2 000 kg"
"792.2","Avions et autres aéronefs à propulsion mécanique (à l'exclusion des hélicoptères), d'un poids à vide de 2 000 kg ou moins"
"792.3","Avions et autres aéronefs à propulsion mécanique (à l'exclusion des hélicoptères), d'un poids à vide supérieur à 2 000 kg mais ne dépassant pas 15 000 kg"
"792.4","Avions et autres aéronefs (à l'exclusion des hélicoptères), d'un poids à vide supérieur à 15 000 kg"
"792.5","Véhicules spatiaux (y compris les satellites) et leurs lanceurs"
"792.8","Aéronefs, n.d.a. (y compris les dirigeables, ballons, planeurs, etc.) et matériel connexe"
"792.81","Planeurs et ailes-delta"
"792.82","Ballons, dirigeables et autres aéronefs sans moteur"
"792.83","Appareils et dispositifs pour le lancement d'aérodynes; appareils et dispositifs pour l'appontage d'aérodynes et appareils et dispositifs similaires; appareils au sol d'entraînement au vol; leurs parties et pièces détachées"
"792.9","Parties et pièces détachées, n.d.a. (à l'exclusion des pneumatiques, des moteurs et des parties et pièces détachées électriques), des aéronefs du groupe 792"
"792.91","Hélices et rotors et leurs parties"
"792.93","Trains d'atterrissage et leurs parties"
"792.95","Autres parties et pièces détachées d'avions ou d'hélicoptères"
"792.97","Autres parties et pièces détachées des aéronefs du groupe 792"
"793","Navires, bateaux (y compris les aeroglisseurs) et engins flottants"
"793.1","Yachts et atures bateaux et embarcations de plaisance ou de sport; bateaux à rames et canoës"
"793.11","Bateaux pneumatiques (y compris bateaux à rames et canots)"
"793.12","Bateaux à voiles, non pneumatiques, avec ou sans moteur auxiliaire"
"793.19","Bateaux à rames, canots, bateaux et embarcations de plaisance ou de sport, non pneumatiques, n.d.a."
"793.2","Navires et bateaux (à l'exception des embarcations de plaisance, des remorqueurs, des bateaux-pousseurs, des bateaux pour usages spéciaux et des bateaux à dépecer)"
"793.22","Bateaux-citernes de tous types"
"793.24","Bateaux de pêche; navires-usines et autres bateaux pour le traitement ou la mise en conserves des produits de la pêche"
"793.26","Bateaux frigorifiques (autres que les bateaux-citernes)"
"793.27","Autres bateaux pour le transport de marchandises (y compris les cargos mixtes)"
"793.28","Navires de croisière, d'excursion et similaires principalement conçus pour le transport des personnes; ferry-boats et car-ferries"
"793.29","Autres bateaux (y compris les navires de guerre et les bateaux de sauvetage autres qu'à rames)"
"793.3","Bateaux et autres engins flottants à dépecer"
"793.5","Bateaux-phares, bateaux-pompes, bateaux-dragueurs, pontons-grues et autres bateaux pour lesquels la navigation n'est qu'accessoire par rapport à la fonction principale; docks flottants; plates-formes de forage ou d'exploitation, flottantes ou submersibles"
"793.51","Bateaux-dragueurs"
"793.55","Plates-formes de forage ou d'exploitation, flottantes ou submersibles"
"793.59","Bateaux-phares, bateaux-pompes, pontons-grues et autres bateaux, n.d.a., pour lesquels la navigation n'est qu'accessoire par rapport à leur fonction principale"
"793.7","Remorqueurs et bateaux-pousseurs"
"793.9","Autres engins flottants (radeaux, réservoirs, caissons, coffres d'amarrage, bouées et balises, par exemple)"
"793.91","Radeaux pneumatiques"
"793.99","Engins flottants, n.d.a."
"8","Articles manifacturés divers"
"81","Constructions préfabriquées; appareils sanitaires et appareillage de plomberie, de chauffage et d'éclairage, n.d.a."
"811","Constructions préfabriquées"
"811.0","Constructions préfabriquées"
"812","Appareils sanitaires et appareillage de plomberie et de chauffage, n.d.a."
"812.1","Chaudières (autres que celles du groupe 711) et radiateurs, pour le chauffage central, à chauffage non électrique, et leurs parties, en fonte, fer ou acier; générateurs et distributeurs d'air chaud (y compris  les distributeurs pouvant également fonctionner comme distributeurs d'air frais ou conditionné), à chauffage non électrique, comportant un ventilateur ou une soufflerie à moteur, et leurs parties, en fonte, fer ou acier"
"812.11","Radiateurs et leurs parties"
"812.15","Générateurs et distributeurs d’air chaud et leurs parties"
"812.17","Chaudières de chauffage central (autres que celles du groupe 711)"
"812.19","Parties des chaudières du No 812.17"
"812.2","Eviers, lavabos, colonnes de lavabos, baignoires, bidets, cuvettes d'aisance, réservoirs de chasse, urinoirs et appareils fixes similaires pour usages sanitaires, en céramique"
"812.21","Eviers, lavabos, colonnes de lavabos, bidets, cuvettes d’aisance, baignoires, réservoirs de chasse, urinoirs et appareils sanitaires ou d’hygiène similaires fixes en porcelaine ou faïence"
"812.29","Eviers, lavabos, colonnes de lavabos, bidets, cuvettes d’aisance, baignoires, réservoirs de chasse, urinoirs et appareils sanitaires ou d’hygiène similaires fixes, autres qu’en porcelaine ou faïence"
"813","Appareillage d’eclairage, n.d.a."
"813.1","Appareils d'éclairage (y compris les projecteurs), n.d.a."
"813.11","Lustres et autres appareils d’éclairage électriques à suspendre ou à fixer au plafond ou au mur (à l’exclusion de ceux utilisés pour l’éclairage des espaces publics ou voies publiques)"
"813.12","Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d’énergie (à piles, à accumulateurs, électromagnétiques p. Ex.), autres que les appareils d’éclairage du No 778.34"
"813.13","Lampes de chevet, lampes de bureau et lampadaires d’intérieur, électriques"
"813.15","Appareils et appareils d’éclairage électriques, n.d.a."
"813.17","Appareils d’éclairage non électriques"
"813.2","Lampes-réclames, enseignes lumineuses, plaques indicatrices lumineuses et articles similaires"
"813.8","Parties des lampes électriques portatives du No 813.12 (sauf accumulateurs)"
"813.9","Parties, n.d.a., des articles des sous-groupes 813.1 et 813.2"
"813.91","Parties en verre, n.d.a., des articles des sous-groupes 813.1 et 813.2"
"813.92","Parties, n.d.a., en matières plastiques, des articles des sous-groupes 813.1 et 813.2"
"813.99","Autres parties, n.d.a., autres qu’en verre ou matières plastiques, des articles des sous-groupes 813.1 et 813.2"
"82","Meubles et leurs parties ; articles de literie, matelas, sommiers, coussins et articles similaires rembourres ou garnis interieurement"
"821","Meubles et leurs parties ; articles de literie, matelas, sommiers, coussins et articles similaires rembourres ou garnis ulterieurement"
"821.1","Sièges (à l'exclusion de ceux du sous-groupe 872.4), même transformables en lits et leurs parties"
"821.11","Sièges pour aéronefs"
"821.12","Sièges pour véhicules automobiles"
"821.13","Sièges en rotin, osier, bambou ou matières similaires, capitonnés ou non"
"821.14","Sièges pivotants ajustables en hauteur"
"821.15","Sièges, autres que de camping ou de jardin, transformables en lits"
"821.16","Sièges avec bâti en bois, n.d.a."
"821.17","Sièges avec bâti en métal, n.d.a."
"821.18","Autres sièges"
"821.19","Parties des sièges du sous-groupe 821.1"
"821.2","Sommiers, articles de literie et articles similaires (matelas, couvre-pieds, édredons, coussins, poufs, oreillers, par exemple) comportant des ressorts ou bien rembourrés ou garnis intérieurement de toutes matières, y compris ceux en caoutchouc ou matières plastiques à l'état spongieux ou alvéolaire, recouverts ou non"
"821.21","Sommiers"
"821.23","Matelas en caoutchouc ou matière plastique alvéolaire"
"821.25","Matelas en autres matières"
"821.27","Sacs de couchage"
"821.29","Autres articles de literie"
"821.3","Meubles, n.d.a., en métal"
"821.31","Meubles de bureau en métal, n.d.a."
"821.39","Meubles, n.d.a., en métal, autres que de bureau"
"821.5","Meubles, n.d.a., en bois"
"821.51","Meubles de bureau, n.d.a., en bois"
"821.53","Meubles de cuisine, n.d.a., en bois"
"821.55","Meubles de chambre à coucher, n.d.a., en bois"
"821.59","Autres meubles en bois, n . D. A."
"821.7","Meubles, n.d.a., en autres matières"
"821.71","Meubles en matière plastique"
"821.79","Meubles en autres matières (y compris le bambou)"
"821.8","Parties des meubles des sous-groupes 821.3, 821.5 et 821.7"
"83","Articles de voyage, sacs a main et contenants similaires"
"831","Malles, valises et mallettes, y compris les mallettes portes-documents ou de toilette, serviettes, cartables, etuis pour appareils photographiques, cameras, jumelles, armes ou instruments de musique, etuis a lunettes et contenants similaires ; sacs de voyage, trousses de toilette, sacs a dos, sacs a main, sacs a provisions, portefeuilles, porte-monnaies, porte-cartes, etuis a cigarettes, blagues a tabac, trousses a outils, sacs pour articles de sport, boites pour flacons ou bijoux, boites a poudre, ecrins pour orfevrerie et contenants similaires, en cuir naturel ou reconstitue, en feuilles de matieres plastiques, en matieres textiles, en fibre vulcanisee ou en carton, ou recouverts, en totalite ou en majeure partie, de ces memes matieres ; assortiments de voyage pour la toilette des personnes, la couture ou le nettoyage des chaussures ou des vetements"
"831.1","Sacs à main, même à bandoulière (y compris ceux sans poignée)"
"831.11","Sacs à main à bandoulière ou non (y compris sans poignée), à surface extérieure en cuir naturel, cuir reconstitué ou cuir verni"
"831.12","Sacs à main à bandoulière ou non (y compris sans poignée), à surface extérieure en feuille de matière plastique ou textile"
"831.19","Autres sacs à main à bandoulière ou non (y compris sans poignée)"
"831.2","Malles, valises et mallettes, y compris les mallettes porte-documents ou de toilette, serviettes, cartables et contenants similaires"
"831.21","Malles, valises et mallettes, y compris les mallettes porte-documents ou de toilette, serviettes, cartables et contenants similaires à surface extérieure en cuir naturel, reconstitué ou verni"
"831.22","Malles, valises et mallettes, y compris les mallettes porte-documents ou de toilette, serviettes, cartables et contenants similaires à face extérieure en matière plastique ou textile"
"831.29","Malles, valises et mallettes, y compris les mallettes porte-documents ou de toilette, serviettes, cartables et contenants similaires autres qu’en cuir, matière plastique ou matière textile"
"831.3","Assortiments de voyage pour la toilette, la couture ou le nettoyage des chaussures ou des vêtements"
"831.9","Etuis pour appareils photographiques, caméras, jumelles, armes ou instruments de musique, étuis à lunettes et contenants similaires, n.d.a.; sacs de voyage, trousses de toilette, sacs à dos, sacs à main, sacs à provisions, portefeuilles, porte-monnaies, porte-cartes, étuis à cigarettes, blagues à tabac, trousses à outils, sacs pour articles de sport, boîtes pour flacons ou bijoux, boîtes à poudre, écrins pour orfèvrerie et contenants similaires, en cuir naturel ou reconstitué, en feuilles de matières plastiques, en matières textiles, en fibre vulcanisée ou en carton, ou recouverts, en totalité ou en majeuree partie, de ces mêmes matières, n.d.a."
"831.91","Articles de poche ou de sac à main"
"831.99","Autres articles de voyage, sacs et contenants similaires"
"84","Vetements et accessoires du vetement"
"841","Manteaux, capes, blousons, costumes, vestons, pantalons, culottes, chemises, linge de corps, vetements de nuit et articles similaires, pour hommes ou garconnets, en matieres textiles, autres  que de bonneterie (autres que ceux des sous-groupes 845.2 ou 845.6)"
"841.1","Manteaux, cabans, capes, anoraks, blousons et articles similaires (autres que ceux des sous-groupes 841.2 ou 841.3)"
"841.11","Manteaux, imperméables, cabans, capes et articles similaires en laine ou en poils fins, pour hommes ou garçons (autres que ceux des sous-groupes 841.2 ou 841.3), sauf de bonneterie"
"841.12","Manteaux, imperméables, cabans, capes et articles similaires en matières textiles autres que la laine ou les poils fins, pour hommes ou garçons (autres que ceux des sous-groupes 841.2 et 842.3), sauf de bonneterie"
"841.19","Vêtements de dessus, n.d.a., en matières textiles autres que de bonneterie, pour hommes ou garçons (sauf ceux des sou-groupes 841.2, 841.3 et 845.2)"
"841.2","Costumes ou complets et ensembles"
"841.21","Costumes ou complets pour hommes ou garçons, de laine ou de poils fins, autres que de bonneterie"
"841.22","Costumes ou complets pour hommes ou garçons, en matières textiles autres que la laine ou les poils fins, sauf de bonneterie"
"841.23","Ensembles pour hommes ou garçons, en matières textiles autres que de bonneterie (sauf ceux du sous-groupe 845.2)"
"841.3","Vestons et blazers pour hommes ou garçons, en matières textiles autres que de bonneterie"
"841.4","Pantalons, salopettes, culottes et shorts pour hommes ou garçons, en matières textiles autres que de bonneterie"
"841.5","Chemises et chemisettes"
"841.51","Chemises pour hommes ou garçons, en coton, autres que de bonneterie"
"841.59","Chemises pour hommes et garçons, en matières textiles autres que le coton, sauf de bonneterie"
"841.6","Gilets de corps, slips, caleçons, chemises de nuit, pyjamas, peignoirs de bain, robes de chambre et articles similaires"
"841.61","Slips et caleçons pour hommes ou garçons, autres que de bonneterie"
"841.62","Chemises de nuit et pyjamas pour hommes ou garçons, autres que de bonneterie"
"841.69","Sous-vêtements et vêtements de nuit, n.d.a., pour hommes ou garçons, autres que de bonneterie"
"842","Manteaux, capes, vestes, costumes, pantalons, shorts, chemisiers, robes et jupes, linge de corps, vetements de nuit et articles similaires, pour femmes et fillettes, en matieres textiles, autres que de bonneterie autres que ceux des des sous-groupes 845.2 ou 845.6)"
"842.1","Manteaux, cabans, capes, anoraks, blousons et articles similaires (autres que ceux des sous-groupes 842.2 ou 842.3)"
"842.11","Manteaux, imperméables, capes et articles similaires pour femmes ou jeunes filles, en matières textiles sauf de bonneterie (autres que ceux du sous-groupe 845.2)"
"842.19","Vêtements de dessus,  n.d.a., pour femmes ou jeunes filles, en matières textiles sauf de bonneterie (autres que ceux du sous-groupe 845.2)"
"842.2","Costumes tailleurs et ensembles"
"842.21","Costumes-tailleurs pour femmes ou jeunes filles, en matières textiles autres que de bonneterie"
"842.22","Ensembles pour femmes ou jeunes filles, en matières textiles autres que de bonneterie"
"842.3","Jaquettes et blazers pour femmes ou jeunes filles, en matières textiles autres que de bonneterie"
"842.4","Robes pour femmes ou jeunes filles, en matières textiles autres que de bonneterie"
"842.5","Jupes et jupes-culottes pour femmes ou jeunes filles, en matières textiles autres que de bonneterie"
"842.6","Pantalons, salopettes, culottes autres que de lingerie et shorts pour femmes ou jeunes filles, en matières textiles autres que de bonneterie"
"842.7","Chemisiers, blouses-chemisiers et chemisettes pour femmes ou jeunes filles, en matières textiles autres que de bonneterie"
"842.8","Gilets de corps et chemises de jour, combinaisons ou fonds de robes, jupons, slips, chemises de nuit, pyjamas, deshabillés, peignoirs de bain, robes de chambre et articles similaires"
"842.81","Combinaisons ou fonds de robes et jupons pour femmes ou jeunes filles, en matières textiles autres que de bonneterie"
"842.82","Chemises de nuit et pyjamas pour femmes ou jeunes filles, en matières textiles autres que de bonneterie"
"842.89","Autres sous-vêtements et vêtements de nuit pour femmes ou jeunes filles, en matières textiles autres que de bonneterie"
"843","Manteaux, capes, blousons, costumes, vestons, pantalons, culottes, chemises, linge de corps, vetements de nuit et articles similaires, pour hommes et garconnets, en bonneterie (autres que ceux des sous-groupes 845.2 et 845.6)"
"843.1","Manteaux, cabans, capes, anoraks (y compris de ski), blousons et articles similaires (sauf ceux du No 843.23) pour hommes ou garçons, en bonneterie textile (sauf ceux du sous-groupe 845.2)"
"843.2","Costumes ou complets, ensembles, vestons, pantalons, salopettes à bretelles, culottes et shorts"
"843.21","Costumes ou complets pour hommes ou garçons, en bonneterie textile"
"843.22","Ensembles pour hommes ou garçons, en bonneterie textile (autres que ceux du sous-groupe 845.2)"
"843.23","Vestons et blazers pour hommes ou garçons, en bonneterie textile"
"843.24","Pantalons, salopettes, culottes et shorts pour hommes ou garçons, en bonneterie textile"
"843.7","Chemises et chemisettes"
"843.71","Chemises pour hommes ou garçons, en bonneterie de coton"
"843.79","Chemises pour hommes ou garçons, en bonneterie textile autre que de coton"
"843.8","Slips, caleçons, chemises de nuit, pyjamas, peignoirs de bain, robes de chambre et articles similaires"
"843.81","Slips et caleçons pour hommes ou garçons, en bonneterie textile"
"843.82","Chemises de nuit et pyjamas pour hommes ou garçons, en bonneterie textile"
"843.89","Autres sous-vêtements et vêtements de nuit pour hommes ou garçons, en bonneterie textile"
"844","Manteaux, capes, vestes, costumes, pantalons, shorts chemisiers, robes et jupes, linge de corps, vetements de nuit et articles similaires, pour femmes et fillettes, en bonneterie (autres que ceux des sous-groupes 845.2 ou 845.6)"
"844.1","Manteaux, cabans, capes, anoraks (y compris de ski), blousons et articles similaires (sauf ceux du No 844.23) pour femmes ou jeunes filles, en bonneterie textile (autres que du sous-groupe 845.2)"
"844.2","Costumes tailleurs, ensembles, vestes, robes, jupes, jupes-culottes, pantalons, salopettes à bretelles, culottes et shorts"
"844.21","Costumes tailleurs pour femmes ou jeunes filles, en bonneterie textile"
"844.22","Ensembles pour femmes ou jeunes filles, en bonneterie textile"
"844.23","Jaquettes et blazers pour femmes ou jeunes filles, en bonneterie textile"
"844.24","Robes pour femmes ou jeunes filles, en bonneterie textile"
"844.25","Jupes et jupes-culottes pour femmes ou jeunes filles, en bonneterie textile"
"844.26","Pantalons, salopettes, culottes autres que de lingerie et shorts pour femmes ou jeunes filles, en bonneterie textile"
"844.7","Chemisiers, blouses-chemisiers et chemisettes pour femmes ou jeunes filles, en bonneterie textile"
"844.8","Combinaisons ou fonds de robes, jupons, slips, chemises de nuit, pyjamas, deshabillés, peignoirs de bain, robes de chambre et articles similaires"
"844.81","Combinaisons ou fonds de robes et jupons pour femmes ou jeunes filles, en bonneterie textile"
"844.82","Slips et culottes de lingerie pour femmes ou jeunes filles, en bonneterie textile"
"844.83","Chemises de nuit et pyjamas pour femmes ou jeunes filles, en bonneterie textile"
"844.89","Autres sous-vêtements et vêtements de nuit pour femmes ou jeunes filles, en bonneterie textile"
"845","Vetements en matieres textiles, meme en bonneterie, n.d.a."
"845.1","Vêtements et accessoires du vêtement pour bébés"
"845.11","Vêtements et accessoires du vêtement pour bébés et jeunes enfants, autres qu’en bonneterie"
"845.12","Vêtements et accessoires du vêtement pour bébés et jeunes enfants, en bonneterie"
"845.2","Vêtements confectionnés en tissus des rubriques 657.1, 657.2, 657.32, 675.33 ou 657.34"
"845.21","Vêtements confectionnés en tissus des sous-groupes 657.1 (feutre) ou 657.2 (non-tissés)"
"845.22","Vêtements pour hommes ou garçons, en tissus sauf à mailles des Nos 657.32, 657.33 ou 657.34"
"845.23","Vêtements pour femmes ou jeunes filles, en tissus sauf à mailles des Nos 657.32, 657.33 ou 657.34"
"845.24","Vêtements confectionnés en tissus à mailles des Nos 657.32, 657.33 ou 657.34"
"845.3","Chandails, pull-overs, cardigans, gilets et articles similaires en bonneterie"
"845.4","T-shirts, maillots et gilets de corps en bonneterie"
"845.5","Soutiens-gorge, gaines, corsets, bretelles, jarretelles, jarretières et articles similaires, même en bonneterie"
"845.51","Soutiens-gorge en matière textile"
"845.52","Gaines, corsets, bustiers, bretelles, jarretelles, jarretières et articles similaires"
"845.6","Maillots, culottes et slips de bains"
"845.61","Maillots, culottes et slips de bain pour hommes ou garçons, autres qu’en bonneterie"
"845.62","Maillots, culottes et slips de bain pour hommes ou garçons, en bonneterie"
"845.63","Maillots, culottes et slips de bain pour femmes et jeunes filles, autres que de bonneterie"
