marchandises_simplification,code,sitc18_rev3,v3,imprimatur,status,beforeitems,afteritems,obsolete
toile de coton piquée,654,6g,Textiles coton,,ambiguous,,[Toile ; de coton ; piquée] [toille de coton picquée],non
toile de coton pour mouchoirs,654,6g,Textiles coton,,new,,,non
toile de coton siamoise,654,6g,Textiles coton,,new,,,non
toile de coton teinte,654,6g,Textiles coton,,ambiguous,,[Toile ; de coton ; teinte] [Toiles ; de coton ; teinte],non
toile de coton vieux,654,6g,Textiles coton,,ambiguous,,[Toille cotton vieu],non
toile de cottray,,,,,new,,,non
toile de couleur,655,6h,Autres textiles mêlés fibres végétales et toiles,,ambiguous,,[Toile ; de couleur] [Toile ; de couleurs] [Toile; de couleur] [Toile de couleur] [Toiles mélangées de couleur],non
toile de coutil,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de coutil] [Toile de Coutil] [Toile de coutil] [Toiles de coutil] [Toiles ; mêlées ; de coutil] [Toiles ; de coutil] [Toilles ; de coutil] [Toilerie ; toiles de coutil],non
toile de crin,652,6e,Textiles laine poil,,ambiguous,,[Toile ; De Crin] [Toile ; de crin] [Toile ; en crin] [Toile de crin] [Toile; de crin] [Toiles ; De crin] [Toiles ; de crin] [Toille de crin] [toile de crin] [toille de crin],non
toile de crin cirée,652,6e,Textiles laine poil,,ambiguous,,[Toiles cirées et de crin],non
toile de demi large,,,,,,,,non
toile de Dinant,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Bretagne ; De Dinant] [Toile ; de Bretagne ; de Dinan] [Toile ; de Bretagne ; de Dinant],non
toile de façon de Hambourg et de Hollande,,,,,new,,,non
toile de fil,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de fil] [Toile de fil] [Toiles de fil diverses] [Toiles ; de fil],non
toile de fil à carreaux,,,,,,,,non
toile de fil blanche,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toiles ; de fil ; blanche],non
toile de fil commune,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toiles ; de fil ; commune],non
toile de fil coutil,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de fil de ???,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de fil en coutil,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de fil ; en coutil],non
toile de fil et coton,655,6h,Autres textiles mêlés fibres végétales et toiles,,new,,,non
toile de fil et de laine et de Lille,656,6i,Autres textiles,,new,,,non
toile de fil et peinte,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de fil et peinte et teinte,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de fil et teinte,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de filezie,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de Flandre,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Flandre] [Toile ; de flandre] [Toile de Flandre] [Toiles ; de Flandre] [Toille de Flandre] [Toille de flandres] [Toille de flandre] [Toiles ; meslées ; De flande] [toille de Flandre],non
toile de fleuret et blancard,656,6i,Autres textiles,,new,,,non
toile de fleuret et de Rouen,656,6i,Autres textiles,,new,,,non
toile de Fougères,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de fougere] [Toile de Fougere] [Toile de fougere] [Toile de fourgere] [Toille de fougere] [Toille de fougère] [Toile ; de Bretagne ; De fougere] [Toile ; de Bretagne ; de Fougere] [Toile ; de Bretagne ; de Fougère] [Toile ; de Bretagne ; de fougere] [Toile ; de Bretagne ; de fougeres] [Toile ; de Bretagne ; de fougère] [Toile ; de Bretagne de Fougere] [Toile ; de bretagne ; de fougere] [Toile; de Bretagne; de Fougere] [Toille de Bretagne de fougere] [Toile ; de Fougères] [Toile ; fougere] [Toile ; Idem ; de fougeres],non
toile de frame,,,,,new,,,non
toile de France,656,6i,Autres textiles,,ambiguous,,[Toile ; de France],non
toile de Frise,656,6i,Autres textiles,,ambiguous,,[Toile ; de Frize] [Toiles ; De fria] [Toile de frise],non
toile de Gand,656,6i,Autres textiles,,new,,,non
toile de Grandville,656,6i,Autres textiles,,new,,,non
toile de Grenade,656,6i,Autres textiles,,ambiguous,,[Toile ; de grenade] [Toile ; grenade],non
toile de Grenade et de lin,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de Grenoble,656,6i,Autres textiles,,ambiguous,,[Toile ; de Grenoble] [Toile ; de grenoble] [Toile; de Grenoble],non
toile de gris,656,6i,Autres textiles,,ambiguous,,[Toile de gris],non
toile de halle,,,,,new,,,non
toile de Hanovre,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; d'Hanovre],non
toile de Hollande,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; d'Hollande] [Toile ; d'hollande] [Toile ; de Hollande] [Toile d'Holland] [Toile d'Hollande] [Toile de Hollande] [Toiles ; d'Hollande] [Toille ; de Holande] [Toille d'Hollande] [Toille d'holande] [toile d'holande] [toile d'hollande] [toille d'hollande] [Toile dholande] [Toille Dholande] [Toile d'hollande] [Toille d'hollande],non
toile de Hollande pièces de 15 aunes,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de Hollande pièces de 30 aunes,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de killis,656,6i,Autres textiles,,new,,,non
toile de laine,652,6e,Textiles laine poil,,new,,,non
toile de laine dite herbage,652,6e,Textiles laine poil,,new,,,non
toile de Landerneau,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Bretagne ; De landerneau] [Toile ; de Bretagne ; Landerneau] [Toile ; de Bretagne ; de Landerneau] [Toile ; de Bretagne ; de Landerneaux] [Toile ; de Bretagne ; de Langernau] [Toile ; de Bretagne ; de Langerneau] [Toile ; de Bretagne ; de langerneau] [Toile ; de Bretagne ; langerneau] [Toile; de Bretagne; de Langerneau] [Toiles ; de Bretagne ; langerneau] [Toile ; de Landernau],non
toile de Langenau,,,,,new,,,non
toile de Languenan,,,,,new,,,non
toile de Languenaud,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Bretagne ; de Languenaud],non
toile de Lauderne,,,,,new,,,non
toile de Laval,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Laval] [Toile ; de laval] [Toile de Laval] [Toiles ; de Laval] [Toiles de Laval] [Toille de Lavac] [Toille de Laval] [Toille de laval] [Toille deLaval] [Toilles de Laval] [Toille ; de Laval] [Toile Lavale] [Toile; Laval] [Toile de laval] [Toile ; Idem ; de Laval] [toille de Laval] [Toiles ; meslées ; De laval] [Toile Laval],non
toile de Laval de renvoi,,,,,new,,,non
toile de Léon,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Bretagne ; de Leon] [Toile ; de Bretagne ; de leon] [Toile ; de bretagne ; de leon],non
toile de Levant,654,6g,Textiles coton,,ambiguous,,[Toile ; De levant] [Toile ; de Levant] [Toile ; de levant],non
toile de Levant diverse,654,6g,Textiles coton,,ambiguous,,[Toile ; de Levant ; diverses],non
toile de Lille,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Lille] [Toiles ; de Lille],non
toile de Lille et à serviettes,,,,,new,,,non
toile de lin,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,"[Toile ; De lin] [Toile ; de lin] [Toile de Lin] [Toile de lin] [Toiles ; de lin] [Toiles de Lin] [Toiles de lin] [Toille ; de Lin] [Toille ; de lin] [Toille de Lin] [Toille de lain] [Toille de lin] [Toille en lin] [Toilles de lin] [Toillle de lin] [Toile ; de lin ; commune] [Toiles ; de lin ; commune] [Toiles de lin diverses] [Toiles de lin, diverses] [Toile; de lin; diverses] [Toiles ; de lin ; divers] [Toiles ; de lin ; diverses] [Toiles ; De lin ; Diverses] [Toilerie ; toiles de lin de toutes sortes] [Toile ; de lin ; divers] [Toile ; de lin diverse] [Toile ; de lin ; diverse] [Toiles ; de lin diverses] [Toile ; de lin ; diverses] [Toiles ; de lin commune] [Toiles ; De pin ; Diverses] [Toille ; de lin ; diverse] [Toilerie ; toiles delin de toutes sortes] [Toilerie ; toiles de lin] [Toilerie ; Toiles de lin] [Toile ; De Lin ; Diverses] [Toiles de lin ; diverses] [Toile de lin diverse] [Toile de lin ; divers] [Toile de lin commune]",non
toile de lin à doubler,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; à doubler],non
toile de lin à matelas,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; à matelats] [Toiles de lin à matelas] [Toile ; de lin ; à matelas],non
toile de lin au lait,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; au lait],non
toile de lin blanche,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,"[Toile ; De lin ; Blanches] [Toile ; de lin ; Blanche] [Toile ; de lin ; blanch] [Toile ; de lin ; blanche] [Toile ; de lin ; blanche ;] [Toile ; de lin blanche] [Toile de lin blanche] [Toile de lin, blanche] [Toiles ; de lin ; blanche] [Toiles de lin, blanches] [Toille ; de lin ; blanche] [toile de lin blanche] [Toile ; de lin ; blanche ; commune] [Toile de lin blanche commune] [Toile ; de lin Blanches] [Toiles ; de lin blanche] [Toiles diverses ; de lin blanche] [Toile de lin ; blanche] [Toiles de lin blanche]",non
toile de lin blanche ??? à la frontière,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin brochée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; brochée],non
toile de lin Cambrai,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin cirée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; cirée],non
toile de lin claire,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; claire],non
toile de lin claire et gaze,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toiles ; de lin ; claire et gaze],non
toile de lin coutel,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin coutil,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toiles ; de lin ; coutit] [Toiles ; de lin ;coutit],non
toile de lin crue,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; crue] [Toile ; de lin ; crüe],non
toile de lin d'Abbeville,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; d'Abbeville],non
toile de lin d'Alençon,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; d'Alençon] [Toile ; de lin d'alencon],non
toile de lin d'Amiens,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; d'Amiens],non
toile de lin de 13 aunes,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin de 15 aunes,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin de Beaujolais,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; de Beaujolais],non
toile de lin de Beauvais,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,"[Toile ; De lin ; Beauvais] [Toile ; de lin , de Beauvais] [Toile ; de lin ; de Beauvais] [Toile ; de lin ; de beauvais] [Toile; de lin; de Beauvais] [Toiles ; de lin ; de Beauvais] [Tuile ; de lin ; de Beauvais] [Toile de lin ; de Beauvais] [Toile ; de lin de Beauvais]",non
toile de lin de bernay,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; de bernay],non
toile de lin de Cholet,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; De Lin ; Choler] [Toile ; de lin ; Cholet] [Toile ; de lin ; cholet] [Toile ; de lin ; de Cholet] [Toile de lin ; Cholet],non
toile de lin de Flandre,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; De Lin ; De Flandre] [Toile ; de lin ; de Flandre] [Toile ; de lin ; de flandre] [Toile ; de lin ; de flandres] [Toile; de lin; de Flandre],non
toile de lin de Frise,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; de frize],non
toile de lin de Gand,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; de gand],non
toile de lin de Hollande,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; De lin ; D'hollande] [Toile ; de lin ; Hollande] [Toile ; de lin ; d'Hollande] [Toile ; de lin ; d'hollande] [Toile ; de lin ; de Hollande] [Toile ; de lin ; de hollande] [Toile ; de lin d'hollande] [Toile; de lin; d'Hollande],non
toile de lin de Laval,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; De Lin ; De Laval] [Toile ; de lin ; de Laval] [Toile ; de lin ; de Lavat] [Toile ; de lin ; de laval] [Toile ; de lin de Laval] [Toile; de lin; de Laval] [Toiles ; de lin ; de Laval] [Tuile ; de lin ; de Laval] [Toille ; de lin ; de Laval] [Toile de lin ; de Laval] [Toiles ; de lin de Laval],non
toile de lin de Lille,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; De Lin ; De Lille] [Toile ; de lin ; de Lille] [Toiles ; de lin ; de Lille] [Toille au lan de Lille],non
toile de lin de linge de tables,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin de Marigny,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; de Marigny] [Toile ; de lin ; deMarigny],non
toile de lin de Pinon,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toiles ; De lin ; De Pinon],non
toile de lin de Rouen,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; de Rouen] [Toile ; de lin ; de Roüen] [Toile ; de lin ; de rouen] [Toile ; de lin de Roüen] [Toile; de lin; de Roüen] [Toiles ; de lin ; de Roüen] [Toile de lin de Rouen] [Toile de lin ; de Rouen] [Toiles ; de lin ; de Rouen] [Toile ; de lin de Rouen],non
toile de lin de Russie,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; de Russie],non
toile de lin de Saint-Quentin,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; Saint Quentin] [Toile ; de lin ; de S.Quentin] [Toile ; de lin ; de Saint Quentin] [Toile ; de lin ; de Saint-Quentin] [Toile ; de lin ; de St Quentin] [Toile ; de lin ; de St. Quentin] [Toile ; de lin ; de s.Quentin] [Toile; de lin; de St. Quentin] [Toile ; de St Quentin] [Toille de lin de Saint Quentin] [Toile ; de lin ; des quentin] [Toile ; de lin de St Quentin] [Toile de lin de Saint Quentin] [Toille ; de Saint Quentin] [Toille ; de lin ; de Saint Quentin] [Toile de Saint Quentin] [Toile de lin de Saint Quantin] [Toiles ; de lin ; de Saint-Quentin] [Toile ; de Lin ; Des Quentin] [Toile ; de Saint Quentin] [Toile ; de lin de ; Saint Quentin] [Toiles ; de Saint Quentin] [Toile ; de lin de Saint Quentin] [Toile ; de lin ; de s.queatin] [Toile de lin ; de Saint Quentin],non
toile de lin de Senlis,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; de Senlis],non
toile de lin de Servins,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; de Servins],non
toile de lin de St. Malo,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; de St. Malo],non
toile de lin de Troyes,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; de Troyes] [Toile ; de lin ; de troyes] [Toile; de lin; de Troyes] [Toiles ; de lin ; de Troyes],non
toile de lin de Valenciennes,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; De Lin ; De valenciennes] [Toile ; de lin ; Valenciennes] [Toile ; de lin ; de Valenciennes] [Toile ; de lin ; de Valencienness] [Toile ; de lin ; de valenciennes],non
toile de lin écrue,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin er bas prix et teinte,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin et de batiste et linon,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin et de chanvre,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin et de Saint Quentin,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin et du pays,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin et haut prix et teinte,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin et mélangée de couleur,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin et ouvrée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; De Lin ; Ouvrée] [Toile ; de lin ; ouvré] [Toile ; de lin ; ouvrée] [Toile ; de lin ;ouvrée] [Toile de lin ; ouvrée],non
toile de lin et peinte,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin et pour mouchoirs et teinte,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin et pour robes et rayée,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin et rayée et teinte,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin et royale,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin facon de Hollande,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin fil d'épreuve,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin fine à drap,651,6d,Textiles lin chanvre jute ramies,,,,,non
toile de lin fine de ???,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lin fine de Hollande,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; fine de hollande],non
toile de lin grosse,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; grasse] [Toile ; de lin ; grosse] [Toiles ; de lin ; grosse] [Toile de lin grosse],non
toile de lin grosse pointe,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; grosse pointe],non
toile de lin imprimée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; imprimee] [Toile ; de lin ; imprimée] [toile de lin imprimée],non
toile de lin indigo,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; indigo],non
toile de lin lingerie,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; lingerie],non
toile de lin linon,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; limon] [Toile ; de lin ; linon],non
toile de lin linon brodée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; limon ; brodée],non
toile de lin linon et Cambrai,651,6d,Textiles lin chanvre jute ramies,,,,,non
toile de lin rayée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; rayée] [toile de lin rayée],non
toile de lin royale,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Lin ; Royale] [Toile ; de lin ; Royale] [Toile de lin ; Royalle],non
toile de lin teinte,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; teinte] [Toile ; de lin ; teinté] [Toile ; de lin ; teuile] [Toile ; de lin teinte] [toile de lin teinte] [toille de lin teinte],non
toile de lin toilette,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; toilette] [Toiles ; de lin ; toilette],non
toile de linet,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de linge de tables,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile de linge de table] [Toile de linges de table] [Toile ; de linge de table ; divers] [Toiles ; meslées ; De linge de table] [Toile ; de linge ; de table] [Toile ; de linge de table] [Toille ; de linge de table],non
toile de linge de tables et à serviettes,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lingerie,,,,,,,,non
toile de linon,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de linon et de Saint-Quentin,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile de lisson,999,???,???,,ambiguous,,[Toille de lisson],non
toile de Locronan,,,,,,,,non
toile de Lombourg,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Bretagne ; de Lombourg],non
toile de Lucarnon,,,,,new,,,non
toile de Lyon,999,???,???,,ambiguous,,[Toile ; de Lyon] [Toile; de Lyon] [Toiles ; de lion],non
toile de Lyon teinte,,,,,new,,,non
toile de Lyonnais,999,???,???,,ambiguous,,[Toile ; du Lyonnais],non
toile de Marigny,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Marigny] [Toile ; de marigny],non
toile de Mayenne,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Bretagne ; de Mayenne],non
toile de ménages,,,,,,,,non
toile de ménages blanche,,,,,,,,non
toile de Moncontour,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Bretagne ; de mantoncour],non
toile de Morlaix,,,,,new,,,non
toile de Mortagne,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Bretagne ; de Morlagne] [Toile ; de Bretagne ; de Mortagne] [Toile ; de Bretagne ; De Montagne] [Toile ; de Bretagne ; de Montagne] [Toile ; de Bretagne ; de montagne] [Toile ; de bretagne ; de montagne] [toile de montagne] [Toile ; de mortagne] [Toille de montagne] [toiles de montagne] [Toile ; Idem ; de Mortagne] [Toile de montagne] [Toile ; de Mortagne] [Toile; de montagne] [Toiles ; de montagne] [Toile ; de Montagne] [Toile ; de montagne],non
toile de Mortagne ???,,,,,new,,,non
toile de Moûtiers,999,???,???,,ambiguous,,[Toile ; de moutiers],non
toile de paille,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile de Paille] [Toile de paille] [toille de Paille],non
toile de pays,999,???,???,,ambiguous,,[Toile ; du pais] [Toile ; du païs] [Toile ; du païx] [Toile; du païx] [Toiles ; du pais] [Toile du pais] [Toile du païs] [Toille du pays] [Toile ; du paire] [Toilles du pays],non
toile de peinte,654,6g,Textiles coton,,ambiguous,,[Toile de peinte] [Toilles de peintes],non
toile de Piémont,653,6f,Textiles soie soie mêlée,,ambiguous,,[Toile ; de Piemont] [Toile ; de Piémon] [toile de Piemont] [toiles de Piemont] [toile de piemont],non
toile de ploc,652,6e,Textiles laine poil,,ambiguous,,[Toile ; de ploc] [Toile ; de plock] [Toile ; de plocq] [Toile; de plocq],non
toile de Pontigny,,,,,new,,,non
toile de pontivy,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Tuile ; de Bretagne ; de pontivy],non
toile de Pontivy,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile de pontivy] [Toile ; de Bretagne ; de Boutivy] [Toiles ; de Bretagne ; de Pontivy] [Toile ; de Bretagne ; de Pontivy] [Toile ; de Bretagne ; de Pontiny],non
toile de Pouldavi,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toille de Pouldavi],non
toile de Pouldavid,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Bretagne ; Pontdavi] [Toile ; de Bretagne ; Pouldavi] [Toile ; de Bretagne ; de Pouldary] [Toile ; de Bretagne ; de Pouldavi] [Toile ; de Bretagne ; de Pouldavy] [Toile; de Bretagne; de Pouldary] [Toile ; de Bretagne ; de Boutdave],non
toile de Quintin,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile de Quintin] [Toille ; de Quintin] [Toille de Quintin] [Toile ; de Bretagne ; de Quintin],non
toile de retour,,,,,,,,non
toile de rite,,,,,new,,,non
toile de rouanée,,,,,new,,,non
toile de Rouen,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Rouen] [Toile ; de Roüen] [Toile de Rouen] [Toile; de Roüen] [Toiles de Rouen] [Toille de Rouen] [Toille de rouen] [Toiles ; Meslées ; De Rouen] [Toille de Roües],non
toile de Roussie,,,,,new,,,non
toile de Russie,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Russie] [Toiles ; mêlées ; de Russie],non
toile de Saint-Georges,999,???,???,,ambiguous,,[Toile ; de St Georges] [Toile de Saint-Georges] [Toile de St George] [Toile ; de St george],non
toile de Saint-Jean,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Saint Jean] [Toille de Saint-Jean],non
toile de Saint-Quentin,,,,,new,,,non
toile de Saintonge,6,6,6,,ambiguous,,[Toile ; de Saintonge] [Toile ; de Saintonges] [Toile ; de Saintongs] [Toile ; de saintonges] [Toile de Saintonges] [Toile; de Saintonges] [Toiles ; de Saintonges] [Toille de Saintonge] [Toile de Saintonge] [Toille Desaintonge] [Toille de saintonge] [Toiles ; de Saintonge] [Toile ; de Saint onge] [Toile de saint onge] [Toile de saintonge] [toille de Saintonge] [Toile de Xaintonge],non
toile de serpillière,,,,,new,,,non
toile de serviettes,,,,,new,,,non
toile de Sevigneau,999,???,???,,ambiguous,,[Toille de Sevigneau],non
toile de siamoise,654,6g,Textiles coton,,ambiguous,,"[Toile , siamoise] [Toile ; Siamoise] [Toile ; siamoise] [Toile Siamoises] [Toiles Siamoise] [Toille Siamoise] [Toiles siamoise] [Toile ; en siamoise] [Toile ; siamoik] [Toille ; siamoise] [Toiles ; siamoise]",non
toile de siamoise au sixième de soie,,,,,new,,,non
toile de Silésie,,,,,new,,,non
toile de soie,653,6f,Textiles soie soie mêlée,,ambiguous,,[Toille ; de Soye],non
toile de Suisse,,,,,new,,,non
toile de treillis,,,,,new,,,non
toile de Troyes,,,,,new,,,non
toile de valenciennes,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de valenciennes],non
toile de Valenciennes,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Valencienne] [Toile ; de Valenciennes] [Toile; de Valenciennes] [Toile ; de saleneinnes] [Toile ; Idem ; de Valenciennes],non
toile de Vimoutiers,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; Idem ; de Vinroutiers] [Toile ; de Vimoutiers] [Toile ; de Virmoutiers] [Toile ; de Bretagne ; de Vimouliers] [Toile ; de Bretagne ; de Vimoutiers] [Toile ; de bretagne ; de vimoutiers] [Toile ; de Vimoutier],non
toile de Vitré,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de Bretagne ; vitrée] [Toile ; de Bretagne ; de Vitre],non
toile de voile,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de voile] [Toile de Voile] [Toille de voille] [Toiles ; de voile],non
toile découpée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; découpée],non
toile delin et de Flandre,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile des Indes,654,6g,Textiles coton,,ambiguous,,[Toile ; Des Indes] [Toile ; des Indes] [Toiles ; des Indes] [Toiles des L'Indes] [Toille ; des Indes] [Toile ; des Indes ; diverses] [Toile des indes] [Toiles ; des Indes ; diverses] [Toiles des Indes] [Toiles ; Des Indes ; Diverses] [Toile ; de l'inde] [Toiles diverses des Indes] [Toiles divers de l'Inde] [Marchandises provenantes du commerce français dans l'Inde : Toiles diverses] [Toile; des Indes] [Toiles des indes],non
toile des Indes ???,,,,,new,,,non
toile des Indes ??? ??? ??? Indes,,,,,,,,non
toile des Indes commerce français,,,,,,,,non
toile des Indes diverse,654,6g,Textiles coton,,ambiguous,,[Marchandises des Indes ; Toiles des Indes ; diverses],non
toile des Indes en ??? français,,,,,,,,non
toile des Indes imitant celles des Indes,,,,,,,,non
toile des Indes peinte de thille,,,,,new,,,non
toile des Indes Perse du commerce étranger,,,,,new,,,non
toile du commerce de France et des Indes,,,,,new,,,non
toile du commerce étranger et des Indes,,,,,new,,,non
toile du Piémont,653,6f,Textiles soie soie mêlée,,ambiguous,,[Toiles ; étrangères ; du Piémont],non
