marchandises_simplification,grains,obsolete
barres plates de fer étiré de plus de 366 millimètres de largeur multipliée par l'épaisseur,,non
barres plates de fer étiré de plus de 366 millimètres ou 72 lignes,,non
barres pour édifices,,non
barres pour édifiées,Pas grain (0),non
barres rondes de fer étiré,,non
barres rondes de fer étiré de 15 millimètres et plus de diamètres,,non
barres rondes de fer étiré de 15 millimètres ou 7 lignes et plus de diamètres,,non
barres rondes de fer étiré de moins de 15 millimètres de diamètres,,non
barres rondes de fer étiré de moins de 15 millimètres ou 7 lignes diamètres,,non
barrettes,Pas grain (0),non
barrettes de cuivre,Pas grain (0),non
barrettes de fer,Pas grain (0),non
barriques,Pas grain (0),non
barriques cerclées et fer,Pas grain (0),non
barriques neuves,Pas grain (0),non
barriques vides,Pas grain (0),non
barriques vides vieilles,Pas grain (0),non
barriques vieilles,Pas grain (0),non
bas,Pas grain (0),non
bas à crin d'or et de soie,Pas grain (0),non
bas communs,Pas grain (0),non
bas d'estam,,non
bas d'estame,Pas grain (0),non
bas d'estame fins,Pas grain (0),non
bas de bourre de soie,Pas grain (0),non
bas de castor,Pas grain (0),non
bas de chamois,Pas grain (0),non
bas de coton,Pas grain (0),non
bas de coton 1300 lignes,,non
bas de coton en paires,,non
bas de coton et bas de fil,Pas grain (0),non
bas de coton et bas de fil et bas de soie,Pas grain (0),non
bas de coton et bas de fil par paires,Pas grain (0),non
bas de coton et bas de soie,Pas grain (0),non
bas de coton et bonnets de coton,Pas grain (0),non
bas de coton et laine,,non
bas de coton pour enfant,,non
bas de coton pour femme,,non
bas de coton pour homme,,non
bas de fil,Pas grain (0),non
bas de fil commun,Pas grain (0),non
bas de fil et bas de laine,Pas grain (0),non
bas de fil et bonnets,,non
bas de fil et pour femme,Pas grain (0),non
bas de fil et pour homme,Pas grain (0),non
bas de fil par paires,Pas grain (0),non
bas de filoselle,Pas grain (0),non
bas de fleuret,Pas grain (0),non
bas de laine,Pas grain (0),non
bas de laine 40 lignes,,non
bas de laine communs,Pas grain (0),non
bas de laine écarlate,,non
bas de laine et bas de soie,Pas grain (0),non
bas de laine et bonnets de laine,Pas grain (0),non
bas de laine et gants de laine et bonnets de laine,Pas grain (0),non
bas de laine fin,Pas grain (0),non
bas de laine grossière,Pas grain (0),non
bas de laine par paires,Pas grain (0),non
bas de mulet,,non
bas de peau,Pas grain (0),non
bas de poil,Pas grain (0),non
bas de poil et bas de soie,Pas grain (0),non
bas de Saint-Mexant,Pas grain (0),non
bas de Ségovie,Pas grain (0),non
bas de soie,Pas grain (0),non
bas de soie à coins d'argent,Pas grain (0),non
bas de soie à coins d'or,Pas grain (0),non
bas de soie à coins d'or et bas de soie à coins d'argent,Pas grain (0),non
bas de soie brodés,Pas grain (0),non
bas de soie brodés d'or,Pas grain (0),non
bas de soie brodés d'or et bas de soie brodés d'argent,Pas grain (0),non
bas de soie et gants de soie,Pas grain (0),non
bas de soie pour femme,Pas grain (0),non
bas de soie pour homme,Pas grain (0),non
bas de soie vieux,Pas grain (0),non
bas de toile,Pas grain (0),non
bas des îles et des Indes,,non
bas des Indes de poil,Pas grain (0),non
bas drapés,Pas grain (0),non
bas écriers,Pas grain (0),non
bas et bonnets de castor,,non
bas et bonnets de fil,,non
bas et gants de poil,,non
bas gants et bonnets de laine fil et coton,Pas grain (0),non
bas grossiers,Pas grain (0),non
bas-relief de marbre,Pas grain (0),non
basanes,,non
basanes apprêtées,,non
basanes de mouton,,non
basanes de mouton tannées,,non
basanes de veau,,non
basanes tannées,,non
basanes tannées de veau,,non
basannes,Pas grain (0),oui
basannes de mouton tannées,Pas grain (0),oui
basannes de veau tannées,Pas grain (0),oui
basannes tannées,Pas grain (0),oui
basin,Pas grain (0),non
basin blanc,Pas grain (0),non
basin blanc de 10 aunes,Pas grain (0),non
basin blanc de 11 aunes,Pas grain (0),non
basin blanc de fil,Pas grain (0),non
basin brodé,,non
basin brodé de soie,Pas grain (0),non
basin brodé de soie et d'or,Pas grain (0),non
basin clair mêlé de coton,Pas grain (0),non
basin commun,Pas grain (0),non
"basin de Bruges écru en pièce de 11,5 aunes",Pas grain (0),non
basin de coton et basin de fil,Pas grain (0),non
basin de coton et Nankin de coton,Pas grain (0),oui
basin de coton et Nankin de coton et toile de coton,Pas grain (0),oui
basin de fil,Pas grain (0),non
basin de fil et de coton,Pas grain (0),non
basin de lin,,non
basin de lin peint,,non
basin de Rouen,Pas grain (0),non
basin de soie,Pas grain (0),non
basin de Troyes,Pas grain (0),non
basin des Indes,Pas grain (0),non
basin en aunes,Pas grain (0),non
basin et Nakin,Pas grain (0),oui
basin et Nankin,,non
basin peint,Pas grain (0),non
basin pièces de 11 aunes,Pas grain (0),non
basin pièces de 15 aunes,Pas grain (0),non
basin rayé,Pas grain (0),non
basin tout coton,Pas grain (0),non
basin uni et Nankin uni,,non
basse,Pas grain (0),non
basse de viole,Pas grain (0),non
basse et bassons,Pas grain (0),non
basse et chapeaux chinois,,non
bassin à barbe,Pas grain (0),non
bassin d'étain,Pas grain (0),non
bassin de barbe,Pas grain (0),non
bassin de cuivre,Pas grain (0),non
bassin de cuivre jaune,Pas grain (0),non
bassin de cuivre jaune et chaudron de cuivre jaune,Pas grain (0),non
bassin de fer,Pas grain (0),non
bassin de marbre,Pas grain (0),non
bassines de cuivre,Pas grain (0),non
bassons,Pas grain (0),non
bassons clarinettes,,non
bast et écorce d'arbre et foularde,Pas grain (0),non
batanomes,Pas grain (0),non
batanony,Pas grain (0),non
bâtardes,Pas grain (0),non
batavia,Pas grain (0),non
bateaux,Pas grain (0),non
bateaux à pêcher,Pas grain (0),non
bateaux neufs,Pas grain (0),non
bâtiments de mer,Pas grain (0),non
bâtiments de mer et apparaux,Pas grain (0),oui
bâtiments de mer vieux,,non
batiste,Pas grain (0),non
batiste blanche,Pas grain (0),non
batiste de fil,,non
batiste de lin,,non
batiste de lin et linon de lin,Pas grain (0),non
batiste écrue,Pas grain (0),non
batiste et fine,Pas grain (0),oui
batiste et linog,Pas grain (0),non
batiste et linon,Pas grain (0),non
batiste et linon de chanvre,,non
batiste et linon de chanvre et de lin,,non
batiste fine,Pas grain (0),non
batiste grise,Pas grain (0),non
batiste Lorient,,non
batonge de bois,Pas grain (0),non
bâtons,Pas grain (0),non
bâtons à chandelle,Pas grain (0),non
bâtons à étendre le linge,Pas grain (0),non
bâtons à faire cercles,Pas grain (0),non
bâtons à gaffes,Pas grain (0),non
bâtons à lave-place,Pas grain (0),non
bâtons à pinceaux,Pas grain (0),non
bâtons d'éventails d'ivoire,Pas grain (0),non
bâtons de bois,Pas grain (0),non
bâtons de bois peints,,non
bâtons de bois vernis,,non
bâtons de brosses à goudronner,Pas grain (0),non
bâtons de cap,Pas grain (0),non
bâtons de colliers,Pas grain (0),non
bâtons de fer,Pas grain (0),non
bâtons de gabares,Pas grain (0),non
bâtons de gabares de 14 à 16 pieds,Pas grain (0),non
bâtons de gaffe,,non
bâtons de pompes,Pas grain (0),non
bâtons de sapin,Pas grain (0),non
bâtons de sapin de 4 pieds de long,Pas grain (0),non
bâtons peints,Pas grain (0),non
bâtons vernis,Pas grain (0),non
bâts,Pas grain (0),non
bâts à matelas,Pas grain (0),non
bâts d'ânes,Pas grain (0),non
bâts de chevaux,Pas grain (0),non
bâts de mulets,Pas grain (0),non
batterie d'airain,Pas grain (0),non
batterie de cuisine,Pas grain (0),non
batterie de cuivre,Pas grain (0),non
batterie de cuivre à cuisine,Pas grain (0),non
batterie de cuivre de fuine,Pas grain (0),non
batterie de fer,Pas grain (0),non
batterie de fer à cuisine,Pas grain (0),non
batterie de fer-blanc,Pas grain (0),non
battes à fer,Pas grain (0),non
battoirs,Pas grain (0),non
battoirs à lessive,Pas grain (0),non
baudriers,Pas grain (0),non
baudriers de cuir,Pas grain (0),non
baule,,non
baumanes,Pas grain (0),non
baume,Pas grain (0),non
baume de benjoin,Pas grain (0),non
baume de Copahu,Pas grain (0),non
baume de Copahu et du Pérou,,non
baume de l'Amérique,Pas grain (0),non
baume de la Mecque,Pas grain (0),non
baume de storax liquide et en pain,,non
baume de storax naturel,Pas grain (0),non
baume de storax préparé,,non
baume de storax préparé en grains,Pas grain (0),non
baume de storax préparé liquide,Pas grain (0),non
baume de Sucre,Pas grain (0),non
baume de Tolu,,non
baume de vie,Pas grain (0),non
baume du Canada,Pas grain (0),non
baume du Levant,,non
baume du Pérou,Pas grain (0),non
baume et élixir,Pas grain (0),non
baume et sucs d'espèces particulières,,non
baume laque,Pas grain (0),non
baume noir,Pas grain (0),non
baume rouge,Pas grain (0),non
bavette,Pas grain (0),non
bavoirs,Pas grain (0),non
bayette,Pas grain (0),non
bayette blanche,Pas grain (0),non
bayette blanche aune,Pas grain (0),non
bayette bleue,Pas grain (0),non
bayette bleue et rouge,Pas grain (0),non
bayette de Beauvais,Pas grain (0),non
bayette de prise,Pas grain (0),non
bayette des Indes,Pas grain (0),non
bayette grosse,Pas grain (0),non
bayette teinte,Pas grain (0),non
bayette teinte aune,Pas grain (0),non
bayoulen,Pas grain (0),non
bazzitte,Pas grain (0),non
bdellium,Pas grain (0),non
beau vert broyé,Pas grain (0),non
beaudeaux,Pas grain (0),non
beaupré,Pas grain (0),non
bécasses,Pas grain (0),non
bécassines,Pas grain (0),non
becfigues marinés,Pas grain (0),non
bêches,Pas grain (0),non
beige,Pas grain (0),non
béliers brebis et moutons communs,,non
béliers mérinos,,non
béliers mérinos et métis,,non
belinge,Pas grain (0),non
bem ???,Pas grain (0),non
bem à voile,Pas grain (0),non
bem de Vimoutiers,Pas grain (0),non
benblanc,Pas grain (0),non
benfletins,,non
bénitier de marbre,Pas grain (0),non
bénitier de marbre pesant 250 livres,,non
benjoin,Pas grain (0),non
benjoin du Levant,Pas grain (0),non
bennes,Pas grain (0),non
bennes vides,Pas grain (0),non
berce de fer et lit de fer,Pas grain (0),non
berceau d'enfant,Pas grain (0),non
berceau d'osier,Pas grain (0),non
bergamote,,non
bergamotes,Pas grain (0),non
bergamotes fraîches,Pas grain (0),non
bergamotes ouvrées,,non
Bergopzoom,Pas grain (0),non
Bergopzoom aune,Pas grain (0),non
berline,Pas grain (0),non
berline et harnais,Pas grain (0),non
berline garnie de velours,Pas grain (0),non
berline garnie de velours et crêpine d'or et harnais riche,Pas grain (0),non
berline vieille,Pas grain (0),non
bernes,Pas grain (0),non
bernes de laine,Pas grain (0),non
bernes ou tapsel,Pas grain (0),non
besnes,,non
bestiaux,Pas grain (0),non
bestiaux et bêtes de somme,Pas grain (0),non
bêtes de somme,Pas grain (0),non
bêtes de somme et bœuf,,non
bêtes de somme et poulains,,non
bêtes principalement en mules et mulets,Pas grain (0),non
bétilles,Pas grain (0),non
bétilles des Indes,Pas grain (0),non
betteraves,Pas grain (0),non
beunne,,non
beurre,Pas grain (0),non
beurre commun,Pas grain (0),non
beurre d'Angleterre,Pas grain (0),non
beurre d'Irlande,Pas grain (0),non
beurre d'Irlande non comestible,Pas grain (0),non
beurre d'Irlande salé,Pas grain (0),non
beurre de cacao,Pas grain (0),non
beurre de Dixmude,Pas grain (0),non
beurre du pays,Pas grain (0),non
beurre du pays salé,Pas grain (0),non
beurre fondu,Pas grain (0),non
beurre frais,Pas grain (0),non
beurre frais ou fondu,,non
beurre frais ou fondu ou salé,,non
beurre salé,Pas grain (0),non
beurreterie en bar de fil blanc,Pas grain (0),non
beurrière,Pas grain (0),non
bezoar,Pas grain (0),non
bezoar du Ponent,Pas grain (0),non
bibelots et mercerie,,non
bibliothèque,Pas grain (0),non
bidets,Pas grain (0),non
bidets de faïence,Pas grain (0),non
bidets de faïence avec leurs pieds de bois,Pas grain (0),non
bidets de faïence et leurs pièces,Pas grain (0),non
bière,Pas grain (0),non
bière aigre,Pas grain (0),non
bière blanche,Pas grain (0),non
bière cidre et vinaigre,Pas grain (0),non
bière commune du pays,Pas grain (0),non
bière d'Angleterre,Pas grain (0),non
bière d'Hoegaarden,Pas grain (0),non
bière de Hollande,Pas grain (0),non
bière de Hollande et d'Angleterre,Pas grain (0),non
bière de Liège,Pas grain (0),non
bière de Lübeck,Pas grain (0),non
bière de Lübeck pour médecine,Pas grain (0),non
bière dite juypenbier,Pas grain (0),non
bière dite lumay,Pas grain (0),non
bière en bouteille,Pas grain (0),non
bière en muid,Pas grain (0),non
bière et cidre,Pas grain (0),non
bière et cidre et vinaigre,Pas grain (0),non
bière forte,Pas grain (0),non
bière médicinale de Lübeck,,non
bière vétérinaire,,non
bigarade,Pas grain (0),non
bigarade fraîche,Pas grain (0),non
bignes,,non
bigons,Pas grain (0),non
bigous,,non
bigues,Pas grain (0),non
bijouterie,Pas grain (0),non
bijouterie d'argent,,non
bijouterie d'argent autre qu'ornée en perles fines ou pierres,,non
bijouterie d'argent ornée en perles fines ou pierres,,non
bijouterie d'or,,non
bijouterie d'or autre qu'ornée en perles fines ou pierres,,non
bijouterie d'or ornée en perles fines ou pierres,,non
bijouterie en argent,,non
bijouterie et mercerie,,non
bijouterie et perles fines,Pas grain (0),non
bijouterie fine,Pas grain (0),non
bijouterie fine fausse en pierres faite métal,Pas grain (0),non
bijouterie pour montres d'argent,Pas grain (0),non
bijoux d'or,,non
bilardeaux,Pas grain (0),non
billard,Pas grain (0),non
billard vieux,Pas grain (0),non
billes d'ivoire,Pas grain (0),non
billes de bois,Pas grain (0),non
billes de bois de gaiac,Pas grain (0),oui
billes de bois de gaïac,,non
billes de bois marbré,Pas grain (0),non
billes de bois pour meuble,Pas grain (0),non
billets de parchemin,Pas grain (0),non
billons,Pas grain (0),non
billons de bois,,non
billons de bois blanc,Pas grain (0),non
billons de bois petits,Pas grain (0),non
billons de pin,,non
billons de sapin,,non
billons et bois blanc,,non
billots,Pas grain (0),non
billots de chêne pour merrain,Pas grain (0),non
billots de pin,,non
billots de sapin,Pas grain (0),non
billots de sapin de 20 pieds,,non
billots de sapin de 30 à 35 pieds,,non
billots pour merrain,Pas grain (0),non
bimbeloterie,Pas grain (0),non
binages à pousser,Pas grain (0),non
birampots,,non
birampots bleu,Pas grain (0),non
birampots des Indes,,non
biscuit,Grains transformés (5),non
biscuit amer,Grains transformés (5),non
biscuit de mer,Grains transformés (5),non
biscuit de mer et pain,,non
biscuit de mer et pâte d'Italie,Grains transformés (5),non
biscuit de munition,Grains transformés (5),non
biscuit et farine et gruau et pâte,Grains transformés (5),non
biscuit sucré,,non
biseaux,,non
bismuth,,non
bitume,Pas grain (0),non
bitume de Judée,Pas grain (0),non
bitume et bitume de Judée,,non
bitume et houille brute,,non
bitume et houille coak,,non
bitume et succin,,non
blagues,Pas grain (0),non
blagues de cuir,Pas grain (0),non
blallst,Pas grain (0),non
blanc,Pas grain (0),non
blanc d'écaille,Pas grain (0),non
blanc d'Espagne,Pas grain (0),non
blanc d'Espagne craie blanche et moulue,Pas grain (0),non
blanc de ???,Pas grain (0),non
blanc de baleine,Pas grain (0),non
blanc de céruse,Pas grain (0),non
blanc de ferax,Pas grain (0),non
blanc de ferux,Pas grain (0),non
blanc de Herps,Pas grain (0),non
blanc de Hollande,,non
blanc de Marne,,non
blanc de Naples,,non
blanc de plomb,Pas grain (0),non
blanc de plomb et térébenthine,Pas grain (0),non
blanc de Troyes,Pas grain (0),non
blanc de Troyes et craie,,non
blanc en chevron,Pas grain (0),non
blanc simple,Pas grain (0),non
blanchette,Pas grain (0),non
blanchissoire,Pas grain (0),non
blanquette,Pas grain (0),non
blé,Froment (1),non
blé avarié,Céréales inférieures (2),non
blé en gerbe,Froment (1),non
blé et autres grains,Céréales inférieures (2),non
bleu,Pas grain (0),non
bleu calaminé,Pas grain (0),non
bleu commun,Pas grain (0),non
bleu d'Allemagne,,non
bleu d'azur,Pas grain (0),non
bleu de Berlin,Pas grain (0),non
bleu de Berlin ou de Prusse,,non
bleu de paille,Pas grain (0),non
bleu de Pierre,Pas grain (0),non
bleu de Prusse,Pas grain (0),non
bleu de Prusse boules et indique,,non
bleu de Prusse et graine jaune,Pas grain (0),non
bleu de Prusse et lazulite,Pas grain (0),non
bleu de Saxe,Pas grain (0),non
bleu de smalt,Pas grain (0),non
bleu en encre,Pas grain (0),non
bleu en pierres,Pas grain (0),non
bleu et vert minéral ou de montagne,,non
bleu fin,Pas grain (0),non
bleu foncé,Pas grain (0),non
bleu ordinaire,Pas grain (0),non
bleu ou tournesol,Pas grain (0),non
Blicourt écarlate,Pas grain (0),non
blocs,Pas grain (0),non
blocs de cuivre jaune,Pas grain (0),non
blocs de jonc,Pas grain (0),oui
blonde,Pas grain (0),non
blonde d'argent,Pas grain (0),non
blonde d'or,Pas grain (0),non
blonde de fil,Pas grain (0),non
blonde de soie,Pas grain (0),non
blonde or et argent,Pas grain (0),non
blonde visage,Pas grain (0),non
