product_simplification,product_sitc_FR,observations_total,années_observées,product_new_classification_revised
toile peinte et teinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,6,1,Toileries diverses
toile cirée,Autres filés ou tissés mélangés de fibres végétales dont toiles,5,1,Toileries diverses
toile de basin et de coutil,Autres filés ou tissés mélangés de fibres végétales dont toiles,5,1,Toileries diverses
toile de coton et de lin,Autres filés ou tissés mélangés de fibres végétales dont toiles,5,1,Toileries diverses
toile imprimée et de fil et peinte et teinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,4,1,Toileries diverses
toile gommée et treillis,Autres filés ou tissés mélangés de fibres végétales dont toiles,3,1,Toileries diverses
verdet,Produits chimiques transformés n.d.a.,393,26,Verdet
verdes,Autres produits alimentaires et animaux,22,2,Verdet
vernis préparés,Produits chimiques transformés n.d.a.,21,2,Substances et produits chimiques
verres cassés,Matières brutes non-comestibles non transformées n.d.a.,1,1,Verres cassés
vin de liqueurs,Boissons et tabac,337,28,Vin de liqueurs
vin divers,Boissons et tabac,467,26,Vins divers
vin de Bordeaux,Boissons et tabac,214,25,Vins divers
vin,Boissons et tabac,226,20,Vins divers
vin ordinaire,Boissons et tabac,62,3,Vins divers
vin de Bordeaux ordinaire,Boissons et tabac,41,3,Vins divers
vin fin,Boissons et tabac,39,2,Vins divers
vin en bouteilles de Bordeaux fin,Boissons et tabac,25,2,Vins divers
vin commun,Boissons et tabac,20,1,Vins divers
vin fin en bouteilles,Boissons et tabac,20,1,Vins divers
vin de Bordeaux fin,Boissons et tabac,13,1,Vins divers
vin ordinaire divers,Boissons et tabac,12,1,Vins divers
voitures,Machines et moyens de transport y compris sellerie,81,6,Voitures
voitures étrangères,Machines et moyens de transport y compris sellerie,3,3,Voitures
zinc,"Métaux, produits métalliques et outils",30,5,Métaux divers et mélangés
zinc pour fabriquer le laiton,"Métaux, produits métalliques et outils",11,2,Métaux divers et mélangés
