simplification_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
sabliers en compas,3,not raw cotton,non,549530
sablon,1,not raw cotton,non,549530
sabots,75,not raw cotton,non,549530
sabots de bœuf,57,not raw cotton,non,549530
sabots de bois,6,not raw cotton,non,549530
sabots et selles de bois,2,not raw cotton,non,549530
sabres,104,not raw cotton,non,549530
sabres de traite,14,not raw cotton,non,549530
sabres de traite et autres,2,not raw cotton,non,549530
sabres et baïonnettes,1,not raw cotton,non,549530
sabres fins,1,not raw cotton,non,549530
sabres garnis d'argent,1,not raw cotton,non,549530
sabres montés en cuivre doré,1,not raw cotton,non,549530
sabres ordinaires,2,not raw cotton,non,549530
sachets,11,not raw cotton,non,549530
sachets d'odeur,3,not raw cotton,non,549530
sacquin,1,not raw cotton,non,549530
sacs,81,not raw cotton,non,549530
sacs à à tabac de cuir,4,not raw cotton,non,549530
sacs à café,18,not raw cotton,non,549530
sacs à café neufs,2,not raw cotton,non,549530
sacs à café vides,1,not raw cotton,non,549530
sacs à café vieux,3,not raw cotton,non,549530
sacs à poudre neufs,1,not raw cotton,non,549530
sacs ayant servi et de toile,1,not raw cotton,non,549530
sacs de bois et cuir,1,not raw cotton,non,549530
sacs de lin,1,not raw cotton,non,549530
sacs de peau d'ours,1,not raw cotton,non,549530
sacs de poluard,1,not raw cotton,non,549530
sacs de toile,51,not raw cotton,non,549530
sacs de toile de halle,1,not raw cotton,non,549530
sacs de toile vides,3,not raw cotton,non,549530
sacs de toile vieux,4,not raw cotton,non,549530
sacs en paquets,1,not raw cotton,non,549530
sacs en toile de chanvre,2,not raw cotton,non,549530
sacs gros,1,not raw cotton,non,549530
sacs vides,1,not raw cotton,non,549530
sacs vieux,5,not raw cotton,non,549530
saffle,35,not raw cotton,non,549530
saffreau,1,not raw cotton,non,549530
safisaigne,1,not raw cotton,non,549530
safran,1159,not raw cotton,non,549530
safran d'Espagne,1,not raw cotton,non,549530
safran de Gâtinais,2,not raw cotton,non,549530
safran du Gâtinais,14,not raw cotton,non,549530
safran orange,1,not raw cotton,non,549530
safranum,581,not raw cotton,non,549530
safranum et tournesol,7,not raw cotton,non,549530
sagapenum,6,not raw cotton,non,549530
sagati,3,not raw cotton,non,549530
sagati de laine,9,not raw cotton,non,549530
sagne,14,not raw cotton,non,549530
sagon,2,not raw cotton,non,549530
sagou,37,not raw cotton,non,549530
sagou des Indes,2,not raw cotton,non,549530
sagre,2,not raw cotton,non,549530
saigne,5,not raw cotton,non,549530
sailphre,1,not raw cotton,non,549530
sain,4,not raw cotton,non,549530
saindoux,58,not raw cotton,non,549530
saisie de fer,1,not raw cotton,non,549530
salage,3,not raw cotton,non,549530
salaisons,10,not raw cotton,non,549530
salamouris,1,not raw cotton,non,549530
salemporis,180,not raw cotton,non,549530
salemporis blanc,38,not raw cotton,non,549530
salemporis blanc et bleu,2,not raw cotton,non,549530
salemporis bleu,51,not raw cotton,non,549530
salemporis bleu et rouge,2,not raw cotton,non,549530
salemporis commun,2,not raw cotton,non,549530
salemporis rouge,1,not raw cotton,non,549530
salep,5,not raw cotton,non,549530
salicore,150,not raw cotton,non,549530
salicore brûlé,1,not raw cotton,non,549530
salière,1,not raw cotton,non,549530
salière de cristal,4,not raw cotton,non,549530
salins,4,not raw cotton,non,549530
salins pour verrerie,1,not raw cotton,non,549530
saloir,1,not raw cotton,non,549530
saloirs de bois,1,not raw cotton,non,549530
salpêtre,198,not raw cotton,non,549530
salpêtre brut,5,not raw cotton,non,549530
salpêtre cru,1,not raw cotton,non,549530
salpêtre des Indes,6,not raw cotton,non,549530
salpêtre et soufre,115,not raw cotton,non,549530
salpêtre raffiné,1,not raw cotton,non,549530
salsepareille,839,not raw cotton,non,549530
salsola,1,not raw cotton,non,549530
sanas,14,not raw cotton,non,549530
sanas blanc,3,not raw cotton,non,549530
sanctuaire,1,not raw cotton,non,549530
sandale,5,not raw cotton,non,549530
sandance,1,not raw cotton,non,549530
sandarac,75,not raw cotton,non,549530
sang,1,not raw cotton,non,549530
sang de bétail,1,not raw cotton,non,549530
sang de bouc,1,not raw cotton,non,549530
sang de bouc desséché,1,not raw cotton,non,549530
sang de boudin,1,,non,4126
sang de bouquetin,2,not raw cotton,non,549530
sang de dragon,106,not raw cotton,non,549530
sang de dragon commun,1,not raw cotton,non,549530
sang de dragon en larmes,1,not raw cotton,non,549530
sang de dragon fin,4,not raw cotton,non,549530
sangles,44,not raw cotton,non,549530
sangles de chanvre,1,not raw cotton,non,549530
sangles de cheval,1,,non,4126
sangles de corde,1,not raw cotton,non,549530
sangles pour malets,1,not raw cotton,non,549530
sanglier,1,not raw cotton,non,549530
sangsues,62,not raw cotton,non,549530
sangsues et vipères,3,not raw cotton,non,549530
sanguine,89,not raw cotton,non,549530
sanitaires,3,not raw cotton,non,549530
sapan,1,not raw cotton,non,549530
sapeline,1,not raw cotton,non,549530
saphirs taillés,1,not raw cotton,non,549530
sapien violet,1,not raw cotton,non,549530
sapin,33,not raw cotton,non,549530
sapin à bâtir,1,not raw cotton,non,549530
sapin à faire aviron,1,not raw cotton,non,549530
sapin à faire chevrons,1,not raw cotton,non,549530
sapin à faire comble,22,not raw cotton,non,549530
sapin à faire échelles,41,not raw cotton,non,549530
sapin à faire escabelle,3,not raw cotton,non,549530
sapin à faire gaffe,27,not raw cotton,non,549530
sapin à faire manches de pioches,1,not raw cotton,non,549530
sapin à pioches,32,not raw cotton,non,549530
sapin anspects,1,not raw cotton,non,549530
sapin comble,3,not raw cotton,non,549530
sapin en bloc,1,not raw cotton,non,549530
sapin petit,2,not raw cotton,non,549530
saquins,3,not raw cotton,non,549530
sarcelé,1,not raw cotton,non,549530
sarcelles,1,not raw cotton,non,549530
sardes,1,not raw cotton,non,549530
sardi de laine,1,not raw cotton,non,549530
sardinals,2,not raw cotton,non,549530
sardines,229,not raw cotton,non,549530
sardines à l'huile,5,not raw cotton,non,549530
sardines apprêtées,3,not raw cotton,non,549530
sardines confites,5,not raw cotton,non,549530
sardines confites au vinaigre,1,not raw cotton,non,549530
sardines confites dans l'huile,4,not raw cotton,non,549530
sardines en saumure,1,not raw cotton,non,549530
sardines fraîches,11,not raw cotton,non,549530
sardines marinées et salées,3,not raw cotton,non,549530
sardines pressées,23,not raw cotton,non,549530
sardines pressées et salées,3,not raw cotton,non,549530
sardines salées,227,not raw cotton,non,549530
sareaux de toile,1,not raw cotton,non,549530
sarrions d'espars,2,not raw cotton,non,549530
sassafras,132,not raw cotton,non,549530
sasses,23,not raw cotton,non,549530
satin,121,not raw cotton,non,549530
satin à fleurs,2,not raw cotton,non,549530
satin blanc,2,,non,4126
satin blanc uni,0,not raw cotton,oui,549530
satin broché,3,not raw cotton,non,549530
satin broché en or,1,not raw cotton,non,549530
satin brodé,7,not raw cotton,non,549530
satin brodé couleur de paille,1,not raw cotton,non,549530
satin brodé de la Chine,1,not raw cotton,non,549530
satin brodé en or,1,not raw cotton,non,549530
satin brodé en soie de couleur,2,not raw cotton,non,549530
satin brodé en soie et or,2,not raw cotton,non,549530
satin brodé lit complet,1,not raw cotton,non,549530
satin brodé morceaux,1,not raw cotton,non,549530
satin brodé tapis,1,not raw cotton,non,549530
satin brodé toilette,1,not raw cotton,non,549530
satin de Chine,1,not raw cotton,non,549530
satin de Florence,1,not raw cotton,non,549530
satin de Florence et de Gênes,1,not raw cotton,non,549530
satin de laine,3,not raw cotton,non,549530
satin de laine de Roubaix,2,not raw cotton,non,549530
satin de laine et serge,1,not raw cotton,non,549530
satin de laine turc,17,not raw cotton,non,549530
satin de laine turc et serge,1,not raw cotton,non,549530
satin de retour faute de vente,1,not raw cotton,non,549530
satin de soie,57,not raw cotton,non,549530
satin des Indes,3,not raw cotton,non,549530
satin fil,2,,non,4126
satin gris,1,not raw cotton,non,549530
satin noir,1,not raw cotton,non,549530
satin pur coton,2,not raw cotton,non,549530
satin pur soie,1,not raw cotton,non,549530
satin rayé,10,not raw cotton,non,549530
satin soie en fil,1,not raw cotton,non,549530
satin soie et coton,1,not raw cotton,non,549530
satin soie et fil,2,not raw cotton,non,549530
satin turc,9,not raw cotton,non,549530
satin uni,12,not raw cotton,non,549530
satin uni et rayé,1,not raw cotton,non,549530
satinade,4,not raw cotton,non,549530
satinette,5,not raw cotton,non,549530
satinette de coton,1,not raw cotton,non,549530
satinette de laine,3,not raw cotton,non,549530
satissoie,1,not raw cotton,non,549530
satte,1,not raw cotton,non,549530
Saturne en extrait,1,not raw cotton,non,549530
saucisses,20,not raw cotton,non,549530
saucisses de Boulogne,1,not raw cotton,non,549530
saucissons,421,not raw cotton,non,549530
saucissons salés,16,not raw cotton,non,549530
saude,1,not raw cotton,non,549530
sauge,2,not raw cotton,non,549530
saule de fer,2,not raw cotton,non,549530
saulx,2,not raw cotton,non,549530
saumon,44,not raw cotton,non,549530
saumon d'Écosse,4,not raw cotton,non,549530
saumon en daube,1,not raw cotton,non,549530
saumon frais,105,not raw cotton,non,549530
saumon fumé,69,not raw cotton,non,549530
saumon madré,1,not raw cotton,non,549530
saumon mariné,5,not raw cotton,non,549530
saumon mariné et salé,18,not raw cotton,non,549530
saumon salé,932,not raw cotton,non,549530
saumon salé et mariné,1,not raw cotton,non,549530
saumon salé et séché,5,not raw cotton,non,549530
saumon sec,1,not raw cotton,non,549530
saumonée,4,not raw cotton,non,549530
saumure,103,not raw cotton,non,549530
saumure salée,1,not raw cotton,non,549530
sauphas,1,not raw cotton,non,549530
saur,1,not raw cotton,non,549530
sauvagines,1,not raw cotton,non,549530
savine,2,not raw cotton,non,549530
savoine languine,1,not raw cotton,non,549530
savon,1962,not raw cotton,non,549530
savon blanc,90,not raw cotton,non,549530
savon blanc et marbré,1,not raw cotton,non,549530
savon blanc noir rouge marbré,2,not raw cotton,non,549530
savon d'Alicante,23,not raw cotton,non,549530
savon d'Espagne,1,not raw cotton,non,549530
savon de Gênes,1,not raw cotton,non,549530
savon de Marseille,18,not raw cotton,non,549530
savon de retour,1,not raw cotton,non,549530
savon de terre,1,not raw cotton,non,549530
savon et pruneaux,1,not raw cotton,non,549530
savon et sirop de sucre,1,,non,4126
savon et sucre,1,not raw cotton,non,549530
savon et verdet,1,not raw cotton,non,549530
savon gras,2,not raw cotton,non,549530
savon madré,82,not raw cotton,non,549530
savon marbré,250,not raw cotton,non,549530
savon mol,4,not raw cotton,non,549530
savon noir,94,not raw cotton,non,549530
savon vert,2,not raw cotton,non,549530
savonnettes,378,not raw cotton,non,549530
savonnettes de senteur,13,not raw cotton,non,549530
sayessa,3,not raw cotton,non,549530
sayne,14,not raw cotton,non,549530
scammonée,190,not raw cotton,non,549530
scapa,1,not raw cotton,non,549530
scaps,4,not raw cotton,non,549530
schakos,2,not raw cotton,non,549530
schakos garnis,2,not raw cotton,non,549530
schakos sans garniture,2,not raw cotton,non,549530
scielle,1,not raw cotton,non,549530
scies,112,not raw cotton,non,549530
scies à moulu,1,not raw cotton,non,549530
scies communes,4,not raw cotton,non,549530
scies de fer,21,not raw cotton,non,549530
scies de long,1,,non,4126
scies fines,4,not raw cotton,non,549530
scies pour la Compagnie des Indes,1,not raw cotton,non,549530
scille maritime,1,not raw cotton,non,549530
scinque,1,not raw cotton,non,549530
scortins d'auf,1,not raw cotton,non,549530
sculptures,11,not raw cotton,non,549530
seaux,7,not raw cotton,non,549530
seaux à l'eau,1,not raw cotton,non,549530
seaux à l'eau de sapin,1,not raw cotton,non,549530
seaux cerclés de fer,2,not raw cotton,non,549530
seaux d'eau,1,,non,4126
seaux de bois,73,not raw cotton,non,549530
seaux de bois ferré,1,not raw cotton,non,549530
seaux de cuir,7,not raw cotton,non,549530
seaux de faïence,1,not raw cotton,non,549530
seaux de fer-blanc,1,not raw cotton,non,549530
seaux de sapin,8,not raw cotton,non,549530
seaux de veau,1,not raw cotton,non,549530
seaux de verre,1,not raw cotton,non,549530
seaux de vin,1,not raw cotton,non,549530
seaux ferrés,1,not raw cotton,non,549530
sébeste,49,not raw cotton,non,549530
secrétaire,6,not raw cotton,non,549530
secrétaire d'acajou,4,not raw cotton,non,549530
secrétaire de noyer,2,not raw cotton,non,549530
sege de Saint-Louis,2,not raw cotton,non,549530
segrin,1,not raw cotton,non,549530
seigle,1,not raw cotton,non,549530
seil de bois,2,not raw cotton,non,549530
seil de grain,3,not raw cotton,non,549530
sel,1667,not raw cotton,non,549530
sel ammonisé,4,not raw cotton,non,549530
sel antarctique,8,not raw cotton,non,549530
sel arctique,2,not raw cotton,non,549530
sel blanc,13,not raw cotton,non,549530
sel blanc pour la pêche,2,not raw cotton,non,549530
sel chimique,296,not raw cotton,non,549530
sel chimique de Glauber,4,not raw cotton,non,549530
sel chimique de lait,2,not raw cotton,non,549530
sel chimique de nitre,2,not raw cotton,non,549530
sel chimique gemme,5,not raw cotton,non,549530
sel commun,1,not raw cotton,non,549530
sel composé,3,not raw cotton,non,549530
sel d'absinthe (alsem),3,not raw cotton,non,549530
sel d'alsem,1,not raw cotton,non,549530
sel d'ammoniac,421,not raw cotton,non,549530
sel d'ammoniac brut ou en poudre,20,not raw cotton,non,549530
sel d'ammoniac raffiné,25,not raw cotton,non,549530
sel d'Angleterre,11,not raw cotton,non,549530
sel d'antimoine,2,not raw cotton,non,549530
sel d'Epsom,208,not raw cotton,non,549530
sel d'Epsom et Glauber,1,not raw cotton,non,549530
sel d'Espagne,5,not raw cotton,non,549530
sel d'étain,1,not raw cotton,non,549530
sel d'Oléron,42,not raw cotton,non,549530
sel d'Oléron de Ré,1,not raw cotton,non,549530
sel d'Olonne,2,not raw cotton,non,549530
sel d'opium,7,not raw cotton,non,549530
sel d'oseille,10,not raw cotton,non,549530
sel de,1,not raw cotton,non,549530
sel de baryte,1,not raw cotton,non,549530
sel de boue,1,not raw cotton,non,549530
sel de Bourgneuf,151,not raw cotton,non,549530
sel de Bretagne,1,not raw cotton,non,549530
sel de carabé,1,not raw cotton,non,549530
sel de chimie,1,not raw cotton,non,549530
sel de corne de cerf,1,not raw cotton,non,549530
sel de fat ???,1,not raw cotton,non,549530
sel de Franche-Comté,1,not raw cotton,non,549530
sel de Glauber,59,not raw cotton,non,549530
sel de gruau,3,not raw cotton,non,549530
sel de grum,2,not raw cotton,non,549530
sel de lait,13,not raw cotton,non,549530
sel de Lorraine,1,not raw cotton,non,549530
sel de marais,2,not raw cotton,non,549530
sel de Marennes,21,not raw cotton,non,549530
sel de mer,20,not raw cotton,non,549530
sel de mer et de salins,35,not raw cotton,non,549530
sel de nitre,9,not raw cotton,non,549530
sel de paume,2,not raw cotton,non,549530
sel de plomb,1,not raw cotton,non,549530
sel de potasse,4,not raw cotton,non,549530
sel de prunelle,2,not raw cotton,non,549530
sel de Prusse,1,not raw cotton,non,549530
sel de Ré,111,not raw cotton,non,549530
sel de roche,4,not raw cotton,non,549530
sel de Rocq,1,not raw cotton,non,549530
sel de Saint-Gilles,1,not raw cotton,non,549530
sel de Saint-Hubert ou du Portugal,1,not raw cotton,non,549530
sel de samoine,2,not raw cotton,non,549530
sel de Saturne,249,not raw cotton,non,549530
sel de Saturne et autres,7,not raw cotton,non,549530
sel de sauvene,5,not raw cotton,non,549530
sel de Seignette,3,not raw cotton,non,549530
sel de Seignette policreste et Glauber,1,not raw cotton,non,549530
sel de tamarin,17,not raw cotton,non,549530
sel de tartaric,1,not raw cotton,non,549530
sel de tartre,8,not raw cotton,non,549530
sel de tartre émétique,1,not raw cotton,non,549530
sel de verre,14,not raw cotton,non,549530
sel de vitriol,2,not raw cotton,non,549530
sel des mines anglaises,1,not raw cotton,non,549530
sel des prises,3,not raw cotton,non,549530
sel des sables d'Olonne,1,not raw cotton,non,549530
sel dit beggere,1,not raw cotton,non,549530
sel du Croisic,205,not raw cotton,non,549530
sel du Poulinguen,53,not raw cotton,non,549530
sel émétique,1,not raw cotton,non,549530
sel en boue,1,not raw cotton,non,549530
sel en gomme,1,not raw cotton,non,549530
sel en grabeau,1,not raw cotton,non,549530
sel en grain,4,not raw cotton,non,549530
sel en pain,1,not raw cotton,non,549530
sel gemme,40,not raw cotton,non,549530
sel Glauber,6,not raw cotton,non,549530
sel gris,4,not raw cotton,non,549530
sel gruau,1,not raw cotton,non,549530
sel grum,10,not raw cotton,non,549530
sel marin de marais,5,not raw cotton,non,549530
sel marin gemme,3,not raw cotton,non,549530
sel médicinal,48,not raw cotton,non,549530
sel médicinal divers,4,not raw cotton,non,549530
sel minéral,11,not raw cotton,non,549530
sel misay,1,not raw cotton,non,549530
sel mistry,22,not raw cotton,non,549530
sel ordinaire,32,not raw cotton,non,549530
sel oxalate aide de potasse (sel d'oseille),1,not raw cotton,non,549530
sel peccain,2,not raw cotton,non,549530
sel policreste,1,,non,4126
sel policreste et d'Epsom,1,not raw cotton,non,549530
sel pour la pêche libre,2,not raw cotton,non,549530
sel purgatif,1,not raw cotton,non,549530
sel regerat,1,not raw cotton,non,549530
sel sublimé,2,not raw cotton,non,549530
sel sucsin,3,not raw cotton,non,549530
sel sulfates de soude,32,not raw cotton,non,549530
sel teint,1,not raw cotton,non,549530
sel végétal,3,not raw cotton,non,549530
sel vieux,2,not raw cotton,non,549530
sel volatil,4,not raw cotton,non,549530
sellerie,40,not raw cotton,non,549530
sellerie commune,1,not raw cotton,non,549530
sellerie de cuir,54,not raw cotton,non,549530
sellerie en harnais,1,not raw cotton,non,549530
selles,112,not raw cotton,non,549530
selles avec leurs harnais,1,,non,4126
selles communes,7,not raw cotton,non,549530
selles de bois,3,not raw cotton,non,549530
selles de cuir,1,not raw cotton,non,549530
selles de femme,2,not raw cotton,non,549530
selles de fer,1,not raw cotton,non,549530
selles de maître,1,not raw cotton,non,549530
selles de poste,1,not raw cotton,non,549530
selles de sapin,2,not raw cotton,non,549530
selles de velours,109,not raw cotton,non,549530
selles garnies de velours,1,not raw cotton,non,549530
selles neuves,1,not raw cotton,non,549530
selles vieilles,2,not raw cotton,non,549530
sellet et télescope,1,not raw cotton,non,549530
selliers,3,not raw cotton,non,549530
semé,6,not raw cotton,non,549530
semelles et talons,1,not raw cotton,non,549530
semen contra,144,not raw cotton,non,549530
semen dacy,3,not raw cotton,non,549530
semence de Caroy,1,not raw cotton,non,549530
semence de perles,1,not raw cotton,non,549530
semence écarlate,1,not raw cotton,non,549530
semence froide,22,not raw cotton,non,549530
semencine,13,not raw cotton,non,549530
semenconna,1,not raw cotton,non,549530
semoirs,1,not raw cotton,non,549530
semoule,95,not raw cotton,non,549530
sempiterne,24,not raw cotton,non,549530
sendaline,2,not raw cotton,non,549530
séné,630,not raw cotton,non,549530
séné en follicule,3,not raw cotton,non,549530
séné en grabeau,20,not raw cotton,non,549530
sénegré,4,not raw cotton,non,549530
sennes,44,not raw cotton,non,549530
senobre,4,not raw cotton,non,549530
sequins,15,not raw cotton,non,549530
sequins par Marseille,1,not raw cotton,non,549530
serains,1,not raw cotton,non,549530
serans,4,not raw cotton,non,549530
serans à peigner,1,not raw cotton,non,549530
serans à peigner le lin,4,not raw cotton,non,549530
séraphine,1,not raw cotton,non,549530
sercliers,1,not raw cotton,non,549530
serge,72,not raw cotton,non,549530
serge ???,8,not raw cotton,non,549530
serge 1/2 Londres,1,not raw cotton,non,549530
serge à doubler,87,not raw cotton,non,549530
serge à doubler et drap,2,,non,4126
serge à doubler et drapée,7,,non,4126
serge à draper,2,,non,4126
serge à fleurs,1,,non,4126
serge aune blanche,1,not raw cotton,non,549530
serge aune commune,1,not raw cotton,non,549530
serge aune commune teinte,1,not raw cotton,non,549530
serge aune d'Angleterre,1,not raw cotton,non,549530
serge aune drapée,1,not raw cotton,non,549530
serge aune teinte,1,not raw cotton,non,549530
serge blanche,1,not raw cotton,non,549530
serge Blicourt,1,not raw cotton,non,549530
serge commune,2,not raw cotton,non,549530
serge commune teinte,1,not raw cotton,non,549530
serge croisée,2,not raw cotton,non,549530
serge croisée de laine,1,not raw cotton,non,549530
serge d'Angleterre,1,not raw cotton,non,549530
serge d'Arnetal,6,not raw cotton,non,549530
serge d'Aumale,30,not raw cotton,non,549530
serge d'Aumale de laine,2,not raw cotton,non,549530
serge d'Aumale imprimée,2,not raw cotton,non,549530
serge de Bruxelles,1,not raw cotton,non,549530
serge de fil et de laine,6,not raw cotton,non,549530
serge de fil et laine,1,not raw cotton,non,549530
serge de laine,776,not raw cotton,non,549530
serge de laine ???,4,not raw cotton,non,549530
serge de laine Blicourt,2,not raw cotton,non,549530
serge de laine d'Aumale,6,not raw cotton,non,549530
serge de laine de Blicourt,9,not raw cotton,non,549530
serge de laine de Rome,1,not raw cotton,non,549530
serge de laine de Rouen,1,not raw cotton,non,549530
serge de laine diverse,6,not raw cotton,non,549530
serge de laine drapée,2,not raw cotton,non,549530
serge de laine et de soie,1,not raw cotton,non,549530
serge de laine étroite,2,not raw cotton,non,549530
serge de laine forte,1,not raw cotton,non,549530
serge de laine imprimée,3,not raw cotton,non,549530
serge de laine large,3,not raw cotton,non,549530
serge de laine Minorque,6,not raw cotton,non,549530
serge de laine noire,1,not raw cotton,non,549530
serge de laine sagati,2,not raw cotton,non,549530
serge de laine voile,6,not raw cotton,non,549530
serge de Lille,27,not raw cotton,non,549530
serge de Londres et autres,8,not raw cotton,non,549530
serge de Montauban,17,not raw cotton,non,549530
serge de Nîmes,1,not raw cotton,non,549530
serge de Nîmes aune,1,not raw cotton,non,549530
serge de Poitou,1,not raw cotton,non,549530
serge de Rome,4,not raw cotton,non,549530
serge de Rouen,1,,non,4126
serge de Saint-Maixent,5,not raw cotton,non,549530
serge de Savoie,2,not raw cotton,non,549530
serge de soie,12,not raw cotton,non,549530
serge des prises,6,not raw cotton,non,549530
serge double,4,not raw cotton,non,549530
serge drap,1,not raw cotton,non,549530
serge drapée,79,not raw cotton,non,549530
serge drapée à doubler,3,,non,4126
serge drapée de laine,1,,non,4126
serge drapée et de laine,5,not raw cotton,non,549530
serge du Languedoc,7,not raw cotton,non,549530
serge du pays,2,not raw cotton,non,549530
serge écarlate,1,,non,4126
serge écarlatine,2,not raw cotton,non,549530
serge et prunelle de laine étroite,3,not raw cotton,non,549530
serge fil et laine,1,not raw cotton,non,549530
serge forte,5,not raw cotton,non,549530
serge imprimée,133,not raw cotton,non,549530
serge imprimée aune,1,not raw cotton,non,549530
serge imprimée d'Aumale,1,,non,4126
serge Minorque,3,not raw cotton,non,549530
serge sergette,1,not raw cotton,non,549530
serge teinte,1,not raw cotton,non,549530
serge verte,1,not raw cotton,non,549530
sergette,10,not raw cotton,non,549530
sergette de laine,4,not raw cotton,non,549530
sergette de Montauban,7,not raw cotton,non,549530
sergette des prises,3,not raw cotton,non,549530
sergette fine,1,not raw cotton,non,549530
sergette Maine,2,not raw cotton,non,549530
serinettes,16,not raw cotton,non,549530
serinettes ouvrées,1,not raw cotton,non,549530
seringues,14,not raw cotton,non,549530
seringues d'étain,19,not raw cotton,non,549530
serpentera virgina,1,not raw cotton,non,549530
serpentin à distiller,1,not raw cotton,non,549530
serpentine,3,not raw cotton,non,549530
serpentine à distiller l'eau-de-vie,1,not raw cotton,non,549530
serpents,1,not raw cotton,non,549530
serpes,12,not raw cotton,non,549530
serpes de fer,6,not raw cotton,non,549530
serra merita,1,not raw cotton,non,549530
serratille,1,not raw cotton,non,549530
serrure de bois,3,not raw cotton,non,549530
serrure de cuivre,2,not raw cotton,non,549530
serrure petite,1,not raw cotton,non,549530
serrures de cuivre,6,not raw cotton,non,549530
serrures de fer,1,not raw cotton,non,549530
serrures pour fossettes,1,not raw cotton,non,549530
service de porcelaine,1,,non,4126
service de tables,1,not raw cotton,non,549530
service de tables argenté et doré et d'osier,1,not raw cotton,non,549530
serviettes,127,not raw cotton,non,549530
serviettes à nappes,1,not raw cotton,non,549530
serviettes communes,6,not raw cotton,non,549530
serviettes d'étoupes,1,not raw cotton,non,549530
serviettes de lin,1,not raw cotton,non,549530
serviettes de table,1,not raw cotton,non,549530
serviettes de toile,2,not raw cotton,non,549530
serviettes de toile de ménage,1,not raw cotton,non,549530
serviettes de toile peinte,1,not raw cotton,non,549530
serviettes découpées,1,not raw cotton,non,549530
serviettes et nappes,1,not raw cotton,non,549530
serviettes et nappes de toile peinte,1,,non,4126
serviettes et nappes des Indes,1,not raw cotton,non,549530
serviettes ouvrées,8,not raw cotton,non,549530
sevan de cuir de Russie,1,not raw cotton,non,549530
Sèvres,1,not raw cotton,non,549530
shetas des Indes,1,not raw cotton,non,549530
siagne,2,not raw cotton,non,549530
siague,1,not raw cotton,non,549530
siamoise,539,not raw cotton,non,549530
siamoise à bouquet de coton,1,not raw cotton,non,549530
siamoise à bouquets de laine de coton et de fil,4,not raw cotton,non,549530
siamoise à bouquets de laine de fil,1,not raw cotton,non,549530
siamoise à fleurs,41,not raw cotton,non,549530
siamoise à fleurs de soie,5,,non,4126
siamoise à peu,0,not raw cotton,oui,549530
siamoise à peu de soie,65,not raw cotton,non,549530
siamoise au quart de soie,2,,non,4126
siamoise au sixième de soie,9,not raw cotton,non,549530
siamoise blanche de coton,1,not raw cotton,non,549530
siamoise blanche de coton et de fil,2,not raw cotton,non,549530
siamoise brochée de coton et de fil,2,not raw cotton,non,549530
siamoise commune,18,not raw cotton,non,549530
siamoise de coton,5,not raw cotton,non,549530
siamoise de coton au quart de soie,1,not raw cotton,non,549530
siamoise de coton au sixième de soie,1,not raw cotton,non,549530
siamoise de coton et de fil,95,not raw cotton,non,549530
siamoise de coton et de fil et imprimée,2,not raw cotton,non,549530
siamoise de coton et de fil et teinte,2,not raw cotton,non,549530
siamoise de coton et de fil imprimée,3,not raw cotton,non,549530
siamoise de coton et de fil unie,4,not raw cotton,non,549530
siamoise de coton et toile de coton peinte,16,not raw cotton,non,549530
siamoise de coton imprimée,5,not raw cotton,non,549530
siamoise de coton teinte,1,not raw cotton,non,549530
siamoise de fil imprimée,1,not raw cotton,non,549530
siamoise de fil peinte,2,not raw cotton,non,549530
siamoise de fil rayée,1,not raw cotton,non,549530
siamoise de fil simple,1,not raw cotton,non,549530
siamoise de fil teinte,2,not raw cotton,non,549530
siamoise de Rouen,8,not raw cotton,non,549530
siamoise de soie,9,not raw cotton,non,549530
siamoise en crin,1,not raw cotton,non,549530
siamoise fil coton,1,not raw cotton,non,549530
siamoise fil de coton,1,not raw cotton,non,549530
siamoise fine,5,not raw cotton,non,549530
siamoise imprimée,9,not raw cotton,non,549530
siamoise teinte,4,not raw cotton,non,549530
sicader,1,not raw cotton,non,549530
sigle vis de laine,1,not raw cotton,non,549530
simarouba,17,not raw cotton,non,549530
simples,1,not raw cotton,non,549530
sinabre,1,not raw cotton,non,549530
siné,1,not raw cotton,non,549530
singalette,1,not raw cotton,non,549530
singe,1,not raw cotton,non,549530
siragondis,1,not raw cotton,non,549530
sirop,271,not raw cotton,non,549530
sirop à boire,2,not raw cotton,non,549530
sirop brut,1,not raw cotton,non,549530
sirop calbasse,1,not raw cotton,non,549530
sirop d'alkermès,109,not raw cotton,non,549530
sirop d'altea,1,not raw cotton,non,549530
sirop d'amont,28,not raw cotton,non,549530
sirop d'amour,3,not raw cotton,non,549530
sirop d'orgeat,8,not raw cotton,non,549530
sirop d'orgeat au fiasque,4,not raw cotton,non,549530
sirop de Calabre,1,not raw cotton,non,549530
sirop de calbasse,2,not raw cotton,non,549530
sirop de capillaire,627,not raw cotton,non,549530
sirop de capillaire et autre composés,1,not raw cotton,non,549530
sirop de capitaine,9,not raw cotton,non,549530
sirop de cédrat,2,not raw cotton,non,549530
sirop de citron,1,not raw cotton,non,549530
sirop de coriandre,1,not raw cotton,non,549530
sirop de framboise,1,not raw cotton,non,549530
sirop de l'étranger,1,not raw cotton,non,549530
sirop de limon,56,not raw cotton,non,549530
sirop de mélasse,782,not raw cotton,non,549530
sirop de mûre,1,not raw cotton,non,549530
