orthographic,nbr_occurences_ortho,simplification,nbr_occurences_simpl
toile en rossière,1,rossière de toile,1
toile en sacs,11,sacs de toile,35
toile en sacs vieux,1,sacs de toile vieux,4
toile en serviettes,2,serviettes de toile,2
toile en siamoise,3,toile de siamoise,130
toile en siamoise à peu de soie,1,siamoise à peu de soie,70
toile en siamoise au sixième de soie,2,toile de siamoise au sixième de soie,2
toile en siamoise fil et coton,1,siamoise de coton et de fil,73
toile entre large,9,toile entre large,9
toile escamitte,4,escamitte,77
toile et bonneterie,1,toile et bonneterie,1
toile et coton en balles,1,coton en balles et toile,1
toile et étoffe de coton,1,étoffe de coton et de toile,1
toile et fil,1,fil et toile,1
toile et laine à bouquets de laine,1,toile et laine à bouquets de laine,1
toile et toile tissée,1,toile tissée,1
toile et treillis lustré aune,1,toile et treillis lustrés,2
toile et treillis lustrés,1,toile et treillis lustrés,2
toile étoilée,1,toile étoilée,1
toile étoupes,1,toile d'étoupes,51
toile étoupes de chanvre,3,toile de chanvre d'étoupes,18
toile étoupes de lin,6,toile étoupes de lin,6
toile étoupière,4,toile étoupière,4
toile étrangère,30,toile étrangère,30
toile étrangère blanche,3,toile blanche étrangère,3
toile étrangère du Piémont,1,toile du Piémont,2
toile étroite,42,toile étroite,42
toile façon de Hollande,3,toile façon de Hollande,3
toile façon de Silésie,1,toile façon de Silésie,1
toile façonnée chemises,1,toile en chemises,1
toile façonnée en sacs,1,toile en sacs,2
toile façonnée serviettes,1,toile en serviettes,1
toile fil de coton,1,toile de fil de coton,12
toile fil diverse,1,toile de fil,15
toile fil en coton,7,toile de fil de coton,12
toile fil en coton rayé,2,toile de coton rayée,22
toile fil en laine,1,toile fil de laine,1
toile fil et coton,136,toile de coton et de fil,217
toile fil et coton à fleurs,9,toile de coton et de fil à fleurs,14
toile fil et coton basin,3,toile de basin de coton et de fil,3
toile fil et coton basin brodé,1,toile de basin brodé et de coton et de fil,1
toile fil et coton basin teint,1,toile de basin de coton et de fil et teinte,1
toile fil et coton claire,2,toile claire de coton et de fil,2
toile fil et coton diverse,7,toile de coton et de fil,217
toile fil et coton en siamoise,3,siamoise de coton et de fil,73
toile fil et coton imprimée,3,toile de coton et de fil imprimée,6
toile fil et coton imprimée siamoise,2,siamoise de coton et de fil imprimée,3
toile fil et coton imprimée unie siamoise,4,siamoise de coton et de fil unie,4
toile fil et coton pour mouchoirs,1,toile de coton et de fil pour mouchoirs,2
toile fil et coton pour mouchoirs aune,1,toile de coton et de fil pour mouchoirs,2
toile fil et coton siamoise,8,siamoise de coton et de fil,73
toile fil et coton siamoise à bouquets de laine,4,siamoise à bouquets de laine de coton et de fil,4
toile fil et coton siamoise brochée,2,siamoise brochée de coton et de fil,2
toile fil et coton siamoise imprimée,1,siamoise de coton et de fil imprimée,3
toile fil et coton teinte,2,toile de coton et de fil teinte,6
toile fil et coton teinté,1,toile de coton et de fil teinte,6
toile fil et laine,3,toile de fil et de laine,3
toile fil et laine à carreaux,1,toile à carreaux de fil et de laine,1
toile fil et soie,1,toile de fil et de soie,1
toile fil siamoise à bouquets de laine,1,siamoise à bouquets de laine de fil,1
toile fil siamoise imprimée,1,siamoise de fil imprimée,1
toile fil siamoise peinte,2,siamoise de fil peinte,2
toile fil siamoise rayée,1,siamoise de fil rayée,1
toile fil siamoise simple,1,siamoise de fil simple,1
toile fil siamoise teinte,2,siamoise de fil teinte,2
toile file et laine de Lille,2,toile de fil et de laine de Lille,2
toile fine,31,toile fine,33
toile fine à commune,1,toile commune et fine,2
toile fine de coton,7,toile de coton fine,8
toile fine de lin,3,toile fine de lin,50
toile fine et commune,1,toile commune et fine,2
toile fine étroite,1,toile étroite et fine,1
toile fine large,1,toile fine et large,1
toile fleuret blancard,8,toile blancard et fleuret,8
toile fleuret de Rouen,1,toile de fleuret de Rouen,2
toile fleuret et blancard,2,toile de fleuret et blancard,2
toile Fougère,7,toile de Fougères,41
toile Fougères,3,toile de Fougères,41
toile française,4,toile française,4
toile futaine,3,toile futaine,3
toile garas,2,garas,60
toile ginguan nationale,1,gingan nationale,1
toile glacée,1,toile glacée,2
toile glacée aune,1,toile glacée,2
toile gomme,1,toile gommée,2
toile gommée bougron,1,toile gommée bougron,1
toile gommée canevas,1,canevas gommée,1
toile gommée dite treillis,1,treillis gommé,2
toile gommée diverse,1,toile gommée,2
toile gommée treillis,1,treillis gommé,2
toile grasse,1,toile grasse,1
toile gratienne,24,toile gratienne,24
toile gratienne rayée,1,toile gratienne rayée,1
toile grenade,2,toile de Grenade,22
toile Grenade,4,toile de Grenade,22
toile Grenade de lin,1,toile de Grenade de lin,2
toile Grenade lin,1,toile de Grenade de lin,2
toile grise,83,toile grise,83
toile grise de laine,1,toile grise de laine,1
toile grise de lin,3,toile grise de lin,26
toile grise écrue fil de lin,4,toile écrue et grise de lin,4
toile grise non battue,1,toile grise non battue,1
toile gros brin,2,toile gros brin,2
toile gros fort,16,toile gros fort,16
toile grosse,38,toile grosse,73
toile grosse à carreaux de Lille,1,toile à carreaux grosse et de Lille,1
toile grosse blanche,1,toile grosse blanche,1
toile grosse de lin de Saint-Quentin,1,toile grosse de lin de Saint-Quentin,1
toile grosse garnie ??? pour prélat,1,toile grosse garnie ??? pour prélat,1
toile grossière,32,toile grosse,73
toile grossière pièce de 50 aunes,1,toile grosse de 50 aunes,1
toile Guinée,28,guinée,155
toile Guinée blanche,12,guinée blanche,90
toile Guinée bleu,3,guinée bleue,178
toile Guinée bleue,22,guinée bleue,178
toile Guinée bleue imitant celle des Indes,1,guinée bleue imitant celle des Indes,1
toile Guinée imitant celle des Indes,2,guinée imitant celle des Indes,2
toile guingan,219,guingan,469
toile guingan de fil,8,guingan de fil,25
toile guingan de Grenade,2,guingan de Grenade,2
toile guingan de lin,4,guingan de lin,18
toile guingan de Rouen,3,guingan de Rouen,3
toile guingan en fil,5,guingan de fil,25
toile guingan fil en coton,1,guingan de coton,1
toile guingan lin,1,guingan de lin,18
toile haut brin,4,toile haut brin,4
toile haut brin de Dinant,3,toile haut brin de Dinant,3
toile hivre,1,toile hivre,1
toile hollande,1,toile hollande,1
toile Hollande de Paris,1,toile Hollande de Paris,1
toile hollandille,1,toile hollandille,1
toile hollandille de Paris,2,toile hollandille de Paris,2
toile humaine,1,toile humaine,1
toile imitant celle des Indes,2,toile imitant celle des Indes,2
toile imitant celle des Indes nationale,1,toile imitant celle des Indes et nationale,1
toile imprimée,4,toile imprimée,5
toile imprimée ou peinte,3,toile imprimée ou peinte,3
toile indienne,84,indienne,665
toile indienne ???,2,indienne ???,2
toile indienne commune,2,indienne commune,2
toile indienne de coton,13,indienne de coton,21
toile indienne de différentes qualités,1,indienne de différentes qualités,1
toile indienne de France,6,indienne de France,6
toile indienne des Indes,1,indienne des Indes,2
toile indienne étrangère,4,indienne étrangère,5
toile indienne fil et coton,1,indienne de coton et de fil,1
toile indienne fine,2,toile indienne fine,2
toile indienne grosse,1,toile indienne grosse,1
toile indienne nationale,5,toile indienne nationale,5
toile judieau,3,toile judieau,3
toile kettroy,1,toile kettroy,1
toile killis,34,toile killis,34
toile kircochaye,2,toile kircochaye,2
toile lagias,1,toile lagias,1
toile laistoufaire,1,toile laistoufaire,1
toile Languenan,11,toile Languenan,11
toile large,35,toile large,35
toile large de lin,2,toile large de lin,2
toile Laval,16,toile de Laval,313
toile lavée,3,toile lavée,3
toile lesat,1,toile lesat,1
toile limeneas,24,limeneas,270
toile lin batiste,3,batiste,369
toile lin blanche,3,toile de lin blanche,226
toile lin de Rouen,2,toile de lin de Rouen,73
toile lin diverse,3,toile de lin,348
toile lin Laval,1,toile de lin de Laval,48
toile lin Rouen,2,toile de lin de Rouen,73
toile lin teinte,2,toile de lin teinte,14
toile linge à serviettes,1,linge à serviettes,1
toile linge de tables,85,linge de table,244
toile linge de tables à napes,1,linge de table à nappes,3
toile linge de tables à nappes,2,linge de table à nappes,3
toile linge de tables à serviettes,5,linge de table à serviettes,5
toile linge de tables canapés,1,linge de table canapés,1
toile linge de tables damassé,3,linge de table damassé,6
toile linge de tables divers,1,linge de table,244
toile linge de tables diverse,2,linge de table,244
toile linge de tables et serviettes,1,linge de table et serviettes,1
toile linge de tables nappes,11,nappes,40
toile linge de tables nappes ouvrées,1,linge de table nappes ouvrées,1
toile linge de tables ouvré nappes,1,linge de table ouvré nappes,1
toile linge de tables serviettes,25,serviettes,117
toile linge de tables serviettes ??? nappes,1,linge de table serviettes ??? nappes,1
toile linge de tables serviettes et nappes,1,nappes et serviettes,4
toile linge de tables serviettes ouvrées,1,serviettes ouvrées,8
toile linge de tables vieux,1,linge de table vieux,1
toile linge tables divers,1,linge de table,244
toile linon,31,toile linon,34
toile linon batiste,1,batiste et linon,13
toile linon de Saint-Quentin,1,toile de linon de Saint-Quentin,1
toile liza,2,toile lizat,3
toile lizat,1,toile lizat,3
toile Locronan,9,locrenan,9
toile Locronan pièce de 50 aunes,2,locrenan de 50 aunes,2
toile Lorient batiste,1,batiste Lorient,1
toile lustrée,2,toile lustrée,2
toile manche,1,toile manche,1
toile manouf,117,toile manouf,117
toile matelas,4,toile à matelas,26
toile mélangée de couleur,1,toile de couleur,10
toile mêlée,11,toile,423
toile mêlée ???,1,toile ???,22
toile mêlée ...,1,toile ...,1
toile mêlée à Bretagne,1,toile de Bretagne,474
toile mêlée à carreaux,4,toile à carreaux,160
toile mêlée batiste et linon,1,batiste et linon,13
toile mêlée blanche,4,toile blanche,772
toile mêlée d'emballage,5,toile d'emballage,483
toile mêlée d'étoupes,2,toile d'étoupes,51
toile mêlée d'Irlande,1,toile d'Irlande,2
toile mêlée de Bretagne,1,toile de Bretagne,474
toile mêlée de Cambrai,1,toile de Cambrai,48
toile mêlée de chanvre et de lin,1,toile de chanvre et de lin,17
toile mêlée de coutil,1,toile de coutil,41
toile mêlée de fil et coton,3,toile de coton et de fil,217
toile mêlée de Flandre,1,toile de Flandre,33
toile mêlée de Laval,1,toile de Laval,313
toile mêlée de lin et de chanvre,3,toile de chanvre et de lin,17
toile mêlée de linge de tables,1,toile de linge de tables,13
toile mêlée de Rouen,1,toile de Rouen,60
toile mêlée de Russie,1,toile de Russie,4
toile mêlée diverse,7,toile,423
toile mêlée diverse de coton,1,toile de coton,512
toile mêlée diverse peinte,1,toile peinte,631
toile mêlée écrue,2,toile écrue,46
toile mêlée en ???,1,toile en ???,1
toile mêlée en linge de tables,3,linge de table,244
toile mêlée en sacs,1,toile en sacs,2
toile mêlée fine,2,toile fine,33
toile mêlée ganak,1,toile mêlée ganak,1
toile mêlée gosse et commune,1,toile grosse et commune,1
toile mêlée grosse,3,toile grosse,73
toile mêlée grosse ???,1,toile grosse ???,1
toile mêlée grosse en faces,2,toile grosse en faces,2
toile mêlée grosse et sommiers,1,toile grosse et sommiers,1
toile mêlée guingan,4,guingan,469
toile mêlée imprimée,1,toile imprimée,5
toile mêlée peinte,4,toile peinte,631
toile mêlée peinte et teinte,1,toile peinte et teinte,2
toile mêlée rayée,1,toile rayée,31
toile mêlée serpillière,3,toile serpillière,67
toile mêlée teinte,2,toile teinte,27
toile ménagé,1,toile de ménage,100
toile merdin,6,toile mesdin,8
toile merlin,1,toile mesdin,8
toile mesdin,1,toile mesdin,8
toile mi-blanche de moins de 8 fils,1,toile mi-blanche de moins de 8 fils,1
toile miennel,1,toile miennel,1
toile montagne,15,toile montagne,15
toile Morlaix,5,toile Morlaix,5
toile Mortagne,3,toile Mortagne,3
toile mousseline,30,mousseline,398
toile mousseline brodée,1,mousseline brodée,9
toile mousseline des Indes,1,mousseline des Indes,13
toile mousseline fines,2,mousseline fines,6
toile mousseline unie,3,mousseline unie,4
toile mousselinette,1,mousselinette,1
toile moustiquaire de fil,2,moustiquaire de fil,3
toile Nankin,37,nankin,128
toile Nankin des Indes,1,nankin des Indes,5
toile nappes,1,nappes,40
toile nationale de toute sorte,1,toile nationale,3
toile navale,5,toile navale,8
toile neganepeau,13,neganepeau,160
toile neganepeau imitant celle des Indes,1,toile neganepeau et imitant celle des Indes,1
toile nicaneas,30,nicanéas,197
toile nicanéas,1,nicanéas,197
toile nicaneas petite,1,nicanéas petite,1
toile noire,1,toile noire,1
toile non battue,24,toile non battue,24
toile ordinaire,10,toile commune,77
toile ordinaire à voile,1,toile pour voile commune,1
toile ordinaire blanche,1,toile blanche commune,5
toile ordinaire cirée,1,toile cirée commune,1
toile ordinaire de coton,1,toile de coton commune,5
toile ordinaire de Saint-Quentin,1,toile de Saint-Quentin commune,1
toile ordinaire écrue,1,toile écrue commune,1
toile ordinaire grosse,1,toile grosse commune,1
toile ordinaire serpillère,1,toile serpillère commune,1
toile organdi,1,toile organdi,1
toile ouvragée pour linge de table,1,ouvrages de toile pour linge de table,1
toile ouvrée,16,ouvrages de toile,16
toile ouvrée chaussettes,1,toile ouvrée chaussettes,1
toile ouvrée chemises,2,toile ouvrée chemises,2
toile ouvrée nappes,1,toile ouvrée nappes,1
toile ouvrée nappes et serviettes,1,toile ouvrée nappes et serviettes,1
toile ouvrée serviettes,1,toile ouvrée serviettes,1
toile palmite,1,toile palmite,1
toile pécate,1,toile pécate,1
toile peignée,1,toile peignée,1
toile peinte,623,toile peinte,631
toile peinte de Hollande,1,toile peinte de Hollande,1
toile peinte des Indes,7,toile des Indes peinte,7
toile peinte dite indienne,1,indienne peinte,5
toile peinte diverse,1,toile peinte,631
toile peinte en camaïeu,1,toile peinte en camaïeu,1
toile peinte et indienne,4,indienne peinte,5
toile peinte et indienne des Indes,1,indienne des Indes et toile peinte,1
toile peinte et indienne étrangère,1,indienne étrangère et toile peinte,1
toile peinte et indienne nationale,1,indienne nationale et toile peinte,1
toile peinte imprimée,1,toile peinte imprimée,1
toile peinte indienne,6,toile peinte indienne,6
toile peinte pour paravent,1,toile peinte pour paravent,1
toile peinte sur enduit pour tapisserie,1,toile peinte sur enduit pour tapisserie,1
toile perse et indienne,1,indienne et toile perse,1
toile petite,5,toile petite,5
toile photas,9,toile photas,9
toile photas imitant celle des Indes,1,toile photas imitant celle des Indes,1
toile pièces assorties,1,toile,423
toile pièces étroites,2,toile pièces étroites,2
toile pièces larges,2,toile pièces larges,2
toile pignée,1,toile pignée,1
toile pignole,1,toile pignole,1
toile piquée,56,toile piquée,56
toile piquée de Marseille,3,toile piquée de Marseille,3
toile piqûre de Marseille,1,toile piqûre de Marseille,1
toile platier de Guinée,1,toile platier de Guinée,1
toile platille,254,platille,314
toile platille de lin,2,platille de lin,5
toile platille de lin de Silésie,1,platille de lin de Silésie,1
toile platille roussie,1,platille roussie,1
toile point,1,toile point,1
toile Poldavie,2,toile Poldavie,2
toile polonaise,16,toile polonaise,16
toile Pontivy,1,toile Pontivy,1
toile poupoulis,2,toile poupoulis,2
toile pour ameublement,1,toile pour ameublement,1
toile pour ameublement teint aune,1,toile pour ameublement teinte,2
toile pour ameublement teinte,1,toile pour ameublement teinte,2
toile pour ameublement toile cirée,1,toile pour ameublement cirée,2
toile pour ameublement toile cirée aune,1,toile pour ameublement cirée,2
toile pour chemise à nègre,1,toile pour chemise à nègre,1
toile pour cribles,1,toile pour cribles,1
toile pour doublure,1,toile pour doublure,1
toile pour essuie-main aune,1,toile pour essuie-mains,2
toile pour essuie-mains,1,toile pour essuie-mains,2
toile pour la Hollande,1,toile pour la Hollande,1
toile pour matelas,1,toile pour matelas,2
toile pour matelas aune,1,toile pour matelas,2
toile pour mouchoir aune,1,toile pour mouchoirs,2
toile pour mouchoirs,1,toile pour mouchoirs,2
toile pour nappes,1,toile pour nappes,1
toile pour nappes et serviettes,1,toile pour nappes et serviettes,1
toile pour serviettes,1,toile pour serviettes,2
toile pour serviettes aune,1,toile pour serviettes,2
toile pour tabac,1,toile pour tabac,2
toile pour tabac aune,1,toile pour tabac,2
toile pour tableaux,1,toile pour tableaux,1
toile pour talliet,1,toile pour talliet,1
toile pour tentes,1,toile pour tente,1
toile presitte,1,toile presitte,1
toile pressée,2,toile pressée,2
toile preville,1,toile preville,1
toile prohibée,1,toile prohibée,1
toile quatre fils,1,toile quatre fils,1
toile quilly,1,toile quilly,1
toile ralette de Hambourg,1,toile ralette de Hambourg,1
toile ramoise,1,toile ramoise,1
toile rayée,30,toile rayée,31
toile rayée ardoisée et rayonnée,2,toile ardoisée et rayée et rayonnée,2
toile rayée pour mouchoirs,1,toile pour mouchoirs rayée,2
toile rayée pour mouchoirs aune,1,toile pour mouchoirs rayée,2
toile rayée soie et coton,1,toile rayée coton et soie,1
toile réforme,1,toile réforme,1
toile reploc,1,toile reploc,1
toile romals,14,toile romals,14
toile rondelette,4,toile rondelette,4
toile rondelle,1,toile rondelle,1
toile rosconne,31,toile rosconne,38
toile Rouen,1,toile de Rouen,60
toile rouge,2,toile rouge,2
toile rouge et bleue,1,toile bleue et rouge,1
toile rousse,42,toile rousse,42
toile rousse fine,1,toile fine rousse,1
toile rousse ordre,1,toile ordre et rousse,1
toile royale,92,toile royale,93
toile royale de lin,2,toile de lin royale,11
toile royale lin,1,toile de lin royale,11
toile royalle,1,toile royalle,1
toile sacs à boîtes,1,toile sacs à boîtes,1
toile Saint-Gal ???,1,toile de Saint-Gail ???,1
toile Saint-Quentin,4,toile de Saint-Quentin,4
toile Saintonge,2,toile de Saintonge,51
toile salemporis,2,toile salemporis,2
toile salemporis bleue,1,toile salemporis bleue,1
toile sanas lustrée,1,toile sanas lustrée,1
toile sangalette,10,toile sangalette,10
toile sans apprêt,1,toile sans apprêt,1
toile sempiterne,1,toile sempiterne,1
toile serpillère,3,toile serpillère,3
toile serpillière,64,toile serpillière,67
toile serviettes,3,toile serviettes,3
toile siamoise,127,toile de siamoise,130
toile siamoise commune,1,siamoise commune,18
toile siamoise fil en coton,6,siamoise de coton et de fil,73
toile siamoise fil et coton,32,siamoise de coton et de fil,73
toile siamoise fine,5,siamoise fine,5
toile siamoise imprimée,7,siamoise imprimée,9
toile siamoise teinte,4,siamoise teinte,4
toile sigillée,1,toile sigillée,1
toile sirsacas,4,toile sirsacas,4
toile sistresaye,1,toile sistresaye,1
toile socreton,1,toile socreton,1
toile socreton bleue,1,toile socreton bleue,1
toile solonaise,2,toile solonaise,2
toile Suisse,1,toile Suisse,1
toile surate,1,toile de Surate,1
toile tapsel,12,toile tapsel,12
toile tapsel imitant celle des Indes,1,toile tapsel imitant celle des Indes,1
toile tarnatanes,1,toile tarnatanes,1
toile teinte,25,toile teinte,27
toile teinte de 13 à 20 fils,2,toile teinte de 13 à 20 fils,2
toile teinte de 20 fils et au-dessus,2,toile teinte de 20 fils et au-dessus,2
toile teinte de 8 à 13 fils,2,toile teinte de 8 à 13 fils,2
toile teinte de moins de 8 fils,2,toile teinte de moins de 8 fils,2
toile tissée très fin,1,toile tissée très fin,1
toile toilerie,6,toile,423
toile toillerie,4,toile,423
toile toillerie diverse,3,toile,423
toile tout coton,1,toile de coton,512
toile treillis,12,toile treillis,12
toile treillis et gommée,1,toile gommée et treillis,1
toile treillis peinte,1,treillis peint,1
toile Troyes,1,toile de Troyes,12
toile Valenciennes,2,toile de Valenciennes,10
toile vernante,13,toile vernante,13
toile vernie,1,toile vernie,1
toile verte ???,1,toile verte ???,1
toile Vimoutier,3,toile Vimoutiers,3
toile vitrée,2,toile Vitré,2
toile voile,3,toile de voile,14
toilerie,16,toile,423
toilerie bonneterie de fil,1,bonneterie de fil,30
toilerie de retour,1,toiles de retour,1
toilerie de toute sorte,7,toile,423
toilerie des Indes du commerce étranger,2,toile des Indes du commerce étranger,2
toilerie des Indes du commerce français,1,toile des Indes du commerce français,1
toilerie diverse,6,toile,423
toilerie du Levant,1,toile du Levant,1
toilerie nationale,1,toile nationale,3
toilerie nationale diverse,1,toile nationale,3
toilerie toile à carreaux pour matelas,1,toile à carreaux pour matelas,2
toilerie toile à matelas à carreaux,1,toile à carreaux pour matelas,2
toilerie toile à voile,1,toile pour voile,709
toilerie toile batiste et linon,2,batiste et linon,13
toilerie toile de chanvre,2,toile de chanvre,324
toilerie toile de coutil,1,toile de coutil,41
toilerie toile de coutil à carreaux,2,toile à carreaux et de coutil,4
toilerie toile de coutil et de basin,1,toile de basin et de coutil,1
toilerie toile de fil peinte teinte et imprimée,1,toile imprimée et de fil et peinte et teinte,1
toilerie toile de lin,2,toile de lin,348
toilerie toile de lin batiste et linon,3,toile de lin et de batiste et linon,3
toilerie toile de lin de toute sorte,2,toile de lin,348
toilerie toile de lin et de chanvre,1,toile de chanvre et de lin,17
toilerie toile en mouchoirs de fil,1,mouchoirs de fil,245
toilerie toile linge de tables,2,linge de table,244
toilerie toile mêlée de fil et coton,1,toile de coton et de fil,217
toilerie toile mêlée de lin et de chanvre,2,toile de chanvre et de lin,17
toilerie toile mouchoirs,1,toile mouchoirs,1
toilerie toile mouchoirs blancs et teints,1,mouchoirs blancs et teints,1
toilerie toile peinte et teinte,1,toile peinte et teinte,2
toilerie toile peinte et teinte en fil,1,toile de fil peinte et teinte,1
toileries de toute sorte,11,toile,423
toilettes,7,toilettes,7
toilettes brodées en soie,1,toilettes brodées de soie,1
toilettes d'acajou,1,toilettes d'acajou,1
toilettes de bois,1,toilettes de bois,1
toilettes de bois de Chine,1,toilettes de bois de Chine,1
toilettes de bois verni,1,toilettes de bois verni,1
toilettes de femme,7,toilettes pour femme,8
toilettes de lin blanches,1,toilettes blanches de lin,1
toilettes de lin grises,1,toilettes grises de lin,1
toilettes de Valenciennes,2,toilettes de Valenciennes,2
toilettes façon Chine,1,toilettes façon Chine,1
toilettes pour femme,1,toilettes pour femme,8
toilettes vernie de Chine,1,toilettes vernie de Chine,1
tôle,2,tôle,2
tôle en platines vernies,1,tôle en platines vernies,1
tôle fer-blanc,1,tôle de fer-blanc,2
tombas,1,tombas,1
tombe de marbre,1,tombe de marbre,1
tombeaux,1,tombeaux,1
tombereaux,15,tombereaux,15
tombes de marbre,1,tombeaux de marbre,2
tondelle,1,tondelle,1
tondures de drap,2,tondures de drap,2
tonneaux,1,tonneaux,1
tonneaux à l'eau cerclés de fer,2,tonneaux à l'eau cerclés de fer,2
tonneaux cercle de bois,1,cercles de bois à tonneaux,20
tonneaux cercles de bois,17,tonneaux cercles de bois,17
tonneaux cerclés de bois,12,cercles de bois à tonneaux,20
tonneaux cercles de fer,8,tonneaux cercles de fer,8
tonneaux cerclés de fer,6,tonneaux cerclés de fer,7
tonneaux cuvelles et futailles,2,tonneaux cuvelles et futailles,2
tonneaux de cercles de fer,1,tonneaux cerclés de fer,7
tonneaux neufs,1,tonneaux neufs,1
tonneaux vides,15,tonneaux vides,15
tonneaux vieux,1,tonneaux vieux,1
toques,2,toques,2
tortue,3,tortue,3
touques de grès,4,touques de grès,4
touques petites,1,touques petites,1
tourbe,2,tourbe,3
toures,1,toures,1
tournebres,1,tournebres,1
tournebroche,8,tournebroche,8
tournes-viandes,1,tournes-viandes,1
tournesol,148,tournesol,158
tournesol apprêté,2,tournesol apprêté,2
tournesol en drapeaux,8,tournesol en drapeau,8
tournesol en herbes,2,tournesol en herbes,2
tournesol en pain,9,tournesol en pain,12
tournesol préparé ou orseille,1,orseille ou tournesol préparé,1
tourons,31,tourons,31
tourons d'Espagne,2,tourons d'Espagne,2
tours,1,tours,1
tours à barriques,1,tours à barriques,1
tours à filer,5,tours à filer,5
tours à guillocher,1,tours à guillocher,1
tours de col,3,tours de col,3
tours de lit de bourre,2,tours de lit de bourre,2
tours de pin,1,tours de pin,1
tours pour tourneur,1,tours pour tourneur,1
tourteaux de graines grasses,1,tourteaux de graines grasses,1
tourteaux de graines oléagineuses,1,tourteaux de graines oléagineuses,2
tous autres tissus de crin,1,étoffes de crin,1
tous autres tissus de poil,1,étoffes de poil,1
toutenague,27,toutenague,29
trafiquer,1,trafiquer,1
train de cabriolet,1,train de cabriolet,1
train de carrosses,1,train de carrosses,1
trait d'or,2,trait d'or,2
trait d'or et d'argent,1,trait d'argent et d'or,2
trait or et argent,1,trait d'argent et d'or,2
tramail,4,tramail,4
traques de cuir,1,traques de cuir,1
travaux de la rade,1,matériaux pour la rade,6
travaux de la rade du roi,1,matériaux pour la rade du roi,1
travaux du havre,1,matériaux pour le havre,1
travaux pour la rade,1,matériaux pour la rade,6
travelles,1,travettes,1
traverses,1,traverses,1
travettes de bois,1,travettes de bois,1
travons,7,travons,7
travons de sapin,3,travons de sapin,3
travout,1,travout,1
treillis,57,treillis,57
treillis bougrand et canevas,2,treillis bougrand et canevas,4
treillis bougrand et canevas aune,2,treillis bougrand et canevas,4
treillis d'Allemagne,1,treillis d'Allemagne,1
treillis non lustré,1,treillis non lustré,1
tremille,1,tremille,1
trenelle,1,trenelle,1
trenelle d'Espagne,1,trenelle d'Espagne,1
trenelle d'espars,35,trenelle d'espars,35
trenelle de jonc,2,trenelle de jonc,2
trépan,1,trépan,1
trépan en marbre,1,trépan de marbre,1
trépieds,1,trépieds,1
tresse d'argent,2,tresse d'argent,2
tresse d'or,3,tresse d'or,3
tresse de fil,2,tresse de fil,2
tresse de fleures,1,tresse de fleures,1
tresse de fleuret,1,tresse de fleuret,1
tresse de jonc,1,tresse de jonc,1
tresse de laine,3,tresse de laine,3
tresse de soie,7,tresse de soie,7
tresse or et argent,9,tresse d'argent et d'or,9
tréteaux de chêne de 6 pouces,1,tréteaux de chêne de 6 pouces,1
tricots,2,tricots,3
tricots chinés 6 aunes,1,tricots chinés 6 aunes,1
tricots de fil,2,tricots de fil,2
tricots de soie,2,tricots de soie,3
trictrac,3,trictrac,3
triomphante,1,triomphante,1
tripe,2,tripe,3
tripe aune,1,tripe,3
tripe d'huîtres,1,tripe d'huîtres,1
tripe de bœuf salé,1,tripe de bœuf salé,1
tripe de laine,2,tripe de laine,2
tripe de Lannoy,1,tripe de Lannoy,1
tripe de morue,1,tripe de morue,1
tripe de velours,21,tripe de velours,21
tripe sur soie,1,tripe sur soie,2
tripe sur soie aune,1,tripe sur soie,2
tripoli,7,tripoli,8
trompes,1,trompes,1
trompes de fer,2,trompes de fer,2
trompettes,2,trompettes,2
trompettes de cuivre,3,trompettes de cuivre,4
trompettes de fer,1,trompettes de fer,1
trompettes en cuivre,1,trompettes de cuivre,4
trot de vin,1,trot de vin,1
troupes,1,troupes,1
trousse de fleures,1,trousse de fleures,1
truelles,1,truelles,1
truelles de fer,2,truelles de fer,2
truffes,152,truffes,154
truffes ??? et culs d'artichauts,1,truffes ??? et culs d'artichauts,1
truffes à l'huile,2,truffes à l'huile,2
truffes champignons artichauts,2,artichauts champignons et truffes,2
truffes culs d'artichauts et autres secs,2,truffes culs d'artichauts et autres secs,2
truffes de fer,1,truffes de fer,1
truffes de fonte de fer,3,truffes de fonte de fer,3
truffes et champignons,1,champignons et truffes,1
truffes et morilles,1,morilles et truffes,1
truffes et mousserons,2,mousserons et truffes,3
truffes fraîches,9,truffes fraîches,9
truffes fraîches ou marinées,1,truffes fraîches et marinées,1
truffes marinées,3,truffes marinées,6
truffes mousserons,1,mousserons et truffes,3
truffes mousserons et morilles,1,morilles et mousserons et truffes,1
truffes noires,5,truffes noires,5
truffes séchées,2,truffes sèches,56
truffes sèches,53,truffes sèches,56
truffes vertes,1,truffes vertes,1
truites,3,truites,4
truites et anguilles,1,anguilles et truites,1
truites séchées,1,truites séchées,1
trully,2,trully,2
trumeaux de glace,1,trumeaux de glace,1
tuffeaux,32,tuffeaux,32
tuffeaux doubles,1,tuffeaux doubles,1
tuffeaux simples,3,tuffeaux simples,3
tuiles,159,tuiles,165
tuiles bombées et carreaux de terre,1,carreaux de terre et tuiles bombées,1
tuiles carreaux et briques,1,carreaux briques et tuiles,1
tuiles courbées,1,tuiles courbées,1
tuiles de couverture,1,tuiles de couverture,1
tuiles plates,1,tuiles plates,1
tulle,1,tulle,1
tulle de lin et de chanvre,1,tulle de chanvre et de lin,3
tulle de soie,1,tulle de soie,3
