goods_simpl_classification,nbr_occurences_simpl,grains_classification,obsolete,nbr_occurences_grains
serge de laine diverse,6,Pas grain (0),non,539069
serge de laine drapée,2,Pas grain (0),non,539069
serge de laine et de soie,1,Pas grain (0),non,539069
serge de laine étroite,2,Pas grain (0),non,539069
serge de laine forte,1,Pas grain (0),non,539069
serge de laine imprimée,3,Pas grain (0),non,539069
serge de laine large,3,Pas grain (0),non,539069
serge de laine Minorque,6,Pas grain (0),non,539069
serge de laine noire,1,Pas grain (0),non,539069
serge de laine pour ???,0,Pas grain (0),oui,539069
serge de laine sagati,2,Pas grain (0),non,539069
serge de laine voile,6,Pas grain (0),non,539069
serge de Lille,27,Pas grain (0),non,539069
serge de Londres et autres,8,Pas grain (0),non,539069
serge de Montauban,17,Pas grain (0),non,539069
serge de Nîmes,1,Pas grain (0),non,539069
serge de Nîmes aune,1,Pas grain (0),non,539069
serge de Poitou,1,Pas grain (0),non,539069
serge de Rome,4,Pas grain (0),non,539069
serge de Rouen,1,,non,1391
serge de Saint-Maixant,0,Pas grain (0),oui,539069
serge de Saint-Maixent,5,Pas grain (0),non,539069
serge de Savoie,1,Pas grain (0),non,539069
serge de soie,12,Pas grain (0),non,539069
serge des prise,0,Pas grain (0),oui,539069
serge des prises,6,Pas grain (0),non,539069
serge double,4,Pas grain (0),non,539069
serge drap,1,Pas grain (0),non,539069
serge drapée,79,Pas grain (0),non,539069
serge drapée à doubler,3,,non,1391
serge drapée de laine,1,,non,1391
serge drapée et de laine,5,Pas grain (0),non,539069
serge du Languedoc,7,Pas grain (0),non,539069
serge du pays,1,Pas grain (0),non,539069
serge écarlate,1,,non,1391
serge écarlatine,2,Pas grain (0),non,539069
serge et prunelle de laine étroite,3,Pas grain (0),non,539069
serge fil et laine,1,Pas grain (0),non,539069
serge forte,5,Pas grain (0),non,539069
serge imprimée,133,Pas grain (0),non,539069
serge imprimée aune,1,Pas grain (0),non,539069
serge imprimée d'Aumale,1,,non,1391
serge Minorque,3,Pas grain (0),non,539069
serge sergette,1,Pas grain (0),non,539069
serge teinte,1,Pas grain (0),non,539069
serge verte,1,Pas grain (0),non,539069
sergette,10,Pas grain (0),non,539069
sergette de laine,4,Pas grain (0),non,539069
sergette de Montauban,7,Pas grain (0),non,539069
sergette des prises,3,Pas grain (0),non,539069
sergette fine,1,Pas grain (0),non,539069
sergette Maine,2,Pas grain (0),non,539069
serinettes,15,Pas grain (0),non,539069
serinettes ouvrées,1,Pas grain (0),non,539069
seringues,14,Pas grain (0),non,539069
seringues d'étain,19,Pas grain (0),non,539069
serizes,0,Pas grain (0),oui,539069
serpentera virgina,1,Pas grain (0),non,539069
serpentin à distiller,1,Pas grain (0),non,539069
serpentine,3,Pas grain (0),non,539069
serpentine à distiller l'eau-de-vie,1,Pas grain (0),non,539069
serpents,1,Pas grain (0),non,539069
serpes,12,Pas grain (0),non,539069
serpes de fer,6,Pas grain (0),non,539069
serra merita,1,Pas grain (0),non,539069
serratille,1,Pas grain (0),non,539069
serrure de bois,3,Pas grain (0),non,539069
serrure de cuivre,2,Pas grain (0),non,539069
serrure petite,1,Pas grain (0),non,539069
serrure pour faucettes,0,Pas grain (0),oui,539069
serrures de cuivre,6,Pas grain (0),non,539069
serrures de fer,1,Pas grain (0),non,539069
serrures pour fossettes,1,Pas grain (0),non,539069
service de porcelaine,1,,non,1391
service de tables,1,Pas grain (0),non,539069
service de tables argenté et doré et d'osier,1,Pas grain (0),non,539069
serviettes,127,Pas grain (0),non,539069
serviettes à nappes,1,Pas grain (0),non,539069
serviettes communes,6,Pas grain (0),non,539069
serviettes d'étoupes,1,Pas grain (0),non,539069
serviettes de lin,1,Pas grain (0),non,539069
serviettes de table,1,Pas grain (0),non,539069
serviettes de toile,2,Pas grain (0),non,539069
serviettes de toile de ménage,1,Pas grain (0),non,539069
serviettes de toile peinte,1,Pas grain (0),non,539069
serviettes découpées,1,Pas grain (0),non,539069
serviettes et nappes,1,Pas grain (0),non,539069
serviettes et nappes de toile peinte,1,,non,1391
serviettes et nappes des Indes,1,Pas grain (0),non,539069
serviettes ouvrées,8,Pas grain (0),non,539069
sevan de cuir de Russie,1,Pas grain (0),non,539069
Sèvres,1,Pas grain (0),non,539069
shetas des Indes,1,Pas grain (0),non,539069
siagne,2,Pas grain (0),non,539069
siague,1,Pas grain (0),non,539069
siamoise,541,Pas grain (0),non,539069
siamoise à bouquet de coton,1,Pas grain (0),non,539069
siamoise à bouquets de laine de coton et de fil,4,Pas grain (0),non,539069
siamoise à bouquets de laine de fil,1,Pas grain (0),non,539069
siamoise à fleurs,41,Pas grain (0),non,539069
siamoise à fleurs de soie,5,,non,1391
siamoise à peu,0,Pas grain (0),oui,539069
siamoise à peu de soie,65,Pas grain (0),non,539069
siamoise au quart de soie,2,,non,1391
siamoise au sixième de soie,9,Pas grain (0),non,539069
siamoise blanche de coton,1,Pas grain (0),non,539069
siamoise blanche de coton et de fil,2,Pas grain (0),non,539069
siamoise brochée de coton et de fil,2,Pas grain (0),non,539069
siamoise commune,18,Pas grain (0),non,539069
siamoise de coton,5,Pas grain (0),non,539069
siamoise de coton au quart de soie,1,Pas grain (0),non,539069
siamoise de coton au sixième de soie,1,Pas grain (0),non,539069
siamoise de coton et de fil,95,Pas grain (0),non,539069
siamoise de coton et de fil et imprimée,2,Pas grain (0),non,539069
siamoise de coton et de fil et teinte,2,Pas grain (0),non,539069
siamoise de coton et de fil imprimée,3,Pas grain (0),non,539069
siamoise de coton et de fil unie,4,Pas grain (0),non,539069
siamoise de coton et toile de coton peinte,16,Pas grain (0),non,539069
siamoise de coton imprimée,5,Pas grain (0),non,539069
siamoise de coton teinte,1,Pas grain (0),non,539069
siamoise de fil à bouquets de laine,0,Pas grain (0),oui,539069
siamoise de fil et teinte,0,Pas grain (0),oui,539069
siamoise de fil imprimée,1,Pas grain (0),non,539069
siamoise de fil peinte,2,Pas grain (0),non,539069
siamoise de fil rayée,1,Pas grain (0),non,539069
siamoise de fil simple,1,Pas grain (0),non,539069
siamoise de fil teinte,2,Pas grain (0),non,539069
siamoise de Rouen,8,Pas grain (0),non,539069
siamoise de soie,9,Pas grain (0),non,539069
siamoise en crin,1,Pas grain (0),non,539069
siamoise fil coton,1,Pas grain (0),non,539069
siamoise fil de coton,1,Pas grain (0),non,539069
siamoise fine,5,Pas grain (0),non,539069
siamoise imprimée,9,Pas grain (0),non,539069
siamoise imprimée et de fil,0,Pas grain (0),oui,539069
siamoise teinte,4,Pas grain (0),non,539069
sicader,1,Pas grain (0),non,539069
sigle vis de laine,1,Pas grain (0),non,539069
simaboura,0,Pas grain (0),oui,539069
simarouba,17,Pas grain (0),non,539069
simenontrea,0,Pas grain (0),oui,539069
simples,1,Pas grain (0),non,539069
sinabre,1,Pas grain (0),non,539069
siné,1,Pas grain (0),non,539069
singalette,1,Pas grain (0),non,539069
singe,1,Pas grain (0),non,539069
siragondis,1,Pas grain (0),non,539069
siraménéas,0,Pas grain (0),oui,539069
sirop,271,Pas grain (0),non,539069
sirop à boire,2,Pas grain (0),non,539069
sirop brut,1,Pas grain (0),non,539069
sirop calbasse,1,Pas grain (0),non,539069
sirop d'alkermès,109,Pas grain (0),non,539069
sirop d'altea,1,Pas grain (0),non,539069
sirop d'amont,28,Pas grain (0),non,539069
sirop d'amour,3,Pas grain (0),non,539069
sirop d'orgeat,8,Pas grain (0),non,539069
sirop d'orgeat au fiasque,4,Pas grain (0),non,539069
sirop de Calabre,1,Pas grain (0),non,539069
sirop de calbasse,2,Pas grain (0),non,539069
sirop de capillaire,627,Pas grain (0),non,539069
sirop de capillaire et autre composés,1,Pas grain (0),non,539069
sirop de capitaine,9,Pas grain (0),non,539069
sirop de cédrat,2,Pas grain (0),non,539069
sirop de citron,1,Pas grain (0),non,539069
sirop de coriandre,1,Pas grain (0),non,539069
sirop de framboise,1,Pas grain (0),non,539069
sirop de l'étranger,1,Pas grain (0),non,539069
sirop de limon,56,Pas grain (0),non,539069
sirop de mélasse,789,Pas grain (0),non,539069
sirop de mûre,1,Pas grain (0),non,539069
sirop de raffinerie,3,Pas grain (0),non,539069
sirop de sucre,256,Pas grain (0),non,539069
sirop de sucre candi,1,Pas grain (0),non,539069
sirop de vinaigre,9,Pas grain (0),non,539069
sirop de violette,2,Pas grain (0),non,539069
sirop des Indes,70,Pas grain (0),non,539069
sirop et sucre,9,Pas grain (0),non,539069
sirop fin,31,Pas grain (0),non,539069
sirop fin et mélasse,3,Pas grain (0),non,539069
sirop fins et sucre,9,Pas grain (0),non,539069
sirop médicinal,1,Pas grain (0),non,539069
sirop mélasse,23,Pas grain (0),non,539069
sirop ou jus de cerise et de grenade avec nourritures,0,Pas grain (0),oui,539069
sirop ou jus de cerise et de grenades,0,Pas grain (0),oui,539069
sirop terré,1,Pas grain (0),non,539069
sirops,0,Pas grain (0),oui,539069
sistes condales,1,Pas grain (0),non,539069
sistresaye,15,Pas grain (0),non,539069
sivadille,12,Pas grain (0),non,539069
slatille des Indes,4,Pas grain (0),non,539069
slin de laine,1,Pas grain (0),non,539069
smalte,1,Pas grain (0),non,539069
soberton,1,Pas grain (0),non,539069
socle de fer,1,Pas grain (0),non,539069
socreton,5,Pas grain (0),non,539069
socrotour,1,Pas grain (0),non,539069
socs,1,Pas grain (0),non,539069
socs de charrues,6,Pas grain (0),non,539069
socs de fer,3,Pas grain (0),non,539069
soie,526,Pas grain (0),non,539069
soie à broder,2,Pas grain (0),non,539069
soie à coudre,304,Pas grain (0),non,539069
soie à coudre teinte,1,Pas grain (0),non,539069
soie à tricoter,1,Pas grain (0),non,539069
soie apprêtée,391,Pas grain (0),non,539069
soie ardasse,2,Pas grain (0),non,539069
soie ardassine,1,Pas grain (0),non,539069
soie blanche,3,Pas grain (0),non,539069
soie blanche à l'aune,1,,non,1391
soie blanche sans apprêt,1,Pas grain (0),non,539069
soie blanche sans apprêt à l'aune,1,,non,1391
soie bourre cardée en feuilles et ouates,1,Pas grain (0),non,539069
soie bourre écrue,1,Pas grain (0),non,539069
soie bourre écrue en masse,2,Pas grain (0),non,539069
soie bourre écrue et teinte,1,Pas grain (0),non,539069
soie bourre écrue filée moulinée,1,Pas grain (0),non,539069
soie bourre écrue filée non moulinée,1,Pas grain (0),non,539069
soie bourre en masse teinte,1,Pas grain (0),non,539069
soie bourre filée fleuret écru,1,Pas grain (0),non,539069
soie bourre filée fleuret teint,1,Pas grain (0),non,539069
soie bourre filée-fleuret en masse,1,Pas grain (0),non,539069
soie bourre fleuret écru et teint,1,Pas grain (0),non,539069
soie brousse,1,Pas grain (0),non,539069
soie Canton,1,Pas grain (0),non,539069
soie cendre,1,,non,1391
soie cocon,1,Pas grain (0),non,539069
soie cocons perus,1,Pas grain (0),non,539069
soie commune,2,Pas grain (0),non,539069
soie crue,451,Pas grain (0),non,539069
soie crue organsine,1,Pas grain (0),non,539069
soie de Bruges,1,Pas grain (0),non,539069
soie de charrues,1,Pas grain (0),non,539069
soie de Chypre,1,Pas grain (0),non,539069
soie de fleuret,1,Pas grain (0),non,539069
soie de la chaîne,1,Pas grain (0),non,539069
soie de laine,1,Pas grain (0),non,539069
soie de Liège,1,Pas grain (0),non,539069
soie de Nankin,39,Pas grain (0),non,539069
soie de porcs,174,Pas grain (0),non,539069
soie de porcs ???,2,Pas grain (0),non,539069
soie de porcs et soie de sanglier,91,Pas grain (0),non,539069
soie de porcs étrangère,1,Pas grain (0),non,539069
soie de porcs ouvré,2,Pas grain (0),non,539069
soie de Provence,2,Pas grain (0),non,539069
soie de sanglier,6,Pas grain (0),non,539069
soie de toile,4,Pas grain (0),non,539069
soie de toile vieille,2,Pas grain (0),non,539069
soie de Zagora,1,,non,1391
soie des Indes,6,Pas grain (0),non,539069
soie des pays étrangers,1,Pas grain (0),non,539069
soie dite filoselle,1,Pas grain (0),non,539069
soie dite fleuret,1,Pas grain (0),non,539069
soie du Bengale,2,Pas grain (0),non,539069
soie écrue,11,Pas grain (0),non,539069
soie écrue moulinée,1,Pas grain (0),non,539069
soie écrue moulinée doupion,1,Pas grain (0),non,539069
soie en bourre,1,Pas grain (0),non,539069
soie en cocon,6,Pas grain (0),non,539069
soie en cocons et en estrasse,1,Pas grain (0),non,539069
soie en estrasse,5,Pas grain (0),non,539069
soie en étoupes,4,Pas grain (0),non,539069
soie en fleuret,5,Pas grain (0),non,539069
soie en masses,1,Pas grain (0),non,539069
soie en peluches,6,Pas grain (0),non,539069
soie en rames,15,Pas grain (0),non,539069
soie en strasse,1,Pas grain (0),non,539069
soie en suaze,1,Pas grain (0),non,539069
soie étoupe,0,Pas grain (0),oui,539069
soie étoupes,6,Pas grain (0),non,539069
soie exportée de Marseille,1,Pas grain (0),non,539069
soie filée,0,Pas grain (0),oui,539069
soie fleuret ???,1,Pas grain (0),non,539069
soie floche,1,Pas grain (0),non,539069
soie galette,1,Pas grain (0),non,539069
soie grège,32,Pas grain (0),non,539069
soie grège ???,1,Pas grain (0),non,539069
soie grège autre que doupion,1,Pas grain (0),non,539069
soie grège de Provence,1,Pas grain (0),non,539069
soie grège doupion,3,Pas grain (0),non,539069
soie grège écrue,1,Pas grain (0),non,539069
soie grège écrue doupion,1,Pas grain (0),non,539069
soie grège par Marseille,1,Pas grain (0),non,539069
soie grèse,0,Pas grain (0),oui,539069
soie grèse ???,0,Pas grain (0),oui,539069
soie grèse de Provence,0,Pas grain (0),oui,539069
soie grèse par Marseille,0,Pas grain (0),oui,539069
soie limeneas,1,,non,1391
soie lorce,1,Pas grain (0),non,539069
soie mauresque,8,Pas grain (0),non,539069
soie mêlée,0,Pas grain (0),oui,539069
soie mêlée à l'aune,1,,non,1391
soie moulinée,3,Pas grain (0),non,539069
soie moulinée autre que doupion,1,Pas grain (0),non,539069
soie moulinée doupion,3,Pas grain (0),non,539069
soie ouvrée,41,Pas grain (0),non,539069
soie par Collonges et Strasbourg,1,Pas grain (0),non,539069
soie par Marseille,3,Pas grain (0),non,539069
soie plate,4,Pas grain (0),non,539069
soie siamoise,2,Pas grain (0),non,539069
soie tamis,1,Pas grain (0),non,539069
soie tanier,1,Pas grain (0),non,539069
soie tapis,3,Pas grain (0),non,539069
soie teinte,22,Pas grain (0),non,539069
soie torse,1,,non,1391
soie trame ???,1,Pas grain (0),non,539069
soie tricoter,1,Pas grain (0),non,539069
soie tripoline,1,Pas grain (0),non,539069
soierie,185,Pas grain (0),non,539069
soierie brodée,1,Pas grain (0),non,539069
soierie confinant,2,Pas grain (0),non,539069
soierie de fil à fleurs,1,Pas grain (0),non,539069
soierie de lin,1,Pas grain (0),non,539069
soierie de Lyon,4,Pas grain (0),non,539069
soierie de toile,1,Pas grain (0),non,539069
soierie de Tours,1,Pas grain (0),non,539069
soierie des Indes,1,Pas grain (0),non,539069
soierie et coton des Indes,1,Pas grain (0),non,539069
soierie et dorure,12,Pas grain (0),non,539069
soierie et dorure fine,13,Pas grain (0),non,539069
soierie fleuret,1,Pas grain (0),non,539069
soierie habits,0,Pas grain (0),oui,539069
soins,1,Pas grain (0),non,539069
solas,1,Pas grain (0),non,539069
soles,1,Pas grain (0),non,539069
soles marinées,1,,non,1391
soliveaux,109,Pas grain (0),non,539069
soliveaux d'acajou,1,Pas grain (0),non,539069
soliveaux de 10 à 12 pieds et de sapin,2,Pas grain (0),non,539069
soliveaux de 10 pieds et de sapin,5,Pas grain (0),non,539069
soliveaux de 12 pieds et de sapin,9,Pas grain (0),non,539069
soliveaux de 14 à 16 pieds et de 4 pouces de carré,1,Pas grain (0),non,539069
soliveaux de 14 pieds et de sapin,2,Pas grain (0),non,539069
soliveaux de 15 à 20 pieds et de sapin,2,Pas grain (0),non,539069
soliveaux de 15 pieds,1,Pas grain (0),non,539069
soliveaux de 15 pieds et de sapin,4,Pas grain (0),non,539069
soliveaux de 17 pieds et de sapin,2,Pas grain (0),non,539069
soliveaux de 18 à 20 pieds,1,Pas grain (0),non,539069
soliveaux de 18 à 20 pieds et de sapin,2,Pas grain (0),non,539069
soliveaux de 18 pieds,1,Pas grain (0),non,539069
soliveaux de 18 pieds et de sapin,5,Pas grain (0),non,539069
soliveaux de 20 à 22 pieds,1,Pas grain (0),non,539069
soliveaux de 20 à 25 pieds et de sapin,1,Pas grain (0),non,539069
soliveaux de 20 à 30 pieds et de sapin,1,Pas grain (0),non,539069
soliveaux de 20 pieds et de sapin,10,Pas grain (0),non,539069
soliveaux de 21 à 22 pieds et dde sapin,1,Pas grain (0),non,539069
soliveaux de 22 pieds et de sapin,5,Pas grain (0),non,539069
soliveaux de 24 pieds,1,Pas grain (0),non,539069
soliveaux de 24 pieds et de sapin,4,Pas grain (0),non,539069
soliveaux de 25 pieds et de sapin,5,Pas grain (0),non,539069
soliveaux de 26 pieds et de sapin,5,Pas grain (0),non,539069
soliveaux de 29 à 30 pieds et de sapin,1,Pas grain (0),non,539069
soliveaux de 30 pieds et de sapin,3,Pas grain (0),non,539069
soliveaux de 34 pieds et de sapin,1,Pas grain (0),non,539069
soliveaux de 36 pieds et de sapin,3,Pas grain (0),non,539069
soliveaux de 50 pieds et de sapin,1,Pas grain (0),non,539069
soliveaux de 6 à 7 pieds et de sapin,1,Pas grain (0),non,539069
soliveaux de 9 à 18 pieds et de sapin,1,Pas grain (0),non,539069
soliveaux de 9 pieds et de sapin,1,Pas grain (0),non,539069
soliveaux de bois,3,Pas grain (0),non,539069
soliveaux de bois de nache,1,Pas grain (0),non,539069
soliveaux de châtaigner,1,Pas grain (0),non,539069
soliveaux de châtaignier,0,Pas grain (0),oui,539069
soliveaux de chêne,32,Pas grain (0),non,539069
soliveaux de chêne de 10 pieds,2,Pas grain (0),non,539069
soliveaux de chêne de 12 à 15 pieds,1,Pas grain (0),non,539069
soliveaux de chêne de 13 pieds,1,Pas grain (0),non,539069
soliveaux de chêne de 15 à 20 pieds,1,Pas grain (0),non,539069
soliveaux de chêne de 16 pieds,1,Pas grain (0),non,539069
soliveaux de chêne de 18 pieds,2,Pas grain (0),non,539069
soliveaux de chêne de 24 pieds,1,Pas grain (0),non,539069
soliveaux de cyprès,1,Pas grain (0),non,539069
soliveaux de hêtre,3,Pas grain (0),non,539069
soliveaux de sapin,103,Pas grain (0),non,539069
soliveaux de sapin de 16 pieds,1,Pas grain (0),non,539069
soliveaux de sapin de 28 pieds,2,Pas grain (0),non,539069
soliveaux de sapin de 5 pieds,1,Pas grain (0),non,539069
soliveaux de sapin de 6 pieds,1,Pas grain (0),non,539069
soliveaux de sapin de 9 pieds,0,Pas grain (0),oui,539069
soliveaux petits,2,Pas grain (0),non,539069
soliveaux petits et de sapin,1,Pas grain (0),non,539069
solives,3,Pas grain (0),non,539069
solives de 16 à 20 pieds,1,Pas grain (0),non,539069
solives de sapin,1,Pas grain (0),non,539069
solles ou langues,1,Pas grain (0),non,539069
sommiers bruts et pour Mannem,2,Pas grain (0),non,539069
sommiers de bois,2,Pas grain (0),non,539069
sommiers de chêne,1,Pas grain (0),non,539069
sommiers façonnés et de chêne,1,Pas grain (0),non,539069
sommiers ou corps d'arbre de sapin,1,Pas grain (0),non,539069
son,142,Pas grain (0),non,539069
son d'Espagne,1,Pas grain (0),non,539069
son de farine,1,Pas grain (0),non,539069
son et vesse de fer,1,Pas grain (0),non,539069
sonde,6,Pas grain (0),non,539069
sonde d'argent,1,Pas grain (0),non,539069
sonde ou soude,1,Pas grain (0),non,539069
sonnettes,27,Pas grain (0),non,539069
sonnettes de bronze,1,Pas grain (0),non,539069
sonnettes de fonte,1,Pas grain (0),non,539069
soquet,1,Pas grain (0),non,539069
sorbet,7,Pas grain (0),non,539069
sortes,1,Pas grain (0),non,539069
sotas,1,Pas grain (0),non,539069
soucade,3,Pas grain (0),non,539069
souci,0,Pas grain (0),oui,539069
souci pour mouchoirs,0,Pas grain (0),oui,539069
soucis,53,Pas grain (0),non,539069
soucis de soie,1,Pas grain (0),non,539069
soucis pour mouchoirs,1,Pas grain (0),non,539069
soucoupes de faïence,1,Pas grain (0),non,539069
soucoupes et tasses de faïence,2,Pas grain (0),non,539069
soucoupes vernies,1,Pas grain (0),non,539069
soucrillon,2,Pas grain (0),non,539069
soucrillon en gerbes,1,Pas grain (0),non,539069
soude de toute sorte,6,Pas grain (0),non,539069
soude soufre,1,Pas grain (0),non,539069
soudes,859,Pas grain (0),non,539069
soudes et natron et salin,40,Pas grain (0),non,539069
soudes et potasse,23,Pas grain (0),non,539069
soudes et tartre,1,Pas grain (0),non,539069
soudure,10,Pas grain (0),non,539069
soudure de cuivre,1,Pas grain (0),non,539069
soufflets,46,Pas grain (0),non,539069
soufflets à bouche,2,Pas grain (0),non,539069
soufflets à feu,11,Pas grain (0),non,539069
soufflets à forge,10,Pas grain (0),non,539069
soufflets à poudre,3,Pas grain (0),non,539069
soufflets à tirer,1,Pas grain (0),non,539069
soufflets à tirer le vin,7,Pas grain (0),non,539069
soufflets à tirer le vin au clair,1,Pas grain (0),non,539069
soufflets à tirer le vin au clair et sa garniture,1,Pas grain (0),non,539069
soufflets à tirer vin au clair,1,,non,1391
soufflets d'hermine,1,Pas grain (0),non,539069
soufflets de bois,1,Pas grain (0),non,539069
soufflets de cheminée,7,Pas grain (0),non,539069
soufflets de fer,1,,non,1391
soufflets de forge,21,Pas grain (0),non,539069
soufflets de maréchal,2,Pas grain (0),non,539069
soufflets petits,5,Pas grain (0),non,539069
soufflets pour orgues,2,Pas grain (0),non,539069
soufre,1237,Pas grain (0),non,539069
soufre ???,1,Pas grain (0),non,539069
soufre à canons,1,Pas grain (0),non,539069
soufre brut,7,Pas grain (0),non,539069
soufre en canons,57,Pas grain (0),non,539069
soufre en canons épuré,1,Pas grain (0),non,539069
soufre en fanon,12,Pas grain (0),non,539069
soufre en fleurs,17,Pas grain (0),non,539069
soufre en mèche,1,Pas grain (0),non,539069
soufre épuré,7,Pas grain (0),non,539069
soufre raffiné,3,Pas grain (0),non,539069
soufre sublimé en poudre,8,Pas grain (0),non,539069
soufre vif,1,Pas grain (0),non,539069
souliers,836,Pas grain (0),non,539069
souliers à dessus de soie pour femme,5,Pas grain (0),non,539069
souliers anglais,1,Pas grain (0),non,539069
souliers blancs,3,Pas grain (0),non,539069
souliers brodés,22,Pas grain (0),non,539069
souliers brodés d'argent,4,Pas grain (0),non,539069
souliers brodés d'argent et d'or,8,Pas grain (0),non,539069
souliers brodés d'argent et de soie,1,Pas grain (0),non,539069
souliers brodés d'or,1,,non,1391
souliers brodés et pour femme,11,Pas grain (0),non,539069
souliers commun,0,Pas grain (0),oui,539069
souliers communs,23,Pas grain (0),non,539069
souliers couverts en callemande et pour femme,1,Pas grain (0),non,539069
souliers couverts en étoffe,3,Pas grain (0),non,539069
souliers couverts en étoffes et pour femme,5,Pas grain (0),non,539069
souliers couverts en soie et pour femme,8,Pas grain (0),non,539069
souliers d'enfant,6,Pas grain (0),non,539069
souliers d'étoffe de soie,7,Pas grain (0),non,539069
souliers d'homme,20,Pas grain (0),non,539069
souliers de chanvre,1,Pas grain (0),non,539069
souliers de corde,2,Pas grain (0),non,539069
souliers de cordonnier,12,Pas grain (0),non,539069
souliers de cordonnier pour femme,6,Pas grain (0),non,539069
souliers de cordonnier pour homme,12,Pas grain (0),non,539069
souliers de cordonnier vieux,1,Pas grain (0),non,539069
souliers de cuir,49,Pas grain (0),non,539069
souliers de cuir couverts en soie pour femme,5,Pas grain (0),non,539069
souliers de cuir et pour femme,3,Pas grain (0),non,539069
souliers de cuir et pour homme,5,Pas grain (0),non,539069
souliers de cuir et pour homme et femme,1,Pas grain (0),non,539069
souliers de cuir pour homme,6,Pas grain (0),non,539069
souliers de cuir pour homme et femme,5,Pas grain (0),non,539069
souliers de dame,1,Pas grain (0),non,539069
souliers de maroquin,3,Pas grain (0),non,539069
souliers de soie,13,Pas grain (0),non,539069
souliers enfant,1,Pas grain (0),non,539069
souliers neufs,11,Pas grain (0),non,539069
souliers pantoufles et galoches,2,Pas grain (0),non,539069
souliers par paires,2,Pas grain (0),non,539069
souliers petits,2,Pas grain (0),non,539069
souliers pour enfant,12,Pas grain (0),non,539069
souliers pour femme,40,Pas grain (0),non,539069
souliers pour homme,77,Pas grain (0),non,539069
souliers pour homme et femme,2,Pas grain (0),non,539069
souliers vieux,3,Pas grain (0),non,539069
souline étoffe des Indes,1,Pas grain (0),non,539069
soupières de faïence,1,Pas grain (0),non,539069
souquets de mâts,1,Pas grain (0),non,539069
southoy,1,Pas grain (0),non,539069
soutien,1,Pas grain (0),non,539069
soux de grabanite,1,Pas grain (0),non,539069
soux en feuilles,1,Pas grain (0),non,539069
soyette de fil,1,Pas grain (0),non,539069
spalme,3,Pas grain (0),non,539069
spalte,1,Pas grain (0),non,539069
spardilles,7,Pas grain (0),non,539069
spart brut,3,Pas grain (0),non,539069
spart brut et presle,2,Pas grain (0),non,539069
sparterie,9,Pas grain (0),non,539069
sparterie brute en auf jonc et roseau,26,Pas grain (0),non,539069
spath,1,Pas grain (0),non,539069
spéculation,1,Pas grain (0),non,539069
spermaceti,59,Pas grain (0),non,539069
sperme,1,Pas grain (0),non,539069
sperme de baleine,14,Pas grain (0),non,539069
spermecely,1,Pas grain (0),non,539069
sphères,1,,non,1391
spiante,1,Pas grain (0),non,539069
spicaceltica,47,Pas grain (0),non,539069
spicajudica,1,Pas grain (0),non,539069
spicanardi,16,Pas grain (0),non,539069
spicaseltica,0,Pas grain (0),oui,539069
spinenardi,1,Pas grain (0),non,539069
spirinck,1,Pas grain (0),non,539069
spode,3,Pas grain (0),non,539069
sprottes,1,Pas grain (0),non,539069
square,1,Pas grain (0),non,539069
squille de grain,4,Pas grain (0),non,539069
squine,152,Pas grain (0),non,539069
stafisagre,30,Pas grain (0),non,539069
stafisaigre,0,Pas grain (0),oui,539069
stagnon,1,Pas grain (0),non,539069
statue de pierre,2,Pas grain (0),non,539069
statue de plomb,1,Pas grain (0),non,539069
stechas arabique,1,Pas grain (0),non,539069
stephais,1,Pas grain (0),non,539069
sthouchais,1,Pas grain (0),non,539069
stil de grain,55,Pas grain (0),non,539069
stil de grains et vermillon,1,Pas grain (0),non,539069
stinkerque,28,Pas grain (0),non,539069
stinkerque à barre,1,Pas grain (0),non,539069
stinkerque brodée,0,Pas grain (0),oui,539069
stinkerque brodées,1,Pas grain (0),non,539069
stinkerque brodées de couleur,1,,non,1391
stinkerque de fil organdis,1,Pas grain (0),non,539069
stira liquide,0,Pas grain (0),oui,539069
stirax liquide,1,Pas grain (0),non,539069
stockfisch,498,Pas grain (0),non,539069
stockfisch et morue,1,Pas grain (0),non,539069
stockfisch mariné et salé,15,Pas grain (0),non,539069
stockfisch salé,5,Pas grain (0),non,539069
stopilles,0,Pas grain (0),oui,539069
storax,202,Pas grain (0),non,539069
storax calames,2,Pas grain (0),non,539069
storax calamin,1,Pas grain (0),non,539069
storax en larme,1,,non,1391
storax liquide,7,Pas grain (0),non,539069
stragondis,5,Pas grain (0),non,539069
sublimé,142,Pas grain (0),non,539069
sublimé corosif,14,Pas grain (0),non,539069
subsistances,27,Pas grain (0),non,539069
substances et produits chimiques,29,Pas grain (0),non,539069
substances et produits chimiques principalement eau-forte et couperose,14,Pas grain (0),non,539069
substances et produits chimiques principalement en eau-forte et couperose bleue et blanche,12,Pas grain (0),non,539069
suc de réglisse,27,Pas grain (0),non,539069
succade,1,Pas grain (0),non,539069
succin,0,Pas grain (0),oui,539069
sucre,564,Pas grain (0),non,539069
sucre à devises et à casser,1,Pas grain (0),non,539069
sucre bâtard,1,Pas grain (0),non,539069
sucre blanc,1250,Pas grain (0),non,539069
sucre blanc brut des entrepôts étranger,1,Pas grain (0),non,539069
sucre blanc brut étranger,3,Pas grain (0),non,539069
sucre blanc en pain,4,Pas grain (0),non,539069
sucre blanc et sucre terré,49,Pas grain (0),non,539069
