marchandises,orthographic_normalization_class,état_du_travail,nbr_occurences_source,nbr_occurences_ortho
"1///Subsistances///Fruits secs en amandes, figues et ...",subsistances fruits secs en amandes figue et ???,,9,9
"1///Subsistances///Fruits secs, en amandes ,figues et raisins",subsistances fruits secs en amandes figue et raisin,,10,24
"1///Subsistances///Fruits secs, en amandes, figues et raisins",subsistances fruits secs en amandes figue et raisin,,14,24
1///Subsistances///Fruits verts en Oranges et citrons,subsistances fruits verts en orange et citrons,,7,20
"1///Subsistances///Fruits verts, en oranges et citrons",subsistances fruits verts en orange et citrons,,6,20
"1///Subsistances///Fruits verts, en oranges et citrons.",subsistances fruits verts en orange et citrons,,7,20
1///Subsistances///Huile d'olive,subsistances huile d'olive,,47,89
1///Subsistances///Huile d'Olive,subsistances huile d'olive,,24,89
1///Subsistances///Légumes,subsistances légumes,,62,62
1///Subsistances///Miel,subsistances miel,,22,30
1///Subsistances///Poissons de toute sorte,subsistances poisson de toute sorte,,59,85
1///Subsistances///Poissons de toutes sortes,subsistances poisson de toute sorte,,10,85
1///Subsistances///Provisions de bouche réunies,subsistances provisions de bouche réunies,,41,60
1///Subsistances///Provisions diverses,subsistances provisions diverses,,25,25
"1///Subsistances///Provisions diverses,principalement en beurre",subsistances provisions diverses principalement en beurre,,12,13
1///Subsistances///Riz,subsistances riz,,33,46
1///Subsistances///Sel,subsistances sel,,40,59
1///Subsistances///Vin de liqueurs,subsistances vin de liqueurs,,14,23
1///Subsistances///Vins,subsistances vin,,21,21
1///Subsistances///Vins de bordeaux,subsistances vin de Bordeaux,,20,45
1///Subsistances///Vins de Bordeaux,subsistances vin de Bordeaux,,25,45
1///Subsistances///Vins de liqueur,subsistances vin de liqueurs,,6,23
1///Subsistances///Vins de liqueurs,subsistances vin de liqueurs,,3,23
1///Subsistances///Vins divers,subsistances vin divers,,58,58
2///Matières première///Articles réunis,matières premières articles réunis,,19,103
2///Matières première///Bois divers,matières premières bois divers,,17,94
"2///Matières première///Brai, goudron et résine",matières premières brai goudron et résines,,16,25
2///Matières première///Charbons,matières premières charbon,,5,27
2///Matières première///Cires jaune et blanche,matières premières cire jaune et blanche,,13,22
2///Matières première///Cuirs appretés,matières premières cuirs apprêtés,,16,16
2///Matières première///Graines de jardin,matières premières graine de jardin,,7,15
2///Matières première///Graines de trèfle,matières premières graine de trèfle,,8,11
2///Matières première///Graines diverses,matières premières graine diverse,,11,18
2///Matières première///Huile de graine,matières premières huile de graine,,8,14
2///Matières première///Pain de navette,matières premières pain de navettes,,1,2
2///Matières première///Suif,matières premières suif,,1,45
2///Matières première///Tabacs,matières premières tabac,,19,66
2///Matières premières///Articles réunis,matières premières articles réunis,,75,103
2///Matières premières///Bois de Iles,matières premières bois des Îles,,8,25
2///Matières premières///Bois des iles,matières premières bois des Îles,,17,25
2///Matières premières///Bois divers,matières premières bois divers,,77,94
