goods_simpl_classification,nbr_occurences_simpl,sitc_classification,imprimatur,obsolete,nbr_occurences_sitc
siamoise de fil teinte,2,6h,,non,16365
siamoise de Rouen,8,6i,x,non,21622
siamoise de soie,9,6f,x,non,12147
siamoise en crin,1,6e,,non,11419
siamoise fil coton,1,6h,x,non,16365
siamoise fil de coton,1,6g,,non,11410
siamoise fine,5,6i,x,non,21622
siamoise imprimée,9,6i,x,non,21622
siamoise teinte,4,6g,x,non,11410
sicader,1,???,,non,4790
sigle vis de laine,1,???,,non,4790
simarouba,17,2,x,non,73883
simples,1,5,,non,49562
sinabre,1,5,x,non,49562
siné,1,???,,non,4790
singalette,1,6g,,non,11410
singe,1,0a,,non,80056
siragondis,1,???,,non,4790
sirop,271,0a,x,non,80056
sirop à boire,2,0a,,non,80056
sirop brut,1,0a,x,non,80056
sirop calbasse,1,5,,non,49562
sirop d'alkermès,109,5,x,non,49562
sirop d'altea,1,9c,x,non,11345
sirop d'amont,28,0a,x,non,80056
sirop d'amour,3,9c,x,non,11345
sirop d'orgeat,8,0a,x,non,80056
sirop d'orgeat au fiasque,4,0a,x,non,80056
sirop de Calabre,1,0a,,non,80056
sirop de calbasse,2,0a,x,non,80056
sirop de capillaire,627,5,x,non,49562
sirop de capillaire et autre composés,1,5,,non,49562
sirop de capitaine,9,9c,x,non,11345
sirop de cédrat,2,0a,,non,80056
sirop de citron,1,0a,x,non,80056
sirop de coriandre,1,0a,x,non,80056
sirop de framboise,1,0a,x,non,80056
sirop de l'étranger,1,0a,,non,80056
sirop de limon,56,0a,x,non,80056
sirop de mélasse,789,0b,x,non,24735
sirop de mûre,1,0a,x,non,80056
sirop de raffinerie,3,0b,x,non,24735
sirop de sucre,256,0b,x,non,24735
sirop de sucre candi,1,0b,x,non,24735
sirop de vinaigre,9,0a,x,non,80056
sirop de violette,2,0a,x,non,80056
sirop des Indes,70,0b,x,non,24735
sirop et sucre,9,0b,x,non,24735
sirop fin,31,0a,x,non,80056
sirop fin et mélasse,3,0b,x,non,24735
sirop fins et sucre,9,0b,x,non,24735
sirop médicinal,1,5,,non,49562
sirop mélasse,23,0b,x,non,24735
sirop terré,1,0b,x,non,24735
sistes condales,1,???,,non,4790
sistresaye,15,???,,non,4790
sivadille,12,2,x,non,73883
slatille des Indes,4,6i,,non,21622
slin de laine,1,???,,non,4790
smalte,1,5,,non,49562
soberton,1,???,,non,4790
socle de fer,1,6j,x,non,39131
socreton,5,6g,,non,11410
socrotour,1,???,,non,4790
socs,1,6j,,non,39131
socs de charrues,6,6j,,non,39131
socs de fer,3,6j,x,non,39131
soie,482,2,,non,73883
soie à broder,2,6f,,non,12147
soie à coudre,304,6f,,non,12147
soie à coudre teinte,1,6f,,non,12147
soie à tricoter,1,6f,,non,12147
soie apprêtée,391,6f,,non,12147
soie ardasse,2,6f,,non,12147
soie ardassine,1,6f,,non,12147
soie blanche,3,6f,,non,12147
soie blanche à l'aune,1,2,,non,73883
soie blanche sans apprêt,1,2,,non,73883
soie blanche sans apprêt à l'aune,1,2,,non,73883
soie bourre cardée en feuilles et ouates,1,2,,non,73883
soie bourre écrue,1,6f,,non,12147
soie bourre écrue en masse,2,6f,,non,12147
soie bourre écrue et teinte,1,2,,non,73883
soie bourre écrue filée moulinée,1,6f,,non,12147
soie bourre écrue filée non moulinée,1,6f,,non,12147
soie bourre en masse teinte,1,2,,non,73883
soie bourre filée fleuret écru,1,6f,,non,12147
soie bourre filée fleuret teint,1,6f,,non,12147
soie bourre filée-fleuret en masse,1,6f,,non,12147
soie bourre fleuret écru et teint,1,6f,,non,12147
soie brousse,1,6f,,non,12147
soie Canton,1,2,,non,73883
soie cendre,1,2,,non,73883
soie cocon,1,2,x,non,73883
soie cocons perus,1,2,x,non,73883
soie commune,2,2,,non,73883
soie crue,451,2,x,non,73883
soie crue organsine,1,2,,non,73883
soie de Bruges,1,2,,non,73883
soie de charrues,1,6j,,non,39131
soie de Chypre,1,2,,non,73883
soie de fleuret,1,6f,,non,12147
soie de la chaîne,1,2,,non,73883
soie de laine,1,2,,non,73883
soie de Liège,1,2,,non,73883
soie de Nankin,39,2,,non,73883
soie de porcs,174,2,x,non,73883
soie de porcs ???,2,2,x,non,73883
soie de porcs et soie de sanglier,91,2,x,non,73883
soie de porcs étrangère,1,2,,non,73883
soie de porcs ouvré,2,6e,,non,11419
soie de Provence,2,2,,non,73883
soie de sanglier,6,2,x,non,73883
soie de toile,4,6f,,non,12147
soie de toile vieille,2,6f,,non,12147
soie de Zagora,1,2,,non,73883
soie des Indes,6,2,,non,73883
soie des pays étrangers,1,2,,non,73883
soie dite filoselle,1,6f,,non,12147
soie dite fleuret,1,6f,,non,12147
soie du Bengale,2,2,,non,73883
soie écrue,11,2,x,non,73883
soie écrue moulinée,1,2,,non,73883
soie écrue moulinée doupion,1,2,,non,73883
soie en bourre,1,2,x,non,73883
soie en cocon,6,2,x,non,73883
soie en cocons et en estrasse,1,2,x,non,73883
soie en estrasse,5,2,x,non,73883
soie en étoupes,4,6f,,non,12147
soie en fleuret,5,6f,,non,12147
soie en masses,1,2,x,non,73883
soie en peluches,6,6f,,non,12147
soie en rames,15,6f,,non,12147
soie en strasse,1,2,,non,73883
soie en suaze,1,???,,non,4790
soie étoupes,6,6f,,non,12147
soie exportée de Marseille,1,2,,non,73883
soie fleuret ???,1,6f,,non,12147
soie floche,1,6f,,non,12147
soie galette,1,2,,non,73883
soie grège,32,6f,,non,12147
soie grège ???,1,6f,,non,12147
soie grège autre que doupion,1,6f,,non,12147
soie grège de Provence,1,6f,,non,12147
soie grège doupion,3,6f,,non,12147
soie grège écrue,1,6f,,non,12147
soie grège écrue doupion,1,6f,,non,12147
soie grège par Marseille,1,6f,,non,12147
soie limeneas,1,2,,non,73883
soie lorce,1,6f,,non,12147
soie mauresque,8,2,,non,73883
soie mêlée,0,2,,oui,73883
soie mêlée à l'aune,1,2,,non,73883
soie moulinée,3,6f,,non,12147
soie moulinée autre que doupion,1,6f,,non,12147
soie moulinée doupion,3,6f,,non,12147
soie ouvrée,41,6f,x,non,12147
soie par Collonges et Strasbourg,1,6f,,non,12147
soie par Marseille,3,6f,x,non,12147
soie plate,4,6f,x,non,12147
soie siamoise,2,6f,,non,12147
soie tamis,1,6f,,non,12147
soie tanier,1,6f,x,non,12147
soie tapis,3,6f,x,non,12147
soie teinte,22,6f,x,non,12147
soie torse,1,6f,,non,12147
soie trame ???,1,6f,x,non,12147
soie tricoter,1,8,x,non,59809
soie tripoline,1,6f,,non,12147
soierie,185,6f,x,non,12147
soierie brodée,1,6f,,non,12147
soierie confinant,2,6f,,non,12147
soierie de fil à fleurs,1,6f,,non,12147
soierie de lin,1,6f,,non,12147
soierie de Lyon,4,6f,,non,12147
soierie de toile,1,6f,x,non,12147
soierie de Tours,1,6f,,non,12147
soierie des Indes,1,6f,,non,12147
soierie et coton des Indes,1,9b,x,non,6225
soierie et dorure,12,9b,x,non,6225
soierie et dorure fine,13,9b,x,non,6225
soierie fleuret,1,6f,,non,12147
soins,1,5,,non,49562
solas,1,???,,non,4790
soles,1,0a,,non,80056
soles marinées,1,0a,,non,80056
soliveaux,109,6b,x,non,17579
soliveaux d'acajou,1,6b,x,non,17579
soliveaux de 10 à 12 pieds et de sapin,2,6b,,non,17579
soliveaux de 10 pieds et de sapin,5,6b,x,non,17579
soliveaux de 12 pieds et de sapin,9,6b,x,non,17579
soliveaux de 14 à 16 pieds et de 4 pouces de carré,1,6b,,non,17579
soliveaux de 14 pieds et de sapin,2,6b,x,non,17579
soliveaux de 15 à 20 pieds et de sapin,2,6b,x,non,17579
soliveaux de 15 pieds,1,6b,,non,17579
soliveaux de 15 pieds et de sapin,4,6b,x,non,17579
soliveaux de 17 pieds et de sapin,2,6b,x,non,17579
soliveaux de 18 à 20 pieds,1,6b,x,non,17579
soliveaux de 18 à 20 pieds et de sapin,2,6b,x,non,17579
soliveaux de 18 pieds,1,6b,x,non,17579
soliveaux de 18 pieds et de sapin,5,6b,x,non,17579
soliveaux de 20 à 22 pieds,1,6b,,non,17579
soliveaux de 20 à 25 pieds et de sapin,1,6b,,non,17579
soliveaux de 20 à 30 pieds et de sapin,1,6b,,non,17579
soliveaux de 20 pieds et de sapin,10,6b,x,non,17579
soliveaux de 21 à 22 pieds et dde sapin,1,6b,,non,17579
soliveaux de 22 pieds et de sapin,5,6b,x,non,17579
soliveaux de 24 pieds,1,6b,x,non,17579
soliveaux de 24 pieds et de sapin,4,6b,x,non,17579
soliveaux de 25 pieds et de sapin,5,6b,x,non,17579
soliveaux de 26 pieds et de sapin,5,6b,x,non,17579
soliveaux de 29 à 30 pieds et de sapin,1,6b,x,non,17579
soliveaux de 30 pieds et de sapin,3,6b,x,non,17579
soliveaux de 34 pieds et de sapin,1,6b,x,non,17579
soliveaux de 36 pieds et de sapin,3,6b,x,non,17579
soliveaux de 50 pieds et de sapin,1,6b,x,non,17579
soliveaux de 6 à 7 pieds et de sapin,1,6b,x,non,17579
soliveaux de 9 à 18 pieds et de sapin,1,6b,,non,17579
soliveaux de 9 pieds et de sapin,1,6b,,non,17579
soliveaux de bois,3,6b,,non,17579
soliveaux de bois de nache,1,6b,,non,17579
soliveaux de châtaigner,1,6b,,non,17579
soliveaux de chêne,32,6b,x,non,17579
soliveaux de chêne de 10 pieds,2,6b,x,non,17579
soliveaux de chêne de 12 à 15 pieds,1,6b,x,non,17579
soliveaux de chêne de 13 pieds,1,6b,x,non,17579
soliveaux de chêne de 15 à 20 pieds,1,6b,x,non,17579
soliveaux de chêne de 16 pieds,1,6b,,non,17579
soliveaux de chêne de 18 pieds,2,6b,,non,17579
soliveaux de chêne de 24 pieds,1,6b,,non,17579
soliveaux de cyprès,1,6b,x,non,17579
soliveaux de hêtre,3,6b,x,non,17579
soliveaux de sapin,103,6b,x,non,17579
soliveaux de sapin de 16 pieds,1,6b,,non,17579
soliveaux de sapin de 28 pieds,2,6b,,non,17579
soliveaux de sapin de 5 pieds,1,6b,,non,17579
soliveaux de sapin de 6 pieds,1,6b,,non,17579
soliveaux petits,2,6b,,non,17579
soliveaux petits et de sapin,1,6b,,non,17579
solives,3,6b,x,non,17579
solives de 16 à 20 pieds,1,6b,x,non,17579
solives de sapin,1,6b,x,non,17579
solles ou langues,1,???,,non,4790
sommiers bruts et pour Mannem,2,8,x,non,59809
sommiers de bois,2,8,x,non,59809
sommiers de chêne,1,8,x,non,59809
sommiers façonnés et de chêne,1,8,x,non,59809
sommiers ou corps d'arbre de sapin,1,8,,non,59809
son,142,0a,x,non,80056
son d'Espagne,1,0a,x,non,80056
son de farine,1,0a,x,non,80056
son et vesse de fer,1,???,,non,4790
sonde,6,6j,,non,39131
sonde d'argent,1,8,,non,59809
sonde ou soude,1,9c,x,non,11345
sonnettes,27,6j,,non,39131
sonnettes de bronze,1,6j,,non,39131
sonnettes de fonte,1,6j,,non,39131
soquet,1,???,,non,4790
sorbet,7,0a,,non,80056
sortes,1,???,,non,4790
sotas,1,???,,non,4790
soucade,3,???,,non,4790
soucis,53,9c,,non,11345
soucis de soie,1,6f,,non,12147
soucis pour mouchoirs,1,6f,x,non,12147
soucoupes de faïence,1,6k,,non,17039
soucoupes et tasses de faïence,2,6k,,non,17039
soucoupes vernies,1,6k,,non,17039
soucrillon,2,0a,,non,80056
soucrillon en gerbes,1,0a,,non,80056
soude de toute sorte,6,5,,non,49562
soude soufre,1,5,,non,49562
soudes,135,5,x,non,49562
soudes et natron et salin,40,5,,non,49562
soudes et potasse,23,5,,non,49562
soudes et tartre,1,5,,non,49562
soudure,10,2,x,non,73883
soudure de cuivre,1,6j,x,non,39131
soufflets,46,7,x,non,8907
soufflets à bouche,2,7,x,non,8907
soufflets à feu,11,7,,non,8907
soufflets à forge,10,7,x,non,8907
soufflets à poudre,3,7,x,non,8907
soufflets à tirer,1,7,x,non,8907
soufflets à tirer le vin,7,7,x,non,8907
soufflets à tirer le vin au clair,1,7,,non,8907
soufflets à tirer le vin au clair et sa garniture,1,7,,non,8907
soufflets à tirer vin au clair,1,7,,non,8907
soufflets d'hermine,1,7,x,non,8907
soufflets de bois,1,7,x,non,8907
soufflets de cheminée,7,7,x,non,8907
soufflets de fer,1,7,,non,8907
soufflets de forge,21,7,x,non,8907
soufflets de maréchal,2,7,x,non,8907
soufflets petits,5,6j,x,non,39131
soufflets pour orgues,2,8,x,non,59809
soufre,1237,2,x,non,73883
soufre ???,1,2,x,non,73883
soufre à canons,1,2,,non,73883
soufre brut,7,2,,non,73883
soufre en canons,57,2,x,non,73883
soufre en canons épuré,1,2,,non,73883
soufre en fanon,12,2,x,non,73883
soufre en fleurs,17,2,x,non,73883
soufre en mèche,1,2,,non,73883
soufre épuré,7,5,,non,49562
soufre raffiné,3,5,x,non,49562
soufre sublimé en poudre,8,5,,non,49562
soufre vif,1,2,,non,73883
souliers,836,8,x,non,59809
souliers à dessus de soie pour femme,5,8,x,non,59809
souliers anglais,1,8,,non,59809
souliers blancs,3,8,,non,59809
souliers brodés,22,8,x,non,59809
souliers brodés d'argent,4,8,x,non,59809
souliers brodés d'argent et d'or,8,8,x,non,59809
souliers brodés d'argent et de soie,1,8,x,non,59809
souliers brodés d'or,1,8,,non,59809
souliers brodés et pour femme,11,8,x,non,59809
souliers communs,23,8,,non,59809
souliers couverts en callemande et pour femme,1,8,x,non,59809
souliers couverts en étoffe,3,8,x,non,59809
souliers couverts en étoffes et pour femme,5,8,x,non,59809
souliers couverts en soie et pour femme,8,8,x,non,59809
souliers d'enfant,6,8,x,non,59809
souliers d'étoffe de soie,7,8,x,non,59809
souliers d'homme,20,8,x,non,59809
souliers de chanvre,1,8,,non,59809
souliers de corde,2,8,x,non,59809
souliers de cordonnier,12,8,x,non,59809
souliers de cordonnier pour femme,6,8,,non,59809
souliers de cordonnier pour homme,12,8,x,non,59809
souliers de cordonnier vieux,1,8,x,non,59809
souliers de cuir,49,8,x,non,59809
souliers de cuir couverts en soie pour femme,5,8,x,non,59809
souliers de cuir et pour femme,3,8,x,non,59809
souliers de cuir et pour homme,5,8,x,non,59809
souliers de cuir et pour homme et femme,1,8,x,non,59809
souliers de cuir pour homme,6,8,x,non,59809
souliers de cuir pour homme et femme,5,8,,non,59809
souliers de dame,1,8,x,non,59809
souliers de maroquin,3,8,x,non,59809
souliers de soie,13,8,x,non,59809
souliers enfant,1,8,,non,59809
souliers neufs,11,8,x,non,59809
souliers pantoufles et galoches,2,8,x,non,59809
souliers par paires,2,8,x,non,59809
souliers petits,2,8,,non,59809
souliers pour enfant,12,8,x,non,59809
souliers pour femme,40,8,x,non,59809
souliers pour homme,77,8,x,non,59809
souliers pour homme et femme,2,8,,non,59809
souliers vieux,3,8,x,non,59809
souline étoffe des Indes,1,???,x,non,4790
soupières de faïence,1,6k,x,non,17039
souquets de mâts,1,7,,non,8907
southoy,1,???,,non,4790
soutien,1,???,,non,4790
soux de grabanite,1,???,x,non,4790
soux en feuilles,1,???,x,non,4790
soyette de fil,1,6j,,non,39131
spalme,3,5,,non,49562
spalte,1,???,,non,4790
spardilles,7,8,x,non,59809
spart brut,3,2,,non,73883
spart brut et presle,2,2,,non,73883
sparterie,9,6b,x,non,17579
sparterie brute en auf jonc et roseau,26,6b,x,non,17579
spath,1,2,,non,73883
spéculation,1,???,,non,4790
spermaceti,59,2,x,non,73883
sperme,1,2,x,non,73883
sperme de baleine,14,2,x,non,73883
spermecely,1,???,,non,4790
sphères,1,9c,,non,11345
spiante,1,???,,non,4790
spicaceltica,47,2,x,non,73883
spicajudica,1,2,x,non,73883
spicanardi,16,2,x,non,73883
spinenardi,1,2,x,non,73883
spirinck,1,???,,non,4790
spode,3,5,x,non,49562
sprottes,1,0a,,non,80056
square,1,???,,non,4790
squille de grain,4,???,,non,4790
squine,152,2,x,non,73883
stafisagre,30,2,x,non,73883
stagnon,1,6j,,non,39131
statue de pierre,2,8,,non,59809
statue de plomb,1,8,,non,59809
stechas arabique,1,2,,non,73883
stephais,1,???,,non,4790
sthouchais,1,???,,non,4790
stil de grain,55,5,x,non,49562
stil de grains et vermillon,1,5,x,non,49562
stinkerque,28,8,x,non,59809
stinkerque à barre,1,8,,non,59809
stinkerque brodées,1,8,,non,59809
stinkerque brodées de couleur,1,8,,non,59809
stinkerque de fil organdis,1,8,,non,59809
stirax liquide,1,5,,non,49562
stockfisch,498,0a,,non,80056
stockfisch et morue,1,0a,,non,80056
stockfisch mariné et salé,15,0a,,non,80056
stockfisch salé,5,0a,,non,80056
stopilles,0,6h,,oui,16365
storax,202,2,x,non,73883
storax calames,2,5,x,non,49562
storax calamin,1,5,x,non,49562
storax en larme,1,5,,non,49562
storax liquide,7,5,x,non,49562
stragondis,5,???,,non,4790
sublimé,142,5,x,non,49562
sublimé corosif,14,5,,non,49562
subsistances,27,0a,x,non,80056
substances et produits chimiques,29,5,x,non,49562
substances et produits chimiques principalement eau-forte et couperose,14,5,x,non,49562
substances et produits chimiques principalement en eau-forte et couperose bleue et blanche,12,5,x,non,49562
suc de réglisse,27,0a,,non,80056
succade,1,0a,x,non,80056
sucre,564,0b,x,non,24735
sucre à devises et à casser,1,0b,x,non,24735
sucre bâtard,1,0b,x,non,24735
sucre blanc,1250,0b,x,non,24735
sucre blanc brut des entrepôts étranger,1,0b,,non,24735
sucre blanc brut étranger,3,0b,,non,24735
sucre blanc en pain,4,0b,x,non,24735
sucre blanc et sucre terré,49,0b,x,non,24735
sucre blanc et sucre terré des Îles françaises de l'Amérique,1,0b,,non,24735
sucre blanc et sucre terré et sucre têtes,3,0b,x,non,24735
sucre blanc et tabatières de bergamote,1,0b,,non,24735
sucre blanc terré et têtes,20,0b,,non,24735
sucre brun,83,0b,x,non,24735
sucre brun brut,3,0b,,non,24735
sucre brun prix bas,1,0b,x,non,24735
sucre brut,1623,0b,x,non,24735
sucre brut autre que blanc,6,0b,,non,24735
sucre brut autre que blanc des entrepôts étranger,1,0b,,non,24735
sucre brut autre que blanc étranger,4,0b,,non,24735
sucre brut blanc,4,0b,,non,24735
sucre brut blanc ou terré,5,0b,,non,24735
sucre brut des colonies françaises au-delà du Cap,2,0b,,non,24735
sucre brut en forme,1,0b,x,non,24735
sucre brut et sucre terré,5,0b,,non,24735
sucre brut par Nantes,1,0b,x,non,24735
sucre candi,201,0b,x,non,24735
sucre candi en pain et en poudre raffiné,1,0b,,non,24735
sucre candi et en pain,3,0b,x,non,24735
sucre candi et sucre en pain par Bayonne Bordeaux Le Havre et Dunkerque,1,0b,x,non,24735
sucre candi raffiné,1,0b,,non,24735
sucre carré,1,0b,x,non,24735
sucre cassonade,1,0b,x,non,24735
sucre commun,18,0b,x,non,24735
sucre d'érable,4,0b,x,non,24735
sucre d'orge,14,0b,x,non,24735
sucre de Brésil et sucre blanc et sucre cru,1,0b,,non,24735
sucre de canne,1,0b,,non,24735
sucre de Cayenne,1,0b,,non,24735
sucre de Cayenne terré,5,0b,x,non,24735
sucre de forme,1,0b,x,non,24735
sucre de lait,1,0b,,non,24735
sucre de réglisse,2,0b,x,non,24735
sucre de têtes,15,0b,x,non,24735
sucre des Indes brut,1,0b,x,non,24735
sucre des Indes terré,2,0b,x,non,24735
sucre des Indes têtes,1,0b,x,non,24735
sucre des prises terré,1,0b,x,non,24735
sucre dit lompen,1,0b,x,non,24735
sucre en blanc,1,0b,,non,24735
sucre en dragées,1,0b,x,non,24735
sucre en forme terré,1,0b,x,non,24735
sucre en lait,1,0b,x,non,24735
sucre en pain,861,0b,x,non,24735
sucre en pain blanc,1,0b,,non,24735
sucre en pain et en poudre raffiné,1,0b,,non,24735
sucre en pain et sucre raffiné,9,0b,x,non,24735
sucre en pain et sucre raffiné et sucre têtes etc.,1,0b,x,non,24735
sucre en pain et sucre terré,2,0b,,non,24735
sucre en pain par Le Havre,1,0b,,non,24735
sucre en pain par Strasbourg,1,0b,x,non,24735
sucre en pain par Strasbourg Metz et Riltzeim,1,0b,x,non,24735
sucre en pain pour la Compagnie des Indes,1,0b,,non,24735
sucre en pain raffiné,25,0b,x,non,24735
sucre en pain sorti avec prime,13,0b,x,non,24735
sucre en poudre,2,0b,x,non,24735
sucre en poudre blanc,1,0b,x,non,24735
sucre en poudre blanc de haut prix,1,0b,x,non,24735
sucre en poudre brun,1,0b,x,non,24735
sucre et raisin sec,2,0b,x,non,24735
sucre et rocou,1,0b,,non,24735
sucre et tabac,1,0b,x,non,24735
sucre et verdet,1,0b,,non,24735
sucre ferré,3,0b,x,non,24735
sucre fin,3,0b,x,non,24735
sucre mélasse,3,0b,x,non,24735
sucre mélisse,1,0b,x,non,24735
sucre mes ???,1,0b,x,non,24735
sucre moscovade,8,0b,x,non,24735
sucre noix,1,9b,,non,6225
sucre orianne,1,0b,,non,24735
sucre raffiné,279,0b,x,non,24735
sucre roulé,1,0b,,non,24735
sucre royal,1,0b,,non,24735
sucre terré,1372,0b,x,non,24735
sucre terré autre que blanc,1,0b,,non,24735
sucre terré autre que blanc des entrepôts étranger,1,0b,,non,24735
sucre terré autre que blanc étranger,3,0b,,non,24735
sucre terré blanc,1,0b,,non,24735
sucre terré blanc des entrepôts étranger,1,0b,,non,24735
sucre terré blanc étranger,7,0b,,non,24735
sucre terré blanc ordinaire et têtes de forme,11,0b,,non,24735
sucre terré brun étranger,3,0b,,non,24735
sucre terré commun,1,0b,,non,24735
sucre terré des colonies françaises au-delà du Cap,2,0b,,non,24735
sucre terré des Indes,1,0b,x,non,24735
sucre terré et sucre têtes,18,0b,x,non,24735
sucre terré moyen,1,0b,,non,24735
sucre terré par Bayonne Marseille et Nantes,1,0b,x,non,24735
sucre terré par Chapareillan,1,0b,x,non,24735
sucre terré têtes,19,0b,,non,24735
sucre terré têtes de forme,1,0b,,non,24735
sucre têtes,405,0b,x,non,24735
sucre têtes de forme,113,0b,,non,24735
sucre têtes forme,0,0b,,oui,24735
sucre vergeoise,142,0b,x,non,24735
sucrerie,18,0b,x,non,24735
sucrerie drapée,2,0b,,non,24735
sucrier,4,6k,x,non,17039
sucrier de faïence,2,6k,x,non,17039
sucs d'espèces particulières,2,5,,non,49562
suie de cheminée,3,2,x,non,73883
suif,1820,4,x,non,13544
suif à chandelle,19,4,x,non,13544
suif brut,10,4,,non,13544
suif de mouton,1,4,x,non,13544
suif en branche,1,4,x,non,13544
suif en chandelle et en rames,1,4,,non,13544
suif en masse,1,4,x,non,13544
suif en pain,95,4,x,non,13544
suif en poil,1,4,x,non,13544
suif en rames,13,4,x,non,13544
suif fondu,68,4,x,non,13544
suif pour faire du savon,1,4,x,non,13544
suif pour raffiner le cuivre,1,4,x,non,13544
suif soude,9,9b,x,non,6225
suin,1,4,x,non,13544
suine,1,???,,non,4790
sulfate d'alumine,2,5,,non,49562
sulfate d'ammoniaque,2,5,,non,49562
sulfate de cuivre,5,5,,non,49562
sulfate de cuivre de fer et de zinc,2,5,,non,49562
sulfate de cuivre et de fer,1,5,,non,49562
sulfate de fer,5,5,,non,49562
sulfate de magnésie de potasse et de soude,2,5,,non,49562
sulfate de plomb,1,5,,non,49562
sulfate de potasse,7,5,,non,49562
sulfate de quinine,2,5,,non,49562
sulfate de zinc,3,5,,non,49562
sulfure d'arsenic jaune et rouge,4,5,,non,49562
sulfure de mercure en pierres,3,5,,non,49562
sumac,632,5,x,non,49562
sumac des corroyeurs,1,2,x,non,73883
sumac et autres feuilles tinctoriales,2,2,,non,73883
sumeuille de cuivre,1,???,,non,4790
surge de laine,4,2,x,non,73883
surons,1,8,,non,59809
sutoze,1,???,,non,4790
tabac,555,1,x,non,29116
tabac à fumer,35,1,x,non,29116
tabac à mâcher,1,1,x,non,29116
tabac à râper,4,1,x,non,29116
tabac à varié,1,1,x,non,29116
tabac avarié,4,1,x,non,29116
tabac briquet,5,1,x,non,29116
tabac brut,1,1,,non,29116
tabac commun,15,1,x,non,29116
tabac commun en feuilles,1,1,x,non,29116
tabac côte de ???,1,1,,non,29116
tabac d'Espagne,44,1,x,non,29116
tabac d'Espagne en feuilles,1,1,,non,29116
tabac de ???,1,1,x,non,29116
tabac de Brésil,1,1,,non,29116
tabac de caisse,1,1,x,non,29116
tabac de cantine,20,1,x,non,29116
tabac de carottes,2,1,x,non,29116
tabac de coco,1,1,,non,29116
tabac de Hollande,10,1,x,non,29116
tabac de la Ferme,217,1,x,non,29116
tabac de la Havane,11,1,x,non,29116
tabac de renvoi,1,1,x,non,29116
tabac de Séville,2,1,x,non,29116
tabac de St. Domingue,18,1,x,non,29116
tabac de St. Vincent,2,1,x,non,29116
tabac de Virginie,28,1,x,non,29116
tabac de Virginie en feuilles,10,1,x,non,29116
tabac des Indes,1,1,x,non,29116
tabac des prises,7,1,x,non,29116
tabac divers,1,1,x,non,29116
tabac du Brésil,70,1,x,non,29116
tabac du Brésil acheté à Lisbonne,2,1,x,non,29116
tabac du Brésil acheté à Lisbonne en faisant route pour la Côte d'Or,2,1,,non,29116
tabac du Brésil de Virginie,2,1,x,non,29116
tabac du Brésil pris à Lisbonne par les bâtiments français négriers expédiés des ports de France pour la Côte d'Or,1,1,x,non,29116
tabac du Brésil pris à Lisbonne par les bâtiments négriers expédiés des côtes de France pour la Côte d'Or,1,1,x,non,29116
tabac en ???,1,1,x,non,29116
tabac en andouille,8,1,x,non,29116
tabac en caisse,5,1,x,non,29116
tabac en cantine,1,1,x,non,29116
tabac en carotte,81,1,x,non,29116
tabac en carotte et en feuilles,1,1,x,non,29116
tabac en carotte et en feuilles et en côtes,1,1,x,non,29116
tabac en carotte et en feuilles et râpé,1,1,x,non,29116
tabac en carotte et fabriqué,2,1,x,non,29116
tabac en carotte et feuilles côtes,1,1,,non,29116
tabac en carotte et rolles,1,1,x,non,29116
tabac en carotte par Bayonne,1,1,x,non,29116
tabac en cordes,16,1,x,non,29116
tabac en coren ???,3,1,x,non,29116
tabac en côtes,16,1,x,non,29116
tabac en côtes et en feuilles,27,1,x,non,29116
tabac en côtes et en feuilles des entrepôts pour la régie,1,1,,non,29116
tabac en côtes et en feuilles pour la régie,6,1,,non,29116
tabac en feuille,1,1,,non,29116
tabac en feuilles,2,1,x,non,29116
tabac en feuilles de la Louisiane,1,1,,non,29116
tabac en feuilles de Virginie,10,1,,non,29116
tabac en feuilles et autres,3,1,,non,29116
tabac en feuilles et en poudre,1,1,x,non,29116
tabac en feuilles par Bayonne,1,1,,non,29116
tabac en feuilles par Dunkerque,1,1,,non,29116
tabac en filé,1,1,x,non,29116
tabac en graine,1,1,,non,29116
tabac en manoque,19,1,x,non,29116
tabac en poudre,277,1,x,non,29116
tabac en poudre commun,1,1,,non,29116
tabac en poudre commun supérieur,1,1,x,non,29116
tabac en poudre de la Havane,3,1,,non,29116
tabac en rolle,4,1,,non,29116
tabac en rouleau,12,1,x,non,29116
tabac et savon,1,9b,x,non,6225
tabac et son d'Espagne,1,9b,x,non,6225
tabac fabriqué,47,1,x,non,29116
tabac fabriqué et préparé,4,1,,non,29116
tabac ficelé,6,1,x,non,29116
tabac filé,73,1,x,non,29116
tabac fin,2,1,x,non,29116
tabac frisé,2,1,,non,29116
tabac haché,4,1,x,non,29116
tabac haché et à fumer,1,1,x,non,29116
tabac pour échantillon,1,1,x,non,29116
tabac pressé d'Allemagne,1,1,x,non,29116
tabac râpé,92,1,x,non,29116
tabac râpé de la Ferme,7,1,x,non,29116
tabac râpé par Dunkerque,1,1,x,non,29116
tabac viedé,1,1,x,non,29116
tabagies,1,8,,non,59809
tabatières,113,8,x,non,59809
tabatières à bergamote,1,8,,non,59809
tabatières communes,3,8,x,non,59809
tabatières corne,1,8,,non,59809
tabatières d'agate,7,8,,non,59809
tabatières d'argent,21,8,x,non,59809
tabatières d'argent et d'or,1,8,x,non,59809
tabatières d'argent et dorées,1,8,x,non,59809
tabatières d'argent et petites,2,8,x,non,59809
