marchandises_norm_ortho,marchandises_simplification
barreaux de sapin,barreaux de sapin
barreaux de sapin de 10 pieds,barreaux de sapin de 10 pieds
barreaux neufs,barreaux neufs
barres,barres
barres à nègre,barres à nègre
barres d'anspects,barres d'anspects
barres d'anspects sans dénomination et grandeur,barres d'anspects
barres de barriques,barres de barrique
barres de bois,barres de bois
barres de bois de chêne,barres de chêne
barres de cabestan,barres de cabestan
barres de cabestan barres d'anspects,barres d'anspects et barres de cabestan
barres de chêne petites,barres de chêne petites
barres de futel,barres de futel
barres de guindeau,barres de guindeau
barres de sapin,barres de sapin
barres de sapin de 3 à 4 pieds,barres de sapin de 3 à 4 pieds
barres de sapin pour fonçaille,barres de sapin pour fonçaille
barres maître-fond,barres maître-fond
barres pour édifices,barres pour édifices
barres pour édifiées,barres pour édifiées
barrettes,barrettes
barrettes de cuivre,barrettes de cuivre
barriques,barriques
barriques à eau,barriques à eau
barriques à l'eau,barriques à eau
barriques cerclées et fer,barriques cerclées de fer
barriques en bottes,barriques
barriques muid,barriques vides
barriques neuves,barriques neuves
barriques vides,barriques vides
barriques vides cerclées de fer,barriques cerclées de fer et vides
barriques vides vides,barriques vides
barriques vides vieilles,barriques vides vieilles
barriques vieille muid,barriques vides vieilles
barriques vieilles,barriques vieilles
barriques vieilles à vide,barriques vides vieilles
barriques vieilles et vides,barriques vides vieilles
barriques vieilles vides,barriques vides vieilles
bas,bas
bas assortis,bas
bas assortis de toute qualité,bas
bas communs,bas communs
bas coton,bas de coton
bas coton et fil,bas de coton et bas de fil
bas d'estame,bas d'estame
bas d'estame fins,bas d'estame fins
bas d'étoffe,bas d'étoffe
bas de bourre de soie,bas de bourre de soie
bas de castor,bas de castor
bas de chamois,bas de chamois
bas de coton,bas de coton
bas de coton en paires,bas de coton en paires
bas de coton et fil,bas de coton et bas de fil
bas de coton fil,bas de coton et bas de fil
bas de coton fil et soie,bas de coton et bas de fil et bas de soie
bas de coton pour enfant,bas de coton pour enfant
bas de coton pour femme,bas de coton pour femme
bas de coton pour homme,bas de coton pour homme
bas de fil,bas de fil
bas de fil à coton,bas de coton et bas de fil
bas de fil commun,bas de fil commun
bas de fil de coton,bas de coton et bas de fil
bas de fil de coton par paires,bas de coton et bas de fil par paires
bas de fil en paires,bas de fil par paires
bas de fil et bonnets,bas de fil et bonnets
bas de fil et coton,bas de coton et bas de fil
bas de fil et laine,bas de fil et bas de laine
bas de fil par paires,bas de fil par paires
bas de fil pour femme,bas de fil et pour femme
bas de fil pour homme,bas de fil et pour homme
bas de filoselle,bas de filoselle
bas de fleuret,bas de fleuret
bas de la laine,bas de laine
bas de laine,bas de laine
bas de laine communs,bas de laine communs
bas de laine écarlate,bas de laine écarlate
bas de laine et coton,bas de coton et laine
bas de laine fins,bas de laine fin
bas de laine grossière,bas de laine grossière
bas de laine grossiers,bas de laine grossière
bas de laine par paires,bas de laine par paires
bas de mulet,bas de mulet
bas de peau,bas de peau
bas de poil,bas de poil
bas de Saint-Maixant,bas de Saint-Mexant
bas de Ségovie,bas de Ségovie
bas de soie,bas de soie
bas de soie à coins d'argent,bas de soie à coins d'argent
bas de soie à coins d'or,bas de soie à coins d'or
bas de soie à coins d'or et d'argent,bas de soie à coins d'or et bas de soie à coins d'argent
bas de soie à crin d'or,bas à crin d'or et de soie
bas de soie brodés,bas de soie brodés
bas de soie brodés d'or,bas de soie brodés d'or
bas de soie brodés or et argent,bas de soie brodés d'or et bas de soie brodés d'argent
bas de soie de la Chine,bas de soie de Chine
bas de soie de la Chine pour femme,bas de soie de Chine pour femme
bas de soie de la Chine pour homme,bas de soie de Chine pour homme
bas de soie pour femme,bas de soie pour femme
bas de soie pour homme,bas de soie pour homme
bas de soie vieux,bas de soie vieux
bas de toile,bas de toile
bas des ïles et des Indes divers,bas des îles et des Indes
bas divers,bas
bas drapés,bas drapés
bas écriers,bas écriers
bas et bonnets de castor,bas et bonnets de castor
bas et bonnets de coton,bas de coton et bonnets de coton
bas et bonnets de fil,bas et bonnets de fil
bas et bonnets de laine,bas de laine et bonnets de laine
bas et bonnets en coton,bas de coton et bonnets de coton
bas et gants de soie,bas de soie et gants de soie
bas et mitaines de soie bas,mitaines de soie
bas et mitaines de soie mitaines,bas de soie
bas étrillés,bas étrillés
bas fil et coton,bas de coton et bas de fil
bas gants et bonnets de laine,bas de laine et gants de laine et bonnets de laine
bas gants et bonnets de laine fil et coton,bas gants et bonnets de laine fil et coton
bas grossiers,bas grossiers
bas laine par paires,bas de laine par paires
bas poil et soie,bas de poil et bas de soie
bas pour femme,bas pour femme
bas pour homme,bas pour homme
bas soie et coton,bas de coton et bas de soie
bas soie et laine,bas de laine et bas de soie
bas soie et poil,bas de poil et bas de soie
bas-relief de marbre,bas-relief de marbre
basanes,basanes
basanes apprêtées,basanes apprêtées
basanes de mouton,basanes de mouton
basanes de mouton tannées,basanes de mouton tannées
basanes de veau,basanes de veau
basanes de veau tannées,basanes tannées de veau
basanes tanées,basanes tannées
basanes tannées,basanes tannées
basanes tannées de veau,basanes tannées de veau
basin,basin
basin aune,basin
basin blanc,basin blanc
basin blanc de 10 aunes,basin blanc de 10 aunes
basin blanc de 11 aunes,basin blanc de 11 aunes
basin brodé,basin brodé
basin commun,basin commun
basin de Bruges écru en pièces de 115 aunes,"basin de Bruges écru en pièce de 11,5 aunes"
basin de Godelour,basin de Godelour
basin de Rouen,basin de Rouen
basin de soie,basin de soie
basin de Troyes,basin de Troyes
basin des Indes,basin des Indes
basin en aune,basin en aunes
basin fil et coton,basin de fil et de coton
basin or et argent,basin argent et or
basin peint,basin peint
basin pièces de 11 aunes,basin pièces de 11 aunes
basin pièces de 15 aunes,basin pièces de 15 aunes
basin pièces de 40 aunes,basin pièces de 40 aunes
basin rayé,basin rayé
basin sec fil,basin sec fil
basin tout coton,basin tout coton
baspormettes,baspormettes
basse,basse
basse de viole,basse de viole
basse et bassons,basse et bassons
bassin à barbe,bassin à barbe
bassin d'étain,bassin d'étain
bassin de barbe,bassin de barbe
bassin de bois,bassin de bois
bassin de cuivre,bassin de cuivre
bassin de cuivre à barbe,bassin à barbe de cuivre
bassin de cuivre grand,bassin de cuivre grand
bassin de cuivre jaune,bassin de cuivre jaune
bassin de cuivre jaune pour l'entrepôt à la destination de la Compagnie des Indes,bassin de cuivre jaune pour l'entrepôt à la destination de la Compagnie des Indes
bassin de cuivre petit,bassin de cuivre petit
bassin de cuivre pour l'entrepôt pour Guinée,bassin de cuivre pour l'entrepôt pour Guinée
bassin de marbre,bassin de marbre
bassines de cuivre,bassines de cuivre
bassines en cuivre,bassines de cuivre
bassons,bassons
batanomes,batanomes
bâtardes,bâtardes
batavia,batavia
bateaux,bateaux
bateaux à pêcher,bateaux à pêcher
bateaux de pêche,bateaux à pêcher
bateaux de pêcheur,bateaux à pêcher
bateaux neufs,bateaux neufs
bâtiment de mer,bâtiments de mer
bâtiments de mer,bâtiments de mer
bâtiments de mer et agrès,agrès et bâtiments de mer
bâtiments de mer et apparaux,apparaux et bâtiments de mer
bâtiments de mer vieux,bâtiments de mer vieux
batiste,batiste
batiste blanche,batiste blanche
batiste et linon,batiste et linon
batiste et linon et de chanvre,batiste et linon de chanvre
batiste grise,batiste grise
bâton de gaffe,bâtons de gaffe
bâtons,bâtons
bâtons à chandelle,bâtons à chandelle
bâtons à étendre le linge,bâtons à étendre le linge
bâtons à faire cercles,bâtons à faire cercles
bâtons à frottoir,bâtons à frottoir
bâtons à gaffes,bâtons à gaffes
bâtons à lave-place,bâtons à lave-place
bâtons à œillets,bâtons à œillets
bâtons à pinceaux,bâtons à pinceaux
bâtons d'éventails d'ivoire,bâtons d'éventails d'ivoire
bâtons de bois,bâtons de bois
bâtons de bois peints,bâtons de bois peints
bâtons de brosses à goudronner,bâtons de brosses à goudronner
bâtons de cap,bâtons de cap
bâtons de colliers,bâtons de colliers
bâtons de gabares,bâtons de gabares
bâtons de gabares de 14 à 16 pieds,bâtons de gabares de 14 à 16 pieds
bâtons de gaffes,bâtons à gaffes
bâtons de lave-place,bâtons à lave-place
bâtons de pompes,bâtons de pompes
bâtons de saloups,bâtons de saloups
bâtons de sapin,bâtons de sapin
bâtons de sapin de 4 pieds de long,bâtons de sapin de 4 pieds de long
bâtons lave-place,bâtons à lave-place
bâtons lave-places,bâtons à lave-place
bâtons peints,bâtons peints
bâtons vernis,bâtons vernis
bâts,bâts
bâts à matelas,bâts à matelas
bâts à mulets,bâts de mulets
bâts d'ânes,bâts d'ânes
bâts de chevaux,bâts de chevaux
bâts de mulets,bâts de mulets
batterie d'airain,batterie d'airain
batterie de cuisine,batterie de cuisine
batterie de cuivre,batterie de cuivre
batterie de fer,batterie de fer
batterie de fer coulé,batterie de fer coulé
batterie en plaque,batterie en plaque
battes à fer,battes à fer
battoirs,battoirs
battoirs à lessive,battoirs à lessive
baudands,baudriers
baudeaux,baudeaux
baudriers,baudriers
baudriers de cuir,baudriers de cuir
baule,baule
baumanes,baumanes
baume,baume
baume benjoin,baume de benjoin
baume de benjoin,baume de benjoin
baume de Copahu,baume de Copahu
baume de copahu du Pérou,baume de copahu du Pérou
baume de Copahu et du Pérou,baume de Copahu et du Pérou
baume de gaïac,baume de gaïac
baume de l'Amérique,baume de l'Amérique
baume de la Mecque,baume de la Mecque
baume de storax préparé liquide,baume de storax préparé liquide
baume de Sucre,baume de Sucre
baume de Tolu,baume de Tolu
baume de vie,baume de vie
baume du Canada,baume du Canada
baume du Levant,baume du Levant
baume du Pérou,baume du Pérou
baume et élixir,baume et élixir
baume et sucs d'espèces particulières,baume et sucs d'espèces particulières
baume laque,baume laque
baume noir,baume noir
baume rouge,baume rouge
baume storax liquide,baume de storax préparé liquide
baume storax liquide et en pain,baume de storax liquide et en pain
baume storax naturel,baume de storax naturel
baume storax préparé,baume de storax préparé
baume storax préparé en grains,baume de storax préparé en grains
baume storax préparé liquide,baume de storax préparé liquide
bavette,bavette
bavoirs,bavoirs
bavolets et aigrettes,aigrettes et bavolets
baye blanche,bayette blanche
baye blanche aune,bayette blanche aune
baye bleue et rouge,bayette bleue et rouge
baye teinte,bayette teinte
baye teinte aune,bayette teinte aune
bayette,bayette
bayette bleue,bayette bleue
bayette de Beauvais,bayette de Beauvais
bayette des prises,bayette de prise
bayoulen,bayoulen
bazzitte,bazzitte
bdellium,bdellium
beau vert broyé,beau vert broyé
beaudeaux,beaudeaux
beaupré,beaupré
bécasses,bécasses
bécassines,bécassines
becfigues marinés,becfigues marinés
bêches,bêches
bêches de fer,bêches de fer
beige,beige
benblanc,benblanc
benfletins,benfletins
bénitier de marbre,bénitier de marbre
bénitier de marbre poids de 250 livres,bénitier de marbre pesant 250 livres
benjoin,benjoin
benjoin du Levant,benjoin du Levant
bennes,bennes
bennes vides,bennes vides
berce et lit de fer,berce de fer et lit de fer
berceau d'enfant,berceau d'enfant
berceau d'osier,berceau d'osier
bergamote,bergamotes
bergamote ouvrée,bergamotes ouvrées
bergamotes,bergamotes
Bergopzoom,Bergopzoom
Bergopzoom aune,Bergopzoom aune
berline,berline
berline et harnais,berline et harnais
berline et son harnais,berline et harnais
berline garnie de velours,berline garnie de velours
berline garnie de velours crêpine d'or et harnais riche,berline garnie de velours et crêpine d'or et harnais riche
berline vieille,berline vieille
bernes,bernes
bernes de laine,bernes de laine
bernes ou tapsel,bernes ou tapsel
bestiaux,bestiaux
bestiaux agneaux,agneaux
bestiaux ânes,ânes
bestiaux bœuf,bœuf
bestiaux bœuf et vaches,bœuf et vaches
bestiaux bœuf moutons etc.,bestiaux
bestiaux bœufs,bœuf
bestiaux boucs,boucs
bestiaux brebis,brebis
bestiaux chevaux,chevaux
bestiaux chèvres,chèvres
bestiaux chèvres et boucs,boucs et chèvres
bestiaux cochons,cochon
bestiaux cochons petits,cochon petit
bestiaux de somme chevaux,chevaux de labour
bestiaux de somme chevaux pour le haras,chevaux pour le haras
bestiaux de somme en chevaux,chevaux de labour
bestiaux de toute sorte,bestiaux
bestiaux divers,bestiaux
bestiaux divers agneaux,agneaux
bestiaux divers bœufs,bœuf
bestiaux divers bœufs et vaches,bœuf et vaches
bestiaux divers brebis,brebis
bestiaux divers brebis et moutons,brebis et moutons
bestiaux divers chevaux,chevaux
bestiaux divers chèvres,chèvres
bestiaux divers cochons,cochon
bestiaux divers génisses,génisses
bestiaux divers moutons,moutons
bestiaux divers moutons et brebis,moutons et brebis
bestiaux divers mules et mulets,mules et mulets
bestiaux divers mules mulets et ânes,mules et mulets et ânes
bestiaux divers mulets,mulets
bestiaux divers porcs,porcs
bestiaux divers porcs de lait,porcs de lait
bestiaux divers porcs et porcelets,porcs et porcelets
