goods_simpl_classification,nbr_occurences_simpl,coffee_classification,obsolete,nbr_occurences_hamburg,nbr_occurences_coffee
peaux en basannes,0,Not coffee,oui,442379,551912
peaux en buffle et de cerf,1,Not coffee,non,442379,551912
peaux en croûte de vache,1,Not coffee,non,442379,551912
peaux en fourrure,2,Not coffee,non,442379,551912
peaux en laine,2,Not coffee,non,442379,551912
peaux en laine tannées,1,Not coffee,non,442379,551912
peaux en maroquin,2,Not coffee,non,442379,551912
peaux en maroquin ou vernissées,1,Not coffee,non,442379,551912
peaux en parchemins,24,Not coffee,non,442379,551912
peaux en poil,9,Not coffee,non,442379,551912
peaux en poil de Barbarie,2,Not coffee,non,442379,551912
peaux en poil de renard,1,Not coffee,non,442379,551912
peaux et pelleterie,617,Not coffee,non,442379,551912
peaux et pelleterie apprêtées,1,Not coffee,non,442379,551912
peaux et pelleterie apprêtées et tannées de mouton,4,Not coffee,non,442379,551912
peaux et pelleterie corroyées et tannées de mouton,1,Not coffee,non,442379,551912
peaux et pelleterie corroyées et tannées de veau,5,Not coffee,non,442379,551912
peaux et pelleterie d'agneau,1,Not coffee,non,442379,551912
peaux et pelleterie d'orignal,1,Not coffee,non,442379,551912
peaux et pelleterie de bouc,1,Not coffee,non,442379,551912
peaux et pelleterie de chamois,2,Not coffee,non,442379,551912
peaux et pelleterie de chat,3,Not coffee,non,442379,551912
peaux et pelleterie de chèvre,1,Not coffee,non,442379,551912
peaux et pelleterie de daim,1,Not coffee,non,442379,551912
peaux et pelleterie de maroquins,5,Not coffee,non,442379,551912
peaux et pelleterie de mouton,1,Not coffee,non,442379,551912
peaux et pelleterie de veau,1,Not coffee,non,442379,551912
peaux et poil,1,Not coffee,non,442379,551912
peaux étrangères et sauvages,1,Not coffee,non,442379,551912
peaux fourrure d'écureuil,1,Not coffee,non,442379,551912
peaux grasses de veau,1,Not coffee,non,442379,551912
peaux jaunes,5,Not coffee,non,442379,551912
peaux marinées de chat,4,Not coffee,non,442379,551912
peaux maroquinées de mouton,4,Not coffee,non,442379,551912
peaux maroquinées ou vernissées,2,Not coffee,non,442379,551912
peaux mégissées,1,Not coffee,non,442379,551912
peaux musqué de rat,5,Not coffee,non,442379,551912
peaux non tannées de veau,1,Not coffee,non,442379,551912
peaux passée,1,Not coffee,non,442379,551912
peaux pelisse,8,Not coffee,non,442379,551912
peaux pour emballage,1,Not coffee,non,442379,551912
peaux pour éventail,2,Not coffee,non,442379,551912
peaux pour éventails,1,Not coffee,non,442379,551912
peaux pour gants,2,Not coffee,non,442379,551912
peaux pour tambour,2,Not coffee,non,442379,551912
peaux préparées d'agneau et chevreau en confit en poil et en mégie,2,Not coffee,non,442379,551912
peaux préparées de veaux,1,Not coffee,non,442379,551912
peaux rases,1,Not coffee,non,442379,551912
peaux Russie,2,Not coffee,non,442379,551912
peaux sauvages de castor,1,Not coffee,non,442379,551912
peaux sauvagines,62,Not coffee,non,442379,551912
peaux sauvagines en poil,1,Not coffee,non,442379,551912
peaux sèches,1,Not coffee,non,442379,551912
peaux sèches de putois,1,Not coffee,non,442379,551912
peaux sèches en poil de lièvre et lapin,2,Not coffee,non,442379,551912
peaux tannées,12,Not coffee,non,442379,551912
peaux tannées de vache,9,Not coffee,non,442379,551912
peaux tannées de veau,624,Not coffee,non,442379,551912
peaux tapisserie,1,Not coffee,non,442379,551912
peaux teintes,2,Not coffee,non,442379,551912
peaux teintes de veau,8,Not coffee,non,442379,551912
pêche sèches,7,Not coffee,non,442379,551912
pêchers,1,Not coffee,non,442379,551912
pêches,1,Not coffee,non,442379,551912
pêches à l'eau-de-vie,2,Not coffee,non,442379,551912
pêches fraîches,1,Not coffee,non,442379,551912
pecuacan,1,Not coffee,non,442379,551912
peignes,11,Not coffee,non,442379,551912
peignes à chanvre,1,Not coffee,non,442379,551912
peignes à tisserand,12,Not coffee,non,442379,551912
peignes d'écaille,5,Not coffee,non,442379,551912
peignes d'étoffe,2,Not coffee,non,442379,551912
peignes d'herbe,5,Not coffee,non,442379,551912
peignes d'ivoire,43,Not coffee,non,442379,551912
peignes d'os,1,Not coffee,non,442379,551912
peignes de bois,20,Not coffee,non,442379,551912
peignes de buis,311,Not coffee,non,442379,551912
peignes de corne,43,Not coffee,non,442379,551912
peignes de coton,1,Not coffee,non,442379,551912
peignes de griffon,1,Not coffee,non,442379,551912
peignes de Rouen,1,Not coffee,non,442379,551912
peignes de tisserand,2,Not coffee,non,442379,551912
peignes des dieux,3,Not coffee,non,442379,551912
peignes pour travailler la laine,1,Not coffee,non,442379,551912
peinture,0,Not coffee,oui,442379,551912
peintures,147,Not coffee,non,442379,551912
peintures à l'huile,6,Not coffee,non,442379,551912
peintures à sorties,0,Not coffee,oui,442379,551912
peintures apprêtées,1,Not coffee,non,442379,551912
peintures assorties,1,Not coffee,non,442379,551912
peintures broyées,19,Not coffee,non,442379,551912
peintures communes,7,Not coffee,non,442379,551912
peintures et gravures,78,Not coffee,non,442379,551912
peintures et tableaux,1,Not coffee,non,442379,551912
peintures grossières,6,Not coffee,non,442379,551912
peintures jaunes,1,Not coffee,non,442379,551912
peintures préparées,1,Not coffee,non,442379,551912
Pékin,82,Not coffee,non,442379,551912
Pékin à fleur,4,Not coffee,non,442379,551912
Pékin à grande fleur,1,Not coffee,non,442379,551912
Pékin broché,1,Not coffee,non,442379,551912
Pékin broché et rayé,1,Not coffee,non,442379,551912
Pékin brodé,2,Not coffee,non,442379,551912
Pékin mi-soie,1,Not coffee,non,442379,551912
Pékin non peint,1,Not coffee,non,442379,551912
Pékin peint,7,Not coffee,non,442379,551912
Pékin peint et rayé,1,Not coffee,non,442379,551912
Pékin petit,2,Not coffee,non,442379,551912
Pékin rayé,4,Not coffee,non,442379,551912
Pékin uni,12,Not coffee,non,442379,551912
pelicules d'alkermès,0,Not coffee,oui,442379,551912
pelincuche,1,Not coffee,non,442379,551912
pelisse,2,Not coffee,non,442379,551912
pelisse commune,1,Not coffee,non,442379,551912
pellerie de fer,1,Not coffee,non,442379,551912
pelles,1,Not coffee,non,442379,551912
pelles à main de bois,1,Not coffee,non,442379,551912
pelles à pinceves,1,Not coffee,non,442379,551912
pelles à plat de bois,1,Not coffee,non,442379,551912
pelles commune,1,Not coffee,non,442379,551912
pelles de bois,104,Not coffee,non,442379,551912
pelles de bois ailes de fléaux brosses etc,2,Not coffee,non,442379,551912
pelles de bois et ailes de fléaux,1,Not coffee,non,442379,551912
pelles de bois ferrées,10,Not coffee,non,442379,551912
pelles de fer,27,Not coffee,non,442379,551912
pelles de sapin,3,Not coffee,non,442379,551912
pelles et pinces,2,Not coffee,non,442379,551912
pelles ferrées,7,Not coffee,non,442379,551912
pelles non ferrées,1,Not coffee,non,442379,551912
pelleterie,444,Not coffee,non,442379,551912
pelleterie ???,6,Not coffee,non,442379,551912
pelleterie apprêtée,558,Not coffee,non,442379,551912
pelleterie apprêtée commune,21,Not coffee,non,442379,551912
pelleterie apprêtée de lapin et de lièvre,2,Not coffee,non,442379,551912
pelleterie apprêtée de phoque éjarré,2,Not coffee,non,442379,551912
pelleterie apprêtée en blanc,1,Not coffee,non,442379,551912
pelleterie apprêtée fine,2,Not coffee,non,442379,551912
pelleterie apprêtées de sauvagines,4,Not coffee,non,442379,551912
pelleterie blanche,28,Not coffee,non,442379,551912
pelleterie blanche et teinte,1,Not coffee,non,442379,551912
pelleterie brute d'agneau et de chevreau,1,Not coffee,non,442379,551912
pelleterie brute de lapin et de lièvre,1,Not coffee,non,442379,551912
pelleterie commune,137,Not coffee,non,442379,551912
pelleterie commune crue,18,Not coffee,non,442379,551912
pelleterie commune du Canada,15,Not coffee,non,442379,551912
pelleterie commune en poil,1,Not coffee,non,442379,551912
pelleterie crue,276,Not coffee,non,442379,551912
pelleterie crue en poil,2,Not coffee,non,442379,551912
pelleterie cuir,2,Not coffee,non,442379,551912
pelleterie d'ours,1,Not coffee,non,442379,551912
pelleterie de blaireaux cougars léopards lions loups once panthères zèbres,0,Not coffee,oui,442379,551912
pelleterie de blaireaux onces léopards panthères tigres lions loups ordinaires zèbres cougars,2,Not coffee,non,442379,551912
pelleterie de castor,2,Not coffee,non,442379,551912
pelleterie de castor castorins chameaux chèvres lamas loutres vigognes,0,Not coffee,oui,442379,551912
pelleterie de castors castorins chameaux chèvres vigognes lamas loutres,2,Not coffee,non,442379,551912
pelleterie de chat,1,Not coffee,non,442379,551912
pelleterie de Gray,2,Not coffee,non,442379,551912
pelleterie de lapin et de lièvre,1,Not coffee,non,442379,551912
pelleterie de sauvagines,21,Not coffee,non,442379,551912
pelleterie diverse apprêtée,1,Not coffee,non,442379,551912
pelleterie du Canada,169,Not coffee,non,442379,551912
pelleterie du Canada à passée,1,Not coffee,non,442379,551912
pelleterie en parchemins,2,Not coffee,non,442379,551912
pelleterie et peaux,40,Not coffee,non,442379,551912
pelleterie et peaux apprêtées,9,Not coffee,non,442379,551912
pelleterie fine,4,Not coffee,non,442379,551912
pelleterie morceaux cousus de marte et petit gris,1,Not coffee,non,442379,551912
pelleterie non apprêtée de lièvre,1,Not coffee,non,442379,551912
pelleterie ouvrée,36,Not coffee,non,442379,551912
pelleterie sans apprêt,1,Not coffee,non,442379,551912
pelleterie sauvaigne,1,Not coffee,non,442379,551912
pellicules d'alkermès,1,Not coffee,non,442379,551912
pelong,1,Not coffee,non,442379,551912
pelote de lin,8,Not coffee,non,442379,551912
peluches,227,Not coffee,non,442379,551912
peluches d'Amiens,1,Not coffee,non,442379,551912
peluches de bois,1,Not coffee,non,442379,551912
peluches de coton,2,Not coffee,non,442379,551912
peluches de laine,1,Not coffee,non,442379,551912
peluches et panne,1,Not coffee,non,442379,551912
peluchon de prises,1,Not coffee,non,442379,551912
peluchon des prises,0,Not coffee,oui,442379,551912
pelure de cacao,1,Not coffee,non,442379,551912
pendant d'oreille,5,Not coffee,non,442379,551912
pendant d'oreille de grena,1,Not coffee,non,442379,551912
pendants d'oreilles à perles fausses,1,Not coffee,non,442379,551912
penderie,1,Not coffee,non,442379,551912
pendules,39,Not coffee,non,442379,551912
pendules communes,3,Not coffee,non,442379,551912
pendules de bois,2,Not coffee,non,442379,551912
pendules de cuivre doré,1,Not coffee,non,442379,551912
péniens,1,Not coffee,non,442379,551912
penne,1,Not coffee,non,442379,551912
penne aguipon,1,Not coffee,non,442379,551912
pentures de fer,2,Not coffee,non,442379,551912
pépins d'orange,1,Not coffee,non,442379,551912
percale,11,Not coffee,non,442379,551912
percale bleue,3,Not coffee,non,442379,551912
percale de,1,Not coffee,non,442379,551912
percale ou coutil pour couette,1,Not coffee,non,442379,551912
perceintes,2,Not coffee,non,442379,551912
percepierre,1,Not coffee,non,442379,551912
percerettes,5,Not coffee,non,442379,551912
percerettes de fer,1,Not coffee,non,442379,551912
perche et avirons de bois,0,Not coffee,oui,442379,551912
perches,37,Not coffee,non,442379,551912
perches à houblon,5,Not coffee,non,442379,551912
perches carrées,1,Not coffee,non,442379,551912
perches communes,1,Not coffee,non,442379,551912
perches communes ou petites de sapin,1,Not coffee,non,442379,551912
perches de 10 pieds,1,Not coffee,non,442379,551912
perches de 15 à 20 pieds,1,Not coffee,non,442379,551912
perches de 20 à 25 pieds,1,Not coffee,non,442379,551912
perches de 25 pieds,1,Not coffee,non,442379,551912
perches de bois,6,Not coffee,non,442379,551912
perches de bois à houblon,1,Not coffee,non,442379,551912
perches de bois et échalas de bois et échasses de bois,9,Not coffee,non,442379,551912
perches de bois et échalas de bois et éclisses de bois,7,Not coffee,non,442379,551912
perches de bois pour jardin,1,Not coffee,non,442379,551912
perches de lawaire,1,Not coffee,non,442379,551912
perches de sapin,33,Not coffee,non,442379,551912
perches de sapin de 15 à 16 pieds,1,Not coffee,non,442379,551912
perches de sapin de 15 pieds,1,Not coffee,non,442379,551912
perches de sapin de 15 pieds de long,0,Not coffee,oui,442379,551912
perches dites boomse capravens,1,Not coffee,non,442379,551912
perches dites waerettes,1,Not coffee,non,442379,551912
perches dites waires,1,Not coffee,non,442379,551912
perches du warette,1,Not coffee,non,442379,551912
perches et plantes et vignes,2,Not coffee,non,442379,551912
perches ferrées,1,Not coffee,non,442379,551912
perches grande,1,Not coffee,non,442379,551912
perches grandes dit juffers,1,Not coffee,non,442379,551912
perches moyennes dites capravens,1,Not coffee,non,442379,551912
perches petites et échalas petits et étançons petits,1,Not coffee,non,442379,551912
perdreaux,2,Not coffee,non,442379,551912
perdrix,43,Not coffee,non,442379,551912
perdrix en plumes,1,Not coffee,non,442379,551912
perdrix marinées,1,Not coffee,non,442379,551912
pereintes en chêne,1,Not coffee,non,442379,551912
pereintes en chesne,0,Not coffee,oui,442379,551912
pérelle,1,Not coffee,non,442379,551912
perlasse ???,1,Not coffee,non,442379,551912
perlasse et gravelées,1,Not coffee,non,442379,551912
perles,2,Not coffee,non,442379,551912
perles bleues,1,Not coffee,non,442379,551912
perles de verre,1,Not coffee,non,442379,551912
perles en semence,2,Not coffee,non,442379,551912
perles en semence dite grainelle,2,Not coffee,non,442379,551912
perles et pierres fines montées et non montées,52,Not coffee,non,442379,551912
perles fausses,27,Not coffee,non,442379,551912
perles fausses montées,3,Not coffee,non,442379,551912
perles fines,13,Not coffee,non,442379,551912
perles fines de toute pêche,4,Not coffee,non,442379,551912
pernambouc,4,Not coffee,non,888,551912
Pernambouc,0,Not coffee,oui,888,551912
perpétuane,35,Not coffee,non,442379,551912
perpétuane apprêtée et peinte,1,Not coffee,non,442379,551912
perpétuane aune,1,Not coffee,non,442379,551912
perpétuane blanche,2,Not coffee,non,442379,551912
perpétuane de laine,4,Not coffee,non,442379,551912
perpétuane peinte,1,Not coffee,non,442379,551912
perroquets,1,Not coffee,non,442379,551912
perruques,115,Not coffee,non,442379,551912
perruques à bourses,1,Not coffee,non,442379,551912
perruques communes,2,Not coffee,non,442379,551912
perruques de cheveux,1,Not coffee,non,442379,551912
perruques de cheveux et laine,1,Not coffee,non,442379,551912
perruques de laine,2,Not coffee,non,442379,551912
perruques de peau d'agneau,1,Not coffee,non,442379,551912
perruques de peau de mouton,1,Not coffee,non,442379,551912
perruques de poil de chèvre,1,Not coffee,non,442379,551912
perruques neuves,1,Not coffee,non,442379,551912
perruques vieilles,1,Not coffee,non,442379,551912
perses,1,Not coffee,non,442379,551912
persienne,3,Not coffee,non,442379,551912
persil de macédoine,2,Not coffee,non,442379,551912
pertiolles,5,Not coffee,non,442379,551912
pertuisanes,1,Not coffee,non,442379,551912
pesetas,1,Not coffee,non,442379,551912
petit carré de fer,1,Not coffee,non,9794,551912
petit raz de castor,2,Not coffee,non,442379,551912
petit raz refoulé,1,Not coffee,non,442379,551912
petit salé,34,Not coffee,non,442379,551912
petit salé et porcs salés,1,Not coffee,non,442379,551912
petit son,1,Not coffee,non,442379,551912
petite ratine,0,Not coffee,oui,442379,551912
petite Venise,1,Not coffee,non,442379,551912
petites pièces de pin,1,Not coffee,non,442379,551912
petits chênes dits chêneaux,1,Not coffee,non,442379,551912
pétrification,1,Not coffee,non,442379,551912
pétrole,6,Not coffee,non,442379,551912
petum,1,Not coffee,non,442379,551912
peury,1,Not coffee,non,442379,551912
pevine,1,Not coffee,non,442379,551912
phaéton,14,Not coffee,non,442379,551912
phaëton,0,Not coffee,oui,442379,551912
phiass,1,Not coffee,non,442379,551912
philas,1,Not coffee,non,442379,551912
philipichine,17,Not coffee,non,442379,551912
philipichine de poil,1,Not coffee,non,442379,551912
phillipichine,11,Not coffee,non,442379,551912
photade,1,Not coffee,non,442379,551912
photas,45,Not coffee,non,442379,551912
photas des Indes,2,Not coffee,non,442379,551912
piano,2,Not coffee,non,442379,551912
piano forte,1,Not coffee,non,442379,551912
piastres,111,Not coffee,non,442379,551912
piastres d'Espagne,7,Not coffee,non,442379,551912
piastres du grand seigneur,2,Not coffee,non,442379,551912
piastres et talaris,1,Not coffee,non,442379,551912
piastres et talaris par La Cure et Strasbourg,1,Not coffee,non,442379,551912
piastres et talaris par Marseille,2,Not coffee,non,442379,551912
piastres et talaris par Strasbourg,1,Not coffee,non,442379,551912
piastres fortes,1,Not coffee,non,442379,551912
piastres gourdes,1,Not coffee,non,442379,551912
piastres par le Havre,1,Not coffee,non,442379,551912
piastres par le Pont de Beauvoisin,2,Not coffee,non,442379,551912
picotte,21,Not coffee,non,442379,551912
picotte de laine,2,Not coffee,non,442379,551912
picotte de Lille,4,Not coffee,non,442379,551912
picotte de soie,1,Not coffee,non,442379,551912
pièces à eau,4,Not coffee,non,442379,551912
pièces couvertures de laine,3,Not coffee,non,442379,551912
pièces d'argent et d'or d'Espagne,1,Not coffee,non,442379,551912
pièces d'or d'Espagne,1,Not coffee,non,442379,551912
pied d'huile,1,Not coffee,non,442379,551912
pied d'huile de poisson,1,Not coffee,non,442379,551912
piedmento,1,Not coffee,non,442379,551912
pieds d'élan,6,Not coffee,non,442379,551912
pieds de bœuf,3,Not coffee,non,442379,551912
pieds de bœuf et sang de bétail,2,Not coffee,non,442379,551912
pieds de cochon,1,Not coffee,non,442379,551912
pieds de gite de bois scié,1,Not coffee,non,442379,551912
pieds de vide,1,Not coffee,non,442379,551912
pieds doré,1,Not coffee,non,442379,551912
pieds et têtes,1,Not coffee,non,442379,551912
pienne de fil,1,Not coffee,non,442379,551912
pierre à plâtre ou plâtre brut,2,Not coffee,non,442379,551912
pierre d'ailx,1,Not coffee,non,442379,551912
pierre d'algazon,1,Not coffee,non,442379,551912
pierre de molasse,0,Not coffee,oui,442379,551912
pierrerie,1,Not coffee,non,442379,551912
pierrerie fausse,1,Not coffee,non,442379,551912
pierrerie fausse et fine,1,Not coffee,non,442379,551912
pierres,89,Not coffee,non,442379,551912
pierres ???,1,Not coffee,non,442379,551912
pierres à,1,Not coffee,non,442379,551912
pierres à affiler,1,Not coffee,non,442379,551912
pierres à affiler de 1 à 2 1/2 pieds,1,Not coffee,non,442379,551912
pierres à affiler de 3 à 4 pieds,1,Not coffee,non,442379,551912
pierres à affiler de 5 à 6 pieds,1,Not coffee,non,442379,551912
pierres à affiler milanaises ou fiquets,1,Not coffee,non,442379,551912
pierres à aiguiser,317,Not coffee,non,442379,551912
pierres à aiguiser et en meules et à taillandier,30,Not coffee,non,442379,551912
pierres à aiguiser et tendres,1,Not coffee,non,442379,551912
pierres à aiguiser milanaise ou fiquets,1,Not coffee,non,442379,551912
pierres à aiguiser ou fiquets,1,Not coffee,non,442379,551912
pierres à bâtir,170,Not coffee,non,442379,551912
pierres à bâtir brutes,1,Not coffee,non,442379,551912
pierres à bâtir chaux et plâtre,13,Not coffee,non,442379,551912
pierres à bâtir communes,1,Not coffee,non,442379,551912
pierres à bâtir communes de 3 à 7 pieds,1,Not coffee,non,442379,551912
pierres à bâtir dites tuffeaux,3,Not coffee,non,442379,551912
pierres à bâtir et à paver,15,Not coffee,non,442379,551912
pierres à broyer couleurs,1,Not coffee,non,442379,551912
pierres à broyer couleurs et moudre tabac,1,Not coffee,non,442379,551912
pierres à broyer couleurs et tabac,1,Not coffee,non,442379,551912
pierres à broyer le cacao,1,Not coffee,non,442379,551912
pierres à calfeutrer,1,Not coffee,non,442379,551912
pierres à chaux,12,Not coffee,non,442379,551912
pierres à détacher,1,Not coffee,non,442379,551912
pierres à diguer,1,Not coffee,non,442379,551912
pierres à distiller d'eau,1,Not coffee,non,442379,551912
pierres à éviers,1,Not coffee,non,442379,551912
pierres à faire chaux,16,Not coffee,non,442379,551912
pierres à faucher,1,Not coffee,non,442379,551912
pierres à faux,207,Not coffee,non,442379,551912
pierres à faux et à polir,1,Not coffee,non,442379,551912
pierres à feu,7,Not coffee,non,442379,551912
pierres à feu autres qu'agates,2,Not coffee,non,442379,551912
pierres à filtrer,5,Not coffee,non,442379,551912
pierres à filtrer l'eau,23,Not coffee,non,442379,551912
pierres à fouler le blé,1,Not coffee,non,442379,551912
pierres à four,4,Not coffee,non,442379,551912
pierres à foyer,9,Not coffee,non,442379,551912
pierres à fusils,925,Not coffee,non,442379,551912
pierres à fusils et autres,1,Not coffee,non,442379,551912
pierres à hamatilles,1,Not coffee,non,442379,551912
pierres à huile,13,Not coffee,non,442379,551912
pierres à manganèse,1,Not coffee,non,442379,551912
pierres à meubles,2,Not coffee,non,442379,551912
pierres à meuler,1,Not coffee,non,442379,551912
pierres à meules,28,Not coffee,non,442379,551912
pierres à mordre,1,Not coffee,non,442379,551912
pierres à mordre moutarde de 1 1/2 à 3 pieds,1,Not coffee,non,442379,551912
pierres à mordre tabac,1,Not coffee,non,442379,551912
pierres à moules,1,Not coffee,non,442379,551912
pierres à moutarde travaillées,1,Not coffee,non,442379,551912
pierres à passer,1,Not coffee,non,442379,551912
pierres à paver,53,Not coffee,non,442379,551912
pierres à paver d'1 pied carré,1,Not coffee,non,442379,551912
pierres à paver d'en dessus d'1 pied carré,1,Not coffee,non,442379,551912
pierres à paver de 12 à 13 pouces,1,Not coffee,non,442379,551912
pierres à paver de 3 à 9 pouces,1,Not coffee,non,442379,551912
pierres à paver de 9 pouces,1,Not coffee,non,442379,551912
pierres à paver non polies,2,Not coffee,non,442379,551912
pierres à paver polies,2,Not coffee,non,442379,551912
pierres à plaque,1,Not coffee,non,442379,551912
pierres à plâtre ou plâtre brut,4,Not coffee,non,442379,551912
pierres à polir,2,Not coffee,non,442379,551912
pierres à polir et ponce,1,Not coffee,non,442379,551912
pierres à rasoir,34,Not coffee,non,442379,551912
pierres à repasser,3,Not coffee,non,442379,551912
pierres à taillandier,28,Not coffee,non,442379,551912
pierres à tombe,1,Not coffee,non,442379,551912
pierres affiloires,0,Not coffee,oui,442379,551912
pierres antiques,1,Not coffee,non,442379,551912
pierres bant et de jais,1,Not coffee,non,442379,551912
pierres bas de malle,1,Not coffee,non,442379,551912
pierres blanches,16,Not coffee,non,442379,551912
pierres blanches à bâtir,4,Not coffee,non,442379,551912
pierres blanches à carreler,1,Not coffee,non,442379,551912
pierres blanches en longues pièces à paver,3,Not coffee,non,442379,551912
pierres bleues,25,Not coffee,non,442379,551912
pierres bleues à paver,1,Not coffee,non,442379,551912
pierres bleues brûlées,1,Not coffee,non,442379,551912
pierres bleues en blocs,1,Not coffee,non,442379,551912
pierres bleues en carreaux,1,Not coffee,non,442379,551912
pierres bleues travaillées,1,Not coffee,non,442379,551912
pierres calamines,4,Not coffee,non,442379,551912
pierres caprades blanches,2,Not coffee,non,442379,551912
pierres carrées à bâtir,1,Not coffee,non,442379,551912
pierres carrées à paver,2,Not coffee,non,442379,551912
pierres carrées à paver de 8 à 9 pouces,1,Not coffee,non,442379,551912
pierres chaux et plâtre,24,Not coffee,non,442379,551912
pierres codes,101,Not coffee,non,442379,551912
pierres cornaline,2,Not coffee,non,442379,551912
pierres d'absinthe,1,Not coffee,non,442379,551912
pierres d'agate,13,Not coffee,non,442379,551912
pierres d'agate travaillées,1,Not coffee,non,442379,551912
pierres d'aimant,14,Not coffee,non,442379,551912
pierres d'architecture,1,Not coffee,non,442379,551912
pierres d'ardoise,44,Not coffee,non,442379,551912
pierres d'arquebuse,2,Not coffee,non,442379,551912
pierres d'asphalte,1,Not coffee,non,442379,551912
pierres d'autel,1,Not coffee,non,442379,551912
pierres d'écrevisses,1,Not coffee,non,442379,551912
pierres d'élan,1,Not coffee,non,442379,551912
pierres d'émeraude,2,Not coffee,non,442379,551912
pierres d'émeri,80,Not coffee,non,442379,551912
pierres d'émeri en poudre,0,Not coffee,oui,442379,551912
pierres d'éponges,2,Not coffee,non,442379,551912
pierres d'hyacinthe,1,Not coffee,non,442379,551912
pierres de ??? à paver,1,Not coffee,non,442379,551912
pierres de barre,1,Not coffee,non,442379,551912
pierres de barriques,1,Not coffee,non,442379,551912
pierres de bas de meule,1,Not coffee,non,442379,551912
pierres de Bentem,1,Not coffee,non,442379,551912
pierres de Bidache,8,Not coffee,non,442379,551912
pierres de Bidache en carreaux,1,Not coffee,non,442379,551912
pierres de bleu,1,Not coffee,non,442379,551912
pierres de Briançon,1,Not coffee,non,442379,551912
pierres de chaussée ou de grès,1,Not coffee,non,442379,551912
pierres de chaux,4,Not coffee,non,442379,551912
pierres de composition,7,Not coffee,non,442379,551912
pierres de coument,1,Not coffee,non,442379,551912
pierres de faux,2,Not coffee,non,442379,551912
pierres de fer,1,Not coffee,non,9794,551912
pierres de fonte,1,Not coffee,non,442379,551912
pierres de four,38,Not coffee,non,442379,551912
pierres de fusils,3,Not coffee,non,442379,551912
pierres de grès,4,Not coffee,non,442379,551912
pierres de grés à paver,5,Not coffee,non,442379,551912
pierres de grison,40,Not coffee,non,442379,551912
pierres de jais,4,Not coffee,non,442379,551912
pierres de jais brut,1,Not coffee,non,442379,551912
pierres de jais et ???,5,Not coffee,non,442379,551912
pierres de jais et ouvrées,0,Not coffee,oui,442379,551912
pierres de jaspe,2,Not coffee,non,442379,551912
pierres de laine,4,Not coffee,non,442379,551912
pierres de Malte,53,Not coffee,non,442379,551912
pierres de marbre,8,Not coffee,non,442379,551912
pierres de marbre brut,1,Not coffee,non,442379,551912
pierres de marbre ouvré,7,Not coffee,non,442379,551912
pierres de matte,2,Not coffee,non,442379,551912
pierres de meubles,1,Not coffee,non,442379,551912
pierres de meules,3,Not coffee,non,442379,551912
pierres de Milan,1,Not coffee,non,442379,551912
pierres de mine,1,Not coffee,non,442379,551912
pierres de molasse,1,Not coffee,non,442379,551912
pierres de mole,1,Not coffee,non,442379,551912
pierres de mouches,1,Not coffee,non,442379,551912
pierres de moulage,6,Not coffee,non,442379,551912
pierres de Namur,1,Not coffee,non,442379,551912
pierres de roche,2,Not coffee,non,442379,551912
pierres de Saint-Cast,23,Not coffee,non,442379,551912
pierres de seuil,1,Not coffee,non,442379,551912
pierres de Suisse,8,Not coffee,non,442379,551912
pierres de taille,40,Not coffee,non,442379,551912
pierres de taille à effiler,1,Not coffee,non,442379,551912
pierres de taille de 5 pieds de longueur sur 3 pieds de largueur,1,Not coffee,non,442379,551912
pierres de tombe,3,Not coffee,non,442379,551912
pierres de tombe de 4 à 6 pieds,1,Not coffee,non,442379,551912
pierres de tombe de 7 à 9 pieds,1,Not coffee,non,442379,551912
pierres de tombe de haute catégorie,1,Not coffee,non,442379,551912
pierres de tombe de moindre classe,1,Not coffee,non,442379,551912
pierres de touche,2,Not coffee,non,442379,551912
pierres de tuiles,1,Not coffee,non,442379,551912
pierres de verre,5,Not coffee,non,442379,551912
pierres de vin,6,Not coffee,non,442379,551912
pierres des Indes,1,Not coffee,non,442379,551912
pierres éclatantes,8,Not coffee,non,442379,551912
pierres éclatantes et de verre,1,Not coffee,non,442379,551912
pierres éclatantes et fausses,4,Not coffee,non,442379,551912
pierres éclatantes ou de verre,1,Not coffee,non,442379,551912
pierres en ???,1,Not coffee,non,442379,551912
pierres en blocs,2,Not coffee,non,442379,551912
pierres en blocs et brutes,1,Not coffee,non,442379,551912
pierres en borne-frontière,1,Not coffee,non,442379,551912
pierres en carreaux,9,Not coffee,non,442379,551912
pierres en carreaux à mouler,1,Not coffee,non,442379,551912
pierres en cheminée et statue,1,Not coffee,non,442379,551912
pierres en cheminée et travaillées,1,Not coffee,non,442379,551912
pierres en cippes,1,Not coffee,non,442379,551912
pierres en grès taillés meules,25,Not coffee,non,442379,551912
pierres en longues pièces à paver,1,Not coffee,non,442379,551912
pierres en masses et en blocs,1,Not coffee,non,442379,551912
pierres en meules,11,Not coffee,non,442379,551912
pierres en mortier,2,Not coffee,non,442379,551912
pierres en pièces grandes,1,Not coffee,non,442379,551912
pierres en quartiers,14,Not coffee,non,442379,551912
pierres en quartiers à bâtir,1,Not coffee,non,442379,551912
pierres et chanvre,1,Not coffee,non,442379,551912
pierres et grès taillé à meule,0,Not coffee,oui,442379,551912
pierres et grès taillés,28,Not coffee,non,442379,551912
pierres et grès taillés meules etc.,0,Not coffee,oui,442379,551912
