simplification,nbr_occurences_simpl,revolutionempire,obsolete,nbr_occurences_revolutionempire
arbres,51,Matières premières diverses,non,15181
arbres à fruits,2,Matières premières diverses,non,15181
arbres à planter,142,Matières premières diverses,non,15181
arbres châtaignier,4,Matières premières diverses,non,15181
arbres d' ???,1,Matières premières diverses,non,15181
arbres d'auban,1,Matières premières diverses,non,15181
arbres de sapin,1,Matières premières diverses,non,15181
arbres et arbrisseaux,25,Matières premières diverses,non,15181
arbres et arbrisseaux à fruits,0,Matières premières diverses,non,15181
arbres et arbrisseaux sauvages,0,Matières premières diverses,non,15181
arbres et arbustes,6,Matières premières diverses,non,15181
arbres et plants,1,Matières premières diverses,non,15181
arbres fruitiers,88,Matières premières diverses,non,15181
arbres marronniers à planter,1,Matières premières diverses,non,15181
arbres nains,1,Matières premières diverses,non,15181
arbres tilleul,3,Matières premières diverses,non,15181
arbrisseaux,9,Matières premières diverses,non,15181
arbustes,3,Matières premières diverses,non,15181
arcanette,1,Animaux,non,3801
arcanie,1,Produits inconnus,non,7059
arcanson,4,"Brai, goudron et résines",non,8389
arcanum duplicatum,2,Produits inconnus,non,7059
archets de violons,0,Ouvrages divers et mélangés,non,16505
archets et violon,1,Ouvrages divers et mélangés,non,16505
arçons de bas de bois,1,Cordonnerie et sellerie,non,2064
arçons de bois,1,Cordonnerie et sellerie,non,2064
arçons de selles,13,Cordonnerie et sellerie,non,2064
arçons démontés,1,Cordonnerie et sellerie,non,2064
ardoise,368,Matières premières diverses,non,15181
ardoise à piler,1,Matières premières diverses,non,15181
ardoise commune,1,Matières premières diverses,non,15181
ardoise dite chérubin et à mortier,0,Matières premières diverses,non,15181
ardoise dite grande voisine,0,Matières premières diverses,non,15181
ardoise dite moyenne voisine,0,Matières premières diverses,non,15181
ardoise dite petite voisine,0,Matières premières diverses,non,15181
ardoise dite voisine grande moyenne et petite,0,Matières premières diverses,non,15181
ardoise en carreaux,1,Matières premières diverses,non,15181
ardoise en carreaux et d'1 pied carré,1,Matières premières diverses,non,15181
ardoise en carreaux ou en table,7,Matières premières diverses,non,15181
ardoise en livret,0,Matières premières diverses,non,15181
ardoise encadrée,0,Matières premières diverses,non,15181
ardoise encadrée et en livret,0,Matières premières diverses,non,15181
ardoise non travaillée,0,Matières premières diverses,non,15181
ardoise pour fenêtre,6,Matières premières diverses,non,15181
ardoise pour toiture,8,Matières premières diverses,non,15181
ardoise pour toiture au kilogramme,1,Matières premières diverses,non,15181
ardoise pour toiture au nombre,2,Matières premières diverses,non,15181
ardoise verte,1,Matières premières diverses,non,15181
ardoises,1,Matières premières diverses,non,15181
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,Matières premières diverses,non,15181
arelles de baleine,1,Ouvrages divers et mélangés,non,16505
argent,11,Monnaies et métaux précieux,non,1024
argent battu,1,Monnaies et métaux précieux,non,1024
argent battu et en feuille,2,Monnaies et métaux précieux,non,1024
argent battu filé laminé et tiré,3,Monnaies et métaux précieux,non,1024
argent brisé et en lingots et en masses,1,Monnaies et métaux précieux,non,1024
argent brûlé,1,Monnaies et métaux précieux,non,1024
argent brut,1,Monnaies et métaux précieux,non,1024
argent brut en lingot et en masse ouvrages détruits,2,Monnaies et métaux précieux,non,1024
argent carragoux,2,Monnaies et métaux précieux,non,1024
argent en barils,0,Monnaies et métaux précieux,non,1024
argent en barres,2,Monnaies et métaux précieux,non,1024
argent en lingots,17,Monnaies et métaux précieux,non,1024
argent en lingots par Calais,1,Monnaies et métaux précieux,non,1024
argent et or,237,Monnaies et métaux précieux,non,1024
argent et or billon,0,Monnaies et métaux précieux,non,1024
argent faux,9,Métaux divers et mélangés,non,1783
argent faux en fil cantilles etc.,0,Métaux divers et mélangés,non,1783
argent faux et or faux,53,Métaux divers et mélangés,non,1783
argent faux et or faux traits,1,Métaux divers et mélangés,non,1783
argent fin,1,Monnaies et métaux précieux,non,1024
argent monnayé et nogat d'or,4,Monnaies et métaux précieux,non,1024
argent vif,3,Mercure,non,653
argenterie,732,Argenterie et orfèvrerie,non,1552
argenterie épée,7,Argenterie et orfèvrerie,non,1552
argenterie et bijouterie,14,Argenterie et orfèvrerie,non,1552
argenterie et bijouterie et orfèvrerie,1,Argenterie et orfèvrerie,non,1552
argenterie et orfèvrerie,122,Argenterie et orfèvrerie,non,1552
argenterie et orfèvrerie vermeil,37,Argenterie et orfèvrerie,non,1552
argenterie neuve,4,Argenterie et orfèvrerie,non,1552
argenterie vieille,12,Argenterie et orfèvrerie,non,1552
argile et terre pour engrais,15,Matières premières diverses,non,15181
arins,1,Produits inconnus,non,7059
aristoloche,68,Drogues médicinales diverses,non,11402
armement de tables,3,Ouvrages divers et mélangés,non,16505
armes,253,"Armes, munitions, poudre et pierres à fusil",non,4976
armes à feu,346,"Armes, munitions, poudre et pierres à fusil",non,4976
armes à feu de guerre,2,"Armes, munitions, poudre et pierres à fusil",non,4976
armes à feu de guerre et de traite,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armes à feu de guerre portatives,2,"Armes, munitions, poudre et pierres à fusil",non,4976
armes à feu de luxe,4,"Armes, munitions, poudre et pierres à fusil",non,4976
armes à feu de luxe ou de traite,3,"Armes, munitions, poudre et pierres à fusil",non,4976
armes à feu de munitions,2,"Armes, munitions, poudre et pierres à fusil",non,4976
armes à feu de munitions fines,4,"Armes, munitions, poudre et pierres à fusil",non,4976
armes à feu de traite,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armes à feu et artillerie,1,"Armes, munitions, poudre et pierres à fusil",non,4976
