simplification,nbr_occurences_simpl,revolutionempire,obsolete,nbr_occurences_revolutionempire
armes à feu et de traite,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armes à feu et fusils,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armes armureries,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armes autres que de guerre à feu,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armes autres que de guerre blanches,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armes blanches,201,"Armes, munitions, poudre et pierres à fusil",non,4976
armes blanches de guerre,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armes blanches de guerre et de traite,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armes blanches de luxe,2,"Armes, munitions, poudre et pierres à fusil",non,4976
armes blanches de luxe ou de traite,3,"Armes, munitions, poudre et pierres à fusil",non,4976
armes blanches de traite,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armes de chasse ou de luxe à feu,2,"Armes, munitions, poudre et pierres à fusil",non,4976
armes de chasse ou de luxe blanches,2,"Armes, munitions, poudre et pierres à fusil",non,4976
armes de guerre,2,"Armes, munitions, poudre et pierres à fusil",non,4976
armes différentes,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,"Armes, munitions, poudre et pierres à fusil",non,4976
armes et munitions,9,"Armes, munitions, poudre et pierres à fusil",non,4976
armes lames,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armes remontrances,0,"Armes, munitions, poudre et pierres à fusil",non,4976
armoires,57,"Meubles, glaces et miroirs",non,3811
armoires ayant servi,1,"Meubles, glaces et miroirs",non,3811
armoires d'acajou,12,"Meubles, glaces et miroirs",non,3811
armoires de bois,2,"Meubles, glaces et miroirs",non,3811
armoires de bois de noyer,1,"Meubles, glaces et miroirs",non,3811
armoires de bois de sapin peintes,0,"Meubles, glaces et miroirs",non,3811
armoires de bois des Indes,1,"Meubles, glaces et miroirs",non,3811
armoires de chêne,9,"Meubles, glaces et miroirs",non,3811
armoires de chêne ornée,1,"Meubles, glaces et miroirs",non,3811
armoires de noyer,9,"Meubles, glaces et miroirs",non,3811
armoires de sapin,4,"Meubles, glaces et miroirs",non,3811
armoires et commodes,1,"Meubles, glaces et miroirs",non,3811
armoires vieilles,2,"Meubles, glaces et miroirs",non,3811
armoisin,46,Étoffes de soie,non,8554
armure de fer,1,"Armes, munitions, poudre et pierres à fusil",non,4976
armure vieille,1,"Armes, munitions, poudre et pierres à fusil",non,4976
arnas,1,Produits inconnus,non,7059
arquebuse,1,"Armes, munitions, poudre et pierres à fusil",non,4976
arrangas,1,Produits inconnus,non,7059
arrosoirs,6,Ouvrages divers et mélangés,non,16505
arrosoirs de bois,2,"Ouvrages de bois, liège et jonc",non,32327
arrosoirs de cuivre,1,Ouvrages métalliques,non,20598
arrosoirs de fer,1,Ouvrages métalliques,non,20598
arrosoirs de fer-blanc,6,Ouvrages métalliques,non,20598
arrosoirs de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
arrosoirs de terre,1,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
arrowroot,1,Matières premières diverses,non,15181
arséniate de potasse,2,Drogues diverses,non,10513
arsenic,472,Drogues diverses,non,10513
arsenic métallique,6,Drogues diverses,non,10513
artichauts,78,Subsistances diverses et mélangées,non,10028
artichauts champignons et truffes,2,Subsistances diverses et mélangées,non,10028
artichauts confits,67,Subsistances diverses et mélangées,non,10028
artichauts frais,17,Subsistances diverses et mélangées,non,10028
artichauts marinés,2,Subsistances diverses et mélangées,non,10028
artichauts secs,6,Subsistances diverses et mélangées,non,10028
artifice,5,"Armes, munitions, poudre et pierres à fusil",non,4976
artifice fusées etc.,0,"Armes, munitions, poudre et pierres à fusil",non,4976
artillerie,6,"Armes, munitions, poudre et pierres à fusil",non,4976
asa fœtida,122,Drogues médicinales diverses,non,11402
asperges,9,Subsistances diverses et mélangées,non,10028
asperges confites,1,Subsistances diverses et mélangées,non,10028
asperges et scorsonères,0,Subsistances diverses et mélangées,non,10028
asphaltum,19,Matières premières diverses,non,15181
aspic en grabeau,1,Matières premières diverses,non,15181
assiette,1,Ouvrages divers et mélangés,non,16505
assiette de Biarritz,1,Ouvrages divers et mélangés,non,16505
assiette de bois,1,"Ouvrages de bois, liège et jonc",non,32327
assiette de faïence,7,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
assiette de porcelaine,3,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
assiette de porcelaine des Indes,1,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
assiette de terre,6,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
assiette et plats de terre,1,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
asustum,1,Matières premières diverses,non,15181
atastes,1,Produits inconnus,non,7059
atlas,2,Librairie,non,3643
atlas à la feuille d'or,1,Librairie,non,3643
atlas et instruments de marine,2,Librairie,non,3643
atlas jaspé,1,Librairie,non,3643
attaches de cuivre,1,Ouvrages métalliques,non,20598
attelles de colliers,14,"Ouvrages de bois, liège et jonc",non,32327
aube,1,Habits et lingerie,non,8220
auchinoise,2,Produits inconnus,non,7059
auclimes,3,Produits inconnus,non,7059
auf,117,Matières premières diverses,non,15181
augemy,2,Produits inconnus,non,7059
auges,3,Ouvrages divers et mélangés,non,16505
auges de carreaux,2,Ouvrages divers et mélangés,non,16505
augustins,2,Produits inconnus,non,7059
aurcsats,1,Produits inconnus,non,7059
aurcsats étoile,1,Produits inconnus,non,7059
aussière,0,Cordage et filets,non,3165
autel de marbre,2,Marbre brut et ouvré,non,1582
aux travaux du Roi,6,Divers incertains,non,8518
avelanèdes,59,Matières premières diverses,non,15181
avelines,8,Fruits secs et noix,non,13142
avelines et noisettes sèches,22,Fruits secs et noix,non,13142
avelines faînes noisettes noix,1,Fruits secs et noix,non,13142
avelines noisettes noix,5,Fruits secs et noix,non,13142
avirons,658,Bâtiments de mer et apparaux,non,8061
avirons bruts,17,Bâtiments de mer et apparaux,non,8061
avirons de 12 pieds,1,Bâtiments de mer et apparaux,non,8061
avirons de 18 pieds,1,Bâtiments de mer et apparaux,non,8061
avirons de 30 pieds,1,Bâtiments de mer et apparaux,non,8061
avirons de 5 pieds,1,Bâtiments de mer et apparaux,non,8061
avirons de 8 à 12 pieds,1,Bâtiments de mer et apparaux,non,8061
avirons de bois,50,Bâtiments de mer et apparaux,non,8061
avirons de bois façonné,1,Bâtiments de mer et apparaux,non,8061
avirons de chêne,1,Bâtiments de mer et apparaux,non,8061
avirons de sapin,1,Bâtiments de mer et apparaux,non,8061
avirons en bois de construction,2,Bâtiments de mer et apparaux,non,8061
avirons et perches de bois,1,Bâtiments de mer et apparaux,non,8061
avirons et rames bruts,2,Bâtiments de mer et apparaux,non,8061
avirons et rames de bois,1,Bâtiments de mer et apparaux,non,8061
avirons et rames de bois façonné,2,Bâtiments de mer et apparaux,non,8061
avirons et rames façonnés,5,Bâtiments de mer et apparaux,non,8061
avirons polis,1,Bâtiments de mer et apparaux,non,8061
avoine,722,Blé et autres grains comestibles,non,9572
avoine en gerbes,0,Blé et autres grains comestibles,non,9572
avoine et haricots,1,Subsistances diverses et mélangées,non,10028
avoine et orge etc.,1,Blé et autres grains comestibles,non,9572
avoine mondée,1,Blé et autres grains comestibles,non,9572
avoine moulée,1,Blé et autres grains comestibles,non,9572
azur,862,Azur et cobalt,non,1140
azur commun,200,Azur et cobalt,non,1140
azur et bleu de Prusse,9,Matières brutes et transformées pour teinture,non,17255
azur et cobalt,20,Azur et cobalt,non,1140
azur fin,13,Azur et cobalt,non,1140
azur gros,24,Azur et cobalt,non,1140
babassis,1,Produits inconnus,non,7059
babouches,91,Ouvrages divers et mélangés,non,16505
babouches de maroquin,2,Ouvrages divers et mélangés,non,16505
bacs d'1 aime,0,Ouvrages divers et mélangés,non,16505
bacs de pierre,0,Ouvrages divers et mélangés,non,16505
bacs de pierre bleue,0,Ouvrages divers et mélangés,non,16505
bacs de pierre d'1 aime,0,Ouvrages divers et mélangés,non,16505
bacs de pierre de 4 aimes,0,Ouvrages divers et mélangés,non,16505
bacs de pierre de demi d'aime,0,Ouvrages divers et mélangés,non,16505
bacs de pierre de moindre classe,0,Ouvrages divers et mélangés,non,16505
bacs de pierre de trois-quart d'aime,0,Ouvrages divers et mélangés,non,16505
bacs de pierre en dessous d'1 aime,0,Ouvrages divers et mélangés,non,16505
bacs de pierre en dessus d'1 aime,0,Ouvrages divers et mélangés,non,16505
badiane,59,Denrées coloniales et épiceries diverses,non,3107
baffetas,10,Toiles de coton,non,9075
baffetas blanc,20,Toiles de coton,non,9075
baffetas bleu,27,Toiles de coton,non,9075
baffetas des Indes,2,Toiles de coton,non,9075
bafs ?,0,Divers incertains,non,8518
bagages,3,Divers incertains,non,8518
bagarot,1,Produits inconnus,non,7059
bagues,5,Bijouterie et pierres fines,non,1456
bagues à pierres fausses,1,Bijouterie et pierres fines,non,1456
bagues d'argent,2,Argenterie et orfèvrerie,non,1552
bagues d'or,1,Argenterie et orfèvrerie,non,1552
bagues de cuivre,2,Bijouterie et pierres fines,non,1456
bagues de laiton,1,Bijouterie et pierres fines,non,1456
bagues de verre,3,Verrerie,non,6073
baguettes,6,"Ouvrages de bois, liège et jonc",non,32327
baguettes à chandelle,1,"Ouvrages de bois, liège et jonc",non,32327
baguettes à étoffe,2,"Ouvrages de bois, liège et jonc",non,32327
baguettes d'étain,2,Ouvrages métalliques,non,20598
baguettes de bois,1,"Ouvrages de bois, liège et jonc",non,32327
baguettes de bois doré,1,"Ouvrages de bois, liège et jonc",non,32327
baguettes de cuivre,3,Ouvrages métalliques,non,20598
baguettes de fer à fusil,0,"Armes, munitions, poudre et pierres à fusil",non,4976
baguettes de fusil,47,"Armes, munitions, poudre et pierres à fusil",non,4976
bahuts,24,"Meubles, glaces et miroirs",non,3811
baie de laurier,28,Drogues médicinales diverses,non,11402
baies de buis,1,Fruits frais,non,8185
baies de genévrier à distiller,2,Fruits frais,non,8185
baies de genièvre,9,Fruits frais,non,8185
baignes,3,Étoffes de laine,non,13973
baignoires,2,Ouvrages divers et mélangés,non,16505
baignoires d'acajou,1,"Ouvrages de bois, liège et jonc",non,32327
baignoires de cuivre,4,Ouvrages métalliques,non,20598
baignoires de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
baignoires de tôle,2,Ouvrages métalliques,non,20598
baigots,1,Produits inconnus,non,7059
baillarge,5,Blé et autres grains comestibles,non,9572
bailles,1,"Ouvrages de bois, liège et jonc",non,32327
baïonnettes,13,"Armes, munitions, poudre et pierres à fusil",non,4976
bais de bois de chêne,2,Divers incertains,non,8518
bajutapau,238,Toiles de coton,non,9075
bajutapau commun,1,Toiles de coton,non,9075
"bajutapau, canelis, etc.",3,Toiles de coton,non,9075
balais,127,"Ouvrages de bois, liège et jonc",non,32327
balais communs,5,"Ouvrages de bois, liège et jonc",non,32327
balais coupés,3,"Ouvrages de bois, liège et jonc",non,32327
balais de bois,39,"Ouvrages de bois, liège et jonc",non,32327
balais de brandes,1,"Ouvrages de bois, liège et jonc",non,32327
balais de bruyère,12,"Ouvrages de bois, liège et jonc",non,32327
balais de chanvre,1,"Ouvrages de bois, liège et jonc",non,32327
balais de crin,12,"Ouvrages de bois, liège et jonc",non,32327
balais de foyer,1,"Ouvrages de bois, liège et jonc",non,32327
balais de jonc,50,"Ouvrages de bois, liège et jonc",non,32327
balais de jonc petits,1,"Ouvrages de bois, liège et jonc",non,32327
balais de laine à laver les planchers,1,"Ouvrages de bois, liège et jonc",non,32327
balais de millet,2,"Ouvrages de bois, liège et jonc",non,32327
balais de paille,2,"Ouvrages de bois, liège et jonc",non,32327
balais de paille de riz,6,"Ouvrages de bois, liège et jonc",non,32327
balais de palme,293,"Ouvrages de bois, liège et jonc",non,32327
balais de palme petits,2,"Ouvrages de bois, liège et jonc",non,32327
balais de plumes,3,"Ouvrages de bois, liège et jonc",non,32327
balais de poil,2,"Ouvrages de bois, liège et jonc",non,32327
balais de riz,5,"Ouvrages de bois, liège et jonc",non,32327
balais de soie,7,"Ouvrages de bois, liège et jonc",non,32327
balais de soie de porcs,18,"Ouvrages de bois, liège et jonc",non,32327
balais de toile,1,"Ouvrages de bois, liège et jonc",non,32327
balais du roi,1,"Ouvrages de bois, liège et jonc",non,32327
balais fins,1,"Ouvrages de bois, liège et jonc",non,32327
balais grands de palme,3,"Ouvrages de bois, liège et jonc",non,32327
balais ou ramons,0,"Ouvrages de bois, liège et jonc",non,32327
balais petits,0,"Ouvrages de bois, liège et jonc",non,32327
balance,8,Ouvrages divers et mélangés,non,16505
balance à la romaine,1,Ouvrages divers et mélangés,non,16505
balance complète,1,Ouvrages divers et mélangés,non,16505
balance de bois,1,"Ouvrages de bois, liège et jonc",non,32327
balance de cuivre,8,Ouvrages métalliques,non,20598
balance de cuivre jaune,1,Ouvrages métalliques,non,20598
balance de fer,4,Ouvrages métalliques,non,20598
balance et poids de cuivre,1,Ouvrages métalliques,non,20598
balance et romaine,2,Ouvrages divers et mélangés,non,16505
balance et ses poids,1,Ouvrages divers et mélangés,non,16505
balance ou fléaux en fer,0,Ouvrages métalliques,non,20598
balance petite,1,Ouvrages divers et mélangés,non,16505
balance romaine,3,Ouvrages divers et mélangés,non,16505
balcon de fer,1,Ouvrages métalliques,non,20598
baleine,125,Matières premières diverses,non,15181
baleine apprêtée,1,Matières premières diverses,non,15181
baleine coupée,645,Matières premières diverses,non,15181
baleine coupée en fanon,11,Matières premières diverses,non,15181
baleine coupée et en fanon,11,Matières premières diverses,non,15181
baleine de sarde,18,Matières premières diverses,non,15181
baleine en fanon,282,Matières premières diverses,non,15181
baleine en fanon et de sarde,1,Matières premières diverses,non,15181
baleine non sciée,0,Matières premières diverses,non,15181
baleine taillée,1,Matières premières diverses,non,15181
balles,8,Divers incertains,non,8518
balles à jouer,2,Ouvrages divers et mélangés,non,16505
balles d'osier,3,"Ouvrages de bois, liège et jonc",non,32327
balles de fer et canons de fer,0,"Armes, munitions, poudre et pierres à fusil",non,4976
balles de fer uni,1,Ouvrages métalliques,non,20598
balles de jonc,1,"Ouvrages de bois, liège et jonc",non,32327
balles de laine,1,Laines non transformées diverses,non,4917
balles de palme,1,Matières premières diverses,non,15181
balles de plomb,8,Ouvrages métalliques,non,20598
balles de plumes,1,Plumes brutes,non,1819
balles et dragées de plomb,0,Ouvrages métalliques,non,20598
balles vides,1,Divers incertains,non,8518
ballons en sapin,1,"Ouvrages de bois, liège et jonc",non,32327
ballots,69,Divers incertains,non,8518
ballots d'étoffe,1,Étoffes diverses,non,6808
balustres,12,Ouvrages divers et mélangés,non,16505
bamboches,1,Ouvrages divers et mélangés,non,16505
bambous,8,Bois divers hors combustible,non,12455
banastron,1,Produits inconnus,non,7059
banc à couper la paille,1,"Ouvrages de bois, liège et jonc",non,32327
banc de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
bandages,4,Textiles manufacturés divers et mélangés,non,1795
bandages de peaux,5,"Cuirs, peaux et pelleterie",non,22200
bandages pour soldats,1,"Cuirs, peaux et pelleterie",non,22200
bandanas des Indes,1,Ouvrages divers et mélangés,non,16505
bandeaux,4,Divers incertains,non,8518
banderoles,0,Divers incertains,non,8518
banderoles de cuir,2,"Cuirs, peaux et pelleterie",non,22200
bandes de cabrouets de fer,3,Ouvrages métalliques,non,20598
bandes de charrettes,1,Ouvrages métalliques,non,20598
bandes de fer,4,Ouvrages métalliques,non,20598
bandes de fer à tombereaux,1,Ouvrages métalliques,non,20598
bandes de roues de fer,1,Ouvrages métalliques,non,20598
bandes de tulles brodées,1,Ouvrages métalliques,non,20598
bandes et barres de fer,4,Ouvrages métalliques,non,20598
