orthographic_normalization_classification,simplification_classification,nbr_occurences_ortho,nbr_occurences_simpl
toile à carreaux,toile à carreaux,248,260
toile à carreaux et à matelas,toile à carreaux et à matelas,4,4
toile à carreaux pièces de 50 aunes,toile à carreaux et en pièces de 50 aunes,1,1
toile à cottray,toile à cottray,1,1
toile à doubler,toile à doubler,1,1
toile à drap,toile à drap,1,1
toile à faire chemises à nègre,toile pour faire chemise à nègre,1,1
toile à faire linge,toile pour faire linge,1,1
toile à fleurs,toile à fleurs,4,4
toile à halle,toile à halle,1,1
toile à image,toile à image,1,1
toile à jamis,toile à jamis,13,13
toile à killis,toile de killis,1,4
toile à matelas,toile à matelas,68,72
toile à matelot,toile à matelot,5,5
toile à ménage,toile de ménage,1,160
toile à nappes,toile à nappes,7,7
toile à nappes et serviettes,toile à nappes et serviettes,3,3
toile à nègre,toile à nègre,6,6
toile à paillasses,toile à paillasse,3,3
toile à pavillon,toile à pavillon,4,4
toile à peindre,toile à peindre,1,1
toile à robes,toile à robes,2,2
toile à robes fil et coton de Cholet,toile de coton et de fil de Cholet à robes,4,4
toile à sacquette dite talette,toile à sacquette dite talette,1,2
toile à sacs,toile à sacs,13,13
toile à saquette dite talette aune,toile à sacquette dite talette,1,2
toile à serpillière,toile à serpillière,7,7
toile à serviettes,toile à serviettes,63,63
toile à serviettes de Lille,toile de Lille à serviettes,2,2
toile à sorties,toile à sorties,1,1
toile à tamis,toile à tamis,18,18
toile à tapisser,toile à tapisser,1,1
toile à voile,toile pour voile,991,1008
toile à voile de 24 aunes,toile pour voile de 24 aunes,1,1
toile abas,toile abas,1,1
toile abat,toile abat,30,30
toile alanea,toile alanea,1,1
toile Alep,toile d'Alep,1,12
toile aleph,toile d'Alep,1,12
toile aman,toile amant,2,3
toile amant,toile amant,1,3
toile anascotes,toile anascotes,1,1
toile anglaise,toile anglaise,1,1
toile anglaise des prises,toile anglaise des prises,1,1
toile antioche,toile Antioche,3,6
toile Antioche,toile Antioche,3,6
toile ardoisée et rayonnée,toile ardoisée et rayonnée,1,1
toile assortie,toile,9,755
toile au killis,toile de killis,1,4
toile au lain,toile au lain,1,1
toile au lait,toile au lait,8,8
toile au lait lin,toile au lait lin,1,1
toile au lin de Lille,toile de lin de Lille,1,8
toile babassis,babassis,1,1
toile baffetas,baffetas,10,10
toile bajas,toile bajas,1,1
toile bajouge,toile bajouge,1,1
toile bajutapau,bajutapau,30,230
toile bajutapau commun,bajutapau commun,1,1
toile bajutapaux,bajutapau,1,230
toile baras,baras,1,1
toile barrière,toile barrière,2,2
toile Barrois,toile Barrois,1,1
toile bas brin,toile bas brin,3,3
toile basin,toile de basin,238,238
toile basin blanc de fil,basin blanc de fil,1,1
toile basin brodé en soie et or,basin brodé de soie et d'or,1,1
toile basin clair mêlé de coton,basin clair mêlé de coton,1,1
toile basin clair uni,toile de basin clair et uni,1,1
toile basin commun,toile commune de basin,1,1
toile basin de coton,toile de basin de coton,4,4
toile basin de coton commune,toile de basin de coton commune,5,5
toile basin de Rouen,toile de basin de Rouen,1,1
toile basin étranger,toile de basin étranger,4,4
toile basin fil et coton,toile de basin coton et fil,2,2
toile basin fin,toile de basin fin,2,2
toile basin gros,toile de basin gros,3,3
toile basin national,toile de basin national,5,5
toile basine,toile de basine,1,1
toile batanonis,batanony,2,3
toile batanony,batanony,1,3
toile batiste,batiste,390,559
toile batiste brochée,batiste brochée,1,1
toile batiste de 12 aunes,batiste de 12 aunes,1,1
toile batiste écrue,batiste écrue,1,2
toile batiste et fine,batiste fine,1,8
toile batiste et linon,batiste et linon,23,135
toile batiste fine,batiste fine,2,8
toile batiste ou toilettes,batiste,1,559
toile bayette,bayette,9,139
toile bayette bleue,bayette bleue,4,7
toile beaugrain,toile beaugrain,7,7
toile Beauvais,toile de Beauvais,5,28
toile bem ???,bem ???,1,1
toile bem à voile,bem pour voile,3,3
toile bem de Vimoutiers,bem de Vimoutiers,1,1
toile bétilles,bétilles,3,29
toile beurrière,beurrière,63,63
toile birampots,birampots,2,4
toile blancard,toile blancard,128,129
toile blancard cirée large,toile blancard cirée large,1,1
toile blancard de chanvre,toile blancard de chanvre,1,1
toile blancard de lin,toile blancard de lin,5,8
toile blancard de Rouen,toile blancard de Rouen,8,8
toile blancard lin,toile blancard de lin,3,8
toile blanche,toile blanche,883,904
toile blanche à étoupe,toile blanche à étoupe,1,1
toile blanche à imprimer,toile blanche à imprimer,1,1
toile blanche cirée,toile blanche cirée,1,1
toile blanche commune,toile blanche commune,4,5
toile blanche de 13 à 20 fils,toile blanche de 13 à 20 fils,2,2
toile blanche de 20 fils et au-dessus,toile blanche de 20 fils et au-dessus,2,2
toile blanche de Cholet,toile blanche de Cholet,3,3
toile blanche de coton fine,toile blanche de coton et fine,1,3
toile blanche de France,toile blanche de France,2,2
toile blanche de Hollande,toile blanche de Hollande,1,1
toile blanche de la Compagnie,toile blanche de la Compagnie,3,3
toile blanche de lin,toile blanche de lin,21,23
toile blanche de ménage,toile blanche de ménage,2,3
toile blanche de moins de 13 fils,toile blanche de 13 fils,2,2
toile blanche de Saint Quentin et Valenciennes,toile blanche de Saint Quentin et Valenciennes,3,3
toile blanche de Saint-Quentin,toile blanche de Saint-Quentin,3,3
toile blanche dite abati,toile blanche abati,1,1
toile blanche dite aman,toile blanche aman,2,2
toile blanche dite demitte,toile blanche demitte,1,1
toile blanche dite escanite,toile blanche escanite,1,1
toile blanche dite Guinée,toile blanche guinée,3,3
toile blanche dite large,toile blanche large,1,1
toile blanche et rouge,toile blanche et rouge,1,1
toile blanche et rousse,toile blanche et rousse,1,1
toile blanche et teinte,toile blanche et teinte,100,100
toile blanche fine,toile blanche fine,8,8
toile blanche fine de coton,toile blanche de coton et fine,2,3
toile blanche mousseline,mousseline blanche,1,1
toile blanche Nankin,nankin blanche,1,1
toile blanche ordinaire,toile blanche ordinaire,18,18
toile blanche ordre,toile blanche ordre,1,1
toile blanche peinte,toile blanche peinte,18,18
toile blanche pièces de 20 aunes,toile blanche en pièces de 20 aunes,1,1
toile blanche pour essuie-mains,toile blanche pour essuie-mains,1,1
toile blanchie,toile blanchie,2,2
toile bleue,toile bleue,34,35
toile bleue diverse,toile bleue,1,35
toile bleue peinte,toile bleue peinte,1,1
toile bocadille,toile bocadillo,1,2
toile bocadillo,toile bocadillo,1,2
toile boelans,toile boelans,1,1
toile bonnets,toile bonnets,1,1
toile boucassin,toile boucassine,9,21
toile boucassine,toile boucassine,12,21
toile bougran,toile bougran,8,8
toile boulange,toile boulange,1,1
toile bourlegambis,toile bourlegambis,1,1
toile brauls,toile brauls,4,4
toile brauls imitant celles des Indes,toile brauls imitant celles des Indes,1,1
toile Bretagne,toile de Bretagne,25,594
toile Bretagne à carreaux,toile de Bretagne à carreaux,1,69
toile Bretagne à voile,toile de Bretagne pour voile,1,94
toile Bretagne crée,toile de Bretagne crée,1,39
toile Bretagne d'Olonne,toile d'Olonne,1,22
toile Bretagne de brin,toile de Bretagne de brin,1,28
toile Bretagne de halle,toile de Bretagne de halle,1,164
toile Bretagne de ménage,toile de Bretagne de ménage,1,46
toile Bretagne diverse,toile de Bretagne,1,594
toile Bretagne diverses,toile de Bretagne,11,594
toile Bretagne entre large,toile de Bretagne entre large,1,48
toile Bretagne étroite,toile de Bretagne étroite,6,199
toile Bretagne gratienne,toile de Bretagne gratienne,1,104
toile Bretagne large,toile de Bretagne large,5,176
toile Bretagne Locronan,locronan,1,22
toile Bretagne rosconne,toile de Bretagne rosconne,1,95
toile Bretagne rousse,toile de Bretagne rousse,1,20
toile brin,toile brin,2,2
toile brin 3/4 Combourg,toile brin trois-quart de Combourg,5,5
toile brin de Dinant,toile brin de Dinant,1,1
toile brochée,toile brochée,2,2
toile brodée,toile brodée,2,2
toile bueadille,toile bueadille,1,1
toile cacanava,toile cacanava,1,1
toile cadéas,toile cadéas,1,1
toile caissie,toile caissie,72,72
toile caissière,toile caissière,1,1
toile caladaris,toile caladaris,26,26
toile calanea,toile calanea,1,1
toile calias,toile calias,1,1
toile Cambrai,toile de Cambrai,3,72
toile canevas,toile canevas,34,34
toile carotte,toile carotte,1,1
toile carotte double,toile carotte double,1,1
toile carotte simple,toile carotte simple,1,1
toile carreaux,toile à carreaux,1,260
toile carrée,toile carrée,1,1
toile casse,toile casse,1,1
toile casselis,toile casselis,4,4
toile cassie,toile cassie,2,2
toile ce chasse,toile ce chasse,3,3
toile cerda,toile cerda,1,1
toile céruse,toile céruse,2,2
toile chafarcani,chafarcany,3,4
toile chanvre,toile de chanvre,2,643
toile chanvre blanche,toile de chanvre blanche,1,77
toile chapelur,toile chapelur,1,1
toile chapilas,toile chapilas,3,3
toile chasselas,toile chasselas,28,28
toile chebine,toile chebiny,2,5
toile chebiny,toile chebiny,1,5
Toile chebiny,toile chebiny,2,5
toile chille,toile chille,1,1
toile chitte,toile chitte,3,3
toile choilette,toile choilette,1,1
toile Cholet,toile Cholet,131,131
toile Cholet à carreaux,toile Cholet à carreaux,1,1
toile cholette,toile cholette,11,11
toile cirée,toile cirée,522,525
toile cirée 3/4,toile cirée trois-quart,1,1
toile cirée aune,toile cirée,1,525
toile cirée de 13 à 20 fils,toile cirée de 13 à 20 fils,1,1
toile cirée de moins de 8 fils,toile cirée de moins de 8 fils,1,1
toile cirée et de crin,toile de crin cirée,7,7
toile cirée et gommée,toile cirée et gommée,12,12
toile cirée et lustrée,toile cirée et lustrée,1,1
toile cirée et peinte,toile cirée et peinte,1,9
toile cirée gommée et de crin,toile cirée et de crin et gommée,30,30
toile cirée large,toile cirée large,8,8
toile cirée peinte,toile cirée et peinte,8,9
toile cirée pour paravent,toile cirée pour paravent,1,1
toile cirsaca,toile cirsaca,7,7
toile claire,toile claire,1,1
toile cochelis,toile cochelis,3,3
toile coffres,toile coffres,1,1
toile colette,toile colette,1,1
toile Combourg,toile de Combourg,4,42
toile commune,toile commune,287,315
toile commune de 25 aunes,toile commune de 25 aunes,1,1
toile commune de Lille,toile commune de Lille,1,1
toile cordas,toile cordat,3,38
toile cordat,toile cordat,35,38
toile cordeillat,toile cordeillat,1,1
toile corot,toile corot,5,164
toile corot double,toile corot double,2,2
toile corot imitant celle des Indes,toile corot imitant celle des Indes,1,1
toile corot simple,toile corot simple,1,1
toile coton,toile de coton,17,1246
toile coton à bas,toile de coton à bas,1,1
toile coton à fleurs,toile de coton à fleurs,5,13
toile coton à jamis,toile de coton à jamis,1,1
toile coton aman,toile de coton aman,1,1
toile coton Antioche,toile de coton d'Antioche,1,1
toile coton blanche,toile de coton blanche,4,4
toile coton commune,toile de coton commune,4,5
toile coton demitte,toile de coton demitte,1,1
toile coton des Indes,toile de coton des Indes,4,90
toile coton escamitte,toile de coton escamitte,1,1
toile coton et fil,toile de coton et de fil,1,531
toile coton fi et coton,toile de coton et de fil,1,531
toile coton fil et coton,toile de coton et de fil,3,531
toile coton forte,toile de coton forte,1,1
toile coton Guinée,guinée de coton,1,2
toile coton large,toile de coton large,1,1
toile coton mousseline,toile de coton mousseline,1,11
toile coton peinte,toile de coton peinte,1,74
toile coton rayée,toile de coton rayée,1,22
toile coton rayée ou unie,toile de coton rayée ou unie,1,2
toile coton teinte,toile de coton teinte,1,8
toile coton vieux,toile de coton vieux,1,1
toile cotonade fil et coton,toile de coton et de fil,1,531
toile cotonine,cotonnine,5,52
toile cotonnade,toile cotonnade,4,5
toile cotonnade coton,toile cotonnade,1,5
toile cottray,toile cottray,44,44
toile couleur,toile de couleur,1,12
toile coupis,toile coupis,10,10
toile coupis imitant celle des Indes,toile coupis imitant celle des Indes,1,1
toile courtrai,toile de Courtrai,3,3
toile coutil,toile coutil,329,329
toile coutil commune,toile coutil commune,12,12
toile coutil de fil,toile coutil de fil,1,13
toile coutil fil,toile coutil de fil,12,13
toile coutil fil et laine,toile coutil de fil et de laine,1,1
toile coutil pour lit,toile coutil pour lit,1,1
toile craie,toile crée,1,79
toile crée,toile crée,78,79
toile crée entretarge,toile crée entrelarge,1,1
toile crée gratienne,toile crée gratienne,1,1
toile crée large,toile crée large,37,37
toile crée margé,toile crée margé,1,1
toile crée pièces de 50 aunes,toile crée pièces de 50 aunes,1,1
toile crée rayée,toile crée rayée,1,1
toile crée rosconne,toile crée rosconne,2,2
toile cretonne,toile cretonne,1,1
toile crin,toile crin,2,2
toile crise,toile crise,1,1
toile croisée coutil,toile coutil croisée,1,1
toile croisée coutil basin et autres,toile basin coutil croisée et autres,2,2
toile crue,toile crue,141,141
toile crue de ménage,toile crue de ménage,3,3
toile crue et teinte,toile crue et teinte,1,1
toile crue grise et ardoisée,toile crue grise et ardoisée,1,1
toile crue large,toile crue large,2,2
toile crue pièces de 20 aunes,toile crue pièces de 20 aunes,1,1
toile cunbabis,toile cunbabis,1,1
toile custas,toile custas,2,2
toile custas imitant celle des Indes,toile custas imitant celle des Indes,1,1
toile d'abas,toile d'abas,1,1
toile d'Agen,toile d'Agen,6,6
toile d'Alençon,toile d'Alençon,1,1
toile d'Alep,toile d'Alep,10,12
toile d'Allemagne,toile d'Allemagne,55,56
toile d'Allemagne aune,toile d'Allemagne,1,56
toile d'Allemagne et Silésie,toile d'Allemagne et toile de Silésie,1,1
toile d'aman,toile d'aman,153,153
toile d'amat,toile d'amat,1,1
toile d'Angers,toile d'Angers,1,1
toile d'anne,toile d'anne,1,1
toile d'antal,toile d'antale,13,26
toile d'antale,toile d'antale,12,26
toile d'antale large,toile d'antale,1,26
toile d'Antioche,toile d'Antioche,136,136
toile d'antrain,toile d'antrain,1,1
toile d'Argouges,toile d'Argouges,1,1
toile d'Artische,toile d'Artische,1,1
toile d'aune,toile d'aune,2,2
toile d'Autriche,toile d'Autriche,1,1
toile d'auxonne,toile d'auxonne,1,1
toile d'azar,toile d'azar,6,11
toile d'azard,toile d'azar,5,11
toile d'azur,toile d'azur,5,5
toile d'azur bleue,toile d'azur bleue,1,1
toile d'ecripe,toile d'ecripe,1,1
toile d'embabe,toile d'emballage,1,718
toile d'embale,toile d'emballage,1,718
toile d'emballage,toile d'emballage,688,718
toile d'emballage 2270 lignes,toile d'emballage 2270 lignes,1,1
toile d'emballage neuve,toile d'emballage neuve,1,1
toile d'emballage vieille,toile d'emballage vieille,1,1
toile d'emballe,toile d'emballage,1,718
toile d'éponge,toile d'éponge,1,1
toile d'étoupes,toile d'étoupes,102,109
toile d'étoupes 1000 lignes,toile d'étoupes 1000 lignes,1,1
toile d'étoupes 7/8,toile d'étoupe 7/8,1,1
toile d'étoupes de chanvre,toile de chanvre d'étoupes,38,43
toile d'étoupes de lin,toile d'étoupes de lin,35,36
toile d'étoupes de lin dite serpillière,toile d'étoupes de lin,1,36
toile d'étoupes et de chanvre,toile de chanvre d'étoupes,1,43
toile d'Hambrie,toile d'Hambrie,1,1
toile d'herbes,toile d'herbe,1,1
toile d'Irlande,toile d'Irlande,1,2
toile d'Olonne,toile d'Olonne,16,22
toile d'Orange,toile d'Orange,2,2
toile damassée,toile damassée,5,6
toile damassée aune,toile damassée,1,6
toile damassée de 1 aune,toile damassée de 1 aune,1,1
toile damassée de 2 1/2 aunes,toile damassée de 2 1/2 aunes,1,1
toile damassée de 2 aunes,toile damassée de 2 aunes,1,1
toile damassée de 3 aunes large,toile damassée de 3 aunes large,1,1
toile damassée de Caux,toile damassée de Caux,1,1
toile de ??? lin,toile de ??? lin,1,1
toile de 3 aunes de largeur et en dessus,toile de 3 aunes de largeur et en dessus,1,1
toile de 3 aunes pour nappes,toile de 3 aunes pour nappes,1,1
toile de 30 aunes,toile de 30 aunes,1,1
toile de 4 fils,toile de 4 fils,1,1
toile de 7/8,toile de 7/8,1,1
toile de balle,toile de balle,1,1
toile de Barbezieux,toile de Barbezieux,3,3
toile de basin,basin,26,686
toile de basin en fil,basin de fil,3,4
toile de basin fil en coton,basin de coton et basin de fil,1,2
toile de batiste,batiste,16,559
toile de bazouges,toile de bazouges,1,1
toile de Beaufort,toile de Beaufort,2,2
toile de Beaujolais,toile de Beaujolais,1,1
toile de Beauvais,toile de Beauvais,23,28
toile de Bernay,toile de Bernay,1,1
toile de Bézier,toile de Bézier,1,1
toile de blancard,toile blancard,1,129
toile de bleue,toile de bleue,1,1
toile de Bretagne,toile de Bretagne,549,594
toile de Bretagne ??? brin,toile de Bretagne ??? brin,1,1
toile de Bretagne 3 aunes,toile de Bretagne de 3 aunes,1,1
toile de Bretagne 3/4,toile de Bretagne 3/4,1,1
toile de Bretagne 7/8,toile de Bretagne 7/8,1,1
toile de Bretagne à 4 fils,toile de Bretagne à 4 fils,1,1
toile de Bretagne à carreaux,toile de Bretagne à carreaux,63,69
toile de Bretagne à nègre,toile de Bretagne à nègre,1,1
toile de Bretagne à voile,toile de Bretagne pour voile,88,94
toile de Bretagne bas brin,toile de Bretagne bas brin,1,2
toile de Bretagne beurrière,toile de Bretagne beurrière,1,1
toile de Bretagne blancard,toile de Bretagne blancard,1,1
toile de Bretagne blanche,toile de Bretagne blanche,30,33
toile de Bretagne blanchie,toile de Bretagne blanche,1,33
toile de Bretagne cirée,toile de Bretagne cirée,18,18
toile de Bretagne cirée large,toile de Bretagne cirée large,3,3
toile de Bretagne Combourg,toile de Combourg,1,42
toile de Bretagne commune,toile de Bretagne commune,1,1
toile de Bretagne cotonnade,toile de Bretagne cotonnade,1,1
toile de Bretagne cottray,toile de Bretagne cottray,1,1
toile de Bretagne crée,toile de Bretagne crée,38,39
toile de Bretagne crée étroite,toile de Bretagne crée étroite,1,1
toile de Bretagne crée large,toile de Bretagne crée large,86,96
toile de Bretagne crée large de 40 aunes,toile de Bretagne crée large de 40 aunes,1,1
toile de Bretagne crée-large,toile de Bretagne crée large,1,96
toile de Bretagne crue,toile de Bretagne crue,20,21
toile de Bretagne d'aune,toile de Bretagne d'aune,5,5
toile de Bretagne d'emballage,toile de Bretagne d'emballage,3,3
toile de Bretagne d'Ernée,toile d'Ernée,1,1
toile de Bretagne d'étoupe,toile de Bretagne d'étoupe,1,1
toile de Bretagne d'Olonne,toile de Bretagne d'Olonne,43,43
toile de Bretagne de ???,toile de Bretagne de ???,1,1
toile de Bretagne de ??? fil,toile de Bretagne de ??? fil,6,6
toile de Bretagne de 4 fils,toile de Bretagne de 4 fils,15,15
toile de Bretagne de 6 fils,toile de Bretagne de 6 fils,2,2
toile de Bretagne de balles,toile de Bretagne de balles,5,5
toile de Bretagne de bas brin,toile de Bretagne de bas brin,6,6
toile de Bretagne de bazot,toile de Bretagne de bazot,1,1
toile de Bretagne de Brieu,toile de Brieu,1,1
toile de Bretagne de brin,toile de Bretagne de brin,27,28
toile de Bretagne de challe,toile de Bretagne de challe,3,3
toile de Bretagne de chanvre,toile de Bretagne de chanvre,8,12
toile de Bretagne de Combourg,toile de Combourg,26,42
toile de Bretagne de coton,toile de Bretagne de coton,3,3
toile de Bretagne de couleur,toile de Bretagne de couleur,5,15
toile de Bretagne de couleurs,toile de Bretagne de couleur,10,15
toile de Bretagne de couture,toile de Bretagne de couture,1,1
toile de Bretagne de Dinan,toile de Dinan,3,6
toile de Bretagne de Dinant,toile de Dinan,3,6
toile de Bretagne de fil,toile de Bretagne de fil,2,2
toile de Bretagne de Fougères,toile de Fougères,28,53
toile de Bretagne de gratienne,toile de Bretagne gratienne,3,104
toile de Bretagne de halle,toile de Bretagne de halle,155,164
toile de Bretagne de haut brin,toile de Bretagne de haut brin,17,19
toile de Bretagne de Hollande,toile de Hollande,1,60
toile de Bretagne de Landerneau,toile de Landerneau,20,28
toile de Bretagne de Languenan,toile de Languenan,25,56
toile de Bretagne de Laval,toile de Laval,4,318
toile de Bretagne de Léon,toile de Léon,11,39
toile de Bretagne de Locronan,locronan,6,22
toile de Bretagne de Lombourg,toile de Lombourg,3,3
toile de Bretagne de Mayenne,toile de Mayenne,1,1
toile de Bretagne de ménage,toile de Bretagne de ménage,38,46
toile de Bretagne de Moncontour,toile de Moncontour,1,1
toile de Bretagne de Morlaix,toile de Morlaix,64,145
toile de Bretagne de Mortagne,toile de Mortagne,17,136
toile de Bretagne de Mortagne ???,toile de Mortagne ???,1,1
toile de Bretagne de Moutier,toile de Moutier,1,1
toile de Bretagne de Noirmoutier,toile de Noirmoutier,1,1
toile de Bretagne de Poldavie,toile de Poldavie,12,38
toile de Bretagne de Pontigny,toile de Pontigny,1,1
toile de Bretagne de pontivy,toile de Pontivy,1,32
toile de Bretagne de Pontivy,toile de Pontivy,17,32
toile de Bretagne de Pouldavid,toile de Pouldavid,17,21
toile de Bretagne de quatre fils,toile de Bretagne de quatre fils,1,1
toile de Bretagne de Quintin,toile de Quintin,6,22
toile de Bretagne de réforme,toile de Bretagne de réforme,1,1
toile de Bretagne de rondelette,toile de Bretagne de rondelette,1,1
toile de Bretagne de rosconne,toile de Bretagne de rosconne,10,11
toile de Bretagne de rousse,toile de Bretagne rousse,1,20
toile de Bretagne de Saint-???,toile de Bretagne de Saint-???,1,1
toile de Bretagne de Saint-Georges,toile de Bretagne de St. Georges,15,15
toile de Bretagne de Savigny,toile de Bretagne de Savigny,2,2
toile de Bretagne de sept huit,toile de Bretagne de sept huit,1,1
toile de Bretagne de serpillère,toile de Bretagne de serpillère,1,1
toile de Bretagne de Suvignan,toile de Suvignan,1,1
toile de Bretagne de Vimoutier,toile de Vimoutiers,3,29
toile de Bretagne de Vimoutiers,toile de Vimoutiers,14,29
toile de Bretagne de Vitré,toile de Vitré,6,15
toile de Bretagne de Vitrée,toile de Vitré,1,15
toile de Bretagne diverse,toile de Bretagne diverse,40,40
toile de Bretagne diverse à carreaux,toile de Bretagne à carreaux,5,69
toile de Bretagne diverse à voile,toile de Bretagne pour voile,5,94
toile de Bretagne diverse bas brin,toile de Bretagne bas brin,1,2
toile de Bretagne diverse blanche,toile de Bretagne blanche,2,33
toile de Bretagne diverse blanche large,toile de Bretagne blanche large,1,1
toile de Bretagne diverse chanvre,toile de Bretagne de chanvre,2,12
toile de Bretagne diverse crée large,toile de Bretagne crée large,9,96
toile de Bretagne diverse crue,toile de Bretagne crue,1,21
toile de Bretagne diverse d'Olonne,toile d'Olonne,5,22
toile de Bretagne diverse de Bonbourg,toile de Bonbourg,1,1
toile de Bretagne diverse de chanvre,toile de Bretagne de chanvre,2,12
toile de Bretagne diverse de Fougères,toile de Fougères,1,53
toile de Bretagne diverse de halle,toile de Bretagne de halle,8,164
toile de Bretagne diverse de haut brin,toile de Bretagne de haut brin,1,19
toile de Bretagne diverse de Languenan,toile de Languenan,2,56
toile de Bretagne diverse de ménage,toile de Bretagne de ménage,6,46
toile de Bretagne diverse de Morlaix,toile de Morlaix,4,145
toile de Bretagne diverse de Poldavie,toile de Poldavie,4,38
toile de Bretagne diverse de Pontivy,toile de Pontivy,3,32
toile de Bretagne diverse de rosconne,toile de Bretagne de rosconne,1,11
toile de Bretagne diverse de Saint-Georges,toile de Saint-Georges,1,10
toile de Bretagne diverse de Savigny,toile de Savigny,2,2
toile de Bretagne diverse de Vitrée,toile de Vitrée,2,3
toile de Bretagne diverse écrue,toile de Bretagne écrue,1,6
toile de Bretagne diverse entre large,toile de Bretagne entre large,1,48
toile de Bretagne diverse étroite,toile de Bretagne étroite,15,199
toile de Bretagne diverse gratienne,toile de Bretagne gratienne,9,104
toile de Bretagne diverse grenade,toile de Bretagne grenade,1,1
toile de Bretagne diverse haut brin,toile de Bretagne de haut brin,1,19
toile de Bretagne diverse lacormen,toile de Bretagne lacormen,1,1
toile de Bretagne diverse Languenan,toile de Languenan,3,56
toile de Bretagne diverse large,toile de Bretagne large,10,176
toile de Bretagne diverse ménage,toile de Bretagne de ménage,1,46
toile de Bretagne diverse Morlaix,toile de Morlaix,2,145
toile de Bretagne diverse ouvrée,toile de Bretagne ouvrée,1,3
toile de Bretagne diverse pièces larges,toile de Bretagne large,2,176
toile de Bretagne diverse Poldavie,toile de Poldavie,6,38
toile de Bretagne diverse Pontivy,toile de Pontivy,1,32
toile de Bretagne diverse rayée,toile de Bretagne rayée,4,13
toile de Bretagne diverse rosconne,toile de Bretagne rosconne,10,95
toile de Bretagne diverse rousse,toile de Bretagne rousse,3,20
toile de Bretagne diverse serpillère,toile de Bretagne serpillère,1,1
toile de Bretagne diverse serpillière,toile de Bretagne serpillière,1,13
toile de Bretagne diverse verges rayées,toile de Bretagne verges rayées,2,2
toile de Bretagne diverse verges serpillère,toile de Bretagne verges serpillère,2,2
toile de Bretagne écrue,toile de Bretagne écrue,5,6
toile de Bretagne écrue large,toile de Bretagne écrue large,1,1
toile de Bretagne en quatre fils,toile de Bretagne quatre fils,2,3
toile de Bretagne entre large,toile de Bretagne entre large,46,48
toile de Bretagne étroite,toile de Bretagne étroite,178,199
toile de Bretagne fine claire,toile de Bretagne fine claire,1,1
toile de Bretagne fine étroite,toile de Bretagne fine étroite,1,1
toile de Bretagne fine large,toile de Bretagne fine large,1,1
toile de Bretagne Fougères,toile de Bretagne Fougères,1,1
toile de Bretagne gratienne,toile de Bretagne gratienne,91,104
toile de Bretagne grise,toile de Bretagne grise,6,6
toile de Bretagne gros brin,toile de Bretagne gros brin,2,2
toile de Bretagne guingan,toile de Bretagne guingan,2,2
toile de Bretagne haut brin,toile de Bretagne haut brin,1,1
toile de Bretagne haute louise,toile de Bretagne haute louise,1,1
toile de Bretagne jaune,toile de Bretagne jaune,2,2
toile de Bretagne Landerneau,toile de Landerneau,6,28
toile de Bretagne Languenan,toile de Languenan,13,56
toile de Bretagne large,toile de Bretagne large,159,176
toile de Bretagne Locronan,locronan,1,22
toile de Bretagne ménage,toile de ménage,1,160
toile de Bretagne Morlaix,toile de Morlaix,5,145
toile de Bretagne ouvrée,toile de Bretagne ouvrée,2,3
toile de Bretagne peinte,toile de Bretagne peinte,1,1
toile de Bretagne platille,toile de Bretagne platille,3,3
toile de Bretagne Poldavie,toile de Poldavie,6,38
toile de Bretagne Pontivy,toile de Pontivy,1,32
toile de Bretagne Pouldavid,toile de Pouldavid,3,21
toile de Bretagne quatre fils,toile de Bretagne quatre fils,1,3
toile de Bretagne rayeé,toile de Bretagne rayée,1,13
toile de Bretagne rayée,toile de Bretagne rayée,8,13
toile de Bretagne rayée à carreaux,toile de Bretagne rayée à carreaux,1,1
toile de Bretagne reforme,toile de Bretagne reforme,1,3
toile de Bretagne réforme,toile de Bretagne reforme,2,3
toile de Bretagne rondelette,toile de Bretagne rondelette,21,21
toile de Bretagne rosconne,toile de Bretagne rosconne,84,95
toile de Bretagne rouge et bleue,toile de Bretagne rouge et bleue,1,1
toile de Bretagne rousse,toile de Bretagne rousse,15,20
toile de Bretagne royale,toile de Bretagne royale,2,2
toile de Bretagne serpillère,toile de Bretagne serpillière,7,13
toile de Bretagne serpillière,toile de Bretagne serpillière,5,13
toile de Bretagne siamoise,toile siamoise,1,1
toile de Bretagne Vitré,toile de Vitré,3,15
toile de Bretagne Vitrée,toile de Vitré,5,15
toile de brin,toile de brin,20,20
toile de brin fine,toile de brin fine,2,2
toile de Bruges,toile de Bruges,1,2
toile de Bruges aune,toile de Bruges,1,2
toile de caisse,toile de caisse,1,1
toile de caladaris,toile de caladaris,1,2
toile de Caladric,toile de caladaris,1,2
toile de Cambrai,toile de Cambrai,66,72
toile de canevas,toile de canevas,1,1
toile de capiton,toile de capiton,1,1
toile de carreaux,toile de carreaux,2,2
toile de châle,toile de challe,2,4
toile de challe,toile de challe,2,4
toile de chanvre,toile de chanvre,537,643
toile de chanvre ???,toile de chanvre ???,4,4
toile de chanvre 1400 lignes,toile de chanvre 1400 lignes,1,1
toile de chanvre 1500 lignes,toile de chanvre 1500 lignes,1,1
toile de chanvre 1700 lignes,toile de chanvre 1700 lignes,1,1
toile de chanvre 450 lignes,toile de chanvre 450 lignes,1,1
toile de chanvre à carreaux,toile de chanvre à carreaux,2,2
toile de chanvre à voile,toile de chanvre pour voile,69,69
