source,nb_occurence_BdCFR,nbr_occurences_source,orthographic,note,obsolete,nbr_occurences_ortho
Poudre ; d'iris,3,3,poudre d'iris,,non,6
Poudre ; d'oxaca,1,1,poudre d'oxaca,x,non,1
Poudre ; de gouaxaca,1,1,poudre de gouaxaca,x,non,1
Poudre ; de senteur,1,1,poudre de senteur,,non,2
Poudre ; de terre,1,1,poudre de terre,,non,3
Poudre ; en pomade,1,1,poudre en pommade,,non,1
Poudre ; medecinale,2,2,poudre médicinale,,non,8
Poudre ; medecinalle,2,2,poudre médicinale,,non,8
Poudre ; médicinale,1,1,poudre médicinale,,non,8
Poudre ; précipité,1,1,poudre précipité,,non,1
Poudre ; purgative,1,1,poudre purgative,,non,3
Poudre ??? nationales d'après les états du département de poudre et de salpêtre,2,2,poudre ??? nationales d'après les états du département de poudre et de salpêtre,,non,2
Poudre (cosmétique),0,1,poudre cosmétique,,non,1
Poudre à cannon,1,1,poudre à canons,,non,221
Poudre a canon,57,57,poudre à canons,,non,221
Poudre a Canon,3,3,poudre à canons,,non,221
Poudre à canon,38,38,poudre à canons,,non,221
Poudre à Canon,1,1,poudre à canons,,non,221
Poudre à canon de guerre,2,2,poudre à canons de guerre,,non,2
Poudre à cirer,1,1,poudre à cirer,,non,1
Poudre à encre,1,1,poudre à encre,,non,1
Poudre a Fers,1,1,poudre à fers,,non,1
Poudre a feu,58,58,poudre à feu,,non,113
Poudre à feu,34,37,poudre à feu,,non,113
Poudre à Feu,5,5,poudre à feu,,non,113
Poudre à fusil,1,1,poudre à fusils,,non,3
Poudre A Fuzil,1,1,poudre à fusils,,non,3
Poudre à odeur,1,1,poudre à odeur,,non,1
Poudre a poudre,1,1,poudre à poudrer,,non,682
Poudre à poudre,2,2,poudre à poudrer,,non,682
Poudre a poudrer,200,200,poudre à poudrer,,non,682
Poudre a Poudrer,1,1,poudre à poudrer,,non,682
Poudre A Poudrer,1,1,poudre à poudrer,,non,682
Poudre à poudrer,169,169,poudre à poudrer,,non,682
Poudre à poudrér,1,1,poudre à poudrer,,non,682
Poudre à poudrer et pomade,1,1,poudre à poudrer et pommade,,non,1
Poudre a poudres,5,5,poudre à poudrer,,non,682
Poudre à Poudres,1,1,poudre à poudrer,,non,682
Poudre à tier,2,2,poudre à tirer,,non,220
Poudre a tire,4,4,poudre à tirer,,non,220
Poudre à Tire,1,1,poudre à tirer,,non,220
Poudre à tiré,3,3,poudre à tirer,,non,220
Poudre a tirer,68,68,poudre à tirer,,non,220
Poudre à tirer,117,117,poudre à tirer,,non,220
Poüdre à tirer,2,2,poudre à tirer,,non,220
Poudre a tirer fine,1,1,poudre à tirer fine,,non,1
Poudre à tirer pour canons,0,0,poudre à tirer pour canons,,oui,0
Poudre à tirer pour fusils,0,0,poudre à tirer pour fusils,,oui,0
Poudre blanche,1,1,poudre blanche,,non,2
Poudre bronzant,0,0,poudre bronzante,,oui,0
Poudre d'ailhaud,1,1,poudre d'Ailhaud,,non,31
Poudre d'ailhaut,1,1,poudre d'Ailhaud,,non,31
Poudre d'aillau,1,1,poudre d'Ailhaud,,non,31
Poudre d'aillaud,2,2,poudre d'Ailhaud,,non,31
Poudre d'Aithaud,1,1,poudre d'Ailhaud,,non,31
Poudre d'iris,3,3,poudre d'iris,,non,6
Poudre d'or,1,1,poudre d'or,,non,1
Poudre de canon,1,1,poudre de canons,,non,1
Poudre de capucin,0,0,poudre de capucin,,oui,0
Poudre de caresne,1,1,poudre de carène,x,non,1
Poudre de chasse,1,1,poudre de chasse,,non,1
Poudre de feu,1,1,poudre de feu,,non,1
Poudre de guerre,2,2,poudre de guerre,,non,2
Poudre de marbre,1,1,poudre de marbre,,non,1
Poudre de mine,1,1,poudre de mine,,non,1
Poudre de Plomb,1,1,poudre de plomb,,non,1
Poudre de senteur,0,0,poudre de senteur,,oui,2
Poudre de Senteur,1,1,poudre de senteur,,non,2
Poudre de terre,1,1,poudre de terre,,non,3
Poudre de traite,5,5,poudre de traite,,non,6
Poudre de traite Angleterre et hollande,1,1,poudre de traite Angleterre et Hollande,,non,1
Poudre de traitte,1,1,poudre de traite,,non,6
Poudre en grenaille,1,1,poudre en grenaille,,non,1
Poudre et pomade,2,2,poudre et pommade,,non,10
Poudre et Pomade,1,1,poudre et pommade,,non,10
Poudre et pommade,6,6,poudre et pommade,,non,10
Poudre et teinture verte,0,0,poudre et teinture verte,,oui,0
Poudre fine,1,1,poudre fine,,non,1
Poudre jeaune,1,1,poudre jaune,,non,1
Poudre medecinalle,2,2,poudre médicinale,,non,8
Poudre medicinale,1,1,poudre médicinale,,non,8
Poudre noir,1,1,poudre noire,,non,1
Poudre pomades et savonnettes,2,2,poudre pommade et savonnettes,,non,2
Poudre purgative,2,2,poudre purgative,,non,3
Poudre vert,1,1,poudre verte,,non,1
Poudre; à canon,5,5,poudre à canons,,non,221
Poudre; à poudrer,9,9,poudre à poudrer,,non,682
Poudre; d'Ailhant,3,3,poudre d'Ailhaud,,non,31
Poudrer a poudre,1,1,poudre,,non,42
Poudres,1,1,poudre,,non,42
Poudres ; à poudrer,4,4,poudre à poudrer,,non,682
Poudres à feu,1,1,poudre à feu,,non,113
Poudres à fusil,1,1,poudre à fusils,,non,3
Poudres a poudrer,3,3,poudre à poudrer,,non,682
Poudres à poudrer,1,1,poudre à poudrer,,non,682
Poudres à poudrer et de senteur de toute sorte,2,2,poudre à poudrer et de senteur de toute sorte,,non,2
Poudres a poudres,1,1,poudre à poudrer,,non,682
Poudres a tirer,1,1,poudre à tirer,,non,220
Poudres à tirer,8,8,poudre à tirer,,non,220
Poudres de sapin,1,1,poudre de sapin,,non,1
Poudres et pomades,1,1,poudre et pommade,,non,10
Poudres feu,0,1,poudre à feu,,non,113
Poudres purgatives d'haillard,3,3,poudre purgative d'Ailhaud,,non,3
Poulain a zin,1,1,poulains à zin,x,non,1
Poulains,1,1,poulains,,non,1
Poulains mulards,1,1,poulains mulards,,non,1
Poulardes,3,3,poulardes,,non,3
Poules,14,14,poules,,non,19
Poules d'indes,1,1,poules d'Inde,,non,1
Poules de bois,0,0,poules de bois,x,oui,0
Poules en étain,1,1,poules en étain,x,non,1
Poules et poullets,1,1,poules et poulets,,non,1
Poulet,1,1,poulets,,non,35
Poulet de casne,1,1,poulets de cane,x,non,1
Poulets,33,33,poulets,,non,35
Poulets ; d'Inde,2,2,poulets d'Inde,,non,3
Poulets d'inde,1,1,poulets d'Inde,,non,3
Poulets ordinaires,1,1,poulets ordinaires,,non,1
Poulie ; de sapin,1,1,poulies de sapin,,non,1
Poulier,3,3,poulies,x,non,20
Pouliers,1,1,poulies,,non,20
Poulies,16,16,poulies,,non,20
Poulies de bois,2,2,poulies de bois,,non,3
Poulies de Guyac,1,1,poulies de gaïac,,non,1
Poulies de vaisseaux,0,0,poulies de vaisseaux,,oui,0
Poulies garnies,2,2,poulies garnies,,non,2
Poullains,0,0,poulains,,oui,1
Poulles,5,5,poules,,non,19
Poulles ; en vie,1,1,poules en vie,,non,1
Poullets,1,1,poulets,,non,35
Poultry,0,258,,,non,94525
Poultry and game in value,0,3,,,non,94525
Poulues de bois,1,1,poulies de bois,,non,3
Poupée,2,2,poupée,,non,5
Poupée d'Enfant,1,1,poupée d'enfant,,non,1
Poupées,3,3,poupée,,non,5
Pour faire du cabotage,0,4,pour faire du cabotage,,non,4
Pour faire du commerce [cabotage],0,5,pour faire du commerce [cabotage],,non,5
Pour faire la pêche,0,2,pour faire de la pêche,,non,2
Pour la pêche à la morue,0,7,pour la pêche à la morue,,non,7
Pour la Peinture et la Teinture,1,1,pour les peintures et la teinture,,non,1
Pour le service du Roy [Poste royale],0,13,pour le service du roi [poste royale],,non,13
Poureaux,1,1,poireaux,x,non,3
Pourette,1,1,pourette,x,non,1
Pourettes de meurier,1,1,pourette de mûriers,x,non,1
Pousses de houblon et vignes,0,0,pousses de houblon et vignes,,oui,0
Poussier d'encens,1,1,poussière d'encens,,non,34
Poussière,1,1,poussière,,non,1
Poussiere ; d'encens,3,3,poussière d'encens,,non,34
Poussiere ; d'Encens,2,2,poussière d'encens,,non,34
Poussière ; d'encens,2,2,poussière d'encens,,non,34
Poussière ; de buis,1,1,poussière de buis,,non,3
Poussiere ; de foin,1,1,poussière de foin,,non,3
Poussière ; de mûrier,1,1,poussière de mûriers,,non,1
Poussiere ; de raisin,1,1,poussière de raisin,x,non,1
Poussiere ; de raisine,1,1,poussière de résines,x,non,4
Poussiere ; de tartre,14,14,poussière de tartre,,non,57
Poussière ; de tartre,4,4,poussière de tartre,,non,57
Poussière ; de terre,1,1,poussière de terre,,non,1
Poussière ; de vitriol,1,1,poussière de vitriol,,non,2
Poussiere d'ecorce de pin,1,1,poussière d'écorce de pin,,non,1
Poussiere d'encens,25,25,poussière d'encens,,non,34
Poussiere d'ensens,1,1,poussière d'encens,,non,34
Poussiere de Barille,1,1,poussière de barille,x,non,1
Poussiere de bourde,1,1,poussière de bourde,x,non,2
Poussiere de bourdes,1,1,poussière de bourde,x,non,2
Poussiere de buis,1,1,poussière de buis,,non,3
Poussiere de buy,1,1,poussière de buis,,non,3
Poussiere de foin,2,2,poussière de foin,,non,3
Poussiere de martre,1,1,poussière de martre,,non,1
Poussiere de pin,2,2,poussière de pin,,non,3
Poussière de pin,1,1,poussière de pin,,non,3
Poussiere de raisine,1,1,poussière de résines,,non,4
Poussière de raisine,2,2,poussière de résines,,non,4
Poussiere de soude,5,5,poussière de soudes,,non,6
Poussiere de soudes,1,1,poussière de soudes,,non,6
Poussiere de tartre,36,36,poussière de tartre,,non,57
Poussiere de vitriol,1,1,poussière de vitriol,,non,2
Poussieres ; de tartre,1,1,poussière de tartre,,non,57
Poussieres de tartre,2,2,poussière de tartre,,non,57
Poussières diverses,1,1,poussière diverse,,non,1
Poussins,0,3,poussins,,non,3
Poutardes,1,1,poutardes,x,non,1
Poutarges,2,2,poutargues,,non,81
Poutargue,22,22,poutargues,,non,81
Poutargues,57,57,poutargues,,non,81
Poutereaux,0,0,poutreaux,,oui,21
Poutereaux de 12 pieds,0,0,poutreaux de 12 pieds,,oui,0
Poutereaux de 9 pieds,0,0,poutreaux de 9 pieds,,oui,0
Poutereaux de sapin,0,0,poutreaux de sapin,,oui,7
Poutereaux de sapin de 10 pieds,0,0,poutreaux de sapin de 10 pieds,,oui,0
Poutereaux de sapin de 24 pieds,0,0,poutreaux de sapin de 24 pieds,,oui,0
Poutines,1,1,poutines,,non,1
Poutraux,2,2,poutreaux,,non,21
Poutre,3,3,poutres,,non,2125
Poutre de sapin,4,4,poutres de sapin,,non,46
Poutre de Sapin,3,3,poutres de sapin,,non,46
Poutre de sapin ; 22 pieds,1,1,poutres de sapin de 22 pieds,,non,3
Poutre de sapin ; 24 pieds,2,2,poutres de sapin de 24 pieds,,non,4
Poutre de sapin ; 28 pieds,1,1,poutres de sapin de 28 pieds,,non,1
Poutre de sapin ; 30 pieds,1,1,poutres de sapin de 30 pieds,,non,3
Poutre de sapin ; 34 pieds,1,1,poutres de sapin de 34 pieds,,non,1
Poutre de sapin ; 36 pieds,1,1,poutres de sapin de 36 pieds,,non,2
Poutre de sapin de 36 pieds,1,1,poutres de sapin de 36 pieds,,non,2
Poutreau de sapin,1,1,poutreaux,,non,21
Poutreaux,18,18,poutreaux,,non,21
Poutreaux ; de sapin,1,1,poutreaux de sapin,,non,7
Poutreaux de chêne,2,2,poutreaux de chêne,,non,2
Poutreaux de sapin,6,6,poutreaux de sapin,,non,7
Poutrelle,2,2,poutrelles,,non,12
Poutrelles,10,10,poutrelles,,non,12
Poutrelles ; de sapin,1,1,poutrelles de sapin,,non,1
Poutrelles des fesne,1,1,poutrelles de frêne,,non,1
Poutres,177,2122,poutres,,non,2125
Poutres ; de 60 pieds,1,1,poutres de 60 pieds,,non,1
Poutres ; de bois pour batir,1,1,poutres de bois pour bâtir,,non,1
Poutres ; de chêne ; de 30 pieds,1,1,poutres de chêne de 30 pieds,,non,2
Poutres ; de chesne ; de 24 à 39 pieds,1,1,poutres de chêne de 24 à 39 pieds,,non,1
Poutres ; de sapin,5,5,poutres de sapin,,non,46
Poutres ; de sapin ; de 25 pieds,1,1,poutres de sapin de 25 pieds,,non,3
Poutres ; de sapin ; de 30 pieds,1,1,poutres de sapin de 30 pieds,,non,3
Poutres ; de sapin ; de 40 pieds,1,1,poutres de sapin de 40 pieds,,non,3
Poutres ; demi,1,1,poutres demies,,non,3
Poutres ; demy,1,1,poutres demies,,non,3
Poutres de 16 et 28 pieds,1,1,poutres de 16 à 28 pieds,,non,1
Poutres de chesne,3,3,poutres de chêne,,non,4
Poutres de chesne ; 20 pieds,1,1,poutres de chêne de 20 pieds,,non,1
Poutres de chesne ; 34 pieds,1,1,poutres de chêne de 34 pieds,,non,1
Poutres de chesne ; 45 pieds,1,1,poutres de chêne de 45 pieds,,non,1
Poutres de chesne ; de 30 pieds,1,1,poutres de chêne de 30 pieds,,non,2
Poutres de sapin,30,30,poutres de sapin,,non,46
Poutres de Sapin,4,4,poutres de sapin,,non,46
Poutres de sapin ; 12 pieds,1,1,poutres de sapin de 12 pieds,,non,1
Poutres de sapin ; 14 pieds,1,1,poutres de sapin de 14 pieds,,non,2
Poutres de sapin ; 22 pieds,1,1,poutres de sapin de 22 pieds,,non,3
Poutres de sapin ; 24 pieds,2,2,poutres de sapin de 24 pieds,,non,4
Poutres de sapin ; 25 pieds,1,1,poutres de sapin de 25 pieds,,non,3
Poutres de sapin ; 26 pieds,1,1,poutres de sapin de 26 pieds,,non,2
Poutres de sapin ; 27 pieds,1,1,poutres de sapin de 27 pieds,,non,1
Poutres de sapin ; 30 pieds,1,1,poutres de sapin de 30 pieds,,non,3
Poutres de sapin ; 40 pieds,2,2,poutres de sapin de 40 pieds,,non,3
Poutres de sapin ; 45 pieds,3,3,poutres de sapin de 45 pieds,,non,4
Poutres de sapin ; 55 pieds,1,1,poutres de sapin de 55 pieds,,non,2
Poutres de sapin ; de 25 pieds,1,1,poutres de sapin de 25 pieds,,non,3
Poutres de sapin ; de 32 pieds,1,1,poutres de sapin de 32 pieds,,non,1
Poutres de sapin ; de 35 pieds,2,2,poutres de sapin de 35 pieds,,non,2
Poutres de Sapin de 22 pieds,1,1,poutres de sapin de 22 pieds,,non,3
Poutres de sapin; 14 pieds,1,1,poutres de sapin de 14 pieds,,non,2
Poutres de sapin; 26 pieds,1,1,poutres de sapin de 26 pieds,,non,2
Poutres de sapin; 45 pieds,1,1,poutres de sapin de 45 pieds,,non,4
Poutres de sapin; 55 pieds,1,1,poutres de sapin de 55 pieds,,non,2
Poutres demies poutres,2,2,poutres demies poutres,,non,3
Poutres demy,1,1,poutres demies,,non,3
Poutres demy poutres,1,1,poutres demies poutres,,non,3
Poutres grosses,1,1,poutres grosses,,non,1
Pouttre de chesnes,1,1,poutres de chêne,,non,4
Pouzzolane,0,0,pouzzolane,,oui,8
Povre ; noir,1,1,poivre noir,,non,106
Poyvre,1,1,poivre,,non,1382
Pozzolane,0,7,pouzzolane,,non,8
Pozzolano,0,1,pouzzolane,,non,8
Prastras,1,1,prastre,x,non,2
Prastre,1,1,prastre,x,non,2
Preaux de veaux secs pour caisses,0,0,peaux de veaux secs pour caisse,,oui,0
Préccintes,1,1,preceintes,x,non,32
Preceinte,3,3,preceintes,x,non,32
Preceinte de 30 à 40 pieds à 5 à 8 pouces d'épaisseur,1,1,preceintes de 30 à 40 pieds à 5 à 8 pouces d'épaisseur,x,non,1
Preceintes,15,15,preceintes,x,non,32
Préceintes,5,5,preceintes,x,non,32
Preceintes de chesne,2,2,preceintes de chêne,x,non,4
Preceintes?,0,0,preceintes,x,oui,32
Precepisé,1,1,preceintes,x,non,32
Precintes,3,3,preceintes,x,non,32
Précintes,4,4,preceintes,x,non,32
Precintes de chene,2,2,preceintes de chêne,x,non,4
Precious stones (agate),0,2,,,non,94525
Precious stones (grenards),0,4,,,non,94525
Precipié,1,1,precipité,,non,14
Precipité,13,13,precipité,,non,14
Précipité,25,25,précipité,,non,25
Précipité ; rouge,2,2,précipité rouge,,non,2
Precipité rouge,2,2,precipité rouge,,non,2
Preillons ; à faire colle,1,1,preillons à faire colle,x,non,1
Prélat pour navires,1,1,prélat pour navire,x,non,1
Prélats de toile,1,1,prélat de toile,x,non,1
Premium millstones,0,7,,,non,94525
Premium oil,0,10,,,non,94525
Premium tombstones,0,6,,,non,94525
Préparation ; de chimie,1,1,préparation de chimie,,non,1
Presle,0,0,presse,,oui,3
Press clay,0,72,,,non,94525
Presse,2,2,presse,,non,3
Presse ; à étoffe,1,1,presse à étoffe,,non,1
Presse ; à imprimer,1,1,presse à imprimer,,non,1
Presse ; d'imprimerie,1,1,presse d'imprimerie,,non,2
Presse d'imprimerie,1,1,presse d'imprimerie,,non,2
Presse de bois de mature,1,1,presse de bois de mâture,,non,1
Pressed German tobacco,0,6,,,non,94525
Presses,1,1,presse,,non,3
Presses ; de bois,1,1,presse de bois,,non,1
Presses pour imprimerie,1,1,presse pour imprimerie,,non,1
Presure,30,30,presure,,non,33
Présure,5,5,présure,,non,5
Presures,3,3,presure,,non,33
Prêtes,1,1,,,non,94525
Pretes ; torches,2,2,pretes torches,x,non,2
Priest belts,0,9,,,non,94525
Primaselle,0,0,primaselle,x,oui,0
Primula veris,0,0,primula veris,,oui,0
Printed cotton,0,147,,,non,94525
Printed cotton per ell,0,9,,,non,94525
Printed linen cloth,0,57,,,non,94525
Printed overshoes,0,5,,,non,94525
Printed serge,0,19,,,non,94525
Printed woollen fabrics,0,4,,,non,94525
Printing letters,0,97,,,non,94525
"Prises et échouemens, principalement en coton, sucre, toile de coton, mousseline, indigo, café, tabac, &c...",2,2,prises et échouements principalement en coton sucre toile de coton mousseline indigo café tabac etc.,,non,2
Probibé,0,0,prohibé ???,x,oui,0
Processed and forges iron,0,145,,,non,94525
Processed black marble,0,3,,,non,94525
Processed calf hides,0,7,,,non,94525
Processed calf hides in colours,0,126,,,non,94525
Processed calf hides in white,0,46,,,non,94525
Processed crystal,0,87,,,non,94525
Processed fur goods,0,203,,,non,94525
Processed gold,0,3,,,non,94525
Processed horsehair,0,86,,,non,94525
Processed iron,0,8,,,non,94525
Processed marble,0,220,,,non,94525
Processed metal,0,14,,,non,94525
Processed metal in powder,0,3,,,non,94525
Processed seal hides,0,9,,,non,94525
Processed sheep hides,0,20,,,non,94525
Processed stones,0,40,,,non,94525
Processed stones (chassis),0,7,,,non,94525
Processed stones for benches. balconies. etc.,0,99,,,non,94525
Processed stones for mustard,0,15,,,non,94525
Processed tin,0,134,,,non,94525
Processed willow,0,3,,,non,94525
Produits,0,5,produits,,non,5
Prohibé,23,23,prohibé,,non,23
Prohibés divers,1,1,prohibé divers,,non,1
Proivre,1,1,poivre,,non,1382
Provençal wood,0,3,,,non,94525
Provision,3,3,provisions,,non,1131
Provision ; de bouche,20,20,provisions de bouche,,non,303
Provision ; de boucher,1,1,provisions de bouche,,non,303
Provision à poudrer,1,1,provisions à poudrer,,non,1
Provision de bœuf,1,1,provisions de bœuf,,non,1
Provision de bouche,3,3,provisions de bouche,,non,303
Provision de bouche en moutarde,1,1,provisions de bouche en moutarde,,non,3
Provision de bouche œufs,1,1,provisions de bouche œufs,,non,3
Provision de Careme,1,1,provisions de Carême,,non,5
Provision de caresne,7,7,provisions de caserne,,non,20
Provision de caserne,10,10,provisions de caserne,,non,20
Provisions,150,1128,provisions,,non,1131
Provisions ; de bouche,30,30,provisions de bouche,,non,303
Provisions ; de bouches,3,3,provisions de bouche,,non,303
Provisions caserne,1,1,provisions de caserne,,non,20
Provisions de bouche,216,216,provisions de bouche,,non,303
Provisions de bouche biscuit de mer,2,2,provisions de bouche biscuit de mer,,non,2
Provisions de bouche en garniture de ragout,2,2,provisions de bouche en garniture de ragoût,,non,2
Provisions de bouche en moutarde,2,2,provisions de bouche en moutarde,,non,3
Provisions de bouche moutarde,1,1,provisions de bouche moutarde,,non,1
Provisions de bouche œufs,2,2,provisions de bouche œufs,,non,3
Provisions de bouche réunie,32,32,provisions de bouche réunies,,non,277
Provisions de bouche réunies,245,245,provisions de bouche réunies,,non,277
Provisions de bouches,30,30,provisions de bouche,,non,303
Provisions de careme,1,1,provisions de Carême,,non,5
Provisions de Careme,1,1,provisions de Carême,,non,5
Provisions de Carême,2,2,provisions de Carême,,non,5
Provisions de caresne,1,1,provisions de caserne,,non,20
Provisions de Caserne,1,1,provisions de caserne,,non,20
Provisions diverses,218,218,provisions diverses,,non,218
Provisions diverses réunies,56,56,provisions diverses réunies,,non,56
Provisions œufs,1,1,provisions œufs,,non,1
Prumerdants,1,1,,,non,94525
Prunaux,3,3,pruneaux,,non,4931
Prune,2,17,prunes,,non,342
Prune brugnolles,1,1,prunes brugnoles,,non,1
Prune sèches,3,3,prunes sèches,,non,44
Pruneau,4,4,pruneaux,,non,4931
Pruneaux,983,4919,pruneaux,,non,4931
Pruneaux ; de Sainte Catherine,1,1,pruneaux de Sainte-Catherine,,non,66
Pruneaux ; pruneaux,1,1,pruneaux pruneaux,,non,1
Pruneaux ; prunes,1,1,pruneaux prunes,,non,1
Pruneaux Brignolles,1,1,pruneaux Brignoles,,non,1
Pruneaux commun,1,1,pruneaux communs,,non,24
Pruneaux communs,23,23,pruneaux communs,,non,24
Pruneaux cuits,1,1,pruneaux cuits,,non,1
Pruneaux d'amont,24,24,pruneaux d'Amont,,non,42
Pruneaux d'Amont,18,18,pruneaux d'Amont,,non,42
Pruneaux damon,0,0,pruneaux d'Amont,,oui,42
Pruneaux de Bordeaux,1,1,pruneaux de Bordeaux,,non,1
Pruneaux de sainte catherine,2,2,pruneaux de Sainte-Catherine,,non,66
Pruneaux de sainte Catherine,1,1,pruneaux de Sainte-Catherine,,non,66
Pruneaux de st catherine,1,1,pruneaux de Sainte-Catherine,,non,66
Pruneaux de St Catherine,5,5,pruneaux de Sainte-Catherine,,non,66
Pruneaux de Ste Caterine,11,11,pruneaux de Sainte-Catherine,,non,66
Pruneaux de Ste Catherine,45,45,pruneaux de Sainte-Catherine,,non,66
Pruneaux de Tours,1,1,pruneaux de Tours,,non,1
Pruneaux et raisins secs,0,3,pruneaux et raisin sec,,non,3
Pruneaux et vert-de-gris,0,15,pruneaux et vert-de-gris,,non,15
Pruneaux noires,1,1,pruneaux noirs,,non,5
Pruneaux noirs,4,4,pruneaux noirs,,non,5
Prunelle,1,1,prunelle,,non,1
Prunelle de laine,1,1,prunelle de laine,,non,1
Prunes,269,325,prunes,,non,342
Prunes ; de Bordeaux,1,1,prunes de Bordeaux,,non,2
Prunes ; seches,2,2,prunes sèches,,non,44
Prunes ; sèches,1,1,prunes sèches,,non,44
Prunes ??,1,1,prunes ???,,non,1
Prunes Brignolle,1,1,prunes Brignoles,,non,57
Prunes brignolles,6,6,prunes Brignoles,,non,57
Prunes Brignolles,33,33,prunes Brignoles,,non,57
Prunes brugnoles,2,2,prunes Brignoles,,non,57
Prunes brugnolles,10,10,prunes Brignoles,,non,57
Prunes Brugnolles,4,4,prunes Brignoles,,non,57
Prunes communes,0,0,prunes communes,,oui,0
Prunes d'Ente,5,5,prunes d'ente,x,non,5
Prunes de Bordeaux,1,1,prunes de Bordeaux,,non,2
Prunes de brignole,0,0,prunes de Brignoles,,oui,7
Prunes de brignoles,1,1,prunes de Brignoles,,non,7
Prunes de Brignoles,1,1,prunes de Brignoles,,non,7
Prunes de Brignolles,1,1,prunes de Brignoles,,non,7
Prunes de brignols,0,0,prunes de Brignoles,,oui,7
Prunes de Brigoles,1,1,prunes de Brignoles,,non,7
Prunes de Brigolles,1,1,prunes de Brignoles,,non,7
Prunes de brugnolles,1,1,prunes de Brignoles,,non,7
Prunes de Brugnolles,1,1,prunes de Brignoles,,non,7
Prunes de Sainte Catherine,9,9,prunes de Sainte-Catherine,,non,26
Prunes de Sainte Catherinne,1,1,prunes de Sainte-Catherine,,non,26
Prunes de sainte Cathrine,1,1,prunes de Sainte-Catherine,,non,26
Prunes de st Catherinne,0,0,prunes de Sainte-Catherine,,oui,26
Prunes de Ste catherine,1,1,prunes de Sainte-Catherine,,non,26
Prunes de Ste Catherine,7,7,prunes de Sainte-Catherine,,non,26
Prunes et pruneaux,0,0,prunes et pruneaux,,oui,0
Prunes et raisins,1,1,prunes et raisins,,non,1
Prunes fraiches,1,1,prunes fraîches,,non,1
Prunes noires,2,2,prunes noires,,non,2
Prunes seches,32,32,prunes sèches,,non,44
Prunes sèches,6,6,prunes sèches,,non,44
Prunes Ste Catherine,2,2,prunes de Sainte-Catherine,,non,26
"Prunes, pêches, cerises, meffles, etc.",0,0,prunes pêches cerises nèfles etc.,,oui,0
Prunes. pêches. cerises. meffles. etc.,0,0,prunes pêches cerises nèfles etc.,,oui,0
Prunneaux,4,4,pruneaux,,non,4931
Prunnes Brignolle,1,1,prunes Brignoles,,non,57
Prunnes de Sainte Catherine,1,1,prunes de Sainte-Catherine,,non,26
Prunnes de Ste Catherine,3,3,prunes de Sainte-Catherine,,non,26
Prunnes Ste Catherine,1,1,prunes Sainte-Catherine,,non,1
Prusses,1,1,prusses,x,non,1
Prusses de 30 pieds,1,1,prusses de 30 pieds,,non,1
Prussian leather,0,4,,,non,94525
Prussian planks,0,5,,,non,94525
Prussian wool,0,2,,,non,94525
Prussiate de potasse,2,2,prussiate de potasse,,non,2
Prussiate de potasse cristallisé,2,2,prussiate de potasse cristallisée,,non,2
Prusus,1,1,prusus,x,non,1
Psalteries,0,4,,,non,94525
Psalterion,1,1,psalterion,,non,1
Psalterions,0,0,psalterion,,oui,1
Pumes,1,1,pumes,x,non,1
Pumice stone,0,76,,,non,94525
Pumps for fire fighters,0,3,,,non,94525
Puneaux,1,1,pruneaux,,non,4931
Pupitre,1,1,pupitre,,non,1
Pure or mixed woollen fabrics,0,151,,,non,94525
Pure silk fabrics,0,52,,,non,94525
Pure woollen fabrics,0,143,,,non,94525
Pysolles,1,1,,,non,94525
Qincaillerie,1,1,quincaillerie,,non,372
Quail,0,2,,,non,94525
Quaincaille de Fer,1,1,quincaille de fer,,non,671
Quarlais bottes etc.,0,0,quarlais bottes etc.,x,oui,0
Quarlais ou bottes,0,45,,,non,94525
Quart de nonantte a prendre hauteur,1,1,quart de nonante à prendre hauteur,,non,1
Quart;de momante,1,1,quart de nonante,,non,9
Quarteaux ; cerclés ; de fer,1,1,quarteaux cerclés de fer,,non,1
Quartiers de reduction,1,1,quartiers de reduction,,non,1
Quarts à farine,1,1,quart à farine,,non,1
Quarts de nanantes,1,1,quart de nonante,,non,9
Quarts de nonante,2,2,quart de nonante,,non,9
Quarts de Nonante,1,1,quart de nonante,,non,9
Quarts de nonantes,1,1,quart de nonante,,non,9
Quarts de nonants,1,1,quart de nonante,,non,9
Quelques effets,0,2,quelques effets,,non,2
Quelques marchandises,0,1,quelques marchandises,,non,1
Quenouille de canne,1,1,quenouilles de cannes,,non,1
Quenouilles,12,12,quenouilles,,non,13
Quenoüilles,1,1,quenouilles,,non,13
Quenouilles de canne de peinte,1,1,quenouilles de cannes de peinte,x,non,1
Quenouilles de rozeau au peintes,1,1,quenouilles de roseau au peinte,x,non,1
Quercas,1,1,quercas,x,non,1
Quercitron,10,10,quercitron,,non,10
Quercitron ; des entrepôts,0,0,quercitron des entrepôts,,oui,0
Quercitron et Garou,3,3,quercitron et garou,,non,3
Queue de renard et écureuil,0,0,queues de renard et écureuil,,oui,0
Queues ; de koquiky et de putois,0,0,queues de koquiky et de putois,x,oui,0
Queues ; de martes et fouines,0,0,queues de martre et fouine,,oui,0
Queues ; de martre,1,1,queues de martre,,non,4
Queües ; de martre,1,1,queues de martre,,non,4
Queues ; de martres,1,1,queues de martre,,non,4
Quëues ; de martres,1,1,queues de martre,,non,4
Queues ; de petit-gris,0,0,queues de petit gris,,oui,1
