goods_simpl_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
toile de Pontivy,32,not raw cotton,non,549385
toile de Pontorson,1,not raw cotton,non,549385
toile de Pouldavid,21,not raw cotton,non,549385
toile de prises,0,not raw cotton,oui,549385
toile de Quintin,22,not raw cotton,non,549385
toile de réforme,2,not raw cotton,non,549385
toile de retour,3,not raw cotton,non,549385
toile de rite,1,not raw cotton,non,549385
toile de rouanée,1,not raw cotton,non,549385
toile de Rouen,64,not raw cotton,non,549385
toile de Russie,5,not raw cotton,non,549385
toile de Saint-Gail,5,not raw cotton,non,549385
toile de Saint-Georges,10,not raw cotton,non,549385
toile de Saint-Jean,6,not raw cotton,non,549385
toile de Saint-Quentin,3,,non,4510
toile de Saint-Quentin commune,1,not raw cotton,non,549385
toile de Saintonge,65,not raw cotton,non,549385
toile de Saintonge fine,1,,non,4510
toile de Savigny,2,not raw cotton,non,549385
toile de senigat,1,not raw cotton,non,549385
toile de serpillière,2,not raw cotton,non,549385
toile de serviette,3,not raw cotton,non,549385
toile de serviette vieille,1,not raw cotton,non,549385
toile de Sevigneau,1,not raw cotton,non,549385
toile de siamoise,313,not raw cotton,non,549385
toile de siamoise au sixième de soie,2,not raw cotton,non,549385
toile de Silésie,6,not raw cotton,non,549385
toile de soie,5,not raw cotton,non,549385
toile de Suisse,41,not raw cotton,non,549385
toile de Surate,1,,non,4510
toile de Suvignan,1,not raw cotton,non,549385
toile de table,2,not raw cotton,non,549385
toile de treillis,2,not raw cotton,non,549385
toile de Troyes,12,not raw cotton,non,549385
toile de Valenciennes,43,not raw cotton,non,549385
toile de Vigery,1,not raw cotton,non,549385
toile de ville,1,,non,4510
toile de Vimoutiers,29,not raw cotton,non,549385
toile de Vitré,15,not raw cotton,non,549385
toile de Vitrée,3,not raw cotton,non,549385
toile de voile,15,not raw cotton,non,549385
toile découpée,1,not raw cotton,non,549385
toile demitte,2,not raw cotton,non,549385
toile des Flandres,2,not raw cotton,non,549385
toile des Indes,175,not raw cotton,non,549385
toile des Indes ???,4,not raw cotton,non,549385
toile des Indes ??? ??? ??? Indes,1,not raw cotton,non,549385
toile des Indes commerce français,3,not raw cotton,non,549385
toile des Indes du commerce étranger,2,not raw cotton,non,549385
toile des Indes du commerce français,2,not raw cotton,non,549385
toile des Indes en ??? français,2,not raw cotton,non,549385
toile des Indes et perles,2,not raw cotton,non,549385
toile des Indes gastas,1,not raw cotton,non,549385
toile des Indes imitant celles des Indes,1,not raw cotton,non,549385
toile des Indes peinte,7,not raw cotton,non,549385
toile des Indes peinte de thille,1,not raw cotton,non,549385
toile des Indes Perse du commerce étranger,1,not raw cotton,non,549385
toile des prises,1,not raw cotton,non,549385
toile du Béarn,10,not raw cotton,non,549385
toile du Brabant,3,not raw cotton,non,549385
toile du cerf,1,not raw cotton,non,549385
toile du commerce de France et des Indes,18,not raw cotton,non,549385
toile du commerce étranger et des Indes,10,not raw cotton,non,549385
toile du Levant,1,not raw cotton,non,549385
toile du Lyonnais,1,not raw cotton,non,549385
toile du Mans,1,not raw cotton,non,549385
toile du pays,15,not raw cotton,non,549385
toile du Piémont,2,not raw cotton,non,549385
toile dure,12,not raw cotton,non,549385
toile écrue,65,not raw cotton,non,549385
toile écrue commune,1,not raw cotton,non,549385
toile écrue de Languenan,1,not raw cotton,non,549385
toile écrue de lin,55,not raw cotton,non,549385
toile écrue et grise de lin,4,not raw cotton,non,549385
toile écrue et grosse de lin,1,not raw cotton,non,549385
toile écrue large,1,not raw cotton,non,549385
toile écrue pour essuie-mains,1,not raw cotton,non,549385
toile embabis,14,not raw cotton,non,549385
toile emballée,1,not raw cotton,non,549385
toile en ???,1,not raw cotton,non,549385
toile en basin de coton,6,not raw cotton,non,549385
toile en basin de coton brodé en soie,1,not raw cotton,non,549385
toile en chemises,1,not raw cotton,non,549385
toile en claire et de lin,1,not raw cotton,non,549385
toile en fair,2,not raw cotton,non,549385
toile en sacs,4,not raw cotton,non,549385
toile en serviettes,1,not raw cotton,non,549385
toile entre large,8,not raw cotton,non,549385
toile escamite,0,not raw cotton,oui,549385
toile et bonneterie,1,not raw cotton,non,549385
toile et laine à bouquets de laine,1,not raw cotton,non,549385
toile et treillis lustrés,2,not raw cotton,non,549385
toile étoilée,1,not raw cotton,non,549385
toile étoupes de lin,7,not raw cotton,non,549385
toile étoupière,5,not raw cotton,non,549385
toile étrangère,52,not raw cotton,non,549385
toile étroite,42,not raw cotton,non,549385
toile étroite de lin,5,not raw cotton,non,549385
toile étroite et fine,1,not raw cotton,non,549385
toile façon de Hollande,3,not raw cotton,non,549385
toile façon de Silésie,1,not raw cotton,non,549385
toile fil de laine,1,not raw cotton,non,549385
toile fine,48,not raw cotton,non,549385
toile fine de Flandre,1,not raw cotton,non,549385
toile fine de lin,73,not raw cotton,non,549385
toile fine de lin de Valenciennes,6,not raw cotton,non,549385
toile fine et large,1,not raw cotton,non,549385
toile fine rousse,1,,non,4510
toile française,4,,non,4510
toile futaine,3,not raw cotton,non,549385
toile galcienne de lin,1,not raw cotton,non,549385
toile glacée,2,not raw cotton,non,549385
toile gommée,4,not raw cotton,non,549385
toile gommée bougron,3,not raw cotton,non,549385
toile gommée et de lin,1,not raw cotton,non,549385
toile gommée et treillis,3,not raw cotton,non,549385
toile grasse,8,not raw cotton,non,549385
toile gratienne,26,not raw cotton,non,549385
toile gratienne rayée,1,not raw cotton,non,549385
toile grise,107,not raw cotton,non,549385
toile grise de laine,1,not raw cotton,non,549385
toile grise de lin,29,not raw cotton,non,549385
toile grise de lin à 10 sols et en dessous,1,not raw cotton,non,549385
toile grise de lin à 10 sols et en dessus,2,not raw cotton,non,549385
toile grise de lin à 30 sols l'aune,1,not raw cotton,non,549385
toile grise de lin à bas prix,1,not raw cotton,non,549385
toile grise de lin en dessous de 10 sols l'aune,4,not raw cotton,non,549385
toile grise de lin en dessous de 20 sols l'aune,1,not raw cotton,non,549385
toile grise non battue,1,not raw cotton,non,549385
toile gros brin,2,not raw cotton,non,549385
toile gros fort,33,not raw cotton,non,549385
toile grosse,222,not raw cotton,non,549385
toile grosse ???,3,not raw cotton,non,549385
toile grosse blanche,1,not raw cotton,non,549385
toile grosse commune,1,not raw cotton,non,549385
toile grosse de lin,32,not raw cotton,non,549385
toile grosse de lin de Saint-Quentin,1,,non,4510
toile grosse de lin et pour nègre,4,not raw cotton,non,549385
toile grosse en faces,12,not raw cotton,non,549385
toile grosse et sommiers,6,not raw cotton,non,549385
toile grosse garnie ??? pour prélat,1,not raw cotton,non,549385
toile grossière en pièce de 50 aunes,1,not raw cotton,non,549385
toile haut brin,4,not raw cotton,non,549385
toile haut brin de Dinant,4,not raw cotton,non,549385
toile hivre,1,not raw cotton,non,549385
toile hollande,1,,non,4510
toile Hollande de Paris,1,not raw cotton,non,549385
toile hollandille,1,not raw cotton,non,549385
toile hollandille de Paris,2,not raw cotton,non,549385
toile humaine,2,not raw cotton,non,549385
toile imitant celle des Indes,2,not raw cotton,non,549385
toile imitant celle des Indes et de Rouen,6,not raw cotton,non,549385
toile imitant celle des Indes et nationale,1,not raw cotton,non,549385
toile imprimée,12,not raw cotton,non,549385
toile imprimée et de fil et peinte et teinte,4,not raw cotton,non,549385
toile imprimée et de lin et nationale et peinte,4,not raw cotton,non,549385
toile imprimée et de lin et peinte,6,not raw cotton,non,549385
toile imprimée ou peinte,3,,non,4510
toile indienne,9,not raw cotton,non,549385
toile indienne fine,2,not raw cotton,non,549385
toile indienne française,6,not raw cotton,non,549385
toile indienne grosse,1,not raw cotton,non,549385
toile indienne nationale,5,not raw cotton,non,549385
toile judieau,3,not raw cotton,non,549385
toile kettroy,1,not raw cotton,non,549385
toile killis,40,not raw cotton,non,549385
toile kircochaye,2,not raw cotton,non,549385
toile lagias,1,not raw cotton,non,549385
toile laistoufaire,1,not raw cotton,non,549385
toile Languenan,11,not raw cotton,non,549385
toile large,35,not raw cotton,non,549385
toile large de lin,2,not raw cotton,non,549385
toile lavée,3,not raw cotton,non,549385
toile lesat,1,not raw cotton,non,549385
toile linon,41,not raw cotton,non,549385
toile lizat,3,not raw cotton,non,549385
toile lustrée,12,not raw cotton,non,549385
toile manche,1,not raw cotton,non,549385
toile manouf,145,not raw cotton,non,549385
toile mêlée,7,not raw cotton,non,549385
toile mêlée de coton et de fil,1,not raw cotton,non,549385
toile mêlée ganak,2,not raw cotton,non,549385
toile merdin,0,not raw cotton,oui,549385
toile mesdin,8,not raw cotton,non,549385
toile mi-blanche de moins de 8 fils,1,not raw cotton,non,549385
toile miennel,1,not raw cotton,non,549385
toile montagne,15,not raw cotton,non,549385
toile Morlaix,5,not raw cotton,non,549385
toile Mortagne,4,not raw cotton,non,549385
toile mouchoirs,4,not raw cotton,non,549385
toile nationale,5,not raw cotton,non,549385
toile navale,8,not raw cotton,non,549385
toile neganepeau et imitant celle des Indes,1,not raw cotton,non,549385
toile noire,1,not raw cotton,non,549385
toile non battue,29,not raw cotton,non,549385
toile ordre et rousse,1,not raw cotton,non,549385
toile organdi,1,not raw cotton,non,549385
toile ouvragée de chanvre et de lin pour linge de table,3,not raw cotton,non,549385
toile ouvrée chaussettes,1,not raw cotton,non,549385
toile ouvrée chemises,2,not raw cotton,non,549385
toile ouvrée nappes,1,not raw cotton,non,549385
toile ouvrée nappes et serviettes,1,not raw cotton,non,549385
toile ouvrée serviettes,1,not raw cotton,non,549385
toile palmite,1,not raw cotton,non,549385
toile pécate,1,not raw cotton,non,549385
toile peignée,1,not raw cotton,non,549385
toile peinte,968,not raw cotton,non,549385
toile peinte de Hollande,1,,non,4510
toile peinte en camaïeu,1,not raw cotton,non,549385
toile peinte et siamoise,1,not raw cotton,non,549385
toile peinte et teinte,7,not raw cotton,non,549385
toile peinte française,1,not raw cotton,non,549385
toile peinte imprimée,1,not raw cotton,non,549385
toile peinte indienne,6,not raw cotton,non,549385
toile peinte pour paravent,1,not raw cotton,non,549385
toile peinte sur enduit pour tapisserie,2,not raw cotton,non,549385
toile petite,5,not raw cotton,non,549385
toile photas,9,not raw cotton,non,549385
toile photas imitant celle des Indes,1,not raw cotton,non,549385
toile pièces étroites,2,not raw cotton,non,549385
toile pièces larges,2,not raw cotton,non,549385
toile pignée,1,not raw cotton,non,549385
toile pignole,1,not raw cotton,non,549385
toile piquée,84,not raw cotton,non,549385
toile piquée de Marseille,3,not raw cotton,non,549385
toile piqûre de Marseille,1,not raw cotton,non,549385
toile platier de Guinée,1,not raw cotton,non,549385
toile point,1,not raw cotton,non,549385
toile Poldavie,2,not raw cotton,non,549385
toile polonaise,16,not raw cotton,non,549385
toile Pontivy,1,not raw cotton,non,549385
toile poupoulis,2,not raw cotton,non,549385
toile pour ameublement,1,not raw cotton,non,549385
toile pour ameublement cirée,2,not raw cotton,non,549385
toile pour ameublement teinte,2,not raw cotton,non,549385
toile pour chemise à nègre,1,not raw cotton,non,549385
toile pour coiffes de chapeaux de lin et teinte,1,not raw cotton,non,549385
toile pour cribles,1,not raw cotton,non,549385
toile pour doublure,1,not raw cotton,non,549385
toile pour emballage,9,not raw cotton,non,549385
toile pour emballage grise de lin,2,not raw cotton,non,549385
toile pour essuie-mains,2,not raw cotton,non,549385
toile pour essuie-mains grise de lin,1,not raw cotton,non,549385
toile pour faire chemise à nègre,1,not raw cotton,non,549385
toile pour faire linge,1,not raw cotton,non,549385
toile pour la Hollande,1,not raw cotton,non,549385
toile pour matelas,2,not raw cotton,non,549385
toile pour mouchoirs,2,not raw cotton,non,549385
toile pour mouchoirs rayée,2,not raw cotton,non,549385
toile pour nappes,1,not raw cotton,non,549385
toile pour nappes et serviettes,1,not raw cotton,non,549385
toile pour serviettes,2,not raw cotton,non,549385
toile pour tabac,2,not raw cotton,non,549385
toile pour tableaux,1,not raw cotton,non,549385
toile pour talliet,1,not raw cotton,non,549385
toile pour tente,1,not raw cotton,non,549385
toile pour voile,1009,not raw cotton,non,549385
toile pour voile commune,1,not raw cotton,non,549385
toile pour voile de 24 aunes,1,not raw cotton,non,549385
toile pour voile étrangère,1,not raw cotton,non,549385
toile presitte,1,not raw cotton,non,549385
toile pressée,2,not raw cotton,non,549385
toile preville,1,not raw cotton,non,549385
toile prohibée,1,not raw cotton,non,549385
toile quatre fils,1,not raw cotton,non,549385
toile quilly,1,not raw cotton,non,549385
toile ralette de Hambourg,1,not raw cotton,non,549385
toile ramoise,14,not raw cotton,non,549385
toile rayée,55,not raw cotton,non,549385
toile rayée coton et soie,1,not raw cotton,non,549385
toile rayée de couleur,1,not raw cotton,non,549385
toile réforme,1,not raw cotton,non,549385
toile reploc,1,not raw cotton,non,549385
toile romals,14,not raw cotton,non,549385
toile rondelette,4,not raw cotton,non,549385
toile rondelle,1,not raw cotton,non,549385
toile rosconne,39,not raw cotton,non,549385
toile rouge,3,not raw cotton,non,549385
toile rousse,52,not raw cotton,non,549385
toile royale,127,not raw cotton,non,549385
toile royalle,1,not raw cotton,non,549385
toile sacs à boîtes,1,not raw cotton,non,549385
toile Saintonge,0,not raw cotton,oui,549385
toile salemporis,2,not raw cotton,non,549385
toile salemporis bleue,1,not raw cotton,non,549385
toile sanas lustrée,1,not raw cotton,non,549385
toile sangalette,14,not raw cotton,non,549385
toile sans apprêt,1,not raw cotton,non,549385
toile sans apprêt de chanvre et de lin écrue de 13 à 20 fils,2,not raw cotton,non,549385
toile sans apprêt de chanvre et de lin écrue de 20 fils et au-dessus,2,not raw cotton,non,549385
toile sans apprêt de chanvre et de lin écrue de 8 à 13 fils,2,not raw cotton,non,549385
toile sans apprêt de chanvre et de lin écrue de moins de 8 fils,2,not raw cotton,non,549385
toile sans apprêt de chanvre et de lin écrue unie,2,not raw cotton,non,549385
toile sans apprêt de chanvre et de lin écrue unie de 13 fils inclusivement à 20 fils exclusivement,1,not raw cotton,non,549385
toile sans apprêt de chanvre et de lin écrue unie de 20 fils et au-dessus,1,not raw cotton,non,549385
toile sans apprêt de chanvre et de lin écrue unie de 8 fils inclusivement à 13 fils exclusivement,1,not raw cotton,non,549385
toile sans apprêt de chanvre et de lin écrue unie de moins de 8 fils,1,not raw cotton,non,549385
toile sans apprêt écrue de 13 à 20 fils,1,not raw cotton,non,549385
toile sans apprêt écrue de 20 fils et au-dessus,1,not raw cotton,non,549385
toile sans apprêt écrue de 8 à 13 fils inclus,1,not raw cotton,non,549385
toile sans apprêt écrue de moins de 8 fils,1,not raw cotton,non,549385
toile sempiterne,1,not raw cotton,non,549385
toile serpillère,3,not raw cotton,non,549385
toile serpillère commune,1,not raw cotton,non,549385
toile serpillière,98,not raw cotton,non,549385
toile serviettes,3,not raw cotton,non,549385
toile siamoise,1,not raw cotton,non,549385
toile sigillée,1,not raw cotton,non,549385
toile sirsacas,4,not raw cotton,non,549385
toile sistresaye,1,not raw cotton,non,549385
toile socreton,1,not raw cotton,non,549385
toile socreton bleue,1,not raw cotton,non,549385
toile solonaise,2,not raw cotton,non,549385
toile Suisse,1,not raw cotton,non,549385
toile tapsel,12,not raw cotton,non,549385
toile tapsel imitant celle des Indes,1,not raw cotton,non,549385
toile tarnatanes,1,not raw cotton,non,549385
toile teinte,96,not raw cotton,non,549385
toile teinte de 13 à 20 fils,3,not raw cotton,non,549385
toile teinte de 8 à 13 fils,2,not raw cotton,non,549385
toile teinte de moins de 8 fils,2,not raw cotton,non,549385
toile tissée,1,not raw cotton,non,549385
toile tissée très fin,1,not raw cotton,non,549385
toile treillis,25,not raw cotton,non,549385
toile vernante,13,not raw cotton,non,549385
toile vernie,1,not raw cotton,non,549385
toile Vimoutiers,3,not raw cotton,non,549385
toile Vitré,2,not raw cotton,non,549385
toilettes,8,not raw cotton,non,549385
toilettes blanches de lin,1,not raw cotton,non,549385
toilettes brodées de soie,1,not raw cotton,non,549385
toilettes d'acajou,1,,non,4510
toilettes de bois,1,not raw cotton,non,549385
toilettes de bois de Chine,1,not raw cotton,non,549385
toilettes de bois verni,1,not raw cotton,non,549385
toilettes de Valenciennes,2,not raw cotton,non,549385
toilettes façon Chine,1,not raw cotton,non,549385
toilettes grises de lin,1,not raw cotton,non,549385
toilettes pour femme,20,not raw cotton,non,549385
toilettes vernie de Chine,1,,non,4510
tôle,1,not raw cotton,non,549385
tôle de fer,585,not raw cotton,non,549385
tôle de fer laminé ou platiné,2,not raw cotton,non,549385
tôle de fer noir laminé ou platiné,6,not raw cotton,non,549385
tôle de fer simple,2,not raw cotton,non,549385
tôle de fer-blanc,2,not raw cotton,non,549385
tôle double de fer,2,not raw cotton,non,549385
tôle en platines vernies,1,not raw cotton,non,549385
tombas,1,not raw cotton,non,549385
tombe de marbre,1,not raw cotton,non,549385
tombeaux,4,not raw cotton,non,549385
tombeaux de marbre,2,not raw cotton,non,549385
tombereaux,18,not raw cotton,non,549385
tombereaux et voitures,2,not raw cotton,non,549385
tondelle,1,not raw cotton,non,549385
tondures de drap,4,not raw cotton,non,549385
tonneaux,3,not raw cotton,non,549385
tonneaux à l'eau cerclés de fer,2,not raw cotton,non,549385
tonneaux cercles de bois,17,not raw cotton,non,549385
tonneaux cercles de fer,8,not raw cotton,non,549385
tonneaux cerclés de fer,7,not raw cotton,non,549385
tonneaux cuvelles et futailles,2,not raw cotton,non,549385
tonneaux neufs,1,not raw cotton,non,549385
tonneaux vides,14,not raw cotton,non,549385
tonneaux vieux,1,not raw cotton,non,549385
topazes bruts,1,not raw cotton,non,549385
topazes taillés,2,not raw cotton,non,549385
toques,2,not raw cotton,non,549385
tortue,3,not raw cotton,non,549385
tortue marinée et salée,1,not raw cotton,non,549385
tortues vivantes et volailles,6,not raw cotton,non,549385
touques de grès,4,not raw cotton,non,549385
touques petites,1,not raw cotton,non,549385
tourbe,9,not raw cotton,non,549385
toures,1,not raw cotton,non,549385
tournebres,1,not raw cotton,non,549385
tournebroche,18,not raw cotton,non,549385
tournes-viandes,1,not raw cotton,non,549385
tournesol,287,not raw cotton,non,549385
tournesol apprêté,2,not raw cotton,non,549385
tournesol en drapeau,8,not raw cotton,non,549385
tournesol en herbes,2,not raw cotton,non,549385
tournesol en pain,9,not raw cotton,non,549385
tournesol et d'acmail,1,not raw cotton,non,549385
tourons,40,not raw cotton,non,549385
tourons d'Espagne,2,not raw cotton,non,549385
tours,1,not raw cotton,non,549385
tours à barriques,1,not raw cotton,non,549385
tours à filer,15,not raw cotton,non,549385
tours à filer de bois,1,not raw cotton,non,549385
tours à guillocher,1,not raw cotton,non,549385
tours de col,3,,non,4510
tours de lit de bourre,10,not raw cotton,non,549385
tours de pin,1,not raw cotton,non,549385
tours pour tourneur,1,not raw cotton,non,549385
tourteaux de graines grasses,4,not raw cotton,non,549385
tourteaux de graines oléagineuses,3,not raw cotton,non,549385
toutenague,40,not raw cotton,non,549385
train de cabriolet,1,not raw cotton,non,549385
train de carrosses,2,not raw cotton,non,549385
trait d'argent et d'or,2,not raw cotton,non,549385
trait d'or,3,not raw cotton,non,549385
tramail,4,not raw cotton,non,549385
traques de cuir,1,not raw cotton,non,549385
traverses,1,,non,4510
travettes,1,not raw cotton,non,549385
travettes de bois,1,not raw cotton,non,549385
travons,8,not raw cotton,non,549385
travons de sapin,6,not raw cotton,non,549385
travout,1,not raw cotton,non,549385
trèfle,1,not raw cotton,non,549385
treillis,95,not raw cotton,non,549385
treillis bougrand et canevas,4,not raw cotton,non,549385
treillis d'Allemagne,3,not raw cotton,non,549385
treillis gommé,5,not raw cotton,non,549385
treillis non lustré,1,not raw cotton,non,549385
treillis peint,1,not raw cotton,non,549385
tremille,1,not raw cotton,non,549385
trenelle,1,not raw cotton,non,549385
trenelle d'Espagne,2,not raw cotton,non,549385
trenelle d'espars,47,not raw cotton,non,549385
trenelle de jonc,2,not raw cotton,non,549385
trépan,1,,non,4510
trépan de marbre,1,,non,4510
trépieds,1,not raw cotton,non,549385
trépieds de fer,1,not raw cotton,non,549385
tresse d'argent,2,not raw cotton,non,549385
tresse d'argent et d'or,9,not raw cotton,non,549385
tresse d'or,5,not raw cotton,non,549385
tresse de fil,4,not raw cotton,non,549385
tresse de fleures,1,not raw cotton,non,549385
tresse de fleuret,6,not raw cotton,non,549385
tresse de jonc,1,not raw cotton,non,549385
tresse de laine,3,not raw cotton,non,549385
tresse de laine 30 lignes,1,not raw cotton,non,549385
tresse de lin,1,not raw cotton,non,549385
tresse de soie,15,not raw cotton,non,549385
tréteaux de chêne de 6 pouces,1,not raw cotton,non,549385
tricots,3,not raw cotton,non,549385
tricots chinés de 6 aunes,1,not raw cotton,non,549385
tricots de coton,2,not raw cotton,non,549385
tricots de coton et tricots de fil,1,not raw cotton,non,549385
tricots de fil,2,not raw cotton,non,549385
tricots de laine,1,not raw cotton,non,549385
tricots de laine en bonneterie,1,not raw cotton,non,549385
tricots de soie,3,not raw cotton,non,549385
trictrac,4,not raw cotton,non,549385
triomphante,1,not raw cotton,non,549385
tripe,3,not raw cotton,non,549385
tripe d'huîtres,1,not raw cotton,non,549385
tripe de bœuf salé,1,not raw cotton,non,549385
tripe de fil et de laine,1,not raw cotton,non,549385
tripe de laine,2,not raw cotton,non,549385
tripe de laine et de fil,1,not raw cotton,non,549385
tripe de Lannoy,1,not raw cotton,non,549385
tripe de morue,1,not raw cotton,non,549385
tripe de velours,103,not raw cotton,non,549385
tripe mêlée de soie et tripe de velours,56,not raw cotton,non,549385
tripe sur soie,2,not raw cotton,non,549385
tripes marinées et salées,1,not raw cotton,non,549385
tripes salées,1,not raw cotton,non,549385
tripoli,16,not raw cotton,non,549385
trompes,1,not raw cotton,non,549385
trompes de fer,2,not raw cotton,non,549385
trompettes,2,not raw cotton,non,549385
trompettes de cuivre,4,not raw cotton,non,549385
trompettes de fer,1,not raw cotton,non,549385
trot de vin,1,not raw cotton,non,549385
trousse de fleures,1,not raw cotton,non,549385
truelles,2,not raw cotton,non,549385
truelles de fer,2,not raw cotton,non,549385
truffe noire,1,not raw cotton,non,549385
truffes,268,not raw cotton,non,549385
truffes ??? et culs d'artichauts,1,not raw cotton,non,549385
truffes à l'huile,2,not raw cotton,non,549385
truffes culs d'artichauts et autres secs,2,not raw cotton,non,549385
truffes de fer,1,not raw cotton,non,549385
truffes de fonte de fer,3,not raw cotton,non,549385
truffes fraîches,9,not raw cotton,non,549385
truffes fraîches et marinées,2,not raw cotton,non,549385
truffes marinées,6,not raw cotton,non,549385
truffes noires,5,not raw cotton,non,549385
truffes sèches,57,not raw cotton,non,549385
truffes vertes,1,not raw cotton,non,549385
truites,13,not raw cotton,non,549385
truites séchées,1,not raw cotton,non,549385
trully,2,not raw cotton,non,549385
trumeaux de glace,1,not raw cotton,non,549385
tuffeaux,47,not raw cotton,non,549385
tuffeaux doubles,1,not raw cotton,non,549385
tuffeaux simples,3,not raw cotton,non,549385
tuiles,289,not raw cotton,non,549385
tuiles courbées,1,not raw cotton,non,549385
tuiles courbées de terre cuite,1,not raw cotton,non,549385
tuiles de couverture,1,not raw cotton,non,549385
tuiles de terre,7,not raw cotton,non,549385
tuiles de terre cuite,21,not raw cotton,non,549385
tuiles plates,1,not raw cotton,non,549385
tuiles plates de terre cuite,1,not raw cotton,non,549385
tulle,2,not raw cotton,non,549385
tulle de chanvre et de lin,4,not raw cotton,non,549385
tulle de soie,4,not raw cotton,non,549385
turban,1,not raw cotton,non,549385
turban de soie,4,not raw cotton,non,549385
turbit,48,not raw cotton,non,549385
turbot,2,not raw cotton,non,549385
turbot salé,1,not raw cotton,non,549385
turlutaines,1,not raw cotton,non,549385
turlutaines et turquoise,1,not raw cotton,non,549385
turquoise,1,not raw cotton,non,549385
turquoise des prises,1,not raw cotton,non,549385
tussaux,1,not raw cotton,non,549385
tutic,35,not raw cotton,non,549385
tutilly,3,not raw cotton,non,549385
tuttie,1,not raw cotton,non,549385
tuyaux,1,,non,4510
tuyaux d'orgue,2,not raw cotton,non,549385
tuyaux de cuir pour les pompes,1,not raw cotton,non,549385
tuyaux de fer,1,not raw cotton,non,549385
tuyaux de fer à vernir,1,not raw cotton,non,549385
tuyaux de fer de fonte,1,not raw cotton,non,549385
tuyaux de fonte,1,not raw cotton,non,549385
tuyaux de grenade,2,not raw cotton,non,549385
tuyaux de pipes,2,not raw cotton,non,549385
tuyaux de plomb,5,not raw cotton,non,549385
tuyaux en fer,5,not raw cotton,non,549385
tympanon,1,not raw cotton,non,549385
urnes de terre,1,not raw cotton,non,549385
ustensiles d'imprimerie,1,not raw cotton,non,549385
ustensiles de marine,2,not raw cotton,non,549385
ustensiles de pêcheur,2,not raw cotton,non,549385
ustensiles militaires,1,not raw cotton,non,549385
vaches,403,not raw cotton,non,549385
vaches en vie,18,not raw cotton,non,549385
vaches et veaux,1,not raw cotton,non,549385
vaches grasses et en chair,2,not raw cotton,non,549385
vaches maigres,2,not raw cotton,non,549385
vaches tuées,1,not raw cotton,non,549385
vacquette,29,not raw cotton,non,549385
vairon,1,not raw cotton,non,549385
vaisseaux montés,1,not raw cotton,non,549385
vaisselle,5,not raw cotton,non,549385
vaisselle d'Allemagne d'argent,1,not raw cotton,non,549385
vaisselle d'argent,195,not raw cotton,non,549385
vaisselle d'étain,4,not raw cotton,non,549385
vaisselle d'or,4,not raw cotton,non,549385
vaisselle d'orfèvrerie,2,not raw cotton,non,549385
vaisselle de Biarritz,1,not raw cotton,non,549385
vaisselle de bois,8,not raw cotton,non,549385
vaisselle de bois verni,1,not raw cotton,non,549385
vaisselle de faïence,63,not raw cotton,non,549385
vaisselle de métal,1,not raw cotton,non,549385
vaisselle de terre,12,not raw cotton,non,549385
vaisselle de verre pour desserts,1,not raw cotton,non,549385
vaisselle plate,1,not raw cotton,non,549385
valeurs de diverses marchandises entrées en franchise de droits à charge de réexportation pour le commerce colonial,9,not raw cotton,non,549385
valises,1,not raw cotton,non,549385
valises petites,1,not raw cotton,non,549385
vallonea,1,not raw cotton,non,549385
valtones,1,not raw cotton,non,549385
valvorette de coton,1,not raw cotton,non,549385
vandes,1,not raw cotton,non,549385
vanille,234,not raw cotton,non,549385
vanille botte,1,not raw cotton,non,549385
vannerie,15,not raw cotton,non,549385
vannerie 9050 lignes,1,not raw cotton,non,549385
vannerie brute,1,not raw cotton,non,549385
vannerie brute d'espèce,3,not raw cotton,non,549385
vannerie coupée,1,not raw cotton,non,549385
vannerie coupée d'espèce,2,not raw cotton,non,549385
vannerie d'espèce,1,not raw cotton,non,549385
vannerie d'espèce pelée,3,not raw cotton,non,549385
vannerie d'osier,11,not raw cotton,non,549385
vannerie pelée,1,not raw cotton,non,549385
vannes de coton blanches,1,not raw cotton,non,549385
vans à vanner,83,not raw cotton,non,549385
vans à vanner de bois,1,not raw cotton,non,549385
vans et verges d'osier,1,not raw cotton,non,549385
vareuse de toile,1,,non,4510
varlopes,1,not raw cotton,non,549385
vas du Rhin,1,not raw cotton,non,549385
vases,2,not raw cotton,non,549385
vases d'église d'orfèvrerie,1,not raw cotton,non,549385
vases de briques,1,not raw cotton,non,549385
vases de faïence,3,not raw cotton,non,549385
vases de jardin de faïence,1,not raw cotton,non,549385
vases de pierre,3,not raw cotton,non,549385
vases de plâtre,2,not raw cotton,non,549385
vases de terre,3,not raw cotton,non,549385
vaté,1,not raw cotton,non,549385
vatons,3,not raw cotton,non,549385
vaude,0,not raw cotton,oui,549385
vaudes,137,,non,4510
vaudes bottes,2,,non,4510
veaux,200,not raw cotton,non,549385
veaux de lait,11,not raw cotton,non,549385
veaux en vie,4,not raw cotton,non,549385
veaux gras,3,not raw cotton,non,549385
veaux maigres,1,not raw cotton,non,549385
veaux petits,1,not raw cotton,non,549385
veaux pour ???,1,not raw cotton,non,549385
védasse,46,not raw cotton,non,549385
végétal,3,not raw cotton,non,549385
veiles,1,not raw cotton,non,549385
velbar,1,not raw cotton,non,549385
velours,384,not raw cotton,non,549385
velours à ramage,1,not raw cotton,non,549385
