goods_simpl_classification;ulrich_classification
bière d'Angleterre;out
bière d'Hoegaarden;out
bière de Hollande;out
bière de Hollande et d'Angleterre;out
bière de Liège;out
bière de Lübeck;out
bière de Lübeck pour médecine;out
bière dite juypenbier;out
bière dite lumay;out
bière en barrique;out
bière en bouteille;out
bière en muid;out
bière et cidre;out
bière et cidre et vinaigre;out
bière forte;out
bière médicinale de Lübeck;out
bière vétérinaire;out
bigarade;out
bigarade fraîche;out
bignes;out
bigons;out
bigous;out
bigues;out
bijouterie;out
bijouterie d'argent;out
bijouterie d'argent autre qu'ornée en perles fines ou pierres;out
bijouterie d'argent ornée en perles fines ou pierres;out
bijouterie d'or;out
bijouterie d'or autre qu'ornée en perles fines ou pierres;out
bijouterie d'or ornée en perles fines ou pierres;out
bijouterie en argent;out
bijouterie et mercerie;out
bijouterie et perles fines;out
bijouterie fine;out
bijouterie fine fausse en pierres faite métal;out
bijouterie pour montres d'argent;out
bijoux;out
bijoux d'or;out
bilardeaux;out
billard;out
billard vieux;out
billes d'ivoire;out
billes de billard;out
billes de bois;out
billes de bois de gaïac;out
billes de bois et de marbre;out
billes de bois marbré;out
billes de bois pour meuble;out
billets de parchemin;out
billons;out
billons de bois;out
billons de bois blanc;out
billons de bois petits;out
billons de pin;out
billons de sapin;out
billons et bois blanc;out
billots;out
billots de chêne pour merrain;out
billots de pin;out
billots de sapin;out
billots de sapin de 20 pieds;out
billots de sapin de 30 à 35 pieds;out
billots pour merrain;out
bimbeloterie;out
binages à pousser;out
birampots;out
birampots bleu;out
birampots des Indes;out
biscuit;out
biscuit amer;out
biscuit anisé;out
biscuit de mer;out
biscuit de mer et pain;out
biscuit de mer et pâte d'Italie;out
biscuit de munition;out
biscuit en pain;out
biscuit et farine et gruau et pâte;out
biscuit sucré;out
biseaux;out
bismuth;out
bitume;out
bitume de Judée;out
bitume et ambre jaune;out
bitume et bitume de Judée;out
bitume et houille brute;out
bitume et houille coak;out
blagues;out
blagues à tabac;out
blagues de cuir;out
blallst;out
blanc;out
blanc d'écaille;out
blanc d'Espagne;out
blanc d'Espagne craie blanche et moulue;out
blanc de ???;out
blanc de baleine;out
blanc de céruse;out
blanc de céruse pour l'entrepôt de la Compagnie des Indes;out
blanc de ferax;out
blanc de ferux;out
blanc de Herps;out
blanc de Hollande;out
blanc de Marne;out
blanc de Naples;out
blanc de plomb;out
blanc de plomb et térébenthine;turpentine
blanc de Troyes;out
blanc de Troyes et craie;out
blanc en chevron;out
blanc simple;out
blanchette;out
blanchissoire;out
blanquette;out
blé;out
blé avarié;out
blé en gerbe;out
blé et autres grains;out
bleu;out
bleu azure;out
bleu calaminé;out
bleu commun;out
bleu d'Allemagne;out
bleu d'azur;out
bleu de Berlin;out
bleu de Berlin ou de Prusse;out
bleu de paille;out
bleu de Pierre;out
bleu de Prusse;out
bleu de Prusse boules et indique;out
bleu de Prusse et graine jaune;out
bleu de Prusse et lazulite;out
bleu de Saxe;out
bleu de smalt;out
bleu en encre;out
bleu en pierres;out
bleu et vert minéral ou de montagne;out
bleu fin;out
bleu foncé;out
bleu ordinaire;out
bleu ou tournesol;out
Blicourt écarlate;out
bloc de 30 pieds;out
bloc de bois de l'Amérique;out
blocs;out
blocs de cuivre jaune;out
blonde;out
blonde d'argent;out
blonde d'or;out
blonde de fil;out
blonde de soie;out
blonde or et argent;out
blonde visage;out
blondine;out
blues d'étain;out
bluteau de laine;out
bluteaux;out
bobine de cuir;out
bocard de verre;out
bocau soie;out
bodans;out
boëland;out
bœuf;out
bœuf à l'écarlate;out
bœuf à la mode;out
bœuf d'Irlande;out
bœuf du pays;out
bœuf en daube;out
bœuf et génisses et vaches;out
bœuf et langue salée;out
bœuf et moutons et porcs et vaches;out
bœuf et moutons et porcs et vaches et veaux;out
bœuf et moutons et porcs et vaches etc.;out
bœuf et moutons et vaches et veaux;out
bœuf et moutons et vaches etc.;out
bœuf et taureaux;out
bœuf et vaches;out
bœuf froment;out
bœuf fumé;out
bœuf fumé et salé;out
bœuf gras;out
bœuf gras et en chair;out
bœuf illinois;out
bœuf jeune;out
bœuf maigre;out
bœuf préparé;out
bœuf salé;out
bœuf salé d'Irlande;out
bœuf salé de Bretagne;out
bœuf salé de Hollande;out
bœuf salé du pays;out
bœuf salé pour l'entrepôt des Îles;out
bœuf taureau;out
bœuftins et génisses;out
bois;out
bois à brûler;out
bois à fusil;out
bois à quart;out
bois à teindre moulu;out
bois à tourner;out
bois à travailler;out
bois amer;out
bois au daumes;out
bois barres de guindeau;out
bois billots;out
bois blanc;out
bois bordage;out
bois bourdilles;out
bois bourdillons;out
bois boway de chêne;out
bois boway de sapin;out
bois brai;out
bois brandilles;out
bois brun;out
bois commun;out
bois commun de chêne et sans désignation d'espèce et scié;out
bois commun de pin et sapin brut ou équarri à la hache;out
bois commun de pin et sapin de cham et scié;out
bois commun de pin et sapin scié de 34 mm d'épaisseur;out
bois commun de pin et sapin scié de plus de 80 mm d'épaisseur;out
bois corbin;out
bois cordayer;out
bois courbé;out
bois d'acajou;out
bois d'acajou brut;out
bois d'acajou des entrepôts;out
bois d'acajou divers;out
bois d'acajou en bloc;out
bois d'acajou pour madrier;out
bois d'acajou pour planche;out
bois d'acajou scié;out
bois d'acajou scié de 2 à 3 décimètres;out
bois d'aloès;out
bois d'amarante;out
bois d'Angeot;out
bois d'Angola;out
bois d'ansprete;out
bois d'arc;out
bois d'arc et d'arbalètes;out
bois d'arc et de flèches;out
bois d'arc et de fusils;out
bois d'arc et de selles;out
bois d'aspatton;out
bois d'ébène;out
bois d'ébénisterie;out
bois d'ébénisterie des entrepôts;out
bois d'ébénisterie et des Indes;out
bois d'ébénisterie scié;out
bois d'écarage;out
bois d'érable;out
bois d'espars;out
bois d'esquine;out
bois d'Inde;out
bois d'olivier;out
bois d'olivier à brûler;out
bois d'olivier pelé;out
bois d'olivier pelé préceintes;out
bois d'orignal;out
bois d'orme;out
bois d'ormeau;out
bois d'osier;out
bois de ???;out
bois de 5 pieds;out
bois de bordage;out
bois de bordage de chêne;out
bois de bordage de sapin;out
bois de Brésil;brasilwood
bois de Brésil en bûche;brasilwood
bois de Brésil menu;brasilwood
bois de Brésil moulu;brasilwood
bois de Brésil râpé;brasilwood
bois de Brésil Sainte-Marthe;brasilwood
bois de brésillet;out
bois de brochialle;out
bois de bruyère;out
bois de buis;out
bois de buis boule;out
bois de cabestan;out
bois de cail-cédra;out
bois de Caliatour;out
bois de Caliatour en bûche;out
bois de Caliatour moulu;out
bois de Caliatour râpé;out
bois de Campêche;logwood
bois de Campêche en bûches;logwood
bois de Campêche en bûches pour teinture;logwood
bois de Campêche moulu;logwood
bois de Campêche pour teinture;logwood
bois de Campêche râpé;logwood
bois de camphre;out
bois de canet;out
bois de cannelle;out
bois de Cayenne;out
bois de cèdre;out
bois de cerf;out
bois de cerisier;out
bois de chacie de noyer;out
bois de chaises;out
bois de charbonnage;out
bois de charouage;out
bois de charpente;out
bois de charpente couvertures de maisons;out
bois de charpente de sapin;out
bois de charronnage;out
bois de châtaignier;out
bois de châtaignier en planches;out
bois de chêne;out
bois de chêne 30 pieds;out
bois de chêne à poutres;out
bois de chêne à sommiers;out
bois de chêne bourdilles;out
bois de chêne bouts de 6 pieds;out
bois de chêne carré;out
bois de chêne chevrons;out
bois de chêne courbé pour construction navale;out
bois de chêne d'équarrissage;out
bois de chêne de 30 à 40 pieds;out
bois de chêne de 30 pieds;out
bois de chêne de 40 pieds;out
bois de chêne de charpente;out
bois de chêne de construction;out
bois de chêne en lattes;out
bois de chêne en morceaux;out
bois de chêne en morceaux de 5 pieds;out
bois de chêne et sapin pour construction;out
bois de chêne pour bordage;out
bois de chêne pour construction;out
bois de chêne pour construction courbe;out
bois de chêne rond;out
bois de chêne scié;out
bois de chevrons;out
bois de Chine;out
bois de Chypre;out
bois de citrin et de quassie et de Rhodes et de santal blanc;out
bois de clafou;out
bois de cleippe;out
bois de coco;out
bois de Constantine;out
bois de coulette de hêtre;out
bois de couleur;out
bois de courbant;out
bois de courbaril;out
bois de coutelier;out
bois de crabe;out
bois de crible;out
bois de faïence;out
bois de fauteuils;out
bois de fauteuils et canapé;out
bois de faux;out
bois de fayard;out
bois de fer;out
bois de férole;out
bois de figuier;out
bois de flèches;out
bois de Fondal;out
bois de frêne;out
bois de fustel;out
bois de fustel haché;out
bois de fustel pour teinture;out
bois de fustet;out
bois de fustet moulu;out
bois de fustet pour teinture;out
bois de gaïac;out
bois de gaïac des entrepôts;out
bois de gaïac en bûches;out
bois de gaïac râpé;out
bois de gays;out
bois de genièvre;out
bois de girofle;out
bois de gitte;out
bois de grenadier;out
bois de grenadille;out
bois de Hambourg;out
bois de Honduras;out
bois de Honduras en bûches;out
bois de houx;out
bois de houx bûches;out
bois de jacaranda;out
bois de lettre;out
bois de lin;out
bois de lit;out
bois de lit d'acajou;out
bois de machandises marbré;out
bois de machemillier;out
bois de Magny;out
bois de marbre;out
bois de marguerite;out
bois de marine;out
bois de marqueterie;out
bois de melle;out
bois de menuiserie;out
bois de Nantes;out
bois de Nicaragua;out
bois de noyer;out
bois de palissandre;out
bois de Pernambouc;brasilwood
bois de Pernambouc à teindre;brasilwood
bois de Pernambouc arbustes;brasilwood
bois de Pernambouc en bûche;brasilwood
bois de Pernambouc moulu;brasilwood
bois de Pernambouc râpé;brasilwood
bois de pin;out
bois de pourpre;out
bois de Provence;out
bois de Provence Pernambouc et Campêche;dye other
bois de quassie;out
bois de raquette;out
bois de réglisse;out
bois de réglisse et jus de réglisse;out
bois de Rhodes;out
bois de Rhodes et sental-citrin etc.;out
bois de romarin;out
bois de rose;out
bois de roseau;out
bois de rouage;out
bois de rouage et ouvrages de charronnerie;out
bois de Sainte-Lucie;out
bois de Sainte-Marthe;dye other
bois de Sainte-Marthe en bûches;dye other
bois de Sainte-Marthe moulu;dye other
bois de Sainte-Marthe pour teinture;dye other
bois de santal;out
bois de santal ???;out
bois de santal blanc;out
bois de santal cetrin;out
bois de santal citrin;out
bois de santal en bûches;out
bois de santal moulu;out
bois de santal mouton;out
bois de santal pour teinture;dye other
bois de santal rouge;out
bois de sap;out
bois de sapin;out
bois de sapin de 18 pieds;out
bois de sapin de 2 à 3 pieds;out
bois de sapin de 20 à 30 pieds;out
bois de sapin de 20 pieds;out
bois de sapin de 22 pieds et 12 pouces;out
bois de sapin de 27 pieds;out
bois de sapin de 40 pieds;out
bois de sapin de 6 pieds;out
bois de sapin peint;out
bois de sappan;out
bois de sappan moulu pour teindre;out
bois de sappan pour teindre;out
bois de sassafras;out
bois de sassafras moulu;out
bois de saule;out
bois de saune;out
bois de Sayan;out
bois de selles;out
bois de senteur;out
bois de serrure;out
bois de simarouba;out
bois de sommiers;out
bois de tables doré;out
bois de tamis;out
bois de teinture;dye other
bois de teinture autres que Pernambouc et moulu;brasilwood
bois de teinture des entrepôts;dye other
bois de teinture en bûches;dye other
bois de teinture en bûches ou morceaux et autres bois exotiques;dye other
bois de teinture en bûches ou morceaux et Pernambouc;brasilwood
bois de teinture et marqueterie;dye other
bois de teinture moulu;dye other
bois de teinture moulu Pernambouc;brasilwood
bois de teinture Nicaragua;dye other
bois de teinture Pernambouc;brasilwood
bois de teure;out
bois de tilleul;out
bois de toctacanot;out
bois de violette;out
bois des Îles et des Indes;dye other
bois des Îles et des Indes moulu;dye other
bois des Îles et des Indes pour teinture et marqueterie;dye other
bois des Indes;dye other
bois des Indes de teinture;dye other
bois des Indes de teinture moulu;dye other
bois des Indes de violette;dye other
bois des Indes en bûches;dye other
bois des Indes et d'ébénisterie et de marqueterie;dye other
bois des Indes jaune;dye other
bois des Indes moulu;dye other
bois des Indes moulu en bûches;dye other
bois des Indes pour marqueterie;dye other
bois des Indes pour teinture;dye other
bois des Indes pour teinture et marqueterie;dye other
bois des Indes râpé;dye other
bois des Indes rose;dye other
bois des Indes rouge;dye other
bois dit à fond;out
bois dit ricter;out
bois dit schaelen ou rebuts de bois;out
bois dit weres;out
bois doré;out
bois du Honduras de teinture;out
bois du Japon;out
bois du Japon jaune;out
