simplification,nbr_occurences_simpl,edentreaty,obsolete,nbr_occurences_edentreaty
atchiabanis,14,,oui,739563
atlas,2,,non,739563
atlas à la feuille d'or,1,,non,739563
atlas et instruments de marine,2,,non,739563
atlas jaspé,1,,non,739563
attaches de cuivre,1,,non,739563
attelles de colliers,14,,non,739563
aube,1,,non,739563
auchinoise,2,,non,739563
auclimes,3,,non,739563
auf,117,,non,739563
auf ouvré,0,,oui,739563
auf travaillé,0,,oui,739563
auf travaillé en cordes,0,,oui,739563
augemy,2,,non,739563
auges,3,,non,739563
auges de carreaux,2,,non,739563
augustins,2,,non,739563
aurcsats,1,,non,739563
aurcsats étoile,1,,non,739563
aussière,0,,non,739563
autel de marbre,2,,non,739563
aux travaux du Roi,6,,non,739563
avelanèdes,59,,non,739563
avelines,8,,non,739563
avelines et noisettes sèches,22,,non,739563
avelines faînes noisettes noix,1,,non,739563
avelines noisettes noix,5,,non,739563
avirons,658,,non,739563
avirons bruts,17,,non,739563
avirons de 12 pieds,1,,non,739563
avirons de 18 pieds,1,,non,739563
avirons de 30 pieds,1,,non,739563
avirons de 5 pieds,1,,non,739563
avirons de 8 à 12 pieds,1,,non,739563
avirons de bois,54,,non,739563
avirons de bois façonné,1,,non,739563
avirons de chêne,1,,non,739563
avirons de sapin,1,,non,739563
avirons en bois de construction,2,,non,739563
avirons et perches de bois,1,,non,739563
avirons et rames bruts,2,,non,739563
avirons et rames de bois,1,,non,739563
avirons et rames de bois façonné,2,,non,739563
avirons et rames façonnés,5,,non,739563
avirons polis,1,,non,739563
avoine,865,,non,739563
avoine en gerbes,22,,non,739563
avoine et haricots,1,,non,739563
avoine et orge etc.,1,,non,739563
avoine mondée,1,,non,739563
avoine moulée,1,,non,739563
azur,737,,non,739563
azur commun,331,,non,739563
azur et bleu de Prusse,9,,non,739563
azur et cobalt,20,,non,739563
azur fin,13,,non,739563
azur gros,24,,non,739563
babassis,1,,non,739563
babouches,91,,non,739563
babouches de maroquin,2,,non,739563
bacs d'1 aime,1,,non,739563
bacs de pierre,4,,non,739563
bacs de pierre bleue,2,,non,739563
bacs de pierre d'1 aime,13,,non,739563
bacs de pierre de 4 aimes,2,,non,739563
bacs de pierre de demi d'aime,66,,non,739563
bacs de pierre de moindre classe,85,,non,739563
bacs de pierre de trois-quart d'aime,2,,non,739563
bacs de pierre en dessous d'1 aime,14,,non,739563
bacs de pierre en dessus d'1 aime,54,,non,739563
badiane,61,,non,739563
badiane ou anis étoilé de la Chine,0,,oui,739563
baffetas,10,,non,739563
baffetas blanc,20,,non,739563
baffetas bleu,27,,non,739563
baffetas des Indes,4,,non,739563
bafs ?,0,,non,739563
bagages,3,,non,739563
bagarot,1,,non,739563
bagues,5,,non,739563
bagues à pierres fausses,1,,non,739563
bagues d'argent,2,,non,739563
bagues d'or,1,,non,739563
bagues de cuivre,2,,non,739563
bagues de laiton,1,,non,739563
bagues de verre,3,,non,739563
baguettes,6,,non,739563
baguettes à chandelle,1,,non,739563
baguettes à étoffe,2,,non,739563
baguettes d'étain,2,,non,739563
baguettes de bois,1,,non,739563
baguettes de bois doré,1,,non,739563
baguettes de cuivre,3,,non,739563
baguettes de fer à fusil,53,,non,739563
baguettes de fusil,47,,non,739563
bahuts,24,,non,739563
baie de laurier,28,,non,739563
baies de buis,1,,non,739563
baies de genévrier à distiller,2,,non,739563
baies de genièvre,9,,non,739563
baignes,3,,non,739563
baignoires,2,,non,739563
baignoires d'acajou,1,,non,739563
baignoires de cuivre,4,,non,739563
baignoires de sapin,1,,non,739563
baignoires de tôle,2,,non,739563
baigots,1,,non,739563
baillarge,14,,non,739563
bailles,1,,non,739563
baïonnettes,77,,non,739563
bais de bois de chêne,2,,non,739563
bajutapau,243,,non,739563
