goods_simpl_classification,nbr_occurences_simpl,porcelaine_classification,nbr_occurences_porcelaine,obsolete
argent brut en lingot et en masse ouvrages détruits,2,Sans lien avec la porcelaine,543223,non
argent carragoux,2,Sans lien avec la porcelaine,543223,non
argent en barils,1,Sans lien avec la porcelaine,543223,non
argent en barres,3,Sans lien avec la porcelaine,543223,non
argent en lingots,18,Sans lien avec la porcelaine,543223,non
argent en lingots par Calais,1,Sans lien avec la porcelaine,543223,non
argent et or,238,Sans lien avec la porcelaine,543223,non
argent et or billon,1,Sans lien avec la porcelaine,543223,non
argent faux,9,Sans lien avec la porcelaine,543223,non
argent faux en fil cantilles etc.,2,Sans lien avec la porcelaine,543223,non
argent faux et or faux,53,Sans lien avec la porcelaine,543223,non
argent faux et or faux traits,1,Sans lien avec la porcelaine,543223,non
argent fin,1,Sans lien avec la porcelaine,543223,non
argent monnayé et nogat d'or,4,Sans lien avec la porcelaine,543223,non
argent vif,3,Sans lien avec la porcelaine,543223,non
argenterie,732,Sans lien avec la porcelaine,543223,non
argenterie épée,7,Sans lien avec la porcelaine,543223,non
argenterie et bijouterie,14,Sans lien avec la porcelaine,543223,non
argenterie et bijouterie et orfèvrerie,1,Sans lien avec la porcelaine,543223,non
argenterie et orfèvrerie,122,Sans lien avec la porcelaine,543223,non
argenterie et orfèvrerie vermeil,37,Sans lien avec la porcelaine,543223,non
argenterie neuve,4,Sans lien avec la porcelaine,543223,non
argenterie vieille,12,Sans lien avec la porcelaine,543223,non
argile et terre pour engrais,15,Sans lien avec la porcelaine,543223,non
arins,1,Sans lien avec la porcelaine,543223,non
aristoloche,68,Sans lien avec la porcelaine,543223,non
armement de tables,3,Sans lien avec la porcelaine,543223,non
armes,251,Sans lien avec la porcelaine,543223,non
armes à feu,367,Sans lien avec la porcelaine,543223,non
armes à feu de guerre,2,Sans lien avec la porcelaine,543223,non
armes à feu de guerre et de traite,1,Sans lien avec la porcelaine,543223,non
armes à feu de guerre portatives,2,Sans lien avec la porcelaine,543223,non
armes à feu de luxe,4,Sans lien avec la porcelaine,543223,non
armes à feu de luxe ou de traite,3,Sans lien avec la porcelaine,543223,non
armes à feu de munitions,2,Sans lien avec la porcelaine,543223,non
armes à feu de munitions fines,4,Sans lien avec la porcelaine,543223,non
armes à feu de traite,1,Sans lien avec la porcelaine,543223,non
armes à feu et artillerie,1,Sans lien avec la porcelaine,543223,non
armes à feu et de traite,1,Sans lien avec la porcelaine,543223,non
armes à feu et fusils,1,Sans lien avec la porcelaine,543223,non
armes armureries,1,Sans lien avec la porcelaine,543223,non
armes autres que de guerre à feu,1,Sans lien avec la porcelaine,543223,non
armes autres que de guerre blanches,1,Sans lien avec la porcelaine,543223,non
armes blanches,201,Sans lien avec la porcelaine,543223,non
armes blanches de guerre,1,Sans lien avec la porcelaine,543223,non
armes blanches de guerre et de traite,1,Sans lien avec la porcelaine,543223,non
armes blanches de luxe,2,Sans lien avec la porcelaine,543223,non
armes blanches de luxe ou de traite,3,Sans lien avec la porcelaine,543223,non
armes blanches de traite,1,Sans lien avec la porcelaine,543223,non
armes de chasse ou de luxe à feu,2,Sans lien avec la porcelaine,543223,non
armes de chasse ou de luxe blanches,2,Sans lien avec la porcelaine,543223,non
armes de guerre,2,Sans lien avec la porcelaine,543223,non
armes différentes,1,Sans lien avec la porcelaine,543223,non
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,Sans lien avec la porcelaine,543223,non
armes et munitions,9,Sans lien avec la porcelaine,543223,non
armes lames,1,Sans lien avec la porcelaine,543223,non
armes remontrances,1,Sans lien avec la porcelaine,543223,non
armoires,57,Sans lien avec la porcelaine,543223,non
armoires ayant servi,1,Sans lien avec la porcelaine,543223,non
armoires d'acajou,12,Sans lien avec la porcelaine,543223,non
armoires de bois,1,Sans lien avec la porcelaine,543223,non
armoires de bois de noyer,1,Sans lien avec la porcelaine,543223,non
armoires de bois de sapin peintes,1,Sans lien avec la porcelaine,543223,non
armoires de bois des Indes,1,Sans lien avec la porcelaine,543223,non
armoires de chêne,9,Sans lien avec la porcelaine,543223,non
armoires de chêne ornée,1,Sans lien avec la porcelaine,543223,non
armoires de noyer,9,Sans lien avec la porcelaine,543223,non
armoires de sapin,3,Sans lien avec la porcelaine,543223,non
armoires et commodes,1,Sans lien avec la porcelaine,543223,non
armoires vieilles,2,Sans lien avec la porcelaine,543223,non
armoisin,46,Sans lien avec la porcelaine,543223,non
armure de fer,1,Sans lien avec la porcelaine,543223,non
armure vieille,1,Sans lien avec la porcelaine,543223,non
arnas,1,Sans lien avec la porcelaine,543223,non
arpois,1,Sans lien avec la porcelaine,543223,non
arquebuse,1,Sans lien avec la porcelaine,543223,non
arrangas,1,Sans lien avec la porcelaine,543223,non
arrosoirs,6,Sans lien avec la porcelaine,543223,non
arrosoirs de bois,2,Sans lien avec la porcelaine,543223,non
arrosoirs de cuivre,1,Sans lien avec la porcelaine,543223,non
arrosoirs de fer,1,,6813,non
arrosoirs de fer-blanc,6,Sans lien avec la porcelaine,543223,non
arrosoirs de sapin,1,Sans lien avec la porcelaine,543223,non
arrosoirs de terre,1,Sans lien avec la porcelaine,543223,non
arrowroot,1,Sans lien avec la porcelaine,543223,non
arséniate de potasse,2,Sans lien avec la porcelaine,543223,non
arsenic,411,Sans lien avec la porcelaine,543223,non
arsenic métallique,6,Sans lien avec la porcelaine,543223,non
artichauts,79,Sans lien avec la porcelaine,543223,non
artichauts champignons et truffes,2,Sans lien avec la porcelaine,543223,non
artichauts confits,68,Sans lien avec la porcelaine,543223,non
artichauts frais,17,Sans lien avec la porcelaine,543223,non
artichauts marinés,2,Sans lien avec la porcelaine,543223,non
artichauts secs,6,Sans lien avec la porcelaine,543223,non
artifice,5,Sans lien avec la porcelaine,543223,non
artifice fusées etc.,1,Sans lien avec la porcelaine,543223,non
artillerie,6,Sans lien avec la porcelaine,543223,non
asa fœtida,123,Sans lien avec la porcelaine,543223,non
asperges,9,Sans lien avec la porcelaine,543223,non
asperges confites,1,Sans lien avec la porcelaine,543223,non
asperges et scorsonères,1,Sans lien avec la porcelaine,543223,non
asphaltum,19,Sans lien avec la porcelaine,543223,non
assiette,1,Sans lien avec la porcelaine,543223,non
assiette de Biarritz,1,Sans lien avec la porcelaine,543223,non
assiette de bois,1,Sans lien avec la porcelaine,543223,non
assiette de faïence,8,Substitut 1 de la porcelaine,2597,non
assiette de porcelaine,3,Porcelaine,1714,non
assiette de porcelaine des Indes,1,Porcelaine,1714,non
assiette de terre,6,Substitut 2 de la porcelaine,1545,non
assiette et plats de terre,1,Substitut 2 de la porcelaine,1545,non
asustum,1,Sans lien avec la porcelaine,543223,non
atastes,1,Sans lien avec la porcelaine,543223,non
atlas,2,Sans lien avec la porcelaine,543223,non
atlas à la feuille d'or,1,,6813,non
atlas et instruments de marine,1,Sans lien avec la porcelaine,543223,non
atlas jaspé,1,,6813,non
attaches de cuivre,1,Sans lien avec la porcelaine,543223,non
attelles de colliers,14,Sans lien avec la porcelaine,543223,non
aube,1,Sans lien avec la porcelaine,543223,non
auchinoise,2,Sans lien avec la porcelaine,543223,non
auclimes,2,Sans lien avec la porcelaine,543223,non
auf,117,Sans lien avec la porcelaine,543223,non
auf ouvré,,Sans lien avec la porcelaine,543223,oui
auf travaillé,,Sans lien avec la porcelaine,543223,oui
auf travaillé en cordes,,Sans lien avec la porcelaine,543223,oui
augemy,2,Sans lien avec la porcelaine,543223,non
auges,3,Sans lien avec la porcelaine,543223,non
auges de carreaux,2,Sans lien avec la porcelaine,543223,non
augustins,2,Sans lien avec la porcelaine,543223,non
aurcsats,1,Sans lien avec la porcelaine,543223,non
aurcsats étoile,1,Sans lien avec la porcelaine,543223,non
aussière,4,Sans lien avec la porcelaine,543223,non
autel de marbre,2,Sans lien avec la porcelaine,543223,non
avelanèdes,58,Sans lien avec la porcelaine,543223,non
avelines,8,Sans lien avec la porcelaine,543223,non
avelines et noisettes sèches,22,Sans lien avec la porcelaine,543223,non
avelines faînes noisettes noix,1,Sans lien avec la porcelaine,543223,non
avelines noisettes noix,5,Sans lien avec la porcelaine,543223,non
avirons,639,Sans lien avec la porcelaine,543223,non
avirons bruts,17,Sans lien avec la porcelaine,543223,non
avirons de 12 pieds,1,Sans lien avec la porcelaine,543223,non
avirons de 18 pieds,1,Sans lien avec la porcelaine,543223,non
avirons de 30 pieds,1,Sans lien avec la porcelaine,543223,non
avirons de 5 pieds,1,Sans lien avec la porcelaine,543223,non
avirons de 8 à 12 pieds,1,Sans lien avec la porcelaine,543223,non
avirons de bois,51,Sans lien avec la porcelaine,543223,non
avirons de bois façonné,1,Sans lien avec la porcelaine,543223,non
avirons de chêne,1,Sans lien avec la porcelaine,543223,non
avirons de sapin,1,Sans lien avec la porcelaine,543223,non
avirons et perches de bois,3,Sans lien avec la porcelaine,543223,non
avirons et rames bruts,2,Sans lien avec la porcelaine,543223,non
avirons et rames de bois,1,Sans lien avec la porcelaine,543223,non
avirons et rames de bois façonné,2,Sans lien avec la porcelaine,543223,non
avirons et rames façonnés,5,Sans lien avec la porcelaine,543223,non
avirons polis,1,Sans lien avec la porcelaine,543223,non
avoine,496,Sans lien avec la porcelaine,543223,non
avoine en gerbes,1,Sans lien avec la porcelaine,543223,non
avoine et haricots,1,Sans lien avec la porcelaine,543223,non
avoine et orge etc.,1,Sans lien avec la porcelaine,543223,non
avoine mondée,1,Sans lien avec la porcelaine,543223,non
avoine moulée,1,Sans lien avec la porcelaine,543223,non
azur,729,Sans lien avec la porcelaine,543223,non
azur commun,197,Sans lien avec la porcelaine,543223,non
azur et bleu de Prusse,9,Sans lien avec la porcelaine,543223,non
azur et cobalt,20,Sans lien avec la porcelaine,543223,non
azur fin,13,Sans lien avec la porcelaine,543223,non
azur gros,22,Sans lien avec la porcelaine,543223,non
babassis,1,Sans lien avec la porcelaine,543223,non
babouches,90,Sans lien avec la porcelaine,543223,non
babouches de maroquin,2,Sans lien avec la porcelaine,543223,non
bacs d'1 aime,1,Sans lien avec la porcelaine,543223,non
bacs de pierre,1,Sans lien avec la porcelaine,543223,non
bacs de pierre bleue,1,Sans lien avec la porcelaine,543223,non
bacs de pierre d'1 aime,1,Sans lien avec la porcelaine,543223,non
bacs de pierre de 4 aimes,1,Sans lien avec la porcelaine,543223,non
bacs de pierre de demi d'aime,1,Sans lien avec la porcelaine,543223,non
bacs de pierre de moindre classe,1,Sans lien avec la porcelaine,543223,non
bacs de pierre de trois-quart d'aime,1,Sans lien avec la porcelaine,543223,non
bacs de pierre en dessous d'1 aime,1,Sans lien avec la porcelaine,543223,non
bacs de pierre en dessus d'1 aime,1,Sans lien avec la porcelaine,543223,non
badiane,60,Sans lien avec la porcelaine,543223,non
baffetas,10,Sans lien avec la porcelaine,543223,non
baffetas blanc,19,Sans lien avec la porcelaine,543223,non
baffetas bleu,26,Sans lien avec la porcelaine,543223,non
baffetas des Indes,2,Sans lien avec la porcelaine,543223,non
bagarot,1,Sans lien avec la porcelaine,543223,non
bagues,5,Sans lien avec la porcelaine,543223,non
bagues à pierres fausses,1,Sans lien avec la porcelaine,543223,non
bagues d'argent,2,Sans lien avec la porcelaine,543223,non
bagues d'or,1,Sans lien avec la porcelaine,543223,non
bagues de cuivre,2,Sans lien avec la porcelaine,543223,non
bagues de laiton,1,Sans lien avec la porcelaine,543223,non
bagues de verre,3,Sans lien avec la porcelaine,543223,non
baguettes,6,Sans lien avec la porcelaine,543223,non
baguettes à chandelle,1,Sans lien avec la porcelaine,543223,non
baguettes à étoffe,2,Sans lien avec la porcelaine,543223,non
baguettes d'étain,2,Sans lien avec la porcelaine,543223,non
baguettes de bois,1,Sans lien avec la porcelaine,543223,non
baguettes de bois doré,1,Sans lien avec la porcelaine,543223,non
baguettes de cuivre,3,Sans lien avec la porcelaine,543223,non
baguettes de fer à fusil,1,Sans lien avec la porcelaine,543223,non
baguettes de fusil,47,Sans lien avec la porcelaine,543223,non
bahuts,24,Sans lien avec la porcelaine,543223,non
baie de laurier,28,Sans lien avec la porcelaine,543223,non
baies de buis,1,Sans lien avec la porcelaine,543223,non
baies de genévrier à distiller,2,Sans lien avec la porcelaine,543223,non
baies de genièvre,6,Sans lien avec la porcelaine,543223,non
baignes,3,Sans lien avec la porcelaine,543223,non
baignoires,2,Sans lien avec la porcelaine,543223,non
baignoires d'acajou,1,Sans lien avec la porcelaine,543223,non
baignoires de cuivre,4,Sans lien avec la porcelaine,543223,non
baignoires de sapin,1,Sans lien avec la porcelaine,543223,non
baignoires de tôle,2,Sans lien avec la porcelaine,543223,non
baigots,1,Sans lien avec la porcelaine,543223,non
baillarge,5,Sans lien avec la porcelaine,543223,non
bailles,1,Sans lien avec la porcelaine,543223,non
baïonnettes,14,Sans lien avec la porcelaine,543223,non
bais de bois de chêne,1,Sans lien avec la porcelaine,543223,non
bajutapau,231,Sans lien avec la porcelaine,543223,non
bajutapau commun,1,Sans lien avec la porcelaine,543223,non
bajutapau des Indes,1,Sans lien avec la porcelaine,543223,non
"bajutapau, canelis, etc.",3,,6813,non
balais,123,Sans lien avec la porcelaine,543223,non
balais communs,5,Sans lien avec la porcelaine,543223,non
balais coupés,3,Sans lien avec la porcelaine,543223,non
balais de bois,39,Sans lien avec la porcelaine,543223,non
balais de brandes,1,Sans lien avec la porcelaine,543223,non
balais de bruyère,13,Sans lien avec la porcelaine,543223,non
balais de chanvre,1,Sans lien avec la porcelaine,543223,non
balais de crin,12,Sans lien avec la porcelaine,543223,non
balais de foyer,1,Sans lien avec la porcelaine,543223,non
balais de jonc,50,Sans lien avec la porcelaine,543223,non
balais de jonc petits,1,Sans lien avec la porcelaine,543223,non
balais de laine à laver les planchers,1,Sans lien avec la porcelaine,543223,non
balais de millet,2,Sans lien avec la porcelaine,543223,non
balais de paille,2,Sans lien avec la porcelaine,543223,non
balais de paille de riz,6,Sans lien avec la porcelaine,543223,non
balais de palme,295,Sans lien avec la porcelaine,543223,non
balais de palme petits,1,Sans lien avec la porcelaine,543223,non
balais de plumes,3,Sans lien avec la porcelaine,543223,non
balais de poil,2,Sans lien avec la porcelaine,543223,non
balais de riz,5,Sans lien avec la porcelaine,543223,non
balais de soie,7,Sans lien avec la porcelaine,543223,non
balais de soie de porc,,Sans lien avec la porcelaine,543223,oui
balais de soie de porcs,18,,6813,non
balais de toile,1,Sans lien avec la porcelaine,543223,non
balais du roi,1,Sans lien avec la porcelaine,543223,non
balais fins,1,Sans lien avec la porcelaine,543223,non
balais grands de palme,2,Sans lien avec la porcelaine,543223,non
balais ou ramons,1,Sans lien avec la porcelaine,543223,non
balais petits,1,Sans lien avec la porcelaine,543223,non
balance,8,Sans lien avec la porcelaine,543223,non
balance à la romaine,1,Sans lien avec la porcelaine,543223,non
balance complète,1,Sans lien avec la porcelaine,543223,non
balance de bois,1,Sans lien avec la porcelaine,543223,non
balance de cuivre,8,Sans lien avec la porcelaine,543223,non
balance de cuivre jaune,1,Sans lien avec la porcelaine,543223,non
balance de fer,4,Sans lien avec la porcelaine,543223,non
balance et poids de cuivre,1,Sans lien avec la porcelaine,543223,non
balance et romaine,2,Sans lien avec la porcelaine,543223,non
balance et ses poids,1,Sans lien avec la porcelaine,543223,non
balance ou fléaux en fer,1,Sans lien avec la porcelaine,543223,non
balance petite,1,Sans lien avec la porcelaine,543223,non
balance romaine,3,Sans lien avec la porcelaine,543223,non
balcon de fer,1,Sans lien avec la porcelaine,543223,non
baleine,125,Sans lien avec la porcelaine,543223,non
baleine apprêtée,1,Sans lien avec la porcelaine,543223,non
baleine coupée,641,Sans lien avec la porcelaine,543223,non
baleine coupée en fanon,11,Sans lien avec la porcelaine,543223,non
baleine coupée et en fanon,12,Sans lien avec la porcelaine,543223,non
baleine de sarde,18,Sans lien avec la porcelaine,543223,non
baleine en fanon,278,Sans lien avec la porcelaine,543223,non
baleine en fanon et de sarde,1,Sans lien avec la porcelaine,543223,non
baleine non sciée,1,Sans lien avec la porcelaine,543223,non
