marchandises_normalisees,marchandises_simplifies,sitc_rev1,sitc_rev2,Classification produits médicinaux,Répétition,remarques_marchandises,Column1,Wallis List,EXCLUSION, not medical primarily,Nom Wallis,Large,Narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,,,,,,,,,,,,,
Gâteaux ; de miel,,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Gélatine,Gélatine,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Gélatine ; en feuille,Gélatine,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Haricot,Haricot,0,0a,0,,,,0,,,0,0,,,28,,,,,,,,,,,,,,,,,
Haricot ; confit,Haricot,0,0a,0,,,,0,,,0,0,,,13,,,,,,,,,,,,,,,,,
Hayes ou diables de mer,Hayes ou diables de mer,0,0a,0,,,,0,,,0,0,0,0a,3,,,,,,,,,,,,,,,,,
Hermine,,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Homard,,0,0a,0,,,,0,,,0,0,,,14,,,,,,,,,,,,,,,,,
Houblon,Houblon,0,0a,0,,,,0,,,0,0,0,0a,24,,,,,,,,,,,,,,,,,
Houblon ; en rame,,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Huître,Huître,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Huître ; fraîches,Huître,0,0a,0,,,,0,,,0,0,,,8,,,,,,,,,,,,,,,,,
Huître ; marinées,Huître,0,0a,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Huître ; vertes,Huître,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Huître ; à l'écaille,Huître,0,0a,0,,,,0,,,0,0,,,214,,,,,,,,,,,,,,,,,
Huître ; à la daube,Huître,0,0a,0,,,,0,,,0,0,,,81,,,,,,,,,,,,,,,,,
Insectes,Insectes,0,0a,0,,,,0,,,0,0,,,12,,,,,,,,,,,,,,,,,
Jambon,Jambon,0,0a,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Jet ; de bière,Jet et lie ; de bière,0,0a,0,,,,0,,,0,0,0,0a,1,,,,,,,,,,,,,,,,,
Jet et lie ; de bière,Jet et lie ; de bière,0,0a,0,,,,0,,,0,0,0,0a,17,,,,,,,,,,,,,,,,,
Lait ; battu,Lait,0,0a,0,,,,0,,,0,0,0,0a,6,,,,,,,,,,,,,,,,,
Lait, doux,Lait,0,0a,0,,,,0,,,0,0,0,0a,19,,,,,,,,,,,,,,,,
Lamproie,Lamproie,0,0a,0,,,,0,,,0,0,,,42,,,,,,,,,,,,,,,,,
Langue,,0,0a,0,,,,0,,,0,0,,,9,,,,,,,,,,,,,,,,,
Langue ; de bœuf,Langues,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Langue ; de bœuf et vache,Langues,0,0a,0,,langues de boeufs,,0,,,0,0,0,0a,1,,,,,,,,,,,,,,,,,
Langue ; de mouton,Langues,0,0a,0,,,,0,,,0,0,0,0a,1,,,,,,,,,,,,,,,,,
Langue ; salée,,0,0a,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Lapereaux,Lapereaux,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Lapin,Lapin,0,0a,0,,,,0,,,0,0,0,0a,3,,,,,,,,,,,,,,,,,
Lard,Lard,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Lard ; salé,,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Laurier,Laurier,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Lieu noir,,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Limande,,0,0a,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Limons ; salées,,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Limons ou citrons,Limons ou citrons,0,0a,0,,,,0,,,0,0,0,0a,7,,,,,,,,,,,,,,,,,
Lièvres,Gibier,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Légume,Légume,0,0a,0,,,,0,,,0,0,,,40,,,,,,,,,,,,,,,,,
Légume ; sec,Légume,0,0a,0,,,,0,,,0,0,0,0a,1,,,,,,,,,,,,,,,,,
Légume ; à la daube,Légume,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Légumes ; Pomme de terre,Légume,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Légumes ; choux-fleurs,Légume,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Légumes ; fèves,Légume,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Légumes ; haricots,Légume,0,0a,0,,,,0,,,0,0,,,9,,,,,,,,,,,,,,,,,
Légumes ; poix,Légume,0,0a,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
"Légumes ; poix, fèves et haricots",Légume,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Légumes ; secs,Légume,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Légumes ; trèfles,Légume,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Malt,,0,0a,0,,,,0,,,0,0,,,13,,,,,,,,,,,,,,,,,
Marcassin,Marcassin,0,0a,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Marechauderie,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Marron,Marron,0,0a,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Marsouin,,0,0a,0,,,,0,,,0,0,,,9,,,,,,,,,,,,,,,,,
Meffles,Meffles,0,0a,0,,guindes,,0,,,0,0,0,0a,20,,,,,,,,,,,,,,,,,
Mentes ; à moulir,Mentes ; à moulir,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Mentes ; à taillandier,Mentes ; à taillandier,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Merlus,Merlus,0,0a,0,,,,0,,,0,0,,,91,,,,,,,,,,,,,,,,,
Meuniers,Meuniers,0,0a,0,,,,0,,,0,0,0,0a,2,,,,,,,,,,,,,,,,,
Miel,Miel,0,0a,0,,,,0,,,0,0,,,61,,,,,,,,,,,,,,,,,
Millet,Millet,0,0a,0,,fenegré et millet,,0,,,0,0,0,0a,65,,,,,,,,,,,,,,,,,
Moelle,Moelle,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Moelle ; de bœuf,Moelle ; de bœuf,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Molenaers,Molenaers,0,0a,0,,meuniers dits molenaers,,0,,,0,0,0,0a,0,,,,,,,,,,,,,,,,,
Mongette,Légume,0,0a,0,,Mongette : nom donné aux haricots (blancs) dans le midi de la France.,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Morilles,Morilles,0,0a,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Mouches à miel,Mouches,0,0a,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Moules,Moules,0,0a,0,,,,0,,,0,0,,,36,,,,,,,,,,,,,,,,,
Mousserons,Mousserons,0,0a,0,,Champignon destiné à la consommation,,0,,,0,0,,,45,,,,,,,,,,,,,,,,,
Moutarde,Moutarde,0,0a,0,,,,0,,,0,0,0,0a,6,,,,,,,,,,,,,,,,,
Moutarde ; feuille,Moutarde,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Moutarde ; fleur,Moutarde,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Moutarde ; graine,Moutarde,0,0a,0,,,,0,,,0,0,,,18,,,,,,,,,,,,,,,,,
Mules et mulets,Mules et mulets,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Mulets,Mulets,0,0a,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Mulets ; de natte,,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Métillon,Métillon,0,0a,0,,,,0,,,0,0,0,0a,1,,,,,,,,,,,,,,,,,
Métillon ; en gerbe,,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Naveaux,Naveaux,0,0a,0,,,,0,,,0,0,0,0a,10,,,,,,,,,,,,,,,,,
Navets,Légume,0,0a,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Noisette,Noisette,0,0a,0,,,,0,,,0,0,,,8,,,,,,,,,,,,,,,,,
Noix,Noix,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Noix ; grosses,,0,0a,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Noix ; épillées,,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Nougat,Nougat,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Oies,Volaille,0,0a,0,,,,0,,,0,0,0,0a,5,,,,,,,,,,,,,,,,,
Oignon,Poisson,0,0a,0,,,,0,,,0,0,,,85,,,,,,,,,,,,,,,,,
Oignons ; communs,Oignons,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Oiseaux ; de proie,Oiseaux ; de proie,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Oiseaux ; petits,Oiseaux ; petits,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
"Oiseaux ; petits ; grives, etc.",,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Olives,Olives,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Orge,Orge,0,0a,0,,,,0,,,0,0,,,30,,,,,,,,,,,,,,,,,
Orge ; en gerbe,Orge,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Orge ; germé,Orge,0,0a,0,,,,0,,,0,0,,,29,,,,,,,,,,,,,,,,,
Orge et avoine,Orge,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Orge et soucrion,Orge,0,0a,0,,,,0,,,0,0,,,29,,,,,,,,,,,,,,,,,
Orge et soucrion ; en gerbe,Orge,0,0a,0,,,,0,,,0,0,,,13,,,,,,,,,,,,,,,,,
Pain,Pain,0,0a,0,,pain de farine,,0,,,0,0,0,0a,22,,,,,,,,,,,,,,,,,
Pain ; Graine de lin et de navelle,,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Pain ; d'épice,Pain ; d'épice,0,0a,0,,,,0,,,0,0,,,245,,,,,,,,,,,,,,,,,
Pain ; de Grains ; froment,,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Pain ; de Grains ; seigle,,0,0a,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Pain ; de graine ; de lin,,0,0a,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Pain ; de graines de lin et de navelle,Pain ; de graines de lin et de navelle,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Pain ; de navette,Pain ; de navette,0,0a,0,,,,0,,,0,0,0,0a,21,,,,,,,,,,,,,,,,,
Pain ; de navette en poudre,Pain ; de navette en poudre,0,0a,0,,pain de navette en poudre ou brisé,,0,,,0,0,0,0a,44,,,,,,,,,,,,,,,,,
Paons,Paons,0,0a,0,,,,0,,,0,0,9,9,1,,,,,,,,,,,,,,,,,
Papillons ; secs,Papillons,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Patates,Patates,0,0a,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Percepierre,Percepierre,0,0a,0,,,,0,,,0,0,0,0a,1,,,,,,,,,,,,,,,,,
Perdreaux,Gibier,0,0a,0,,Espèce d'oiseaux (wikipédia),,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Perdrix,Gibier,0,0a,0,,,,0,,,0,0,,,39,,,,,,,,,,,,,,,,,
Petits pois,,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Pigeon,,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Pignon,,0,0a,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Pignon ; cassés,,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Pignon ; d'Inde,,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Pignon ; d'épine,,0,0a,0,,,,0,,,0,0,,,33,,,,,,,,,,,,,,,,,
Plays,Plays,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Plays ou scholles,Plays ou scholles,0,0a,0,,,,0,,,0,0,0,0a,2,,,,,,,,,,,,,,,,,
Poires,Fruits,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poires de bons chrétiens,Fruits,0,0a,0,,poires de bon chretien,,0,,,0,0,0,0a,1,,,,,,,,,,,,,,,,,
Poires de bons chrétiens et de coing,Fruits,0,0a,0,,,,0,,,0,0,0,0a,1,,,,,,,,,,,,,,,,,
Poires de coing,Fruits,0,0a,0,,,,0,,,0,0,0,0a,1,,,,,,,,,,,,,,,,,
Poires et Pomme,,0,0a,0,,,,0,,,0,0,,,36,,,,,,,,,,,,,,,,,
Poires et Pomme ; sèches,,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Pois ; commun,,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poisson,Poisson,0,0a,0,,,,0,,,0,0,,,51,,,,,,,,,,,,,,,,,
Poisson ; Flétan ; salé,Poisson,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poisson ; Hareng,Poisson,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poisson ; Hareng ; Blanc,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; Hareng ; de la pêche nationale,Poisson,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poisson ; Hareng ; frais,Poisson,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poisson ; Hareng ; fumés,Poisson,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poisson ; Hareng ; lora,Poisson,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poisson ; Hareng ; saur,Poisson,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poisson ; Hareng ; sec,Poisson,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poisson ; Maquereau,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; Merlan,Poisson,0,0a,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Poisson ; Merlu,Poisson,0,0a,0,,,,0,,,0,0,,,8,,,,,,,,,,,,,,,,,
Poisson ; Soles,Poisson,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poisson ; Turbots,Poisson,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Poisson ; Turbots ; salé,Poisson,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Poisson ; d'eau douce,Poisson,0,0a,0,,,,0,,,0,0,,,114,,,,,,,,,,,,,,,,,
Poisson ; d'eau douce ; frais,Poisson,0,0a,0,,,,0,,,0,0,,,17,,,,,,,,,,,,,,,,,
Poisson ; d'eau douce ; truite,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; de Norvège,Poisson,0,0a,0,,,,0,,,0,0,,,28,,,,,,,,,,,,,,,,,
Poisson ; de mer,Poisson,0,0a,0,,,,0,,,0,0,,,180,,,,,,,,,,,,,,,,,
Poisson ; de mer ; Narval,Poisson,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Poisson ; de mer ; Thon,Poisson,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poisson ; de mer ; Thon ; frais,Poisson,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poisson ; de mer ; Thon ; thonine,Poisson,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poisson ; de mer ; frais,Poisson,0,0a,0,,,,0,,,0,0,,,11,,,,,,,,,,,,,,,,,
Poisson ; de mer ; frais ; Hareng,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; de mer ; frais ; maquereaux,Poisson,0,0a,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Poisson ; de mer ; maquereaux,Poisson,0,0a,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Poisson ; de mer ; morue,Poisson,0,0a,0,,,,0,,,0,0,,,13,,,,,,,,,,,,,,,,,
Poisson ; de mer ; morue ;  de Hollande,Poisson,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poisson ; de mer ; morue ; Langue,Poisson,0,0a,0,,,,0,,,0,0,,,11,,,,,,,,,,,,,,,,,
Poisson ; de mer ; morue ; Rave,Poisson,0,0a,0,,,,0,,,0,0,,,76,,,,,,,,,,,,,,,,,
Poisson ; de mer ; morue ; Têtes,Poisson,0,0a,0,,,,0,,,0,0,,,9,,,,,,,,,,,,,,,,,
Poisson ; de mer ; morue ; Verte,Poisson,0,0a,0,,,,0,,,0,0,,,23,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ; morue,Poisson,0,0a,0,,,,0,,,0,0,,,90,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ; morue et salée,Poisson,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé et mariné,Poisson,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé et mariné ; ? ; blanc,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé et mariné ; Hareng ; Blanc,Poisson,0,0a,0,,,,0,,,0,0,,,11,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé et mariné ; Saumon,Poisson,0,0a,0,,,,0,,,0,0,,,13,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé et mariné ; anchois,Poisson,0,0a,0,,,,0,,,0,0,,,17,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé et mariné ; divers,Poisson,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé et mariné ; harangs,Poisson,0,0a,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé et mariné ; morue,Poisson,0,0a,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé et mariné ; thon,Poisson,0,0a,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé et mariné ; tortue,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ou mariné,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ou mariné ; Anchois,Poisson,0,0a,0,,,,0,,,0,0,,,40,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ou mariné ; Congre,Poisson,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ou mariné ; Hareng,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ou mariné ; Hareng ; Blanc,Poisson,0,0a,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ou mariné ; Marsouin,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ou mariné ; Morue,Poisson,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ou mariné ; Poisson ; de mer; sardine,Poisson,0,0a,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ou mariné ; Saumon,Poisson,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ou mariné ; Thon,Poisson,0,0a,0,,,,0,,,0,0,,,17,,,,,,,,,,,,,,,,,
Poisson ; de mer ; salé ou mariné ; maquereaux,Poisson,0,0a,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Poisson ; de mer ; saumon,Poisson,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Poisson ; de mer ; sec,Poisson,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Poisson ; de mer ; stockfish,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; de mer ; séché ; morue,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; de mer; salé ; sardine,Poisson,0,0a,0,,,,0,,,0,0,,,11,,,,,,,,,,,,,,,,,
Poisson ; de mer; sardine,Poisson,0,0a,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Poisson ; de rebut,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; dos,Poisson,0,0a,0,,,,0,,,0,0,,,12,,,,,,,,,,,,,,,,,
Poisson ; d’Islande,Poisson,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poisson ; flets et carrelets,Poisson,0,0a,0,,,,0,,,0,0,,,19,,,,,,,,,,,,,,,,,
Poisson ; flétan,Poisson,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poisson ; frais,Poisson,0,0a,0,,,,0,,,0,0,,,51,,,,,,,,,,,,,,,,,
Poisson ; frais ; anguilles,Poisson,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Poisson ; frit,Poisson,0,0a,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Poisson ; loche,Poisson,0,0a,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Poisson ; mariné,Poisson,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Poisson ; petits ; blancs,Poisson,0,0a,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Poisson ; salé,Poisson,0,0a,0,,,,0,,,0,0,,,22,,,,,,,,,,,,,,,,,
Poisson ; salé ; anchois,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; salé ; maquereau,Poisson,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poisson ; salé ; mariné ; anchois,Poisson,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poisson ; salé ; mariné ; harengs,Poisson,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poisson ; salé ; mariné ; harengs ; blanc,Poisson,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poisson ; salé ; mariné ; morue,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; salé ; mariné ; saumon,Poisson,0,0a,0,,,,0,,,0,0,,,112,,,,,,,,,,,,,,,,,
Poisson ; salé ; morue,Poisson,0,0a,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Poisson ; salé ; sardine,Poisson,0,0a,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Poisson ; salé ou mariné ; Hareng,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; sardine,Poisson,0,0a,0,,,,0,,,0,0,,,12,,,,,,,,,,,,,,,,,
Poisson ; saumon,Poisson,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poisson ; saumon ; salé,Poisson,0,0a,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Poisson ; sec,Poisson,0,0a,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Poisson ; sec et fumés ; Soles et playsses,Poisson,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poisson ; séché,Poisson,0,0a,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Poisson ; à la daube,Poisson,0,0a,0,,,,0,,,0,0,0,0a,5,,,,,,,,,,,,,,,,,
Poisson ; œufs,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson ; œufs de thon,Poisson,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poisson et produit de poisson,Poisson,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Poissons ; harengs ; merlans ; frais,Poisson,0,0a,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Poisson ; de mer ; morue ; notes et langues,Poisson,0,0a,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Poivre ; blanc-noir,Épicerie ; poivre,0,0a,0,,,,0,,,0,0,,,,Poivre ; blanc-noir,Poivre ; blanc-noir,,,,,,,,,,,,,,,
Poix,Poix,0,0a,0,,,,0,,,0,0,,,17,,,,,,,,,,,,,,,,,
Poix ;  en gerbe,,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poix ; d'Espagne ou Garavance,,0,0a,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poix ; de bourgogne,Légumes,0,0a,0,,,,0,,,0,0,,,22,,,,,,,,,,,,,,,,,
Poix ; fin,,0,0a,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Poix ; gros,,0,0a,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Poix ; secs,Légumes,0,0a,0,,,,0,,,0,0,,,25,,,,,,,,,,,,,,,,,
Poix ; verts,,0,0a,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Pomme,,0,0a,0,,,,0,,,0,0,,,19,,,,,,,,,,,,,,,,,
Pomme ; d'apis,Fruits,0,0a,0,,,,0,,,0,0,,,28,,,,,,,,,,,,,,,,,
Pomme ; de canne,,0,0a,0,,,,0,,,0,0,,,49,,,,,,,,,,,,,,,,,
Pomme ; de grenades,,0,0a,0,,,,0,,,0,0,,,39,,,,,,,,,,,,,,,,,
Pomme ; de grenades et ananas,,0,0a,0,,,,0,,,0,0,,,54,,,,,,,,,,,,,,,,,
Pomme ; de terre,,0,0a,0,,,,0,,,0,0,,,43,,,,,,,,,,,,,,,,,
Poncire,Fruits et légumes,0,0a,0,,Variété de citron dont on fait plutôt des confitures.,,0,,,0,0,,,15,,,,,,,,,,,,,,,,,
Porc,,0,0a,0,,,,0,,,0,0,,,14,,,,,,,,,,,,,,,,,
Porc ; en vie,Bétail,0,0a,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Porc ; frais,Viande,0,0a,0,,,,0,,,0,0,,,20,,,,,,,,,,,,,,,,,
