marchandises_normalisees	marchandises_simplifiées	SITC_rev1	SITC_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG
Bois ; brun	Bois	2	2					
Bois ; cordayer	Bois	2	2					
Bois ; d'acajou	Bois	2	2	bois servant à tourner et embellir	2	2	bois servant à tourner et embellir	
Bois ; d'acajou	Bois	2	2					
Bois ; d'aloès	Bois	2	2					
Bois ; d'amarante	Bois	2	2					...
Bois ; d'angeot	Bois	2	2					
Bois ; d'ansprete	Bois	6	6					
Bois ; d'arc et de fusils	Bois	2	2		2	2		
Bois ; d'arcs	Bois	2	2		2	2		
Bois ; d'arcs et d'arbalètes	Bois	2	2		2	2		
Bois ; d'arcs et de selles	Bois	2	2		2	2		
Bois ; d'aspatton	Bois	2	2					
Bois ; d'ébène	Bois	2	2					
Bois ; d'érable	Bois	2	2					
Bois ; d'éventails	Bois	2	2					
Bois ; d'Inde	Bois	2	2					
Bois ; d'Inde pour teinture et marqueterie ; divers	Bois ; d'Inde pour teinture et marqueterie ; divers	2	2					
Bois ; d'olivier	Bois	2	2					
Bois ; d'olivier ; pelé	Bois	2	2					
Bois ; d'originelle	Bois	2	2					
Bois ; d'orme	Bois	2	2					
Bois ; d'osier	Bois	2	2					...
Bois ; de bois	Bois	2	2					
Bois ; de Brésil	Bois	2	2					
Bois ; de brochialle	Bois	2	2					
Bois ; de buis	Bois	2	2	bois servant à tourner et embellir	2	2	bois servant à tourner et embellir	
Bois ; de buis	Bois	2	2					
Bois ; de caliatour	Bois	2	2					
Bois ; de campêche	Bois	2	2					
Bois ; de cannelle	Bois	2	2					
Bois ; de Cayenne	Bois	2	2					
Bois ; de cèdre	Bois	2	2	bois servant à tourner et embellir	2	2	bois servant à tourner et embellir	
Bois ; de cèdre	Bois	2	2					
Bois ; de cêdre	Bois	2	2					
Bois ; de chaises	Bois	2	2					
Bois ; de charbonnage	Bois	3	3					...
Bois ; de charpente	Bois	2	2					...
Bois ; de chêne	Bois	2	2					
Bois ; de chêne ; à poutre	Bois	2	2					
Bois ; de chêne ; à sommier	Bois	2	2					
Bois ; de chêne ; scié	Bois	2	2					
Bois ; de chêne, carré	Bois	2	2					
Bois ; de chêne, ronde	Bois	2	2		2	2		
Bois ; de cleippe	Bois	2	2					
Bois ; de coco	Bois	2	2					...
Bois ; de construction	Bois	2	2		2	2		
Bois ; de construction	Bois	2	2					
Bois ; de coudre et paniers dudit bois	Bois	8	8	bois de coudre et panniers dudit bois	8	8	bois de coudre et panniers dudit bois	
Bois ; de couleur	Bois	2	2					
Bois ; de crabe	Bois	2	2					
Bois ; de fauteuil	Bois	2	2					
Bois ; de fayard	Bois	2	2					...
Bois ; de fernambourg	Bois	2	2					
Bois ; de flèches	Bois	2	2		2	2		
Bois ; de flèches, arcs etc	Bois	2	2		2	2		
Bois ; de fusil	Bois	2	2					
Bois ; de fustel	Bois	2	2					...
Bois ; de gayac	Bois	2	2					...
Bois ; de girofle	Bois	2	2					
Bois ; de grenade	Bois	2	2					
Bois ; de grenadier	Bois	2	2					
Bois ; de Honduras	Bois	2	2					
Bois ; de Jaraconda	Bois	2	2					
Bois ; de jayat	Bois	2	2					
Bois ; de la chine	Bois	2	2					
Bois ; de lettre	Bois	2	2					
Bois ; de lin	Bois	2	2					...
Bois ; de lit	Bois	2	2					
Bois ; de marbre	Bois	2	2					
Bois ; de marqueterie	Bois	2	2					
