marchandises_normalisees	marchandises_pour_graphe_RG	SITC_rev1	SITC_18th	remarks_marchandises	_merge
Rogues  ; de stocfiche	...	0	0a		master only (1)
Rogues ; de morue	...	0	0a		matched (3)
Rogues ; de morue	...	0	0a		master only (1)
Rogues ; de stocfiche	...	0	0a		using only (2)
Rogues ; de stocfiche	...	0	0a		master only (1)
Roldor	...	...	...	Entrée d'Espagne	matched (3)
Romaines	…	8	8	Balance ancienne qui sert à peser des marchandises (Savary)	matched (3)
Ronons ; de morue	...	0	0a		matched (3)
Roques ; de morüe	...	0	0a		matched (3)
Roques ; de stofiche	...	0	0a		matched (3)
Roses ; de provinces	...	2	2		matched (3)
Rotins	...	2	2		matched (3)
Rouauls	…	…	…		matched (3)
Roudon	...	2	2	aussi redon ou rodon, espèce d'herbe utilisée en tannerie (Savary).	matched (3)
Roues	…	8	8		matched (3)
Roues ; de bois	…	8	8		matched (3)
Roues ; de charrette	…	8	8		matched (3)
Roues ; diverses	…	8	8		matched (3)
Rouets	…	6	6		matched (3)
Rouets ; à filer	…	6	6		matched (3)
Rouge	...	5	5		matched (3)
Rouge  ; gros	...	5	5		master only (1)
Rouge ; brun	...	5	5		matched (3)
Rouge ; d'Angleterre	...	5	5		matched (3)
Rouge ; d'Espagne	...	5	5		matched (3)
Rouge ; d'Inde	...	5	5		matched (3)
Rouge ; gros	...	5	5		matched (3)
Rouge ; gros	...	5	5		master only (1)
Rozeaux	...	2	2		matched (3)
Rozeaux ; d'Espagne	...	2	2		matched (3)
Ruban  ; dorure  ; d'argt	...	6	6		master only (1)
Ruban  ; dorure  ; d'or	...	6	6		master only (1)
Ruban ; au quart	...	6	6		matched (3)
Ruban ; d'argent	...	6	6		matched (3)
Ruban ; d'or	...	6	6		matched (3)
Ruban ; d'or et d'argent	...	6	6		matched (3)
Ruban ; de fil	...	6	6a		matched (3)
Ruban ; de fil en laine	...	6	6b		matched (3)
Ruban ; de fil et laine	...	6	6b		matched (3)
Ruban ; de filozelle	...	6	6c		matched (3)
Ruban ; de fleures	...	6	6		matched (3)
Ruban ; de laine	...	6	6b		matched (3)
Ruban ; de soie	...	6	6c		matched (3)
Ruban ; de soie et argent	...	6	6c		matched (3)
Ruban ; de soie et fil	...	6	6c		matched (3)
Ruban ; de soie et fleur	...	6	6c		matched (3)
Ruban ; divers	...	6	6		matched (3)
Ruban ; dorure ; d'argent	...	6	6		matched (3)
Ruban ; dorure ; d'argt	...	6	6		using only (2)
Ruban ; dorure ; d'argt	...	6	6		master only (1)
Ruban ; dorure ; d'or	...	6	6		matched (3)
Ruban ; dorure ; d'or	...	6	6		master only (1)
Ruban ; dorure ; d'or et d'argent	...	6	6		matched (3)
Ruban ; dorure ; d'or et d'argent ; faux	...	6	6		matched (3)
Ruban ; mi soie	...	6	6c		matched (3)
Ruban ; velouté	...	6	6		matched (3)
Rubannerie ; de soie	...	6	6c		matched (3)
Rubannerie ; diverse	...	6	6		matched (3)
Rubannerie ; ordinaire	...	6	6		matched (3)
Rubarbe	...	0	0a		matched (3)
Rubea ; major	...	2	2	Garance ; l’expression rubea major est tirée du tarif de Lyon (racine dont on se sert pour obtenir des teintes rouges)BD	matched (3)
Rubia tintorum	...	2	2		matched (3)
Ruches ; à miel	…	8	8		matched (3)
Ruches ; à mouche	…	8	8		matched (3)
Rusque ; de chêne	...	2	2		matched (3)
Rusque ; de pin	...	2	2	rusque ou rusche (auvergnat) ou tan est une écorce d'arbre.	matched (3)
Sabatines	...	...	...	Entrée de Hollande	matched (3)
Sable	…	2	2		matched (3)
Sable ; de mer	…	2	2		matched (3)
Sablerie	...	2	2	sables	matched (3)
Sabots	...	8	8		matched (3)
Sabres	...	6	6		matched (3)
Sachets	…	5	5		matched (3)
Sacquin	…	…	…		matched (3)
Sacs	...	6	6		matched (3)
Sacs ; de poluard	...	6	6		matched (3)
Sacs ; de toile	...	6	6		matched (3)
Sacs ; vides	...	6	6		matched (3)
Saffle	...	2	2	Safre ou Zafre, minéral de couleur d'œil de perdrix applellé saffle par le tarif de 1664 (Savary).	matched (3)
Saffran	...	0	0a		matched (3)
Sagne	…	…	…	Sorties vers la Savoie	matched (3)
Sagu	...	0	0b	Sagu ou Sagdu, Espèce de farine faite de la sève d'un arbre qui croît dans les îles de l'Océan Indien et aux Philippines (Savary).	matched (3)
Saindoux	...	0	0a		matched (3)
Sal ; de verre	…	2	2	Espèce d'écume qui vient sur la matière du verre (Savary ; Axunge)	matched (3)
Salage	…	…	…		matched (3)
Salemporis	cotton	6	6d	Salampouris, toiles que l'on fait en plusieurs endroits de la côte de coromandel (Indes). (Savary)	matched (3)
Salicor	...	0	0a	Viande salée	matched (3)
Salin	…	6	6	Espèce de bacquet ovale dans lequel les vendeuses renferment le sel (Savary)	matched (3)
Saloirs ; de bois	…	6	6	Récipient destiné à recevoir les viandes que l'on veut saler (mediadico.com)	matched (3)
Salpêtre	...	2	2		matched (3)
Salsepaille	...	0	0a		matched (3)
Salsepareille	...	0	0a		matched (3)
Sanas	cotton	6	6d	Toile de coton (Savary)	matched (3)
Sandal	…	2	2	Bois médecinal (Savary)	matched (3)
Sandarac	...	2	2	ou Sanaraque; Minéral que l'on trouve sous forme naturelle ou artificielle, très dangereyx poison (Savary).	matched (3)
Sang ; de dragon	...	2	2		matched (3)
Sangles	…	6	6		matched (3)
Sanguine	...	2	2	Minéral qui sert soit pour la pharlacopée soit pour la confection des peintures.	matched (3)
Sanitaires	…	8	8	Tout meuble ou équipement destiné aux sanitaires en particulier ou à une salle d'eau en général (wikipédia)	matched (3)
Sapin ; anspects	...	2	2		matched (3)
Sapins	...	2	2		matched (3)
Sapins ; à faire belle	...	2	2		matched (3)
Sapins ; à faire comble	...	2	2		matched (3)
Sapins ; à faire échelle	...	2	2		matched (3)
Sapins ; à faire goffe	...	2	2		matched (3)
Sapins ; à faire pioche	...	2	2		matched (3)
Saquins	…	…	…		matched (3)
Sardines	…	0	0a		matched (3)
Sardines ; salées	…	0	0a		matched (3)
Sas	...	6	6	Sas: espèce de tamis qui sert à séparer la farine d'avec le son. (Savary)	matched (3)
Satin	...	6	6c		matched (3)
Satin ; brodé ; en or	...	6	6		matched (3)
Saucisses	…	0	0a		matched (3)
Saucissons	...	0	0a		matched (3)
Saumare	...	2	2	Saumure	matched (3)
Saumon	...	0	0a		matched (3)
Saumon ; frais	...	0	0a		matched (3)
Saumon ; fumé	...	0	0a		matched (3)
Saumon ; mariné	...	0	0a		matched (3)
Saumon ; salé	...	0	0a		matched (3)
Saumure	...	5	5		matched (3)
Savon	...	5	5		matched (3)
Savon ; blanc	...	5	5		matched (3)
Savon ; d'alicante	...	5	5		matched (3)
Savon ; marbré	...	5	5		matched (3)
Savon ; noir	...	5	5		matched (3)
Savonettes	...	5	5		matched (3)
Saxafras	...	2	2	qu'on nomme autrement bois de canelle ou de pavame (Savary).	matched (3)
Sayessa	…	…	…		matched (3)
Scamoncé	...	2	2		matched (3)
Scamonée	...	2	2	ou escammonée, plante médicinale (Savary).	matched (3)
Sceaux ; de bois	…	6	6		matched (3)
Scielle	…	0	0a	Très gros oignons qu'on apporte d'Espagne (Savary)	matched (3)
Scies	...	6	6		matched (3)
Seaux	...	6	6		matched (3)
Seaux ; de bois	...	6	6		matched (3)
Sebestes	...	0	0a	Sebestes: fruits verts foncés qui ressemble aux prunes. (Savary)	matched (3)
Secretaires	…	8	8		matched (3)
Sel	...	2	2		matched (3)
Sel  ; armoniac	...	2	2		master only (1)
Sel  ; d'ypsum	...	2	2		master only (1)
Sel  ; de globert	...	2	2		master only (1)
Sel ; ammoniac	...	5	5	Très rare dans sa variété naturelle d'après Savary et consommé essentiellement sous sa varitéé artificielle.	matched (3)
Sel ; ammonisé	...	5	5		matched (3)
Sel ; antartique	...	2	2		matched (3)
Sel ; armoniac	...	2	2		matched (3)
Sel ; armoniac	...	2	2		master only (1)
Sel ; blanc	...	2	2		matched (3)
Sel ; chimique	...	5	5		matched (3)
Sel ; d'angleterre	...	2	2		matched (3)
Sel ; d'yposum	...	2	2		matched (3)
Sel ; d'ypsum	...	2	2		matched (3)
Sel ; d'ypsum	...	5	5		master only (1)
Sel ; de	...	2	2		matched (3)
Sel ; de carabé	...	2	2		matched (3)
Sel ; de Franche Comté	...	2	2		matched (3)
Sel ; de Globert	...	2	2		matched (3)
Sel ; de globert	...	2	2		matched (3)
Sel ; de globert	...	2	2		master only (1)
Sel ; de lorraine	...	2	2		matched (3)
Sel ; de nitres	...	2	2		matched (3)
Sel ; de Poulinguen	...	2	2		matched (3)
Sel ; de Rez	...	2	2		matched (3)
Sel ; de roche	...	2	2		matched (3)
Sel ; de samoine	...	2	2		matched (3)
Sel ; de saturne	...	2	2		matched (3)
Sel ; de seignette	...	2	2		matched (3)
Sel ; de tamarin	...	2	2		matched (3)
Sel ; de tartre	...	2	2		matched (3)
Sel ; de verre	...	2	2		matched (3)
Sel ; en grabeau	...	2	2		matched (3)
Sel ; géme	...	2	2		matched (3)
Sel ; grum	...	2	2		matched (3)
Sel ; médecinal	...	5	5		matched (3)
Sel ; mistry	...	2	2		matched (3)
Sel ; ordinaire	...	2	2		matched (3)
Sel ; peccain	...	2	2		matched (3)
Sel ; sucsin	...	2	2		matched (3)
Sel ; végétal	...	2	2		matched (3)
Selle ; de cheval	...	2	2		matched (3)
Semen ; contra	...	2	2		matched (3)
Semen-coutra	...	2	2		matched (3)
Semence ; de perles	...	2	2		matched (3)
Semence ; froides	...	2	2		matched (3)
Semencine	...	2	2	Graine qui sert à faire mourir les vers qui s'engedrent dans le corps humain (Savary) - synonymes: Semncine; Semen Cobntra; Barbotine; Santoline, Xantoline; Semen Sanctum; Semen Sanctonicum; poudre à vers	matched (3)
Semoirs	...	7	7		matched (3)
Semoule	...	0	0a		matched (3)
Semoulle	...	0	0a		matched (3)
Sempiterne	...	6	6b	ou perpetuanne, espèce d'toffe de laine croisée dont la qualité a du rapport avec la serge sommière (Savary)	matched (3)
Séné	...	2	2		matched (3)
Séné ; à pêcher	...	2	2		matched (3)
Sénégre	…	2	2	Plante dont la graine porte le même nom (Savary)	matched (3)
Serge ; à doubler	…	6	6		matched (3)
Serge ; de l'Ille	…	6	6		matched (3)
Serge ; de laine	linens	6	6b		matched (3)
Serge ; de Lille	…	6	6		matched (3)
Serge ; de Montauban	…	6	6		matched (3)
Serge ; de soye	silk fabrics	6	6c		matched (3)
Serge ; drapé	…	6	6		matched (3)
Serinettes	…	8	8	Instrument de musique (Wikipédia)	matched (3)
Seringues	...	8	8		matched (3)
Seringues ; d'étaim	...	8	8		matched (3)
Serins	...	7	7	C'est ce que l'on nomme en Berry une eseèce d'axonge ou graisse qui est attachée à la laine des moutons et des brebis. Les droguiste et épiciers qui l'utilisent l'appellent oesype. C'est aussi un instrument de bois avec des espèces de dents de	matched (3)
Serins ; à peigner le lin	...	7	7		matched (3)
Serpentera virgina	…	2	2	Plante médecinale (Savary)	matched (3)
Serpentin ; à disti.	…	2	2	Espèce de marbre qui vire sur le vert (Savary)	matched (3)
Serpes	…	8	8		matched (3)
Serrures	...	8	8		matched (3)
Serviettes	…	6	6		matched (3)
Serviettes ; à nappes	…	6	6		matched (3)
Siamoise	Cotton	6	6d		matched (3)
Sirop	...	5	5		matched (3)
Sirop ; d'alherme	...	5	5		matched (3)
Sirop ; d'amont	...	5	5		matched (3)
Sirop ; d'orgeat	...	0	0a		matched (3)
Sirop ; de calabre	...	5	5		matched (3)
Sirop ; de capilaire	...	5	5		matched (3)
Sirop ; de capillaire	...	5	5		matched (3)
Sirop ; de capitaine	...	5	5		matched (3)
Sirop ; de coriande	...	0	0b		matched (3)
Sirop ; de melasse	...	0	0b		matched (3)
Sirop ; de violette	...	5	5		matched (3)
Sirop ; des Iles	...	0	0b		matched (3)
Sirop ; mélasse	...	0	0b		matched (3)
Sistresay	…	…	…		matched (3)
Sivadille	…	…	…		matched (3)
Socs ; de charrues	…	6	6	pièces travaillantes de la charrue (wikipedia)	matched (3)
Soie	…	2	2		matched (3)
Soie  ; en rames	silk fabrics	6	6c		master only (1)
Soie ; ?	…	2	2		matched (3)
Soie ; à broder	...	2	2		matched (3)
Soie ; à coudre	...	2	2		matched (3)
Soie ; apprêtée	…	2	2		matched (3)
Soie ; blanche	…	2	2		matched (3)
Soie ; cocons	…	2	2		matched (3)
Soie ; crue	…	2	2		matched (3)
Soie ; de porc	…	2	2		matched (3)
Soie ; de porc et sanglier	…	2	2		matched (3)
Soie ; des indes	…	2	2		matched (3)
Soie ; dite fleuret	...	2	2		matched (3)
Soie ; diverse	...	6	6c		matched (3)
Soie ; en cocon	...	2	2		matched (3)
Soie ; en fleures	…	2	2		matched (3)
Soie ; en rames	silk fabrics	6	6c		matched (3)
Soie ; en rames	silk fabrics	6	6c		master only (1)
Soie ; en suaze (?)	silk fabrics	6	6c		matched (3)
Soie ; filozelle	...	2	2		matched (3)
Soie ; grège	...	2	2	Soie gresse ou Graize ou grège.	matched (3)
Soie ; Nankin	…	2	2		matched (3)
Soie ; ouvrée	silk fabrics	6	6c		matched (3)
Soie ; tanier	...	2	2		matched (3)
Soie ; teinte	silk fabrics	6	6c		matched (3)
Soie ; torce	...	2	2	ce sont celles qui ont eu leur filage, dévidage et moulinage. Elles le sont plus ou moins suivant qu'elles ont âssée plus ou moins de fois par le moulin (Savary)	matched (3)
Soierie	silk fabrics	6	6c		matched (3)
Soierie en étoffe, mouchoirs, gazes et rubans	silk fabrics	6	6c		matched (3)
Solivaux	...	6	6		matched (3)
Soliveaux	...	6	6		matched (3)
Soliveaux ; de sapin	...	6	6		matched (3)
Son	...	2	2		matched (3)
Sonnettes	...	6	6		matched (3)
Soucis	...	2	2		matched (3)
Soude	...	5	5		matched (3)
Soudure	…	6	6		matched (3)
Soufflets	...	6	6		matched (3)
Soufflets ; de forge	...	6	6		matched (3)
Soufflets ; petits	...	6	6		matched (3)
Souffre	...	2	2		matched (3)
Souffre et salpêtre	...	2	2		matched (3)
Souliers	...	8	8		matched (3)
Souliers ; brodés	...	8	8		matched (3)
Souliers ; d'enfants	...	8	8		matched (3)
Souliers ; de maroquin	...	8	8		matched (3)
Souliers ; neufs	...	8	8		matched (3)
Souliers ; ordinaires	...	8	8		matched (3)
Souliers ; vieux	...	8	8		matched (3)
Spalme	…	…	…		matched (3)
Spalte	…	2	2	Pierre blanche (Savary)	matched (3)
Spardilles	...	8	8	Spardille ou Espardille, forme ancienne d'espadrille: soulier de corde.	matched (3)
Spermaceti	...	2	2		matched (3)
Spicaceltica	...	2	2		matched (3)
Spicanardi	...	2	2	ou Spicnard ou Nard, Plante qui rentre dans la composition de la Thésiaque (pharmacopée)	matched (3)
Spode	…	5	5	Espèce de cendre qui sert dans la médecine (Savary)	matched (3)
Squine	...	2	2	Racine médicinale qui vient de Chine ou d'Inde (Savary)	matched (3)
Stafisagre	...	2	2	ou Staphisagre, graine qui sert à faire mourir la vermine. (Savary)	matched (3)
Stil de grain	...	5	5	ou stil de grun, composition en couleur dont les peintres en huile & mignature se servent pour le jaune (Savary)	matched (3)
StinKerque	…	…	…	Steenkerque est une ville belge.	matched (3)
Stockfish	...	0	0a	Le stockfish est un mot d'origine allemandeutilisé pour désigner des filets de cabillaud ou Morue séchés à l’air libre (cf. Savary)	matched (3)
Storax	...	2	2	Gomme résineuse et odorante qui vient d'Arabie et de Syrie par la voie de Marseille (Dictionnaire Savary)	matched (3)
Sublimé	...	5	5	Praparation chimique dont la base est le mercure ou le vif argent (Dictionnaire Savary)	matched (3)
Succade	Sucre	0	0b		matched (3)
Sucre	Sucre	0	0b		matched (3)
Sucre  ; d'orge	Sucre	0	0b		master only (1)
Sucre ; batard	Sucre	0	0b		matched (3)
Sucre ; blanc	Sucre	0	0b		matched (3)
Sucre ; brun	Sucre	0	0b		matched (3)
Sucre ; brut	Sucre	0	0b		matched (3)
Sucre ; candy	Sucre	0	0b		matched (3)
Sucre ; carré	Sucre	0	0b		matched (3)
Sucre ; cassonnade	Sucre	0	0b		matched (3)
Sucre ; commun	Sucre	0	0b		matched (3)
Sucre ; d'erable	Sucre	0	0b		matched (3)
Sucre ; d'ergeois	Sucre	0	0b		matched (3)
Sucre ; d'orge	Sucre	0	0b		matched (3)
Sucre ; d'orge	Sucre	0	0b		master only (1)
Sucre ; divers	Sucre	0	0b		matched (3)
Sucre ; en pain	Sucre	0	0b		matched (3)
Sucre ; en poudre	Sucre	0	0b		matched (3)
Sucre ; ferré	Sucre	0	0b		matched (3)
Sucre ; mêlé	Sucre	0	0b		matched (3)
Sucre ; moscoviede	Sucre	0	0b		matched (3)
Sucre ; raffiné	Sucre	0	0b		matched (3)
Sucre ; terré	Sucre	0	0b		matched (3)
Sucre ; test	Sucre	0	0b		matched (3)
Sucre ; versoix	Sucre	0	0b		matched (3)
Sucreries ; diverses	Sucre	0	0b		matched (3)
Sucreries ; dragées	Sucre	0	0b		matched (3)
Sucriers ; de fayence	Sucre	0	0b		matched (3)
Sucrion	...	0	0a	Variété d'orge (probablement pâtois du Nord de la France)	matched (3)
Suif	...	4	4		matched (3)
Suif ; en chandelle	...	4	4		matched (3)
Suif ; en pain	...	4	4		matched (3)
Suif ; fondu et en chandelles	...	4	4		matched (3)
Suine	...	...	...	Suint (laine grasse) ? A vérifier	matched (3)
Sumac	...	2	2		matched (3)
Tabac	Tabac	1	1		matched (3)
Tabac  ; des prises	Tabac	1	1		master only (1)
Tabac ; à fumer	Tabac	1	1		matched (3)
Tabac ; à varié	Tabac	1	1		matched (3)
Tabac ; avarié	Tabac	1	1		matched (3)
Tabac ; commun	Tabac	1	1		matched (3)
Tabac ; d'Espagne	Tabac	1	1		matched (3)
Tabac ; de Brésil	Tabac	1	1		matched (3)
Tabac ; de caisse	Tabac	1	1		matched (3)
Tabac ; de cantine	Tabac	1	1		matched (3)
Tabac ; de carottes	Tabac	1	1		matched (3)
Tabac ; de la Ferme	Tabac	1	1		matched (3)
Tabac ; de Seville	Tabac	1	1		matched (3)
Tabac ; de St. Domingue	Tabac	1	1		matched (3)
Tabac ; de St. Vincent	...	1	1		matched (3)
Tabac ; de Virginie	Tabac	1	1		matched (3)
Tabac ; des prises	Tabac	1	1		matched (3)
Tabac ; des prises	Tabac	1	1		master only (1)
Tabac ; en caisses	Tabac	1	1		matched (3)
Tabac ; en carottes	Tabac	1	1		matched (3)
Tabac ; en cordes	Tabac	1	1		matched (3)
Tabac ; en feuilles	Tabac	1	1		matched (3)
Tabac ; en poudre	Tabac	1	1		matched (3)
Tabac ; fabriqué	Tabac	1	1		matched (3)
Tabac ; ouvré	Tabac	1	1		matched (3)
Tabac ; pour échantillon	Tabac	1	1		matched (3)
Tabac ; rapé	Tabac	1	1		matched (3)
Tabacs	Tabac	1	1		matched (3)
Tabatières	...	8	8		matched (3)
Tabatieres  ; de fer blanc	...	8	8		master only (1)
Tabatières  ; enrichies	...	8	8		master only (1)
Tabatières ; d'agathe	...	8	8		matched (3)
Tabatières ; d'argent	...	8	8		matched (3)
Tabatières ; d'écaille	...	8	8		matched (3)
Tabatières ; d'émail	...	8	8		matched (3)
Tabatières ; d'olivier	...	8	8		matched (3)
Tabatières ; d'or	...	8	8		matched (3)
Tabatières ; de bergamotte	...	8	8		matched (3)
Tabatières ; de bois	...	8	8		matched (3)
Tabatières ; de carton	...	8	8		matched (3)
Tabatières ; de corne	...	8	8		matched (3)
Tabatières ; de fer ; blanc	...	8	8		matched (3)
Tabatieres ; de fer blanc	...	8	8		using only (2)
Tabatieres ; de forme	...	8	8		matched (3)
Tabatieres ; de nacre	...	8	8		matched (3)
Tabatières ; de paille	...	8	8		matched (3)
Tabatières ; diverses	...	8	8		matched (3)
Tabatières ; enrichies	...	8	8		using only (2)
Tabatières ; enrichies	...	8	8		master only (1)
Tabatières ; vernies	...	8	8		matched (3)
Tabernacles	…	8	8	Meubles religieux	matched (3)
Tabernacles ; de marbre	…	8	8	Meubles religieux	matched (3)
Tableaux	...	8	8		matched (3)
Tableaux ; communs	...	8	8		matched (3)
Tableaux ; de famille	...	8	8		matched (3)
Tableaux et estampes	...	8	8		matched (3)
Tables	...	8	8		matched (3)
Tables ; d'ardoises	...	8	8		matched (3)
Tables ; de bois	...	8	8		matched (3)
Tables ; de marbre	...	8	8		matched (3)
Tables ; de nuit	...	8	8		matched (3)
Tables ; de sapin	...	8	8		matched (3)
Tablettes ; anisées	...	8	8		matched (3)
Tabliers ; peints	...	8	8		matched (3)
Tabliers brodés	...	8	8		matched (3)
Taffetas	silk fabrics	6	6c		matched (3)
Taffetas ; foulas	silk fabrics	6	6c		matched (3)
Taffia	...	1	1		matched (3)
Taillanderie	...	7	7	Outils pour le façonnage du fer	matched (3)
Talons ; de bois	…	6	6		matched (3)
Tamarin	...	0	0		matched (3)
Tambours ; à sucre	...	6	6		matched (3)
Tambours ; de fer	…	6	6		matched (3)
Tamis	...	8	8		matched (3)
Tamis ; à tabac	...	8	8		matched (3)
Tamis ; de crin	...	8	8		matched (3)
Tanelles	…	…	…		matched (3)
Tapis	...	6	6		matched (3)
Tapis ; d'Aubusson	...	6	6		matched (3)
Tapis ; d'Auvergne	...	6	6		matched (3)
Tapis ; d'indienne	...	6	6		matched (3)
Tapis ; de laine	...	6	6b		matched (3)
Tapis ; de moquette	...	6	6		matched (3)
Tapis ; de Turquie	...	6	6		matched (3)
Tapis ; divers	...	6	6		matched (3)
Tapis ; fil et coton	...	6	6c		matched (3)
Tapis ; fil teint	...	6	6		matched (3)
Tapis de laine	...	6	6b		matched (3)
Tapisserie	...	6	6		matched (3)
Tapisserie  ; d'Oudenarde	...	6	6		master only (1)
Tapisserie ; commune	...	6	6		matched (3)
Tapisserie ; d'Amiens	...	6	6		matched (3)
Tapisserie ; d'Aubusson	...	6	6		matched (3)
Tapisserie ; d'Auvergne	...	6	6		matched (3)
Tapisserie ; d'Elbeuf	...	6	6		matched (3)
Tapisserie ; d'Hautelisse	...	6	6		matched (3)
Tapisserie ; d'Oudenarde	...	6	6		using only (2)
Tapisserie ; d'Oudenarde	...	6	6		master only (1)
Tapisserie ; de Beauvais	...	6	6		matched (3)
Tapisserie ; de Bergames	...	6	6		matched (3)
Tapisserie ; de Bruxelles	...	6	6		matched (3)
Tapisserie ; de cuir doré	...	6	6		matched (3)
Tapisserie ; de Dauphiné	...	6	6		matched (3)
Tapisserie ; de fil ; teint	...	6	6a		matched (3)
Tapisserie ; de fil et laine	...	6	6b		matched (3)
Tapisserie ; de filozelle	...	6	6		matched (3)
Tapisserie ; de Flandres	...	6	6		matched (3)
Tapisserie ; de laine	...	6	6		matched (3)
Tapisserie ; de moquette	...	6	6		matched (3)
Tapisserie ; de Roüen	...	6	6		matched (3)
Tapisserie ; des Gobelins	...	6	6		matched (3)
Tapisserie ; des Goblins	...	6	6		matched (3)
Tapisserie ; diverses	...	6	6		matched (3)
Tapisserie ; peinte	...	6	6		matched (3)
Tapisserie ; point d'Hongrie	...	6	6		matched (3)
Tapisserie ; tantisse	...	6	6		matched (3)
Tapisserie ; verdure	...	6	6		matched (3)
Tapisserie ; vieille	...	6	6		matched (3)
Tapsel	...	6	6	Grosse toile de coton rayée, ordianirement de couleur bleue qui vient du Bengale (Savary)	matched (3)
Tartre	...	5	5		matched (3)
Tartre dit lie devin	...	6	6		matched (3)
Tasse ; de fayance	...	6	6		matched (3)
Taupine ; de soie et coton	...	6	6		matched (3)
Taureaux	...	0	0		matched (3)
Tavelle	...	7	7		matched (3)
Tavelle ; de laine	...	6	6b		matched (3)
Tayolles	...	6	6	Espèce de ceinture ou fil de laine (Savary)	matched (3)
Teinture	...	5	5		matched (3)
Teintures	...	5	5		matched (3)
Telescopes	...	8	8		matched (3)
Tentes	…	8	8		matched (3)
Téraile ; commune	…	6	6	Poterie fine (Savary)	matched (3)
Téraille	…	6	6		matched (3)
Téraille ; diverse	…	6	6		matched (3)
Tercq	…	…	…	Sortie vers l'Allemagne	matched (3)
Térébenthine	...	5	5		matched (3)
Termometre	...	8	8		matched (3)
Terramerita	...	0	0b		matched (3)
Terre	…	2	2		matched (3)
Terre  ; à ciment	...	2	2		master only (1)
Terre  ; à fayence	...	2	2		master only (1)
Terre  ; blanche	...	2	2		master only (1)
Terre  ; de rocou	...	2	2		master only (1)
Terre  ; jaune	...	2	2		master only (1)
Terre ; à ciment	...	2	2		using only (2)
Terre ; à ciment	...	2	2		master only (1)
Terre ; à fayence	...	2	2		using only (2)
Terre ; à fayence	...	2	2		master only (1)
Terre ; à foulon	...	2	2		matched (3)
Terre ; à pipes	...	2	2		matched (3)
Terre ; à piques	...	2	2		matched (3)
Terre ; à potier	...	2	2		matched (3)
Terre ; à pottier	...	2	2		master only (1)
Terre ; à sucre	...	2	2		matched (3)
Terre ; à Toulon	...	2	2		matched (3)
Terre ; blanche	...	2	2		matched (3)
Terre ; blanche	...	2	2		master only (1)
Terre ; d'emery	...	2	2		matched (3)
Terre ; d'ombre	...	2	2		matched (3)
Terre ; de Bologne	...	2	2		matched (3)
Terre ; de ciment	...	2	2		matched (3)
Terre ; de Cologne	...	2	2		matched (3)
Terre ; de fayance	...	2	2		matched (3)
Terre ; de grez	...	2	2		matched (3)
Terre ; de monnoye	...	2	2		matched (3)
Terre ; de plomb	...	2	2		matched (3)
Terre ; de porcelaine	...	2	2		matched (3)
Terre ; de rocou	...	2	2		matched (3)
Terre ; de rocou	...	2	2		master only (1)
Terre ; de veronne	...	2	2		matched (3)
Terre ; de verrerie	...	2	2		matched (3)
Terre ; diverses	...	2	2		matched (3)
Terre ; glaise	...	2	2		matched (3)
Terre ; grasse	...	2	2		matched (3)
Terre ; jaune	...	2	2		matched (3)
Terre ; jaune	...	2	2		master only (1)
Terre ; maganaise	...	2	2		matched (3)
Terre ; pourie	...	2	2		matched (3)
Terre ; Pozolane	...	2	2		matched (3)
Terre ; rouge	...	2	2		matched (3)
Terre ; Séguillée	...	2	2		matched (3)
Terre ; verte	...	2	2		matched (3)
Terrerie	...	2	2		matched (3)
Terriers ; de fer	...	2	2		matched (3)
Terse ; à ciment	...	2	2		matched (3)
Terse ; à pipes	...	2	2		matched (3)
Terse ; d'ombre	...	2	2		matched (3)
Terse ; de porcelaine	...	2	2		matched (3)
Terse ; graisse	...	2	2		matched (3)
Testes ; à perruques	...	2	2		matched (3)
Testes ; de carabé	...	2	2		matched (3)
Testes ; de clous	...	2	2		matched (3)
Testes ; de géroffle	...	2	2		matched (3)
Thé	...	0	0b		matched (3)
Thé ; pays	...	0	0b		matched (3)
Thériaque	...	5	5		matched (3)
Théyères	…	8	8		matched (3)
Théyères ; de métal	…	8	8		matched (3)
Thome	…	…	…	Sortie vers la Savoie	matched (3)
Thon	…	0	0a		matched (3)
Thon ; frais	...	0	0a		matched (3)
Thon ; mariné	...	0	0a		matched (3)
Thon ; salé	...	0	0a		matched (3)
Thon ; thonine	...	0	0a		matched (3)
Tiers ; à tonneaux	…	6	6		matched (3)
Tiretaine	...	6	6b	Etoffe de laine et fils (Savary)	matched (3)
Toie ; des Indes ; mousseline	linens	6	6a		matched (3)
Toile  ; abat	linens	6	6a		master only (1)
Toile  ; beurriere	linens	6	6a		master only (1)
Toile  ; blancard	linens	6	6a		master only (1)
Toile  ; bleue	linens	6	6a		master only (1)
Toile  ; boucassine	linens	6	6a		master only (1)
Toile  ; caladaris	linens	6	6a		master only (1)
Toile  ; cirée	linens	6	6a		master only (1)
Toile  ; commune	linens	6	6a		master only (1)
Toile  ; cotray	linens	6	6a		master only (1)
Toile  ; crée	linens	6	6a		master only (1)
Toile  ; crue	linens	6	6a		master only (1)
Toile  ; d'Agen	linens	6	6a		master only (1)
Toile  ; d'Antioche	linens	6	6a		master only (1)
Toile  ; d'emballage	linens	6	6a		master only (1)
Toile  ; de capiton	linens	6	6a		master only (1)
