marchandises_norm_ortho,marchandises_simplifiees,source_bdc,nbr_bdc_marchandises_norm_ortho,nbr_bdc_marchandises_simplifiees
basin ; blanc ; de 10 aunes,basin ; blanc ; de 10 aunes,0,0,0
basin ; blanc ; de 11 aunes,basin ; blanc ; de 11 aunes,0,0,0
basin ; commun,basin ; commun,0,0,0
basin ; d'étain,basin ; d'étain,1,2,2
"basin ; de Bruges ; écru ; en pièce de 11,5 aunes","basin ; de Bruges ; écru ; en pièce de 11,5 aunes",1,1,1
basin ; de cuivre,basin ; de cuivre,1,4,4
basin ; de cuivre ; jaune,basin ; de cuivre ; jaune,1,1,1
basin ; des Indes,basin ; des Indes,0,0,0
basin ; en aunes,basin ; en aunes,1,1,1
basin ; fil et coton,basin ; fil et coton,1,1,1
basin ; peint,basin ; peint,1,1,1
basin ; pièce de 11 aunes,basin ; pièce de 11 aunes,1,1,1
basin ; pièce de 15 aunes,basin ; pièce de 15 aunes,1,1,1
basin ; rayé,basin ; rayé,1,1,1
basin ; tout coton,basin ; tout coton,1,1,1
basin ; blanc,,1,1,31324
basin ; blanc ; de 10 aunes,,1,1,31324
basin ; blanc ; de 11 aunes,,1,1,31324
basin ; commun,,1,1,31324
basin ; des Indes,,1,10,31324
basse,basse,1,1,1
basse ; de viole,basse ; de viole,1,6,6
basse et basson,basse et basson,1,1,1
basse ; de viole,,1,1,31324
bassin ; de barbe,bassin ; de barbe,0,0,0
bassin ; de cuivre,bassin ; de cuivre,0,0,0
bassin ; de cuivre ; jaune,bassin ; de cuivre ; jaune,0,0,0
bassin ; de tirin,bassin ; de tirin,1,1,1
bassin ; en argent,bassin ; en argent,1,1,1
bassin ; en laiton,bassin ; en laiton,1,1,1
bassin ; à barbe,bassin ; à barbe,1,1,1
bassine ; de cuivre,bassine ; de cuivre,1,2,2
bassin ; de barbe,,1,1,31324
bassin ; de cuivre,,1,2,31324
bassin ; de cuivre ; jaune,,1,1,31324
basson,basson,1,4,4
bast,bast,1,1,1
bas ; de Saint Mexant,,1,6,31324
bas ; de coton ; fil et soie,,1,1,31324
bas ; de fil ; de coton,,1,1,31324
bas ; de fil ; de coton ; par paire,,1,1,31324
bas ; de laine fine,,1,1,31324
bas ; de soie ; brodés ; d'or,,1,1,31324
bas ; de soie ; brodés ; or et argent,,1,1,31324
bas ; de soie ; pour femme,,1,2,31324
bas ; de toile,,1,1,31324
bas ; poil et soie,,1,2,31324
bas ; soie et coton,,1,1,31324
bat ; d'âne,bat ; d'âne,1,2,2
bat ; de cheval,bat ; de cheval,1,1,1
batanonis,batanonis,1,29,29
bataris ; de soie ; de porc,bataris ; de soie ; de porc,1,1,1
batavia,batavia,1,1,1
bate de fer,bate de fer,1,1,1
bateau,bateau,1,3,3
bateau ; de pêcheur,bateau ; de pêcheur,1,1,1
bateau ; neuf,bateau ; neuf,1,41,41
bateau ; à pêcher,bateau ; à pêcher,0,0,0
bateau ; à pêcher,,1,1,31324
bateleux,bateleux,1,1,1
batiste,batiste,1,3,3
batiste ; blanche,batiste ; blanche,1,2,2
batiste ; grise,batiste ; grise,1,1,1
batiste et linon,batiste et linon,1,1,1
batterie ; d'airain,batterie ; d'airain,0,0,0
batterie ; de cuivre,batterie ; de cuivre,1,3,3
batterie ; de fer,batterie ; de fer,1,1,1
batterie ; d'airain,,1,1,31324
batterie ; de fer,,1,3,31324
battoir,battoir,1,1,1
battoir ; à lessive,battoir ; à lessive,1,1,1
baudrier,baudrier,1,10,10
baume,baume,1,82,83
baume ; de copahu,beaume de copahu,0,0,0
baume ; de l'Amérique,baume de l'Amérique,0,0,0
baume ; de la Mecque,baume ; de la Mecque,1,4,4
baume ; de sucre,beaume de sucrier,0,0,0
baume ; du Canada,baume du canada,0,0,0
baume ; du Pérou,beaume du Pérou,1,18,18
baume ; laque,baume ; laque,1,5,5
baume ; noir,baume noir,0,0,0
baume de copahu,beaume de copahu,1,1,2
baume de sucrier,beaume de sucrier,1,1,2
baume et élixir,beaume et élixir,1,1,1
baume ; de copahu,,1,22,31324
baume ; de l'Amérique,,1,1,31324
baume ; de sucre,,1,1,31324
baume ; du Canada,,1,1,31324
baume ; du Pérou,,1,4,31324
baume ; noir,,1,1,31324
bavoir,bavoir,1,1,1
bavolet ; et aigrette,bavolet ; et aigrette,1,1,1
baye ; bleu et rouge,baye ; bleu et rouge,0,0,0
baye ; de laurier,baye ; de laurier,1,24,24
bayette,bayette,1,33,33
baye ; bleu et rouge,,1,1,31324
bayonnette,bayonnette,1,3,3
bayoulen,bayoulen,1,1,1
bazzitte,bazzitte,1,1,1
bdellium,bdellium,1,3,3
beau vert broyé,beau vert broyé,1,1,1
beaudeaux,beaudeaux,1,1,1
beauverd ; broyé,beauverd ; broyé,1,1,1
bedelin,bedelin,1,5,5
belle ; de bois,belle ; de bois,1,2,2
benjoin,benjoin,1,64,64
benne,benne,1,1,1
benne vide,benne vide,1,1,1
berce ; d'osier,berce ; d'osier,1,1,1
berce ; et lit d'enfant,berce et lit d'enfant,1,1,1
berceau ; d'enfant,berceau ; d'enfant,1,2,2
berceau ; d'osier,berceau ; d'osier,0,0,0
berceau ; d'osier,,1,1,31324
bergamote,bergamote,1,35,35
bergopsum,étoffe ; de laine ; bergopsum,1,4,5
berline,berline,1,6,6
berline ; garnie ; de velours,berline ; garnie ; de velours,1,1,1
"berline ; garnie de velours, crespine d'or et harnois riche","berline ; garnie de velours, crespine d'or et harnois riche",1,1,1
berline ; vieille,berline ; vieille,1,1,1
berline et harnois,berline et harnois,1,1,1
berline et leurs harnois,berline et leurs harnois,1,1,1
berne,berne,1,4,4
bestiau,bestiau,1,163,163
bestiau ; agneau,bétail ; agneau,1,17,17
bestiau ; bouc,bétail ; chèvre et bouc,1,5,39
bestiau ; brebis,bétail ; brebis,1,2,2
bestiau ; bœuf,bestiau ; bœuf,1,91,91
bestiau ; bœuf et taureau,bétail ; bœuf et taureau,1,1,1
"bestiau ; bœuf, vache, mouton, porc","bétail ; bœuf, vache, mouton, porc",1,168,168
"bestiau ; bœuf, vache, mouton, veau","bétail ; bœuf, vache, mouton, veau",1,1,1
bestiau ; bœuftin et genisse,bétail ; bœuf et génisse,1,1,1
bestiau ; chèvre,bétail ; chèvre et bouc,1,11,39
bestiau ; chèvre et bouc,bétail ; chèvre et bouc,1,23,39
bestiau ; divers,bétail ; divers,1,27,27
bestiau ; en bœuf,bétail ; bœuf,1,50,51
"bestiau ; en bœuf, vache, porc et mouton","bétail ; bœuf, vache, porc et mouton",1,23,23
"bestiau ; en bœuf, vache, veau, porc et mouton","bétail ; bœuf, vache, veau, porc et mouton",1,12,12
bestiau ; génisse,bétail ; génisse,1,37,39
bestiau ; mouton,bétail ; mouton,1,257,258
bestiau ; mouton ; gras,bétail ; mouton,1,1,258
bestiau ; mouton et brebis,bétail ; mouton et brebis,1,11,11
bestiau ; mule et mulet,bestiau ; mule et mulet,1,3,3
bestiau ; porc,bestiau ; porc,1,14,14
bestiau ; porc ; gras,bétail ; porc et porcelet,1,16,38
bestiau ; porc ; maigre,bétail ; porc et porcelet,1,1,38
bestiau ; porc et porcelet,bétail ; porc et porcelet,1,14,38
bestiau ; porcelet,bétail ; porc et porcelet,1,7,38
bestiau ; poulain,bestiau ; poulain,1,1,1
bestiau ; taureau,bétail ; taureau,1,33,34
bestiau ; vache,bétail ; vache,1,274,285
bestiau ; vache ; en vie,bétail ; vache,1,8,285
bestiau ; vache ; grasse,bétail ; vache,1,1,285
bestiau ; vache ; tuée,bétail ; vache ; tuée,1,1,1
bestiau ; vache ; à lait,bétail ; vache,1,1,285
"bestiau ; vache, taureau et genisse","bétail ; vache, taureau et génisse",1,31,31
bestiau ; veau,bétail ; veau,1,137,144
bestiau ; veau ; gras,bétail ; veau,1,3,144
bestiau ; veau ; maigre,bétail ; veau,1,1,144
bestiau ; veau ; petit,bétail ; veau,1,1,144
bestiau ; veau ; pour ?,bétail ; veau,1,1,144
bestiau ; âne,bestiau ; âne,1,1,1
bestiau et bête ; de somme ; bœuf,bétail ; bœuf,1,1,51
bestiau et bête ; de somme ; cheval,bête de somme ; cheval,1,1,547
bestiau et bête ; de somme ; génisse,bétail ; génisse,1,1,39
bestiau et bête ; de somme ; jument,bête de somme ; jument,1,1,4
bestiau et bête ; de somme ; taureau,bétail ; taureau,1,1,34
bestiau et bête ; de somme ; vache,bétail ; vache,1,1,285
bestiau et bête ; de somme ; veau,bétail ; veau,1,1,144
betterave,betterave,1,2,2
beuf ; en vie,beuf ; en vie,1,145,145
beurre,beurre,1,1170,1170
beurre ; commun,beurre ; commun,0,0,0
beurre ; d'Angleterre,beurre ; d'Angleterre,1,1,1
beurre ; d'Irlande non comestible,beurre ; d'Irlande non comestible,1,1,1
beurre ; de Hollande et d'Angleterre,beurre ; de Hollande et d'Angleterre,1,1,1
beurre ; de cacao,cacao ; beurre de,1,1,1
beurre ; de dixmude,beurre ; de dixmude,1,1,1
beurre ; ordinaire,beurre ; ordinaire,1,18,18
beurre ; salé,beurre ; salé,1,56,56
beurreterie ; en bar ; de fil blanc,beurreterie ; en bar ; de fil blanc,1,1,1
beurre ; commun,,1,4,31324
beurre ; salé,,1,10,31324
bibliothèque,bibliothèque,1,1,1
bidet ; de faïence,bidet ; de faïence,0,0,0
bidet ; de faïence ; avec leurs ??? de bois,bidet ; de faïence ; avec leurs ??? de bois,0,0,0
bidet ; de faïence et leurs pièce,bidet ; de faïence et leurs pièce,0,0,0
bidet ; de faïence,,1,1,31324
bidet ; de faïence et leurs pièce,,1,1,31324
bidet ; de faïence ; avec leurs ??? de bois,,1,1,31324
bigarade,bigarade,1,6,6
bigaradier ; feuille,bigaradier ; feuille,1,1,1
bijouterie,bijouterie,1,665,665
"bijouterie ; diamant, perle et pierre fine","bijouterie ; diamant, perle et pierre fine",0,0,0
"bijouterie ; diamant, perle et pierre fine ; non monté","bijouterie ; diamant, perle et pierre fine ; non monté",0,0,0
bijouterie ; en épingle,bijouterie ; en épingle,1,1,1
bijouterie ; pour montre d'argent,bijouterie ; pour montre d'argent,1,1,1
"bijouterie ; diamant, perle et pierre fine",,1,84,31324
"bijouterie ; diamant, perle et pierre fine ; non montés",,1,48,31324
bilardeaux,bilardeaux,1,2,2
billard,billard,1,5,5
billard ; d'ivoire,billard ; d'ivoire,0,0,0
billard ; vieux,billard ; vieux,0,0,0
billard ; d'ivoire,,1,5,31324
billard ; vieux,,1,1,31324
bille ; d'ivoire,bille ; d'ivoire,1,2,2
bille ; de bois,bille ; de bois,1,3,3
bille ; de bois ; de gaïac,bille ; de bois ; de gaïac,1,1,1
bille ; de bois ; marbré,bille ; de bois ; marbré,1,2,2
bille ; de bois ; pour meuble,bille ; de bois ; pour meuble,1,1,1
bille d'ivoire,bille d'ivoire,1,1,1
billet ; de parchemin,billet ; de parchemin,1,7,7
billon,billon,1,1,1
billot,billot,1,1,1
billot ; pour merrain,billot ; pour merrain,1,1,1
billot de sapin,billot de sapin,1,13,13
bimbeloterie,bimbeloterie,1,86,86
binage à pousser,binage à pousser,1,1,1
birampot ; bleu,birampot ; bleu,1,1,1
biscuit,biscuit,1,115,115
biscuit ; amer,biscuit ; amer,1,2,2
biscuit ; au poivre,biscuit ; au poivre,1,1,1
biscuit ; de froment,biscuit ; de grain ; froment,1,1,1
biscuit ; de mer,biscuit ; de mer,1,65,65
biscuit ; de mer et pâte d'Italie,biscuit ; de mer et pâte d'Italie,1,1,1
biscuit ; de munition,biscuit ; de munition,1,1,1
bitume,bitume,1,1,1
bitume ; de Judée,bitume ; de Judée,1,4,4
bière,bière,1,651,652
bière ; aigre,bière ; aigre,1,1,1
bière ; blanche,bière ; blanche,0,0,0
bière ; commune du pays,bière ; commune du pays,1,1,1
bière ; d'Hougarde,bière ; d'Hougarde,1,1,1
bière ; d'angleterre,bière ; d'Angleterre,1,2,2
bière ; de Dantzig,bière ; de Dantzig,1,2,2
bière ; de Hollande,bière ; de Hollande,1,1,1
bière ; de Lubec,bière ; de Lubec,0,0,0
bière ; de Lubek,bière ; de Lubek,0,0,0
bière ; de Lubek ; pour médecine,bière ; de Lubek ; pour médecine,0,0,0
bière ; de liège,bière ; de Liège,1,1,1
"bière ; de liège, d'anglettere etc","bière ; de Liège, d'Angleterre, etc",1,1,1
bière ; dite juypenbier,bière ; dite juypenbier,1,1,1
bière ; dite lumay,bière ; dite lumay,1,1,1
bière ; en fût,bière ; en fût,1,1,1
bière ; forte,bière ; forte,0,0,0
bière ; médicinale ; de Lubek,bière ; médicinale ; de Lubek,0,0,0
bière ; nautique,bière ; nautique,1,1,1
bière ; porter,bière ; porter,1,1,1
bière et cidre,bière et cidre,1,85,85
"bière, cidre et vinaigre","bière, cidre et vinaigre",1,10,10
bière ; blanche,,1,1,31324
bière ; de Lubec,,1,1,31324
bière ; de Lubek,,1,1,31324
bière ; de Lubek ; pour médecine,,1,2,31324
bière ; forte,,1,1,31324
bière ; médicinale ; de Lubek,,1,1,31324
blague,blague,1,1,1
blallst,blallst,1,1,1
blanc,blanc,1,1,1
blanc ; d'Espagne,blanc ; d'Espagne,1,47,47
blanc ; d'écaille,blanc ; d'écaille,1,2,2
blanc ; de Troyes,blanc ; de Troyes,1,20,20
blanc ; de baleine,blanc ; de baleine,1,64,64
blanc ; de céruse,blanc ; de céruse,1,13,13
blanc ; de plomb,blanc ; de plomb,1,28,28
blanc ; en chevron,blanc ; en chevron,1,1,1
blanc ; simple,blanc ; simple,1,2,2
blanchissoire,blanchissoire,1,2,2
blanquette,blanquette,1,1,1
bled,bled,1,263,263
bled ; baillarge,bled ; baillarge,1,1,1
bled ; d'Espagne,grain ; d'Espagne,1,7,7
bled ; de Turquie,bled ; de Turquie,0,0,0
bled ; de prune,grain ; de prune,0,0,0
bled ; de seigle,bled ; de seigle,0,0,0
bled ; en gerbe,grain ; blé ; en gerbe,1,1,1
bled ; et autre grain,grain ; blé et autre grain,1,146,219
bled ; froment,grain ; froment,1,643,779
bled ; maïs,grain ; maïs,1,55,62
bled ; minot,grain ; blé,1,2,17
bled ; méteil,grain ; méteil,1,24,28
bled ; noir,grain ; noir,0,0,0
bled ; sarrasin,grain ; sarrasin,1,9,12
bled ; seigle,bled ; seigle,1,198,198
bled et riz,bled et riz,1,9,9
bled ; de Turquie,,1,1,31324
bled ; de prune,,1,2,31324
bled ; de seigle,,1,9,31324
bled ; noir,,1,1,31324
bled ; seigle,,1,6,31324
bleu,drogue ; pour la peinture et la teinture ; bleu,1,7,9
bleu ; calaminé,bleu ; calaminé,1,1,1
bleu ; colorant,drogue ; pour la peinture et la teinture ; bleu,1,1,9
bleu ; commun,drogue ; pour la peinture et la teinture ; bleu ; commun,1,4,7
bleu ; de Berlin,drogue ; pour la peinture et la teinture ; bleu de Prusse,1,1,131
bleu ; de Prusse,drogue ; pour la peinture et la teinture ; bleu de Prusse,1,120,131
bleu ; de paille,drogue ; pour la peinture et la teinture ; bleu ; de paille,1,1,1
bleu ; de smalt,drogue ; pour la peinture et la teinture ; bleu ; de smalt,1,1,1
bleu ; fin,drogue ; pour la peinture et la teinture ; bleu ; fin,1,2,2
bleu ; foncé,bleu ; foncé,1,1,1
bleu ; ordinaire,drogue ; pour la peinture et la teinture ; bleu ; commun,1,1,7
bleu de Prusse et graine jaune,drogue ; pour la peinture et la teinture ; bleu de Prusse et graine jaune,1,2,2
bleu de Prusse et lazulite,drogue ; pour la peinture et la teinture ; bleu de Prusse et lazulite,1,15,15
bleu ou tournesol,bleu ou tournesol,1,1,1
bloc,bloc,1,3,4
bloc ; ???,bloc,1,1,4
bloc ; de chêne,bois ; chêne ; en bloc,1,1,1
bloc ; de pierre,pierre ; en bloc,1,1,4
blonde,blonde,1,2,2
blonde ; d'argent,blonde ; d'argent,1,2,2
blonde ; d'or,blonde ; d'or,1,1,1
blonde ; de fil,blonde ; de fil,1,1,1
blonde ; de soie,blonde ; de soie,1,105,105
blonde ; or et argent,blonde ; or et argent,1,1,1
bluteau,bluteau,0,0,0
bluteaux,,1,2,31324
blé,grain ; blé,1,15,17
blé ; froment,blé ; froment,0,0,0
blé et autre grain,grain ; blé et autre grain,1,17,219
blé et autre grain ; comestible,grain ; blé et autre grain,1,56,219
blé ; froment,,1,2,31324
bobine de cuir,bobine de cuir,1,1,1
bocal,bocal,1,1,1
boclans,boclans,1,3,3
bois,bois,1,1,675
bois ; ??,bois,1,7,675
bois ; ?? ; de chêne,bois ; de chêne,1,2,97
bois ; Sainte Lucie,bois ; Sainte Lucie,0,0,0
bois ; Sustek,bois ; Sustek,1,9,9
bois ; a fond,bois ; a fond,1,2,2
bois ; a parquet,bois ; a parquet,1,1,1
bois ; a teinture,bois ; a teinture,1,1,1
bois ; amer,bois ; amer,0,0,0
bois ; anspects,bois ; anspects,1,10,12
bois ; au daume,bois ; au daume,1,3,3
bois ; autre,bois ; autre,1,1,1
bois ; barre ; de guindeau,bois ; barre ; de guindeau,0,0,0
bois ; barre ; de guindeaux,,1,1,31324
bois ; billot,bois ; billot,1,1,1
bois ; blanc,bois ; blanc,1,3,3
bois ; blanc à faire sabot,bois ; à faire sabot,1,1,1
bois ; bordage,bois bordage,1,40,40
bois ; bordage ; de chêne,bois ; bordage ; de chêne,1,43,43
bois ; bourdillon,bois ; bourdillon,1,37,37
bois ; boway ; de chêne,bois ; boway ; de chêne,1,1,1
bois ; boway ; de sapin,bois ; boway ; de sapin,1,1,1
bois ; brandille,bois ; brandille,1,1,1
bois ; bray,bois ; bray,1,1,1
bois ; brun,bois ; brun,1,2,2
bois ; campêche,bois ; campêche,0,0,0
bois ; cercle,bois ; cercle,1,1,1
bois ; cordayer,bois ; cordayer,1,2,2
bois ; coudé,bois ; coudé,1,1,1
bois ; courbé,bois ; courbé,1,1,1
bois ; d'Inde,bois ; d'Inde,1,80,80
bois ; d'Inde ; rapé,bois ; d'Inde ; rapé,1,2,2
bois ; d'Inde et des îles,bois ; d'Inde et des îles,1,362,362
bois ; d'Inde et des îles ; pour l'ébénisterie,bois ; d'Inde et des îles ; pour l'ébénisterie,0,0,0
bois ; d'Inde et des îles ; pour la teinture,bois ; d'Inde et des îles ; pour la teinture,0,0,0
bois ; d'Inde et des îles ; pour l'ébénisterie,,1,42,31324
bois ; d'Inde et des îles ; pour la teinture,,1,14,31324
bois ; d'Inde pour teinture et marqueterie ; divers,bois ; d'Inde pour teinture et marqueterie ; divers,1,7,7
bois ; d'acajou,bois ; d'acajou,1,148,148
bois ; d'aloès,bois ; d'aloès,1,7,7
bois ; d'amarante,bois ; d'amarante,1,2,2
bois ; d'ansprete,bois ; anspects,1,2,12
bois ; d'arc,bois ; d'arc,1,2,2
bois ; d'arc et d'arbulette,bois ; d'arc et d'arbalète,1,1,1
bois ; d'arc et de fusil,bois ; d'arc et de fusil,1,1,1
bois ; d'arc et de selle,bois ; d'arc et de selle,1,1,1
bois ; d'aspatton,bois ; d'aspatton,1,1,1
bois ; d'aulne,bois ; d'aulne,1,1,1
bois ; d'espar,bois ; d'espar,1,6,6
bois ; d'esquine,bois ; d'esquine,0,0,0
bois ; d'esquisse,bois ; d'esquisse,1,1,1
bois ; d'olivier,bois ; d'olivier,1,10,10
bois ; d'olivier ; pelé,bois ; d'olivier ; pelé,1,1,1
bois ; d'originelle,bois ; d'originelle,1,2,2
bois ; d'orme,bois ; d'orme,1,3,3
bois ; d'orme ; en planche,planche ; d'orme,1,1,3
bois ; d'osier,bois ; d'osier,1,16,16
bois ; d'ébène,bois ; d'ébène,1,76,76
bois ; d'écarage,bois ; d'écarage,1,1,1
bois ; d'érable,bois ; d'érable,1,1,1
bois ; d'éventail,bois ; d'éventail,1,2,2
bois ; d'éventail ; de nacre ; de perle,bois ; d'éventail ; de nacre ; de perle,1,1,1
bois ; de Brésil,bois ; de Brésil,1,257,257
bois ; de Brésil ; en bûche,bois ; de Brésil ; en bûche,1,4,4
bois ; de Brésil ; menu,bois ; de Brésil ; menu,0,0,0
bois ; de Brésil ; moulu,bois ; de Brésil ; moulu,1,1,1
bois ; de Camanbourg,bois ; de Camanbourg,1,1,1
bois ; de Cayenne,bois ; de Cayenne,1,3,3
bois ; de Constentines,bois ; de Constentines,1,1,1
bois ; de Fernambourg,bois ; de fernambourg,1,122,124
bois ; de Fernambourg ; arbuste,bois ; de fernambourg,1,2,124
bois ; de Fernambourg ; en bûche,bois ; de fernambourg ; en bûche,1,1,1
bois ; de Fernambourg ; moulu,bois ; de fernambourg ; moulu,1,4,4
bois ; de Fernambourg ; en bûche,,1,1,31324
bois ; de France,bois,1,1,675
bois ; de Honduras,bois ; de Honduras,1,1,1
bois ; de Nantes,bois ; de Nantes,1,1,1
bois ; de Nicorago,bois ; de Nicorago,1,1,1
bois ; de Pernambouc,bois ; de pernambouc,1,23,25
bois ; de Provence,bois ; de Provence,1,1,1
"bois ; de Provence, sernambue et campeche","bois ; de Provence, sernambue et campeche",1,1,1
bois ; de Rhode,bois ; de Rhode,1,1,1
bois ; de Rhodes,bois ; de Rhodes,1,5,5
bois ; de Sainte Marthe,bois ; de Sainte Marthe,1,1,127
bois ; de Siramonbas,bois ; de Siramonbas,1,20,20
bois ; de St. Martin,bois ; de St. Martin,1,2,2
bois ; de Ste Lucie,bois ; de Sainte Lucie,1,1,1
bois ; de Ste Marthe,bois ; de Sainte Marthe,1,122,127
bois ; de Ste Marthe ; en bûche,bois ; de Sainte Marthe,1,3,127
bois ; de Ste Marthe ; moulu,bois ; de Sainte Marthe,1,1,127
bois ; de Surinam,bois ; de Surinam,1,1,1
bois ; de bateau,bois ; de bateau,1,1,2
bois ; de bois,bois ; de buis,1,1,102
bois ; de bordage,bois ; de bordage,1,2,2
bois ; de bordage ; de sapin,bois ; de bordage ; de sapin,1,4,4
bois ; de bouleau,bois ; de bouleau,1,1,1
bois ; de bris,??? bois ; de buis,1,1,1
bois ; de brochialle,bois ; de brochialle,1,1,1
bois ; de brésil ; rapé,bois ; de brésil ; rapé,1,5,5
bois ; de buis,bois ; de buis,1,101,102
bois ; de caliatour,bois ; de caliatour,1,59,59
bois ; de caliatour ; en bûche,bois ; de caliatour ; en bûche,1,1,1
bois ; de caliatour ; moulu,bois ; de caliatour ; moulu,1,11,11
bois ; de caliatour ; rapé,bois ; de caliatour ; rapé,1,2,2
bois ; de camphre,bois ; de camphre,0,0,0
bois ; de campêche,bois ; de campêche,1,478,478
bois ; de campêche ; en bûche,bois ; de campêche ; en bûche,1,10,10
bois ; de campêche ; moulu,bois ; de campêche ; moulu,1,6,6
bois ; de campêche ; râpé,bois ; de campêche ; râpé,1,19,19
bois ; de cannelle,bois ; de cannelle,1,1,1
bois ; de cerisier,bois ; de cerisier,1,3,3
bois ; de chaise,bois ; de chaise,1,2,2
bois ; de charbonnage,bois ; de charbonnage,1,7,7
bois ; de charonage,bois ; de charonage,0,0,0
bois ; de charpente,bois ; de charpente,1,7,9
bois ; de chataignier,bois ; de chataignier,1,1,1
bois ; de chauffage,bois ; à brûler,1,1,360
bois ; de chevron,bois ; de chevron,1,1,1
"bois ; de chène, carré","bois ; de chêne, carré",1,2,2
"bois ; de chène, ronde","bois ; de chêne, ronde",1,2,2
bois ; de chêne,bois ; de chêne,1,95,97
bois ; de chêne ; 30 pieds,bois ; de chêne ; 30 pieds,0,0,0
bois ; de chêne ; courbé pour construction navale,bois ; pour navire,1,1,1
bois ; de chêne ; en planche,planche ; de chêne,1,4,213
bois ; de chêne ; pour construction,bois ; de chêne ; pour construction,1,4,4
bois ; de chêne ; scié,bois ; de chêne ; scié,1,2,2
bois ; de chêne ; à poutre,bois ; de chêne ; à poutre,1,1,1
bois ; de chêne ; à sommier,bois ; de chêne ; à sommier,1,2,2
bois ; de chêne de construction,bois ; de chêne de construction,1,2,2
bois ; de chêne des carisage,bois ; de chêne des carisage,1,1,1
bois ; de chêne ; 30 pieds,,1,1,31324
bois ; de cleippe,bois ; de cleippe,1,1,1
bois ; de coco,bois ; de coco,1,2,2
