marchandises	marchandises_norm_ortho		source_bdc	nbr_bdc_marchandises	nbr_bdc_marchandises_norm_ortho
Pierres ; de St. Cast	Pierres de St. Cast		0	0	0
Pierres ; de St. Fas	Pierres de St. Fas		1	1	2
Pierres ; de Suisse	Pierres de Suisse		1	4	6
Pierres ; de suisse	Pierres de suisse		1	2	2
Pierres ; de taille	Pierres de taille		1	9	30
Pierres ; de tombe	Pierres de tombe		1	1	1
Pierres ; de tourbe	Pierres de tourbe		1	1	1
Pierres ; de V. Cat	Pierres de V. Cat		1	1	7
Pierres ; De verre	Pierres De verre		1	1	4
Pierres ; de verre	Pierres de verre		1	2	4
Pierres ; de vin	Pierres de vin		1	4	7
Pierres ; Diverses	Pierres Diverses		1	22	37
Pierres ; diverses	Pierres diverses		1	4	37
Pierres ; éclairante	Pierres éclairante		1	1	8
Pierres ; éclatantes	Pierres éclatantes		1	2	8
Pierres ; éclatantes et de verre	Pierres éclatantes et de verre		1	1	1
Pierres ; éclatente	Pierres éclatente		1	1	8
Pierres ; éclatentes	Pierres éclatentes		1	4	8
Pierres ; en ?	Pierres en ?		1	1	1
Pierres ; en carreaux ; à mouler	Pierres en carreaux à mouler		1	1	1
Pierres ; en mortiers	Pierres en mortiers		1	1	2
Pierres ; en quartier	Pierres en quartier		1	1	7
Pierres ; en quartiers	Pierres en quartiers		1	5	7
Pierres ; encartier	Pierres encartier		1	1	7
Pierres ; façonnées ; d'architectes	Pierres façonnées d'architectes		1	1	1
Pierres ; fausses	Pierres fausses		1	7	10
Pierres ; Fausses eclatantes	Pierres Fausses eclatantes		1	4	4
Pierres ; fines	Pierres fines		1	1	1
Pierres ; jayet ; ouvrées	Pierres jayet ouvrées		1	1	1
Pierres ; maganaise	Pierres maganaise		1	2	4
Pierres ; maganese	Pierres maganese		1	2	4
Pierres ; marcassite	Pierres marcassite		1	2	2
Pierres ; meules	Pierres meules		1	6	79
Pierres ; minérales	Pierres minérales		1	1	1
Pierres ; noire	Pierres noire		1	10	10
Pierres ; Ponce	Pierres Ponce		1	3	87
Pierres ; ponce	Pierres ponce		1	53	87
Pierres ; pouce	Pierres pouce		1	8	87
Pierres ; pouries	Pierres pouries		1	3	4
Pierres ; pourrie	Pierres pourrie		1	1	4
Pierres ; serpentine	Pierres serpentine		1	2	2
Pierres ; taillées ; en auge	Pierres taillées en auge		1	2	2
Pierres ; tailler ; à bâtir	Pierres tailler à bâtir		1	1	1
Pierres ; tendre	Pierres tendre		1	1	1
Pierres ; toilées	Pierres toilées		1	1	1
Pierres ; travaillées	Pierres travaillées		1	1	2
pierres à affiler	pierres à affiler		0	0	0
pierres à affiler de 1 à 2 1/2 pieds	pierres à affiler de 1 à 2 1/2 pieds		0	0	0
pierres à affiler de 3 à 4 pieds	pierres à affiler de 3 à 4 pieds		0	0	0
pierres à affiler de 5 à 6 pieds	pierres à affiler de 5 à 6 pieds		0	0	0
Pierres à aiguiser	Pierres à aiguiser		1	11	160
pierres à aiguiser	pierres à aiguiser		0	0	0
pierres à aiguiser milanese ou fiquets	pierres à aiguiser milanese ou fiquets		0	0	0
pierres à aiguiser ou siquets	pierres à aiguiser ou siquets		0	0	0
Pierres a bâtir	Pierres à bâtir		1	1	128
Pierres à bâtir	Pierres à bâtir		1	5	128
Pierres à bâtir, chaux et plâtre	Pierres à bâtir chaux et plâtre		1	13	13
Pierres à briquet/pierres à feu	Pierres à briquetpierres à feu		0	0	0
pierres à broyer couleurs	pierres à broyer couleurs		0	0	0
pierres à broyer couleurs et moudre tabac	pierres à broyer couleurs et moudre tabac		0	0	0
pierres à diquer	pierres à diquer		0	0	0
Pierres à écurer	Pierres à écurer		0	0	0
Pierres a eguiser	Pierres à eguiser				
Pierres à Eguiser	Pierres à Eguiser		1	1	160
pierres à eguiser	pierres à eguiser				
Pierres a éguiser	Pierres à éguiser				
Pierres à éguiser	Pierres à éguiser		1	3	160
Pierres a evier	Pierres à evier				
pierres a faulse	pierres à faulse		1	1	276
Pierres a faulx	Pierres à faulx		1	2	276
pierres a faulx	pierres à faulx		1	1	276
pierres à faulx	pierres à faulx				
pierres a faune	pierres à faune		1	1	276
pierres à faux	pierres à faux		0	0	0
Pierres a feu	Pierres à feu				
Pierres a filtrer l'eau	Pierres à filtrer l'eau				
Pierres a four	Pierres à four				
Pierres a fusil	Pierres à fusil		1	6	276
Pierres à fusil	Pierres à fusil		1	97	276
Pierres a fusils	Pierres à fusils		1	6	276
Pierres à fusils	Pierres à fusils		1	37	276
pierres à fusils	pierres à fusils		0	0	0
Pierres à fuzil	Pierres à fuzil		1	3	276
Pierres à meules	Pierres à meules		1	11	79
pierres à mordre	pierres à mordre		0	0	0
pierres à mordre moutarde de 1 1/2 à 3 pieds	pierres à mordre moutarde de 1 1/2 à 3 pieds		0	0	0
pierres à mordre tabac	pierres à mordre tabac		0	0	0
pierres à paver	pierres à paver		0	0	0
pierres à paver blues en pièces longues	pierres à paver blues en pièces longues		0	0	0
pierres à paver d'en dessus d'un pied quarré	pierres à paver d'en dessus d'un pied quarré		0	0	0
pierres à paver d'un pied quarré	pierres à paver d'un pied quarré		0	0	0
pierres à paver de 12 à 13 pouces	pierres à paver de 12 à 13 pouces		0	0	0
pierres à paver de 3 à 9 pouces	pierres à paver de 3 à 9 pouces		0	0	0
pierres à paver de 8 à 9 pouces quarrées	pierres à paver de 8 à 9 pouces quarrées		0	0	0
pierres à paver de 9 pouces	pierres à paver de 9 pouces		0	0	0
pierres à paver en longues pieces	pierres à paver en longues pieces		0	0	0
pierres à paver non polis	pierres à paver non polis		0	0	0
pierres à paver polis	pierres à paver polis		0	0	0
pierres à paver quarré	pierres à paver quarré		0	0	0
pierres à polir et à faux	pierres à polir et à faux		0	0	0
Pierres a Razoir	Pierres à Razoir		1	1	21
pierres à razoir	pierres à razoir		0	0	0
pierres à saulx	pierres à saulx				
Pierres blanches a carler	Pierres blanches à carler				
Pierres bleues	Pierres bleues		1	2	23
pierres Bleues	pierres Bleues		1	1	23
pierres bleues	pierres bleues		1	1	23
pierres blues à paver en longues pieces	pierres blues à paver en longues pieces		0	0	0
pierres brutes à batir	pierres brutes à batir		0	0	0
pierres brutes en blocs	pierres brutes en blocs		0	0	0
Pierres calcaires	Pierres calcaires		0	0	0
Pierres calcaires d’Øland	Pierres calcaires d’Øland		0	0	0
pierres communes à bâtir	pierres communes à bâtir		0	0	0
pierres communes à bâtir de 3 à 7 pieds	pierres communes à bâtir de 3 à 7 pieds		0	0	0
Pierres coupés	Pierres coupés		0	0	0
Pierres d'absinte	Pierres d'absinte		1	1	23
Pierres d'agathe	Pierres d'agathe				
pierres d'aimant	pierres d'aimant		0	0	0
pierres d'architecture	pierres d'architecture		0	0	0
pierres d'ardoises	pierres d'ardoises				
pierres d'ardoizes	pierres d'ardoizes				
pierres d'autel	pierres d'autel		0	0	0
pierres d'ecrevises	pierres d'ecrevises		1	1	1
pierres d'Emery	pierres d'Emery		1	1	58
pierres d'éponges	pierres d'éponges		0	0	0
pierres de Bentem	pierres de Bentem		0	0	0
Pierres de cancer?	Pierres de cancer?		0	0	0
Pierres de four	Pierres de four				
pierres de four	pierres de four		0	0	0
Pierres de fusils	Pierres de fusils				
pierres de gré ou de chaussée	pierres de gré ou de chaussée		0	0	0
pierres de marbre	pierres de marbre				
Pierres de meule	Pierres de meule		1	1	79
pierres de mouches	pierres de mouches		0	0	0
pierres de moulin dite grand loup d'Angleterre	pierres de moulin dite grand loup d'Angleterre		0	0	0
pierres de moulin dite petits loups d'Angleterre	pierres de moulin dite petits loups d'Angleterre		0	0	0
pierres de moulin du poid de 1200 à 1800 livres	pierres de moulin du poid de 1200 à 1800 livres		0	0	0
pierres de moulin du poid de 2000 à 2800 livres	pierres de moulin du poid de 2000 à 2800 livres		0	0	0
pierres de moulin du poid de 2000 à 3000 livres	pierres de moulin du poid de 2000 à 3000 livres		0	0	0
pierres de moulin du poid de 300 à 1000 livres	pierres de moulin du poid de 300 à 1000 livres		0	0	0
pierres de moulin du poid de 3000 à 4000 livres	pierres de moulin du poid de 3000 à 4000 livres		0	0	0
pierres de moulin du poid de 5000 à 6000 livres pesant	pierres de moulin du poid de 5000 à 6000 livres pesant		0	0	0
pierres de Namur	pierres de Namur		0	0	0
Pierres de Öland	Pierres de Öland		0	0	0
Pierres de seuil	Pierres de seuil		0	0	0
Pierres de taille	Pierres de taille				
pierres de taille	pierres de taille		0	0	0
Pierres de tailles	Pierres de tailles		1	3	30
pierres de tombe	pierres de tombe		0	0	0
pierres de tombe de 4 à 6 pieds	pierres de tombe de 4 à 6 pieds		0	0	0
pierres de tombe de 7 à 9 pieds	pierres de tombe de 7 à 9 pieds		0	0	0
pierres de tombe de haute categorie	pierres de tombe de haute categorie		0	0	0
pierres de tombe de moindre classe	pierres de tombe de moindre classe		0	0	0
pierres de touche	pierres de touche		0	0	0
pierres de touches	pierres de touches		0	0	0
Pierres de vin	Pierres de vin		1	2	7
pierres de vin	pierres de vin		0	0	0
Pierres diverses	Pierres diverses		1	11	37
pierres en bloc	pierres en bloc		0	0	0
pierres en blocs	pierres en blocs		0	0	0
pierres en borne-frontiere	pierres en borne-frontiere		0	0	0
pierres en cheminées et statues	pierres en cheminées et statues		0	0	0
pierres en cippes	pierres en cippes		0	0	0
Pierres en grès taillés, meules	Pierres en grès taillés meules		1	25	25
Pierres en marbres ouvrés	Pierres en marbres ouvrés		1	6	6
pierres en masse en et blocs	pierres en masse en et blocs		0	0	0
Pierres en meules	Pierres en meules		1	11	79
Pierres en meules à aiguiser et à taillandier	Pierres en meules à aiguiser et à taillandier		1	19	30
Pierres en meules, à aiguiser et à taillandier	Pierres en meules à aiguiser et à taillandier		1	11	30
pierres en pieces grandes	pierres en pieces grandes		0	0	0
pierres en statues	pierres en statues		0	0	0
Pierres et chanvre	Pierres et chanvre		0	0	0
Pierres et grès taillés, meules	Pierres et grès taillés meules		1	14	42
Pierres et grès taillés, meules, &c	Pierres et grès taillés meules &c		1	28	42
Pierres et lin	Pierres et lin		0	0	0
Pierres et meubles	Pierres et meubles		1	14	79
Pierres et meules	Pierres et meules		1	18	79
Pierres et meules à aiguiser	Pierres et meules à aiguiser		1	18	18
Pierres et plâtre	Pierres et plâtre		1	6	6
pierres fausses	pierres fausses		0	0	0
pierres fausses montées	pierres fausses montées		0	0	0
Pierres ou caillouts	Pierres ou caillouts		1	1	1
Pierres ponce	Pierres ponce		1	4	5
pierres ponce	pierres ponce				
Pierres ponces	Pierres ponces		0	0	0
pierres ponces	pierres ponces				
pierres pour faire sucre	pierres pour faire sucre		0	0	0
pierres pour la batisse	pierres pour la batisse				
pierres pour pilliers	pierres pour pilliers		0	0	0
pierres pour raffiner sucre	pierres pour raffiner sucre		0	0	0
Pierres pour sol	Pierres pour sol		0	0	0
Pierres rouges	Pierres rouges		0	0	0
Pierres taillées	Pierres taillées		1	14	30
pierres tendres à eguiser	pierres tendres à eguiser				
Pierres tombales	Pierres tombales		0	0	0
pierres travaillées	pierres travaillées		0	0	0
pierres travaillées a moutarde	pierres travaillées à moutarde		0	0	0
pierres travaillées en bancs, balcons, goulots, etc.	pierres travaillées en bancs balcons goulots etc.		0	0	0
pierres travaillées en cheminées	pierres travaillées en cheminées		0	0	0
pierres travaillées pour chassis et autres ouvrages	pierres travaillées pour chassis et autres ouvrages		0	0	0
pierres travaillées pour cheminées, statues, etc	pierres travaillées pour cheminées statues etc		0	0	0
Pierres, chaux et plâtre	Pierres chaux et plâtre		1	15	31
Pierres, chaux et plâtre, etc	Pierres chaux et plâtre etc		1	7	31
Pierres, meules &C	Pierres meules &C		1	14	79
Pierres, plâtre et chaux	Pierres plâtre et chaux		1	9	31
Pierres; à bâtir	Pierres à bâtir		1	3	128
Pierres; à éguiser	Pierres à éguiser		1	8	160
Pierres; à faulx	Pierres à faulx		1	12	276
Pierres; à filtrer l'eau	Pierres à filtrer l'eau		1	1	14
Pierres; à fusil	Pierres à fusil		1	1	1
Pierres; à fusils	Pierres à fusils		1	10	305
Pierres; à paver	Pierres à paver		1	2	43
Pierres; à razoir	Pierres à razoir		1	2	2
Pierres; blanche	Pierres blanche		1	1	12
Pierres; d'aiman	Pierres d'aiman		1	2	7
Pierres; d'alphate	Pierres d'alphate		1	1	2
Pierres; d'emery	Pierres d'emery		1	5	58
Pierres; de chaux	Pierres de chaux		1	1	1
Pierres; de grison	Pierres de grison		1	1	9
Pierres; de matte	Pierres de matte		1	2	2
Pierres; de roche	Pierres de roche		1	1	2
Pierres; de St. Cast	Pierres de St. Cast		1	1	3
Pierres; de Suisse	Pierres de Suisse		1	1	6
Pierres; fausses	Pierres fausses		1	2	10
Pierres; ponce	Pierres ponce		1	3	87
Pierrestre	Pierrestre		1	2	9
Pierrette	Pierrette				
pierrettes	pierrettes				
pierreuve	pierreuve		1	1	9
Pierriers	Pierriers		1	5	9
Pierriers ; de fer	Pierriers de fer		1	2	6
Pierriers de fer	Pierriers de fer		1	4	6
Pierrres a meulle	Pierrres à meulle		1	1	79
Pieux	Pieux		0	0	0
Pigeons	Pigeons		1	3	4
pigeons	pigeons		0	0	0
Pigeons ; sauvages	Pigeons sauvages		1	1	1
Pigment d’or	Pigment d’or		0	0	0
Pignnons d'epine	Pignnons d'epine		1	1	55
Pignon ; d'Inde	Pignon d'Inde		1	1	6
Pignons	Pignons				
pignons	pignons				
Pignons ; cassés	Pignons cassés		1	2	8
Pignons ; d'Epine	Pignons d'Epine		1	10	55
Pignons ; d'epine	Pignons d'epine		1	7	55
Pignons ; d'épine	Pignons d'épine		1	20	55
Pignons ; d'épines	Pignons d'épines		1	2	55
Pignons ; d'inde	Pignons d'inde		1	4	6
Pignons casses	Pignons casses				
Pignons cassés	Pignons cassés				
pignons cassés	pignons cassés				
Pignons d'epine	Pignons d'epine		1	4	55
Pignons d'épine	Pignons d'épine		1	6	55
Pignons d'Inde	Pignons d'Inde				
Pignons de pine	Pignons de pine		1	3	55
Pignons; d'epine	Pignons d'epine		1	2	55
Pignons; d'inde	Pignons d'inde		1	1	6
Pilles de bois	Pilles de bois		1	1	1
Pilules ; et opial	Pilules et opial		1	1	1
Pilulles de Belloste	Pilulles de Belloste		1	1	1
Piman	Piman		1	1	200
pimen	pimen		1	1	200
Pimens	Pimens		1	1	200
pimens	pimens		1	2	200
Piment	Piment		1	185	200
piment	piment		1	5	200
Piments	Piments				
Pinasse	Pinasse		1	1	1
Pinceau a Goudronner	Pinceau à Goudronner		1	1	11
Pinceaux	Pinceaux		1	44	72
pinceaux	pinceaux		1	2	72
Pinçeaux	Pinçeaux		1	6	72
Pinceaux ; a gaudronner	Pinceaux à gaudronner		1	2	2
Pinceaux ?	Pinceaux ?		1	1	72
Pinceaux a dorer	Pinceaux à dorer		1	1	1
pinceaux a gaudron	pinceaux à gaudron				
pinceaux à gaudron	pinceaux à gaudron				
Pinceaux a Gaudroner	Pinceaux à Gaudroner		1	1	11
Pinceaux a Gaudrones	Pinceaux à Gaudrones		1	1	11
Pinceaux a gaudronier	Pinceaux à gaudronier		1	3	11
Pinceaux à Gaudronier	Pinceaux à Gaudronier		1	1	11
Pinceaux a gaudronne	Pinceaux à gaudronne		1	1	11
Pinceaux a Gaudronner	Pinceaux à Gaudronner		1	1	11
pinceaux à gaudronner	pinceaux à gaudronner				
Pinceaux A Gaudronnes	Pinceaux à Gaudronnes		1	1	11
Pinceaux a Gaudronnes	Pinceaux à Gaudronnes		1	1	11
Pinces de fer	Pinces de fer		1	1	72
Pincettes ; de fer	Pincettes de fer		1	1	1
Pinchina	Pinchina				
Pinchinal	Pinchinal		1	1	21
Pinchinat	Pinchinat				
pinchine	pinchine		0	0	0
Pinen	Pinen		1	1	200
pinques	pinques				
Pioches	Pioches		0	0	0
Pioches ; de fer	Pioches de fer		1	1	1
Pipe	Pipe		1	1	4
Pipe a Cordée	Pipe à Cordée		1	1	1
Pipe à Cuivre	Pipe à Cuivre		1	1	1
Pipe A fume	Pipe à fume		1	3	366
Pipe a fume	Pipe à fume		1	1	366
Pipe A Fumé	Pipe à Fumé		1	1	366
Pipe à Fumé	Pipe à Fumé		1	3	366
Pipe A Fumée	Pipe à Fumée		1	7	366
Pipe a Fumée	Pipe à Fumée		1	1	366
Pipe a fumer	Pipe à fumer		1	1	366
Pipe à fumer	Pipe à fumer		1	4	366
pipe à fumer	pipe à fumer				
Pipe A fumes	Pipe à fumes		1	1	366
Pipe a fumes	Pipe à fumes		1	1	366
Pipe A Vieilles Vuides	Pipe à Vieilles Vuides		1	1	7
Pipe afumer	Pipe afumer		1	1	366
Pipe Céréalier de Fer	Pipe Céréalier de Fer		1	1	1
Pipe de side	Pipe de side		1	1	25
Pipe en Bottes	Pipe en Bottes		1	1	4
Pipe muides	Pipe muid		1	3	25
Pipe Vieilles Vuides	Pipe Vieilles Vuides		1	1	7
Pipe vieux Vuiddes	Pipe vieux Vuiddes		1	1	7
Pipe Vuiddes	Pipe Vuiddes		1	4	25
Pipe vuiddes	Pipe vuiddes		1	6	25
Pipe Vuides	Pipe Vuides		1	1	25
Pipe vuides	Pipe vuides		1	2	25
Pipe Vuides Vieilles	Pipe Vuides Vieilles		1	2	7
Pipes	Pipes		1	3	4
Pipes ; a fumer	Pipes à fumer		1	35	366
Pipes ; à fumer	Pipes à fumer		1	133	366
Pipes (à tabac)	Pipes (à tabac)		0	0	0
Pipes A Fumé	Pipes à Fumé		1	2	366
Pipes à Fumé	Pipes à Fumé		1	1	366
Pipes a fumer	Pipes à fumer				
pipes a fumer	pipes à fumer				
Pipes à fumer	Pipes à fumer		1	102	366
pipes à fumer	pipes à fumer		1	5	366
Pipes à Fumér	Pipes à Fumér		1	1	366
Pipes a fumer d'Pour la Hollande	Pipes à fumer d'Pour la Hollande				
Pipes a fumer grosses	Pipes à fumer grosses				
Pipes a fumes	Pipes à fumes		1	2	366
Pipes a fumés	Pipes à fumés		1	1	366
pipes à tabac	pipes à tabac		0	0	0
Pipes afumer	Pipes afumer		1	1	366
Pipes de vuide	Pipes de vuide		1	1	25
Pipes en Bottes	Pipes en Bottes		1	3	4
Pipes Vieille	Pipes Vieille		1	1	1
Pipes Vieilles vuides	Pipes Vieilles vuides		1	2	7
Pipes vielles	Pipes vielles				
Pipes Vuides	Pipes Vuides		1	2	25
Pipes vuides	Pipes vuides		1	5	25
pipes: à fumer	pipes à fumer				
piphout en blocq	piphout en blocq		0	0	0
piphout scié en planches	piphout scié en planches		0	0	0
Pippes à fumer	Pippes à fumer		1	1	366
Piques (arme)	Piques (arme)		0	0	0
Piqueure ; de Marseille	Piqueure de Marseille		1	1	1
Pirestre	Pirestre				
Pirette	Pirette		1	1	3
Pirrestre	Pirrestre		1	2	3
Pistache	Pistache		1	2	102
Pistaches	Pistaches		1	99	102
pistaches	pistaches				
Pistolets	Pistolets		1	10	11
Pistolets (armes)	Pistolets (armes)		0	0	0
pistolets montés	pistolets montés		0	0	0
pistolets non montés	pistolets non montés		0	0	0
Pivre long	Pivre long				
Plaches ; de citronnier	Plaches de citronnier		1	1	1
Placnche de Pruse	Placnche de Pruse		1	1	136
Plaire	Plaire		1	2	2
plamches de Sapin	plamches de Sapin		1	1	1074
plamches des Cipres	plamches des Cipres		1	1	2
Plan d'habitation	Plan d'habitation				
Plancards	Plancards		0	0	0
planche	planche				
Planche ; de chesne	Planche de chesne		1	1	196
Planche ; de Prusse	Planche de Prusse		1	3	136
Planche ; de sapin	Planche de sapin		1	8	1074
Planche de Châtaine	Planche de Châtaine		1	1	4
Planche De noyer	Planche De noyer		1	1	10
planche de noyer	planche de noyer				
Planche de Noyer d'un pouce de 1/2	Planche de Noyer d'un pouce de 1/2		1	1	1
Planche de Prusse	Planche de Prusse		1	1	136
planche de prusse ; de 15 pieds	planche de prusse de 15 pieds				
planche de prusse ; de 35 pieds	planche de prusse de 35 pieds				
Planche de Sapin	Planche de Sapin		1	2	1074
Planche de sapin	Planche de sapin		1	5	1074
planche de sapin	planche de sapin				
planche de sapin ; demi planches	planche de sapin demi planches				
Planche de Sapin commun	Planche de Sapin commun		1	1	66
Planche de sapin de 4 a 5 pieds	Planche de sapin de 4 à 5 pieds				
planchenier	planchenier		1	1	1
Planches	Planches		1	20	20
planches	planches				
planches ; d'Acajou	planches d'Acajou		1	4	17
Planches ; d'ardoises	Planches d'ardoises		0	0	0
Planches ; de 18 pieds	Planches de 18 pieds		1	1	1
Planches ; de 24 a 30 pieds	Planches de 24 à 30 pieds		1	1	1
Planches ; de 9 pieds	Planches de 9 pieds		1	1	1
Planches ; de bois ; des Isles	Planches de bois des Isles		1	1	1
Planches ; de bois des Indes	Planches de bois des Indes		1	1	1
Planches ; de bois vernis	Planches de bois vernis		0	0	0
Planches ; de Brusse	Planches de Brusse		1	1	136
Planches ; de chaine	Planches de chaine		1	5	196
Planches ; de chêne	Planches de chêne				
Planches ; de chene de 10 pieds	Planches de chene de 10 pieds		1	2	3
Planches ; de Chesne	Planches de Chesne		1	2	196
Planches ; de chesne	Planches de chesne		1	136	196
Planches ; de chesne ; a 6	Planches de chesne à 6		1	1	1
Planches ; de chesne ; a 9	Planches de chesne à 9		1	1	1
Planches ; de Chesne ; de 12 pieds	Planches de Chesne de 12 pieds		1	1	3
Planches ; de chesne ; de 12 pieds	Planches de chesne de 12 pieds		1	2	3
Planches ; de Chesne ; de 14 pieds	Planches de Chesne de 14 pieds		1	1	1
Planches ; de chesne ; de 15 a 20 pieds	Planches de chesne de 15 à 20 pieds		1	1	1
Planches ; de chesne ; de 15 pieds	Planches de chesne de 15 pieds		1	1	1
Planches ; de chesne ; de 18 pieds	Planches de chesne de 18 pieds		1	1	2
Planches ; de chesne ; de 24 pieds	Planches de chesne de 24 pieds		1	1	1
Planches ; de Chesne ; de 35 pieds	Planches de Chesne de 35 pieds		1	1	1
Planches ; de chesne ; de 9 pieds	Planches de chesne de 9 pieds		1	1	1
Planches ; de chesne ; de sapin	Planches de chesne de sapin		1	1	1
Planches ; de Chesne commune	Planches de Chesne commune		1	1	14
planches ; de chesne communes	planches de chesne communes		1	1	14
Planches ; de Chesne pour Bordage	Planches de Chesne pour Bordage		1	2	6
Planches ; de Chesnes	Planches de Chesnes		1	1	196
Planches ; de chesnes	Planches de chesnes		1	5	196
Planches ; de chesnes ; de 10 pieds	Planches de chesnes de 10 pieds		1	1	3
Planches ; de chesnes ; de 18 pieds	Planches de chesnes de 18 pieds		1	1	2
Planches ; de chesnes ; de 25 pieds	Planches de chesnes de 25 pieds		1	1	1
Planches ; de chesnes ; de 40 pieds	Planches de chesnes de 40 pieds		1	1	1
Planches ; de cuivre ; gravées	Planches de cuivre gravées		1	2	3
Planches ; de cuivre gravées	Planches de cuivre gravées		1	1	3
Planches ; de hetre	Planches de hetre		1	2	6
Planches ; de hêtre	Planches de hêtre		1	3	6
Planches ; de lin	Planches de lin		1	1	1
Planches ; de Lorient	Planches de Lorient		1	1	1
Planches ; de noyer	Planches de noyer		1	1	10
Planches ; de noyers	Planches de noyers		1	1	10
Planches ; de pausse	Planches de pausse		1	3	136
Planches ; de penpliers	Planches de penpliers		1	1	1
Planches ; de pin	Planches de pin		1	2	2
Planches ; de Prusse	Planches de Prusse		1	38	136
Planches ; de prusse	Planches de prusse		1	25	136
Planches ; de prusse ; ordinaires	Planches de prusse ordinaires		1	3	3
Planches ; de prusse ; petites	Planches de prusse petites		1	1	1
Planches ; de rebut	Planches de rebut		1	2	2
Planches ; de Sapin	Planches de Sapin		1	15	1074
Planches ; de sapin	Planches de sapin				
planches ; de sapin	planches de sapin		1	1	1074
Planches ; de sapin ;	Planches de sapin 		1	1	1074
Planches ; de sapin ; 1/2 planches	Planches de sapin 1/2 planches		1	1	1
Planches ; de sapin ; 12 pieds	Planches de sapin 12 pieds		1	1	9
Planches ; de sapin ; 18 pieds	Planches de sapin 18 pieds		1	2	15
Planches ; de sapin ; 27 pieds	Planches de sapin 27 pieds		1	1	3
Planches ; de sapin ; 30 pieds	Planches de sapin 30 pieds		1	1	9
Planches ; de sapin ; 35 pieds	Planches de sapin 35 pieds		1	1	2
Planches ; de sapin ; 36 pieds	Planches de sapin 36 pieds		1	1	1
Planches ; de sapin ; bouts	Planches de sapin bouts		1	2	2
Planches ; de sapin ; bouts de planches	Planches de sapin bouts de planches		1	1	1
Planches ; de sapin ; communes	Planches de sapin communes		1	7	66
Planches ; de sapin ; comunes	Planches de sapin comunes		1	3	66
Planches ; de sapin ; de 10 a 12 pieds	Planches de sapin de 10 à 12 pieds		1	3	3
Planches ; de sapin ; de 10 a 14 pieds	Planches de sapin de 10 à 14 pieds		1	1	1
Planches ; de Sapin ; de 10 pieds	Planches de Sapin de 10 pieds		1	1	9
Planches ; de sapin ; de 10 pieds	Planches de sapin de 10 pieds		1	5	9
Planches ; de sapin ; de 12 a 18 pieds	Planches de sapin de 12 à 18 pieds		1	1	1
Planches ; de sapin ; de 12 pieds	Planches de sapin de 12 pieds		1	5	9
Planches ; de sapin ; de 15 a 20 pieds	Planches de sapin de 15 à 20 pieds		1	1	1
Planches ; de sapin ; de 15 a 30 pieds	Planches de sapin de 15 à 30 pieds		1	1	1
Planches ; de sapin ; de 15 pieds	Planches de sapin de 15 pieds		1	2	3
Planches ; de Sapin ; de 16 pieds	Planches de Sapin de 16 pieds		1	1	2
Planches ; de sapin ; de 16 pieds	Planches de sapin de 16 pieds		1	1	2
Planches ; de Sapin ; de 18 pieds	Planches de Sapin de 18 pieds		1	1	15
Planches ; de sapin ; de 18 pieds	Planches de sapin de 18 pieds		1	11	15
Planches ; de sapin ; de 20 a 24 pieds	Planches de sapin de 20 à 24 pieds		1	1	1
Planches ; de sapin ; de 20 pieds	Planches de sapin de 20 pieds		1	3	3
Planches ; de sapin ; de 22 pieds	Planches de sapin de 22 pieds		1	1	1
Planches ; de sapin ; de 24 a 30 pieds	Planches de sapin de 24 à 30 pieds		1	1	1
Planches ; de sapin ; de 24 pieds	Planches de sapin de 24 pieds		1	3	4
Planches ; de sapin ; de 25 pieds	Planches de sapin de 25 pieds		1	2	2
Planches ; de sapin ; de 26 pieds	Planches de sapin de 26 pieds		1	1	1
Planches ; de sapin ; de 27 pieds	Planches de sapin de 27 pieds		1	2	3
Planches ; de sapin ; de 28 a 30 pieds	Planches de sapin de 28 à 30 pieds		1	1	1
Planches ; de sapin ; de 28 pieds	Planches de sapin de 28 pieds		1	1	1
Planches ; de sapin ; de 30 a 36 pieds	Planches de sapin de 30 à 36 pieds		1	1	1
Planches ; de sapin ; de 30 pieds	Planches de sapin de 30 pieds		1	2	9
Planches ; de sapin ; de 32 pieds	Planches de sapin de 32 pieds		1	1	1
Planches ; de sapin ; de 35 pieds	Planches de sapin de 35 pieds		1	1	2
Planches ; de sapin ; de 40 pieds	Planches de sapin de 40 pieds		1	1	1
Planches ; de sapin ; de 5 a 6 pieds	Planches de sapin de 5 à 6 pieds		1	1	1
Planches ; de sapin ; de 50 pieds	Planches de sapin de 50 pieds		1	1	1
Planches ; de sapin ; de 7 a 8 pieds	Planches de sapin de 7 à 8 pieds		1	2	4
Planches ; de sapin ; de 7 pieds	Planches de sapin de 7 pieds		1	1	1
Planches ; de sapin ; de 8 pieds	Planches de sapin de 8 pieds		1	1	4
Planches ; de sapin ; de 9 a 11 pieds	Planches de sapin de 9 à 11 pieds		1	1	1
Planches ; de sapin ; de 9 pieds	Planches de sapin de 9 pieds		1	5	6
Planches ; de sapin ; de diférentes longueurs	Planches de sapin de diférentes longueurs		1	1	4
Planches ; de sapin ; de différentes longueurs	Planches de sapin de différentes longueurs		1	2	4
Planches ; de Sapin ; de rebus	Planches de Sapin de rebus		1	1	4
Planches ; de sapin ; de rebus	Planches de sapin de rebus		1	1	4
Planches ; de sapin ; de rebut	Planches de sapin de rebut		1	2	4
