item,group,,,afterItems,obsolete,imprimatur
toile carotte simple,,,,[Cuirs ; de genisse] [Cuirs ; de Genisse] [Cuirs ; de génisse] [Cuirs ; de genisses] [Cuirs de génisses] [Cuirs de Génisses] [Cuirs genisse tannés],no,
toile casse,,,,[Cuir ; de cheval tannés] [Cuir de cheval tanné] [Cuir de cheval tannés] [Cuirs ; de cheval ; tanné] [Cuirs ; de cheval ; tannés] [Cuirs ; de cheval tannés] [Cuirs de cheval tanés] [Cuirs de cheval tanné] [Cuirs de cheval tannées] [Cuirs de cheval tannes] [Cuirs de cheval tannés] [Cuirs de chevaux tannés] [Cuirs ; tannés ; de chevaux],no,
toile casselis,,,,[Cuir ; de cheval] [cuirs ; de cheval] [Cuirs ; de chevaux] [cuirs de cheval] [Cuirs de cheval],no,
toile cassie,,,,[cuir de buffle] [Cuirs de Buffle],no,
toile ce chasse,,,,[Cuirs de bœuf et vaches tannés],no,
toile céruse,6h,,,"[Cuirs ; bœuf tannés] [Cuirs beuf tannés] [Cuirs bœuf tannés] [Cuir ; de beuf ; tané] [Cuir ; de beuf ; tannés] [Cuir ; de bœuf ; tané] [Cuir de beuf tanés] [cuir de beuf tanné] [Cuir de beuf tanné] [cuir de bœuf tanné] [Cuir de bœuf tanné] [Cuir; de beuf tannés] [Cuird fr beuf tannés] [Cuire De Boueuf Tannées] [Cuires de beuf tannées] [Cuirs , de beuf ; tannés] [Cuirs ; de beuf ; tanné] [Cuirs ; de beuf ; tannées] [cuirs ; de beuf ; tannés] [Cuirs ; de beuf ; tannés] [Cuirs ; de beuf tanés] [Cuirs ; de beuf tannés] [Cuirs ; de bœuf ; tanné] [Cuirs ; de bœuf ; tannées] [Cuirs ; de bœuf ; tannés] [Cuirs ; de bœuf tanés] [Cuirs ; de bœuf tannés] [Cuirs ; de bœufs ; tannés] [Cuirs ; de bœufs tannés] [Cuirs ;de beufs ;tannés] [cuirs de beuf tané] [cuirs de beuf tanées] [Cuirs de beuf tanes] [cuirs de beuf tanés] [Cuirs de beuf tanés] [Cuirs de beuf tanné] [Cuirs de beuf Tanné] [Cuirs de beuf Tannée] [Cuirs de beuf tannées] [Cuirs de beuf Tannées] [Cuirs de beuf tanner] [cuirs de beuf tannes] [Cuirs de beuf tannes] [cuirs de beuf tannés] [Cuirs de beuf tannés] [Cuirs de beuf Tannés] [Cuirs de Beuf tannés] [Cuirs de beufs tannés] [Cuirs de bœuf ; tannés] [Cuirs de bœuf stannés] [cuirs de bœuf tané] [cuirs de bœuf tanés] [Cuirs de bœuf tanés] [Cuirs de bœuf tanné] [Cuirs de bœuf Tanné] [Cuirs de Bœuf Tanné] [Cuirs de bœuf tannées] [Cuirs de bœuf tanner] [Cuirs de boeuf tannés] [Cuirs de bœuf tannes] [cuirs de bœuf tannés] [Cuirs de bœuf tannés] [Cuirs de Bœuf tannés] [Cuirs de bœuf tannez] [Cuirs de boeufs tannés] [cuirs de bœufs tannés] [Cuirs de bœufs tannés] [Cuirs de Bœufs tannés] [Cuirs de bouef tannés] [Cuivre de beuf tannés] [Cuirs ; Tanés ; De bœuf] [Cuirs ; tannés ; de bœuf] [Cuirs ; Tannés ; De bœuf] [Cuirs ; Tannés ; De bœufs] [Cuirs ; tannés de bœuf] [Cuirs tannées de bœuf] [Cuirs tannés de beuf] [cuirs tannés de bœuf]",no,
toile chapelur,6h,,,[Cuir ; de beuf ; salé] [Cuirs de bœuf salée] [Cuirs de bœuf sales],no,
toile chapilas,6h,,,[Cuirs ; de bœuf ou vache],no,
toile chasselas,6h,,,[Cuirs ; de bœuf et vache ; aprêtés],no,
toile chille,,,,[Cuirs de Bœuf tannés en poil],no,
toile chitte,,,,[Cuirs; de beuf; Illinois],no,
toile Cholet,6h,,,[Cuir de bœufs corroyés] [Cuirs ; de beuf ; corroïés] [Cuirs ; de beuf ; corroyés] [Cuirs de bœufs corroyés],no,
toile cholette,6h,,,[Cuirs de bœuf ; apretés demi pièce],no,
toile cirée,6h,,,"[Cuirs ; A prêter ; De bœufs] [Cuirs ; Apprêtés ; De bœufs] [Cuirs apprêtés, de bœufs] [Cuirs ; de beuf ; aprestée] [Cuirs ; de beuf ; aprestés] [Cuirs ; de beuf ; represtés] [Cuirs ; de bœuf ; apprêtés] [Cuirs ; de bœuf ; apretées] [Cuirs ; de bœuf ; apretés] [Cuirs ; de bœuf ; aprêtés] [Cuirs ; de bœuf apretés] [Cuirs de beuf aprêtés] [Cuirs de bœuf apprêtés] [Cuirs de bœuf apretés] [Cuirs de bœuf aprêtés] [Cuirs de bœuf apretez] [Cuirs de bœufs apprêtés] [Cuirs de bœufs aprêtés]",no,
toile cirée et de crin et gommée,,,,[Cuir de beuf] [cuir de bœuf] [Cuire de bœuf] [Cuirs ; de bœuf] [Cuirs ; de bœufs] [cuirs de beuf] [cuirs de boeuf] [cuirs de bœuf] [Cuirs de bœuf] [Cuirs de bœufs] [Cuirs de Bœufs] [Cuirs; de beuf],no,
toile cirée et gommée,6h,,,[cuirs d'Irlande],no,
toile cirée et lustrée,,,,[cuirs d'Espagne dit Maroquin],no,
toile cirée et peinte,,,,[cuirs d'Espagne],no,
toile claire,,,,[Cuirs ; d'empeigne],no,
toile cochelis,,,,[Cuirs ; d'asne] [Cuirs ; d'asnes] [Cuirs d'ane] [Cuirs d'asne],no,
toile coffres,,,,[Cuirs ; corroyés ; de vaches] [Cuirs ; Corroyés de vaches] [Cuir ; de vache ; corroyé] [Cuir ; de vache ; corroyés] [Cuir de vache corroyé] [Cuir de vache corroyés] [Cuirs ; de Nache coroiés] [Cuirs ; de vache ; carroiés] [Cuirs ; de vache ; coroiés] [Cuirs ; de vache ; coroïes] [Cuirs ; de vache ; coroyés] [Cuirs ; de vache ; corroïées] [Cuirs ; de vache ; corroies] [Cuirs ; de vache ; corroiés] [Cuirs ; de vache ; corroïes] [Cuirs ; de vache ; corroïés] [Cuirs ; de vache ; corroyés] [Cuirs ; de vache corroyés] [Cuirs ; de vaches ; coroyés] [Cuirs ; de vaches ; corroyés] [Cuirs ; de vaches corroyés] [Cuirs de vache ; corroyés] [Cuirs de vache corroyé] [Cuirs de vache corroyes] [Cuirs de vache corroyés] [Cuirs de vaches corroyées] [Cuirs de vaches corroyés],no,
toile colette,6h,,,[Cuirs ; corroiés] [Cuirs ; corroyés] [Cuirs corroyés] [Cuirs ; Corroyés divers],no,
toile commune,6h,,,[Cuirs brut tanné],no,
toile commune de basin,6g,,,[Cuirs ; blancs],no,
toile commune de coton,6g,,,[Cuirs ; de vache ; apretées] [Cuirs de vache appretés] [Cuirs de vache aprestés] [Cuirs de vache apretés] [Cuirs de vache aprêtés],no,
toile commune de Lille,6h,,,[Cuirs ; En poil ; Aprêtés ; De bœuf],no,
toile commune de lin,6h,,,[2///Matières premières///Cuirs apprétés] [2///Matières premières///Cuirs appretés] [Cuirs ; appretés] [Cuirs ; apprêtés] [Cuirs apprêtés] [Cuirs apretés] [Cuirs aprêtés] [Cuirs apprêtés divers] [Cuirs divers apprêtés] [2///Matières première///Cuirs appretés],no,
toile commune écrue et grosse et de lin,6h,,,[Cuir] [Cuire] [cuirs] [Cuirs] [Cuirs de toutes] [Cuirs de toutes sortes] [Cuirs ; divers] [Cuirs ; Divers] [Cuirs divers],no,
toile commune et fine,6h,,,[Courdoüans en Bazans],no,
toile cordat,6h,,,[cordouan] [Cordouan] [cordouans] [Cordouans] [cordoüans] [coudoüans] [Cour douant] [Courdoans] [Courdoans en basane] [Courdouan] [courdoüan] [Courdoüan] [Courdouaner] [courdouans] [Courdouans] [courdoüans] [Courdoüans] [coürdoüans],no,
toile cordeillat,,,,[Peaux ; de cerfs et chevreuils en chamois],no,
toile coros,,,,[Chamois ; passé en jaune],no,
toile coros imitant celle des Indes,,,,[chamois],no,
toile corots,,,,[chagrin],no,
toile corots double,,,,[cartor Sec] [Castor ; sec] [Castor sec] [Castor Sec] [castors Secs],no,
toile corots simple,,,,[Castor ; gras] [Castor gras] [castors gras] [Castors gras],no,
toile cotonnade,6g,,,[Castor blanc],no,
toile cottray,6h,,,[bajanes tannées] [Bajannes ; tannées] [Balzannes tannées] [Basanes ; tannées] [Basanes tannées] [Basanne tanée] [Basannes tanées] [basannes tannées] [Basannes tannées],no,
toile coupis,,,,[Basanes de veau tannées],no,
toile coupis imitant celle des Indes,,,,[Basanes de mouton tannées],no,
toile couray,,,,[bajaunes] [Basane] [basanes] [Basanes],no,
toile Courtray,,,,[Banderolles ; de cuir],no,
toile coutil,6d,,,[Bandages de peau],no,
toile coutil commune,,,,[Pointes ; de queue de martre] [Pointes de queue et martre],no,
toile coutil de fil,6d,,,[Pelleterie ; en parchemin] [Pelletrie en Parchemin],no,
toile coutil de fil et de laine,,,,[Peaux ; Pelleteries diverses et apprêtés],no,
toile coutray,,,,[Pelleterie Sauvagine apretées],no,
toile crée,6h,,,[Peaux ; de veau ; en couleur] [Peaux ; de veau ; en couleurs] [Peaux ; de veaux ; en couleur],no,
toile crée large,,,,[Peau; de vache ; tannée],no,
toile créé large,,,,[peaux de veaux pour cordonniers],no,
toile crée margé,,,,[preaux de veaux secs pour caisses] [peaux de veaux secs pour caisses],no,
toile crée pièces de 50 aunes,,,,[Peaux ; de chien ; de mer ; passées ; en noir ; pour bottines],no,
toile cretonne,6h,,,[Peaux ; de veau ; passées en huille],no,
toile crin,6e,,,[Peaux ; de vaches ; passées ; en buffle],no,
toile crise,6h,,,[Peaux ; de veau ; passées] [Peaux de veau passées] [Peaux de Veaux pasé] [Peaux de veaux passées],no,
toile crue,6h,,,[Peaux ; de rat masqué] [Peaux ; de rat musqué] [Peaux de rats musqués],no,
toile crue grise et ardoisée,,,,[Peaux de moutons maroquinées] [Peaux de mouton maroquin],no,
toile crue pièces de 20 aunes,,,,[Peaux de chats marinées],no,
toile d'Agen,6h,,,[Peaux et pelleterie ; corroyées et tannées ; de veaux] [Peaux et pelleterie ; de veaux ; tannées et corroyées],no,
toile d'Allemagne,,,,[Peaux et pelleterie ; corroyées et tannées ; de moutons],no,
toile d'Allemagne et toile de Silésie,,,,[Peaux et pelleterie ; de moutons ; aprpêtées et tannées],no,
toile d'aman,6h,,,[Peaux ; de veau ; en pied],no,
toile d'amat,6h,,,[Peaux ; en parchemin] [peaux ; de parchemin] [Peaux ; de parchemin] [Peaux de parchemin] [Peaux de Parchemin],no,
toile d'Angers,6h,,,[Peaux ; de mouton ; en magie] [Peaux de mouton en mégie] [Peaux de moutons en mégie],no,
toile d'anne,,,,[Peaux de veau en mégie],no,
toile d'antal,6h,,,[Peaux ; de veaux ; en magie],no,
toile d'Antioche,6h,,,[Peaux; de veau; en grain],no,
toile d'Argouges,,,,[Peaux ; d'orignau en croute],no,
toile d'Artische,,,,[Peaux ; de veaux ; en croute],no,
toile d'azar,6h,,,"[Peaux ; de mouton , en couleur] [Peaux ; de moutons ; en couleur] [Peaux de mouton en couteur]",no,
toile d'ecripe,6h,,,[Peaux ; de moutons ; passées en couleur],no,
toile d'emballage,6h,,,[Peaux ; de mouton ; en chamois] [Peaux ; de mouton en chamois] [peaux de mouton en chamois] [Peaux de mouton en chamois] [peaux de moutons en chamois] [Peaux de mouton en charnois],no,
toile d'emballage de lin,6h,,,[Peaux ; de chèvre ; en chamois],no,
toile d'Ernée,6h,,,[Peaux ; de veau ; en chamois] [Peaux ; de Veau ; en Chamois] [Peaux ; de veau en chamois],no,
toile d'étoupes,,,,[Peaux de veau en blanc] [peaux de veaux en blanc],no,
toile d'étoupes de lin,6h,,,[Peaux de chevres ; en baudriers],no,
toile d'Hambrie,,,,[Peaux de petits gris doublures],no,
toile d'Irlande,6h,,,[peaux de veaux dit rousette] [peaux de veaux dit roussette],no,
toile d'Olonne,,,,[Peaux ; de tambourg] [Peaux ; de tambours],no,
toile damassée,6h,,,[Peaux ; Tannées ; De moutons] [Peaux ; de mouton ; tannees] [Peaux ; de mouton ; tannées] [Peaux ; de moutons ; tannées] [Peaux de mouton tannées] [Peaux de moutons tannées],no,
toile damassée de 1 aune,,,,[Peaux de moutons passées en blanc],no,
toile damassée de 2 1/2 aunes,,,,[Peaux de mouton teinte] [Peau de mouton teintes] [Peaux de moutons teintes],no,
toile damassée de 2 aunes,,,,[Peaux de outons rases],no,
toile damassée de 3 aunes large,,,,[Peaux de moutons prestées],no,
toile damassée de Caux,,,,[Peaux de moutons de passées],no,
toile de ??? lin,6d,,,[Peaux ; de moutons ; chamoisées],no,
toile de 15 aunes de Hollande,,,,[peaux de moutons appretées et en couleur],no,
toile de 3 aunes de largeur et en dessus,6h,,,[Peaux de Martre passées],no,
toile de 3 aunes pour nappes,,,,[Peaux ; de martre ; zebeline] [Peaux ; de martre ; Zebline] [Peaux ; de martre-zebeline] [Peaux ; de martres zebelines] [Peaux ; de martres zibelines],no,
toile de 30 aunes de Hollande,,,,[Peaux ; de loup ; de Moscevik],no,
toile de 36 aunes de Hollande,,,,[Peaux ; en laine],no,
toile de 7/8,,,,[Peaux ; fourrures] [Peaux ; fourure],no,
toile de balle,,,,[Peaux de dain passées],no,
toile de Barbezieux,6h,,,[Peaux de chevreuil pases] [Peaux de chevreuil passées] [Peaux de Chevreuil passées] [Peaux de chevreuilles passées],no,
toile de Barrois,6h,,,[Peaux ; de chevreuil en croute] [Peaux de chevreuil en croute],no,
toile de Barrois et Clinchamp,6h,,,[Peaux de chevreuil demie],no,
toile de basin,6g,,,[Peaux; De chevreaux mégissées],no,
toile de basin brodé et de coton et de fil,6i,,,[Peaux ; de chevreau ; aprestées] [Peaux ; de chevreau apretté] [Peaux ; de chevreaux ; apprêtées] [Peaux de chevreau aprestées] [Peaux de chevreau apretée] [Peaux de chevreau apretées] [Peaux de chevreaux aprestées] [Peaux de Chevreaux apretés] [Peaux de chevreux apretés],no,
toile de basin clair et uni,6g,,,[Peaux ; de chevres ; en couleur],no,
toile de basin de coton,6g,,,[Peaux ; de chevre ; passée] [Peaux ; de chevre ; passées] [Peaux ; de chèvre ; passées] [Peaux ; de chevres ; passées] [Peaux de chevre passées] [peaux de chevres passées] [Peaux de chèvres passées],no,
toile de basin de coton commune,6g,,,[Peaux fines de chèvre],no,
toile de basin de coton et de fil,6h,,,[Peaux ; de chevre ; tannées] [Peaux ; de chevres tannées],no,
toile de basin de coton et de fil et teinte,6h,,,[Peaux de chevres ; maroquinées],no,
toile de basin et de coutil,,,,[Peaux ; de chevres ; noires ; corroyées],no,
toile de basin étranger,,,,[Peaux ; de chèvre corroyées] [Peaux de chevre corroyées],no,
toile de basin fin,,,,[Peaux ; de chèvre ; diverses],no,
toile de basin gros,,,,[Peaux de Cheveaux aprettées],no,
toile de basin national,,,,[Peaux de chameau noires],no,
toile de basine,6h,,,[peaux de cerf habillées],no,
toile de Beaufort,6h,,,[Peaux ; de cerf en croute],no,
toile de Beauvais,6h,,,[Peaux de C apprétées],no,
toile de Bernay,,,,[peaux de buffle en chamois],no,
toile de bleue,6h,,,[peaux petites de barbarie],no,
toile de Bretagne,6h,,,[Peau ; d'ours ; teinte],no,
toile de Bretagne ??? brin,6h,,,[Peaux ; d'eventails] [Peaux ; d'éventails],no,
toile de Bretagne à carreaux,6h,,,[Peaux de mouton et agneaux passés],no,
toile de Bretagne à voile,7,,,[Peaux ; de veau ; couleur],no,
toile de Bretagne blanche,6h,,,[Peaux ; de veau ; corroïés ; en poil] [Peaux ; de veau ; corroyées ; en poil],no,
toile de Bretagne cirée,6h,,,[Peaux de mouton ; corroyées] [Peaux de mouton corroyés],no,
toile de Bretagne cottray,6h,,,[Peaux de dain corroyées],no,
toile de Bretagne crée,6h,,,[Peaux ; de mouton ; ordinaires],no,
toile de Bretagne crée large,6h,,,"[Peau ; de veaux ; bronzées] [Peaux , de veau ; bronzées] [Peaux ; de veau ; bronzees] [Peaux ; de veau ; bronzées] [Peaux ; de veaux ; bronzées] [Peaux de veau ; bronzées] [Peaux de veau bronzées]",no,
toile de Bretagne crue,6h,,,[Peaux ; blonzés] [Peaux ; bronzées],no,
toile de Bretagne d'aune,6h,,,[Peaux de mouton blanchies],no,
toile de Bretagne d'Olonne,6h,,,[peaux de moutons en blanc ou en gris],no,
toile de Bretagne de ???,6h,,,[Peaux blanches aprestées],no,
toile de Bretagne de ??? fil,6h,,,[Peaux ; blanche] [Peaux ; blanches] [Peaux blanche] [Peaux blanches],no,
toile de Bretagne de 4 fils,6h,,,[peaux de veaux en bazennes],no,
toile de Bretagne de 6 fils,6h,,,[peaux de veaux appretés pour cuir doré],no,
toile de Bretagne de balles,6h,,,[Peau ; de veau marin ; aprêtée],no,
toile de Bretagne de bas brin,6h,,,[Peaux ; de cerf ; aprestées] [Peaux ; de cerf apretées] [Peaux de cerf apretées] [Peaux de cerf aprêtées] [Peaux de cerf paretées] [Peaux de cerfs aprêtées],no,
toile de Bretagne de brin,6h,,,[Peaux ; d'Aigneaux ; en Mesquis],no,
toile de Bretagne de challe,6h,,,[peaux de veaux à paqueter],no,
toile de Bretagne de chanvre,6d,,,[paux a panches],no,
toile de Bretagne de couleur,6h,,,[Ouvrages ; peaux ; diverses],no,
toile de Bretagne de fil,6h,,,[Ouvrages ; de cuirs ; doré et argenté],no,
toile de Bretagne de halle,6h,,,[Cuirs ; en grain] [Cuirs ; en grains],no,
toile de Bretagne de haut brin,6h,,,[Cuir en Bassins],no,
toile de Bretagne de Locronan,6h,,,[cuirs dorés vieux],no,
toile de Bretagne de ménages,6h,,,[cuirs de Turqie],no,
toile de Bretagne de quatre fils,6h,,,[Cuirs de vaches acoutrées],no,
toile de Bretagne de rondelette,6h,,,[Cuirs ; de chevreaux],no,
toile de Bretagne de rosconne,6h,,,[bois scié en verres],no,
toile de Bretagne de Saint-???,6h,,,[Van ; à vanner] [Vans ; à vaner] [Vans ; à vanner] [Vans à ranner] [vans à vanner] [Vans à vanner] [Vaus a vaner],no,
toile de Bretagne de Savigny,6h,,,[Vaisselle ; de bois],no,
toile de Bretagne de sept huit,6h,,,[Tonneaux ; ruides] [tonneaux vuides] [Tonneaux vuides],no,
toile de Bretagne de St. Georges,6h,,,[tonneaux cerclés de fer],no,
toile de Bretagne diverse,6h,,,[tonneaux cercles de fer] [tonneaux cercles de fer ;],no,
toile de Bretagne écrue large,6h,,,[Tonneaux a l'eau cerclés de fer],no,
toile de Bretagne entre large,6h,,,[Bois ; en tailles ; à couvrir],no,
toile de Bretagne étroite,6h,,,"[Sparterie brute en auffe, joncs et roseaux] [Sparterie brute, en auffe, joncs et roseaux] [Sparterie brute, en aulle, joncs et roseaux]",no,
toile de Bretagne gracienne,6h,,,[Solives ; de sapin],no,
toile de Bretagne grise,6h,,,[Solives ; de 16 à 20 pieds],no,
toile de Bretagne gros brin,6h,,,[Solives],no,
toile de Bretagne large,6h,,,[Soliveaux de sapin de 9 pieds],no,
toile de Bretagne Locronan,6h,,,[Bois ; de Sapin en Soliveaux] [Solinaux de Sapin] [Solivaux de Sapin] [Soliveau de Sapin] [Soliveaux ; de sapin] [soliveaux de sapin] [Soliveaux de sapin] [Soliveaux de Sapin] [Soliveaux;de Sapin] [Solliveaux de Sapin] [solvicEau de Sapin] [Solivos de Sapin],no,
toile de Bretagne ouvrée,6h,,,[Soliveaux de hestre],no,
toile de Bretagne peinte,6h,,,[Soliveaux de Cipres],no,
toile de Bretagne rayée,6h,,,[Soliveaux de Chesnes de 15 A 20 pieds],no,
toile de Bretagne reforme,6h,,,[Soliveaux de chesne de 13 pieds],no,
toile de Bretagne rondelette,6h,,,[Soliveaux de Chesnes de 12 A 15 pieds],no,
toile de Bretagne rosconne,6h,,,[Soliveaux ; de Chesne; de 10 pieds],no,
toile de Bretagne rouge et bleue,6h,,,[Solivaux ; de chêne] [Soliveaux ; de chesne] [Soliveaux de Chêne] [Soliveaux de Chesne] [Soliveaux;de chesne] [Solliveaux de Chesne] [Solliveaux; de chesne],no,
toile de Bretagne rousse,6h,,,[Soliveaux de sapin ; de 6 a 7 pieds],no,
toile de Bretagne serpillière,6h,,,[Soliveaux ; de sapin ; de 50 pieds],no,
toile de brin,,,,[Soliveaux ; de sapin ; de 36 pieds],no,
toile de Bruges,,,,[Soliveaux de sapin de 34 pieds],no,
toile de caladaris,6h,,,[Soliveaux de sapin ; de 30 pieds],no,
toile de Cambrai,6h,,,[Soliveaux de sapin de 29 a 30 pieds],no,
toile de Cambrai et de lin,6h,,,[Soliveaux ; de sapin ; de 26 pieds] [Soliveaux de sapin de 26 pieds],no,
toile de Cambrai et de lin fin,6h,,,[Soliveaux ; de sapin ; de 25 pieds] [Soliveaux de sapin ; de 25 pieds],no,
toile de capiton,6f,,,[Soliveaux ; de sapin ; de 24 pieds],no,
toile de carreaux,,,,[Soliveaux; de 24 pieds],no,
toile de châles et de lin,6h,,,[Soliveaux de sapin de 22 pieds],no,
toile de challe,,,,[Soliveaux ; de sapin ; de 20 pieds] [Soliveaux de sapin ; de 20 pieds] [Soliveaux de sapin de 20 pieds] [Soliveaux de Sapin de 20 pieds de longueurs],no,
toile de chanvre,6d,,,[Solineaux ; de sapin ; de 18 pieds] [Soliveaux ; de sapin ; de 18 pieds] [Soliveaux de Sapin de 18 pieds de Long],no,
toile de chanvre ???,6d,,,[Soliveaux ; de 18 pieds],no,
toile de chanvre à voile,7,,,[Soliveaux de sapin ; de 18 a 20 pieds] [Soliveaux de Sapin de 18 A 20 pieds de Long],no,
toile de chanvre blanche,6d,,,[Soliveaux de 18 à 20 pieds de long],no,
toile de chanvre commune et de fil,6d,,,[Soliveaux ; de sapin ; de 17 pieds] [Soliveaux de sapin de 17 pieds],no,
toile de chanvre coutil,6d,,,[Soliveaux ; de sapin ; de 15 pieds] [Soliveaux de sapin de 15 pieds],no,
toile de chanvre d'emballage,6d,,,[Soliveaux de sapin ; de 15 a 20 pieds],no,
toile de chanvre d'étoupes,6h,,,[Soliveaux ; de sapin ; de 14 pieds] [Soliveaux de sapin de 14 pieds],no,
toile de chanvre de ???,6d,,,[Soliveaux ; de Sapin; de 12 pieds] [Soliveaux de sapin de 12 pieds],no,
toile de chanvre de coutil,6d,,,[Soliveaux ; de sapin ; de 10 pieds] [Soliveaux de sapin de 10 pieds],no,
toile de chanvre de Halle,,,,[Soliveaux d'acajou],no,
toile de chanvre dite coutil,6d,,,[Solivaux] [Soliveau] [Soliveaux] [Solliveaux] [Sotiveaux] [Soliveaux ; divers],no,
toile de chanvre écrue,6d,,,[Serrures de bois],no,
toile de chanvre en canevas,6h,,,[Sceaux ferre],no,
toile de chanvre et de fil d'épreuve,6h,,,[Scaux ; de bois] [Sceaux ; de bois] [Sçeaux ; de bois] [Sceaux de bois] [Sceaux de Bois] [Seaux ; de bois] [Seaux de bois],no,
toile de chanvre et de lin,6h,,,[seau cerclé de fer] [seaux cerclés de fer],no,
toile de chanvre et écrue et de lin,6h,,,[sapin en bloc],no,
toile de chanvre fine,6d,,,[Sapin ; comble] [Sapins ; comble],no,
toile de chanvre grise,6d,,,[Sapin ; anspects],no,
toile de chanvre grosse,6d,,,[Sapin ; à faire ; pioche] [Sapin ; à faire ; pioches] [Sapin ; a faire pioche] [Sapin ; à faire pioche] [Sapin a faire pioches] [Sapins ; à f. pioche] [Sapins ; à f.pioche] [Sapins ; à faire pioche] [Sapins ; a faire pioches] [Sapins ; a fre pioche] [Sapins ; à fre pioche] [Sapins ; à fre. Pioche] [Sapins ; à fre.pioche] [Sapins; à faire proche] [Sapin ; à pioches] [Sapins ; pioche],no,
toile de chanvre ouvrée,6d,,,[Sapin; à faire ; manche ; de pioche],no,
toile de chanvre peinte,6d,,,[Sapin a faire gaffe] [Sapin a faire gaffes] [Sapins ; à f.goffe] [Sapins ; à faire gaffe] [Sapins ; a faire gaffes] [Sapins ; à faire gasfe] [Sapins a faire gaffe],no,
toile de chanvre pour nègre,6d,,,[Sapin ; à faire ; echelle] [Sapin ; à faire ; échelle] [Sapin ; a faire echelle] [Sapin ; à faire échelle] [Sapins ; à f. échelle] [Sapins ; à faire ; echelle] [Sapins ; à faire ; Echelle] [Sapins ; a faire echelle] [Sapins ; à faire échelle] [Sapins ; a fre echelle] [Sapins ; à fre echelle] [Sapins ; à fre. ...chelle] [Sapins ; à fre.belle] [Sapins; à faire échelle],no,
toile de chanvre rousse,6d,,,[Sapin ; à faire ; comble] [Sapin ; à faire ; combles] [Sapin ; a faire combles] [Sapins ; à f. comble] [Sapins ; à faire ; comble] [Sapins ; à faire ; combles] [Sapins ; a faire comble] [Sapins ; à faire comble] [Sapins ; à fre comble] [Sapins ; a fre combles] [Sapins ; à fre.couble] [Sapins; à faire comble],no,
toile de chanvre trillin,6h,,,[Sapin ; à faire chevrons],no,
toile de chasse,,,,[sapins ; a batir],no,
toile de Château-Gontier,6h,,,[Salin] [Salins],no,
toile de Chauvreau,,,,[Ruches ; de pin],no,
toile de Cholet,6h,,,[Quarteaux ; cerclés ; de fer],no,
toile de Combourg,6h,,,[Bois ; en poutres et poutrelles],no,
toile de Comté,6h,,,[Poutres ; de sapin ; de 40 pieds],no,
toile de cordat,6h,,,[Poutre de sapin de 36 pieds],no,
toile de coton,6g,,,[poutres de sapin ; de 35 pieds] [Poutres de sapin ; de 35 pieds],no,
toile de coton ???,6g,,,[poutres de sapin ; de 32 pieds],no,
toile de coton à bas,6g,,,[Poutres ; de sapin ; de 30 pieds],no,
toile de coton à fleurs,6g,,,[Poutres ; de sapin ; de 25 pieds] [Poutres de sapin ; de 25 pieds],no,
toile de coton à imprimer,6g,,,[Poutres ; de chêne ; de 30 pieds] [Poutres de chesne ; de 30 pieds],no,
toile de coton à jamis,6g,,,[Poutres ; de chesne ; de 24 à 39 pieds],no,
toile de coton aman,6g,,,[Poutres de chesne] [pouttre de chesnes] [Bois ; en poutres ; de chêne],no,
toile de coton antoine,6g,,,[Poutres ; de 60 pieds],no,
toile de coton basin,6g,,,[poutres] [Poutres] [Bois de construction; En poutres] [Bois ; en poutre] [Bois ; en poutres],no,
toile de coton bisinette,6g,,,[Solives et poutrelles],no,
toile de coton blanche,6g,,,[Poutreaux ; de sapin] [Poutreaux de sapin],no,
toile de coton bleu,6g,,,[Poutreaux],no,
toile de coton brochée,6g,,,[Pointes ; de bois ; pour bâtir],no,
toile de coton commune,6g,,,[Pointes de bois],no,
toile de coton corroyée,6g,,,[Plats de sapin],no,
toile de coton cotonnette,6g,,,[Plats aBois] [Plats ; de bois] [Plats de Bois],no,
toile de coton d'Angleterre,6g,,,[Plateaux ; de bois] [Plateaux de bois],no,
toile de coton d'Antioche,6g,,,[planches sciées de long],no,
toile de coton de ???,6g,,,[Planches ; reciées] [planches sciées],no,
toile de coton de coton français,6g,,,[Planches ; refendues],no,
toile de coton de duvet,6i,,,[Planches ; p grenier],no,
toile de coton de France,6g,,,[planches pour faux],no,
toile de coton de Guinée,,,,[Planches de sapin petit] [Planches ; de sapin ; petites] [Planches de Sapin ; petite] [planches de sapin ; petites] [Planches de sapin petites],no,
toile de coton de juve,6g,,,[Planches ; petites] [Planches petites] [Planches Petites],no,
toile de coton de la Compagnie,6g,,,[Planches moyennes],no,
toile de coton de Rouen,6g,,,[Planches lourds],no,
toile de coton demitte,6g,,,[planches en poutres],no,
toile de coton des Indes,6g,,,[planches en faux],no,
toile de coton des Indes brodée,6g,,,[planches dites Noordschedelen de 15 à 16 pieds],no,
toile de coton dite armanie,6g,,,[planches dites Noordschedelen de 11 à 12 pieds],no,
toile de coton dite Guinée,6g,,,[planches dit feuillet et quartier],no,
toile de coton du Levant,6g,,,[Planches ; demies] [Planches; demi planche],no,
toile de coton du Piémont,6g,,,[Planches de Suise],no,
toile de coton en siamoise,6g,,,[Bois de sapin en planches resciées],no,
toile de coton escamitte,6g,,,[Planches ; de sapin ; refendues],no,
toile de coton et de fil,6h,,,[Planches de sapin ; pièce grenier] [Planches de sapin ; pour grenier],no,
