product,orthographic_normalization,note
Tissus de fleuret en étoffes et rubanneries,tissus ; de fleuret ; en étoffe ; et rubanerie,"cnrtl.fr : Fleuret : A.? Fil fait avec la matière la plus grossière de la soie. Le fond de cette étoffe est de fleuret (Ac.1798-1878). B.? TEXT., vieilli. Fleuret de coton, de laine, de fil. Première qualité du coton, de la laine, du fil. (Ds d"
Rubannerie et passementerie de diverses matières (celles de soie et dorures exceptées),rubanerie ; et passementerie ; diverse : soie ; et dorure exceptées,
Pierres en meules à aiguiser et à taillandier,pierre ; meule ; à aiguiser ; et à taillandier,
Peaux pelleteries,peau ; pelleterie,
"Peaux diverses, de veau, mouton et chèvre, brutes",peau ; diverses ; de veau ; mouton ; et chèvre ; brute,
"Parfumeries mélées en bois odorans, ambre gris, muse, eaux de senteur, essences et huiles odorantes, encens, myrre, poudre et pommade","parfumerie ; mêlée ; en bois odorant, ambre gris, eau de senteur, essence et huile odorantes, encens, myrre, poudre et pommade",
"Ouvrages de sparterie commune, cordages de jonc, paille, roseaux et écorces de bois","ouvrage ; de sparterie commune, cordage de jonc, roseau et écorce de bois...",
"Ouvrages de bois en avirons, balais, boissellerie, futailles, et vannerie en osier et autres bois","ouvrage ; de bois ; aviron, balai, futaille, vannerie et osier etc.",
"Objets de collection en peinture, sculpture, gravure et histoire naturelle","objet ; de collection ; sculpture, d'histoire naturelle, peinture et gravure",
"Mercerie fine, aiguilles, épingles, &c","mercerie ; fine ; aiguille, épingle",
"Joncs pour cannes, bambous et rotins","jonc ; pour canne, bambou et rotin",
"Instrumens, machines et mécaniques propres aux arts et aux sciences","Instrument, machine et mécanique ; pour les art et les science",
"Bijouterie, diamans, perles et pierres fines non montés","bijouterie ; diamant, perle et pierre fine ; non montés",
Tissus de fil de lin et de chanvre en toile de toute sorte,tissus ; de fil ; de lin ; et de chanvre ; en toile de toute sorte,
"Soieries en étoffes, rubans, crêpes et passementerie",soieries ; en étoffes ; gaze ; crêpe ; rubans ; et passementerie,"cnrtl.fr : GAZE :Tissu très fin et très léger, de coton, de soie ou de lin, à l'aspect presque transparent, dont les fils de trame sont fortement liés à la chaîne. CREPE : Étoffe généralement de laine ou de soie, plus ou moins légère et transpa"
Cotonnades en toile et nankin,cotonnade ; toile et nankin,
Fers de toute sorte,fer ; divers,
Tournesol préparé ou orseille,Tournesol ; préparé ; ou orseille,
Azur et cobalt,azur et cobalt,
Noirs communs de fumée et autres,noir ; commun ; de fumée,
Lâtharge,litharge,
"Crayons fins en pastel, laque fine et lack-lack des Indes","crayon ; fin ; de pastel, laque et lack-lack des Indes",
Avélanèdes,avelanède,
Marbre et albâtre brut et poli,Marbre et albâtre ; brut et poli,
"Graines grasses de chanvre, colza, lin et rabette","graine ; grasse de chanvre, lin, colza et rabette",
"Bois ouvrés, divers",bois ; ouvré divers,
Noix de gales,noix ; de galle,
Graine jaune d'Avignon ou nerprun,graine ; jaune d'Avignon ou neprun,
"Alquifoux, mine de plomb ou graphite","alquifoux, mine de plomb ou graphite",
Tabacs en feuilles,tabac ; en feuilles,
"Sparterie brute, en auffe, joncs et roseaux",sparterie ; brute ; en auffe ; joncs ; et roseaux,"cnrtl.fr : sparterie : Travail artisanal et fabrication d'objets tressés ou confectionnés avec des fibres végétales souples et résistantes provenant du sparte et de diverses plantes (jonc, crin végétal, raphia, etc.)"
"Matériaux pour les constructions, chaux, pierres, plâtre, &c","matériaux ; de construction ; chaux, pierre, plâtre, ardoise, etc.",
"Graines de prairie, trèfle et luzerne","graine ; de prairie, de trèfle et luzerne",
"Fourrages en foin, paille, sons, &c","fourrage ; paille, son, foin",
Charbons de terre et de bois,charbon ; de bois et de terre,
"Cendres soudes, natron et salin","cendre ; soude, natron et salin",
"Bois des îles et des Indes, pr ébénisterie et marquet.",bois ; d'Inde et des îles ; pour l'ébénisterie et marqueterie,
Bois de constructions,bois ; de construction,
"Agaric amadouvier, brut et préparé","agaric amadouvier, brut et préparé",
"Bierre, cidre et vinaigre","bière, cidre et vinaigre",
Farine pâtes d'Italie,farine et pâte ; d'Italie,
"Laines de chèvron, poil de chameau et vigogne","laine ; de chevron, poil de chameau et vigogne",
Huile d'olive à manger,huile ; d'olive à manger,
Fruits secs de toutes sortes,fruit ; de toute sorte,
Fruits frais principalement en citrons et oranges,fruit ; frais ; orange ; citron,
Farine et biscuits de mer,farine et biscuit de mer,
Sels de Glauber,sel ; de Glauber,Sel de Glauber : sulfate de Sodium
"Plantes, herbes, racines et fruits médicinaux",plante ; herbe ; racine ; fruit ; médicinal,
"Pierres et grès taillés, meules",pierre ; meule ; en grès taillé,
Peaux brutes et apprétées,peau ; brute et apprêtée,
Ouvrages sparterie,ouvrage ; sparterie,
"Ouvrages en plaqué, cuivre doré, argenté","ouvrage ; en cuivre doré, argenté, plaqué",
Ouvrages de passementeries,ouvrage ; de passementerie,
Ouvrages vannerie d'osier,ouvrage ; vannerie d'osier,
Ouvrages boissellerie,ouvrage ; boissellerie,
Ouvrages de bois simple et doré,ouvrage ; de bois ; simple et doré,
"Objets d'arts, histoire naturelle, peinture et grav.","objet ; d'art, d'histoire naturelle, peinture et gravure",
Mercerie bimbeloterie,mercerie ; bimbeloterie,
Bijouterie et perles fines montées et non montées,"bijouterie ; diamant, perle et pierre fine ; monté ou non monté",
Albâtre et marbres ouvrés,albâtre et marbre ouvré,
Tissus de crin,tissu ; de crin,
"Cotonnades ; gazes, crêpes et tulles","cotonnade ; gaze, crêpe et tulle",
Toilerie ; toiles peintes et teintes en fil,toilerie ; toiles ; peintes ; et teintes ; en fil,
Toilerie ; toiles mouchoirs blancs et teints,toilerie ; toiles ; mouchoirs ; blancs ; et teints,
Toilerie ; toiles linge de table,toilerie ; toiles ; linge de table,
Toilerie ; toiles delin de toutes sortes,toilerie ; toiles ; de lin ; de toutes sortes,
Toilerie ; toiles de coutil,toilerie ; toiles ; de coutil,"cnrtl.fr : Coutil : Toile de chanvre, de lin ou de coton, d'un tissage croisé, fortement serré, propre à faire des tentes, des enveloppes de matelas, d'oreillers, etc., ou à confectionner certains vêtements."
Toilerie ; toiles à matelas à carreaux,toilerie ; toiles ; à carreaux ; pour matelas,
Tissus de fil et coton mélangés,tissus ; de fil ; et coton mélangé,
Tissus de fleuret,tissus ; de fleuret,"cnrtl.fr : Fleuret : A.? Fil fait avec la matière la plus grossière de la soie. Le fond de cette étoffe est de fleuret (Ac.1798-1878). B.? TEXT., vieilli. Fleuret de coton, de laine, de fil. Première qualité du coton, de la laine, du fil. (Ds d"
"Tissus de soie, coton et laine mélangés",tissus ; de soie ; coton ; et laine ; mélangés,
Ouvrages riches ; étoffes riches en or et argent,ouvrage ; riche ; étoffe riche en or et argent,
Lainages ; schals de laine et poil,lainage ; schal ; de laine et poil,
Lainages ; étoffes fines et casimirs,"lainage ; étoffe ; fine, en casimir",
Lainages ; draperies,lainage ; draperie,
Cotonnades ; toiles diverses et nankin,"cotonnade ; toile diverse, nankin",
"Cotonnades ; étoffes, draps et velours","cotonnade ; étoffe, drap et velours",
Cotonnades ; couvertures,cotonnade ; couverture,
Rubannerie diverse ordinaire,rubanerie ; ordinaire ; diverse,
Verdet et vert-de-gris,verdet ; et vert-de-gris,"cnrtl.fr : Verdet : Acétate de cuivre plus ou moins basique préparé avec du marc de vendange acétifié et du cuivre en lames, utilisé notamment en teinture, peinture et viticulture (contre le mildiou) (d'apr. Duval 1959). Vert-de-gris : Dépôt ve"
"Craie, ocre brun et rouge","craie, ocre brun et rouge",
Terres de marne et autres engrais,terres ; de marne ; et autres engrais,
Huiles d'olive commune,huile ; d'olive ; commune,
"Laines fines filées, blanches et teintes","laine ; fine, blanche, filée et teinte",
"Fils de lin et de chanvre retors, teints et à coudre","fil ; de lin et de chanvre ; retord, teint et à coudre",
Epicerie sucre en pain sorti avec prime,épicerie ; sucre ; en pain ; sorti avec prime,
Epicerie sirop mélasse,épicerie ; sirop ; mélasse,
Vins de Bordeaux fins en bouteilles,vin ; de Bordeaux ; fins ; et en bouteilles,
Vins de Bordeaux ordinaires,vin ; de Bordeaux ; ordinaires,
Vins divers fins en bouteilles,vin ; divers ; fins ; en bouteilles,
Vins divers ordinaires,vin ; divers ; ordinaires,
Fruits et légumes confits et marinés,fruit et légume ; confit ; mariné,
Fruits confits au sucre et confitures,fruit ; confit ; confiture et au sucre,
Farine pâtes et vermicelle,"farine, pâte et vermicelle",
Chairs volailles et gibier,chair ; volaille et gibier,
Munitions de guerre,munition de guerre et projectile,
Azur et cobalte,azur et cobalt,
Terre de pipes,terre ; de pipe,
Ecorces de bois pour les tanneries,écorce ; à tanner,
Laines mérinos lavées,laine ; mérinos lavée,
