product,orthographic_normalization,note
Quincaillerie laiton filé noir et jaune pour épingle,quincaillerie ; de laiton ; filé ; noir ; et jaune ; pour épingle,
Noix pour peinture,noix ; pour la peinture,
Bleu de Prusse et lazulize,bleu de Prusse et lazulite,
Bière et cidre,bière et cidre,
"Fruits frais, olives",fruit ; frais ; olive,
Sels glauber,sel ; de Glauber,Sel de Glauber : sulfate de Sodium
Gommes accacia,gomme ; d'acacia,
Embarcations et agrés,embarcation ; avec agrès,
"Cendres potasse, védasse, et gravelées","cendre ; potasse, vedasse et gravelée",
Rassades et autres vitrifications,rassade ; et autres vitrifications,"Encyclopédie, Diderot & d'Alembert : RASSADE, s. f. (Verroterie.) espece de verroterie, ou petits grains de verre de diverses couleurs, dont les Negres des côtes d'Afrique, & les peuples de l'Amérique se parent, & qu'on leur donne en échange de"
Manganèse,manganèse,
"Bois perches, échalas, éclisses","bois ; perche, échalas, éclisse",
Bois feuillards,bois ; feuillard,
Soies filoselle et bourre de soie,soie ; de filoselle ; et bourre de soie,"cnrtl.fr : FILOSELLE : Résidu des cocons de vers à soie qui, mélangé à du coton, était autrefois utilisé dans la confection de rideaux, de tentures ou d'objets de bonneterie."
Farines gruau,farine ; en gruau,
"Joncs pour cannes, bambous et rotains","jonc ; pour canne, bambou et rotin",
Farines pâtes d'Italie,farine et pâte ; d'Italie,
Gommes copal,gomme ; copal,
Fleurs et feuilles d'oranger,fleur ; d'oranger,
Vif argent ou mercure,vif d'argent ; ou mercure,
"Plantes, herbes, racines, etc.",plante ; herbe ; et racine,
Plumes d'autruche et de vautour,plume ; d'autruche ; et de vautour,
"Peaux diverses de veau, mouton et chèvre, brutes",peau ; diverses ; de veau ; mouton ; et chèvre ; brute,
Ouvrages de sparterie,ouvrage ; de sparterie,
"Ouvrages de bois, en boissellerie et futailles",ouvrage ; de bois ; boissellerie et futaille,
Cordages de jonc,cordage ; de jonc,
Colles ordinaires,colle ; ordinaire,
"Bijouterie : diamants, perles et pierres fines","bijouterie ; diamant, perle et pierre fine",
"Rubannerie, passementerie diverse (celle de soie exceptée)",rubanerie ; et passementerie ; diverse ; soie exceptée,
"Soieries en étoffes, rubans, passementerie, etc.",soieries ; en étoffes ; rubans ; passementerie ; etc,"cnrtl.fr : Passementerie : Ensemble des ouvrages de fil (généralement d'or ou de soie) servant à orner les vêtements, en particulier les équipements militaires et les vêtements sacerdotaux, certaines pièces de mobilier et, autrefois, les voitur"
Vermillon et Cinabre,vermillon ; et cinabre,
Crayons de pastel,crayon ; de pastel,
"Sparterie brute, en aulle, joncs et roseaux",sparterie ; brute ; en auffe ; joncs ; et roseaux,"cnrtl.fr : sparterie : Travail artisanal et fabrication d'objets tressés ou confectionnés avec des fibres végétales souples et résistantes provenant du sparte et de diverses plantes (jonc, crin végétal, raphia, etc.)"
Rogues de poisson,rogue ; de poisson,"Encyclopédie, Diderot & d'Alembert : Rogue, Rave ou Resure, terme de péche, est une sorte d'appât dont les pêcheurs se servent pour attirer le poisson, & le prendre ensuite lorsqu'il a mordu l'appât;"
Matériaux pour les constructions,matériaux ; de construction,
Cuirs non apprétés,cuir ; non apprêté,
Cires,cire,
Agaric amadouvier,agaric amadouvier,
"Laines de chevron, poils de chameau",laine ; de chevron et poil de chameau,
"Girofle, muscade",girofle et muscade,
Eaux-de-vie et liqueurs,eau ; de vie ; et liqueur,
"Fruits frais, amandes",fruit ; frais ; amande,
Farines et biscuits,fine et biscuit,
Fleurs d'oranger et de lavande,fleur ; d'oranger et de lavande,
"Térébenthine (pâte, huile et essence de)",térébenthine ; en pâte ; huile ; et essence,"cnrtl.fr : térébenthine : Résine semi-liquide, très odorante, que l'on recueille par gemmage de certains conifères et des térébinthes et dont on tire de nombreux produits (baumes, collophane, vernis, cires) et des substances pharmaceutiques."
Substances et produits chimiques,substances ; et produits chimiques,
Sels de saturne,sel ; de saturne,
"Racinces, plantes, herbes médicinales",racine ; plante ; herbe ; médicinale,
Verrerie bouteilles,verrerie ; en bouteilles,
Verrerie ordinaire,verrerie ; ordinaire,
"Verrerie, cristaux",verrerie ; en cristaux,
Plumes d'autruche et autres de parure,plume ; d'autruche ; et autre de parure,
Peaux brutes et apprêtées,peau ; brute et apprêtée,
"Ouvrage en plaqué, cuivre doré, argenté",ouvrage ; en plaqué ; cuivre doré ; argenté,
Ouvrages de peaux gants,ouvrage ; gant ; de peau,
Ouvrages de peaux divers,ouvrage ; de peau divers,
Ouvrages de passementerie ordinaire,ouvrage ; de passementerie ; ordinaire,
Ouvrages de modes fleurs artificielles,ouvrage ; de mode ; en fleur artificielle,
Ouvrages de cuir cordonnerie,ouvrage ; de cuir ; en cordonnerie,
Ouvrages de cuir en sellerie,ouvrage ; de cuir ; en sellerie,
Ouvrages de bois vannerie d'osier,"ouvrage ; de bois, vannerie, d'osier",
"Ouvrages de bois, boissellerie",ouvrage ; de bois ; boissellerie,
"Objets d'arts, histoire naturelle, tableaux et grav.s","objet ; d'art, d'histoire naturelle, peinture et gravure",
Faïence poterie de grès et de terre,"faïence, poterie ; de grès et de terre",
Embarcations et autres objets de marine,embarcation et autre objet de marine,
Corail brut et taillé,corail ; brut et taillé,
Carton ouvré,carton ; ouvré,
Bijouterie et perles fines,"bijouterie ; diamant, perle et pierre fine",
Albâtres et marbres ouvrés,albâtre et marbre ouvré,
"Cotonnades ; gazes, crèpes et tulles","cotonnade ; gaze, crêpe et tulle",
"Toilerie ; toiles de fil, peintes, teintes et imprimées",toilerie ; toiles ; de fil ; peintes ; teintes ; et imprimées,
Toilerie ; toiles de lin batiste et linon,toilerie ; toiles ; de lin ; batiste ; et linon,
Toilerie ; toiles en mouchoirs de fil,toilerie ; toiles ; en mouchoirs ; de fil,
Toilerie ; toiles mélées de lin et de chanvre,toilerie ; toiles ; mêlées ; de fil ; et coton,
"Ouvrages riches ; dentelles, galons, passementerie","ouvrage ; riche ; dentelle, galon, passementerie",
Soieries ; étoffes diverses,soieries ; étoffes ; diverses,
Lainages ; mouchoirs et schals,lainage ; schal et mouchoir,
Lainages ; draperies diverses,lainage ; draperie ; diverse,
"Lainages ; couvertures, tapisseries","lainage ; couverture, tapisserie",
"Cotonnades ; toiles peintes, indiennes et siamoises","cotonnade ; toile peinte, indienne et siamoise",
"Cotonnades ; toiles diverses, bazin, nankin","cotonnade ; toile diverse, basin, nankin",
"Cotonnades ; étoffes, draps, velours, couvertures","cotonnade ; étoffe, drap, velours et couverture",
Cotonnades ; bonneterie,cotonnade ; bonneterie,
"Dentelles de soie, dite blonde",dentelle ; de soie ; blonde,
"Craie, octe brun et rouge","craie, ocre brun et rouge",
Couleurs et teintures diverses préparées,couleur et teinture ; diverse ; préparée,
Terres et argiles propres aux engrais,terres ; et argiles ; propres aux engrais,
Huiles d'oeillette ou de pavot,huile ; d'oeillette et de pavot,
Ecorces pour les tanneries,écorce ; à tanner,
Laines fines mérinos en suint,laine ; fine mérinos en suint,
Coton en rame,coton ; en rame,
Denrées coloniales ; sirop-melasse,denrée coloniale ; sirop ; mélasse,
Laines fines mérinos lavées,laine ; fine mérinos lavée,
Subsistances ; fruits et légumes confits et marinés,subsistances ; fruits ; et légumes ; confits ; et marinés,
"Matériaux de construction tels que chaux, pierres, plâtres","matériaux ; de construction ; chaux, pierre, plâtre, ardoise, etc.",
Huiles de graines ordinaires,huile ; de graine ; ordinaire,
Cuirs et peaux de bœufs et de vaches apprêtés,cuir et peau ; de bœuf et de vache ; apprêté,
Cires blanche et jaune non ouvrées,cire ; jaune et blanche ; non ouvrée,
Cendres propres aux manufactures,cendre ; pour manufacture,
Bois sciés en planches,bois ; scié en planche,
Bois ouvrés,bois ; ouvré,
"Laines déchet de laine, bourre, lanisse, tontisse","laine ; déchet, tontisse, bourre, lanisse",
Laines fines filées et teintes,"laine ; fine, filée et teinte",
"Fils de lin et de chanvre retords, teints et à coudre","fil ; de lin et de chanvre ; retord, teint et à coudre",
Conton filé,coton ; filé,
Denrées coloniales ; épiceries en muscade et poivre,denrée coloniale ; épicerie ; muscade et poivre,
"Denrées coloniales ; sucres, cacao, café","denrée coloniale ; sucre, cacao, café",
Boissons ; vinaigre,boisson ; vinaigre,
Boissons ; vins de liqueurs,boisson ; vin de liqueur,
Boissons ; vins de Bordeaux,boisson ; vin de Bordeaux,
Boissons ; vins divers ordinaires,boisson ; vin divers ordinaire,
Boissons ; liqueurs,boisson ; liqueur,
Boissons ; eaux-de-vie,boisson ; eau-de-vie,
Boissons ; bierre et cidre,boisson ; bière et cidre,
Subsistances ; sel,subsistances ; sel,
Subsistances ; riz,subsistances ; riz,
Subsistances ; provisions de bouche réunies,subsistances ; provisions ; de bouche ; réunies,
Subsistances ; poissons de toutes sortes,subsistances ; poissons ; de toute sorte,
Subsistances ; œufs,subsistances ; œufs,
Subsistances ; moutarde,subsistances ; moutarde,
Subsistances ; miel,subsistances ; miel,
Subsistances ; légumes divers,subsistances ; légumes ; divers,
Subsistances ; huile d'olive,subsistances ; huile ; d'olive,
Subsistances ; fruits confits à l'eau-de-vie,subsistances ; fruit ; confit à l'eau-de-vie,
Subsistances ; fruits confits au sucre et confitures,subsistances ; fruit ; confit au sucre et confiture,
Subsistances ; fruits secs amandes,subsistances ; fruits secs ; amandes,
Subsistances ; fruits secs divers,subsistances ; fruits secs ; divers,
Subsistances ; fruits frais divers,subsistances ; fruits frais ; divers,
Subsistances ; fromage,subsistances ; fromage,
"Subsistances ; farine, pâtes d'Italie et vermicelle",subsistances ; farine ; pâtes d'Italie ; et vermicelle,
Subsistances ; farine et biscuits de mer,subsistances ; farine ; et biscuits de mer,
Subsistances ; chairs volailles et gibier,subsistances ; chairs ; volailles ; et gibier,
Subsistances ; chairs fraîches et salées,subsistances ; chairs ; fraîches ; et salées,
Subsistances ; beurre,subsistances ; beurre,
Subsistances ; bestiaux,subsistances ; bestiaux,
Gommes sénégal,gomme ; de Sénégal,
Gommes élastique,gomme ; élastique,
Argent vif et mercure,argent vif et mercure,
"Plantes, herbes, racines, &c",plante ; herbe ; et racine,
Quincaillerie laiton filé noir et jaune,quincaillerie ; de laiton ; filé ; noir ; et jaune,
"Munitions de guerre, projectiles",munition de guerre,
Dorure fausse en or et argent,dorure ; fausse ; en or et argent,
Calamine grillée,calamine ; grillée,
Azur et Cobalt,azur et cobalt,
Toiles linge de table,toile ; linge de table,
Toiles cirées et de crin,toile ; de crin ; cirée,
Chapeau de paille et d'écorce de bois,chapeau ; de paille et d'écorce de bois,
"Toiles de coton, nankin",toile ; de coton ; nankin,"cnrtl.fr : Nankin : Toile de coton à tissu serré et solide, de couleur jaune clair, fabriquée originairement à Nankin, puis aux Indes et en Europe, utilisée principalement dans la confection masculine."
Bleu de Prusse et lazulite,bleu de Prusse et lazulite,
Pierres et meules à aiguiser,pierre ; meule ; à aiguiser,
Cornes de divers bestiaux,corne ; diverse ; de bestiau,
"Bijouterie : diamans, perles et pierres fines","bijouterie ; diamant, perle et pierre fine",
Bâtimens de mer et agrès,bâtiment de mer et agrès,
Amadou et agaric amadouvier,amadou et agaric amadouvier,
Rubans et passementerie de diverses matières,ruban et passementerie ; divers,
Huiles (marc d'olive ou amurca),huile ; marc d'olive ou amurca,
Graines de prairie,graine ; de prairie,
Sparterie,sparterie,"cnrtl.fr : sparterie : Travail artisanal et fabrication d'objets tressés ou confectionnés avec des fibres végétales souples et résistantes provenant du sparte et de diverses plantes (jonc, crin végétal, raphia, etc.)"
Matériaux propres à la construction,matériaux ; de construction,
"Cendres soudes, natron et salins","cendre ; soude, natron et salin",
"Cendres gravelées, potasse, vedasse, &c","cendre ; potasse, vedasse et gravelée, etc.",
Bois des îles et des Indes de teinture,bois ; d'Inde et des îles ; pour la teinture,
"Bois des îles et des Indes, d'ébénisterie",bois ; d'Inde et des îles ; pour l'ébénisterie,
"Eaux-de-vie, rum et tafia",eau ; de vie ; et rhum et tafia,
"Farines, pâtes, gruaux et biscuit","farine, gruau, biscuit et pâte",
"Vitriol, huile et essence vitrioliques",vitriol ; huile ; et essence ; vitrioliques,
"Térébenthine en pâte, huile et essence",térébenthine ; en pâte ; huile ; et essence,"cnrtl.fr : térébenthine : Résine semi-liquide, très odorante, que l'on recueille par gemmage de certains conifères et des térébinthes et dont on tire de nombreux produits (baumes, collophane, vernis, cires) et des substances pharmaceutiques."
Médicamens composés,médicament ; composé,
Ouvrages de cuivre simple,ouvrage ; de cuivre ; simple,
"Ouvrages de ferblanterie, tole vernie",ouvrage ; de ferblanterie et tôle vernie,
"Herbes, plantes, racines, fleurs, &c","herbe, plante, racine, fleur",
Verrerie Bouteilles,verrerie ; en bouteilles,
Verrerie cristaux,verrerie ; en cristaux,
"Pierres et grès taillés, meules, &c",pierre ; meule ; etc. ; en grès taillé,
Parfumerie huiles et essences,parfumerie ; huile et essence,
Parfumerie eaux de senteur,parfumerie ; eau de senteur,
Papiers peints,papier ; peint,
Papiers divers,papier ; divers,
Ouvrages de tabletterie,ouvrage ; de tabletterie,
Ouvrages dorures fausses,ouvrage ; dorures ; fausse,
"Ouvrages dorés, argentés et plaqués","ouvrage ; doré, argenté et plaqué",
Instrumens pour les sciences et les arts,instrument ; pour les art et les science,
Faïence,faïence,
Toilerie ; Toiles mouchoirs,toilerie ; toiles ; mouchoirs,
Toilerie ; Toiles peintes et teintes,toilerie ; toiles ; peintes ; et teintes,
Toilerie ; Toiles de coutil à carreaux,toilerie ; toiles ; de coutil ; à carreaux,"cnrtl.fr : Coutil : Toile de chanvre, de lin ou de coton, d'un tissage croisé, fortement serré, propre à faire des tentes, des enveloppes de matelas, d'oreillers, etc., ou à confectionner certains vêtements."
Toilerie ; Toiles batiste et linon,toilerie ; toiles ; batiste ; et linon,
Toilerie ; Toiles de lin,toilerie ; toiles ; de lin,
Toilerie ; Toiles de chanvre,toilerie ; toiles ; de chanvre,
Toilerie ; Toiles linge de table,toilerie ; toiles ; linge de table,
Toilerie ; Toiles mélées de lin et de chanvre,toilerie ; toiles ; mêlées ; de fil ; et coton,
Ouvrages de diverses matières,ouvrage ; divers,
Ouvrages riches ; Etoffes en or mélées de soie,ouvrage ; riche ; étoffe en or mêlée de soie,
"Ouvrages riches ; Dentelle, galons et passementerie","ouvrage ; riche ; dentelle, galon, passementerie",
Soieries ; Etoffes diverses,soieries ; étoffes ; diverses,
Lainages ; Mouchoirs et schals,lainage ; schal et mouchoir,
Lainages ; Draperies diverses,lainage ; draperie ; diverse,
"Cotonades ; Toiles peintes, indiennes et siamoises","cotonnade ; toile peinte, indienne et siamoise",
