grain_type,simplification
,ouvrage riche soierie et dorure
,ouvrage riche soierie et dorure fine
,ouvrage de soulier couvert en étoffe de soye pour femme
,ouvrage de soulier pour enfant
,ouvrage de soulier pour femme
,ouvrage de soulier pour homme
,ouvrage sparterie
,ouvrage vannerie d'osier
,oxyde de plomb
,padou
,padou de fil
,padoue de fleur et soie
,paillasson en fibre
,paillasson
,paille
,paille d'herbe
,paille hachée
,ouvrage de paille
,or paillette
,argent paillette
,or et argent paillette
5,pain
,pain à cacheter
5,pain d'épice
5,pain de grain froment
,pain de graine de lin
,pain de navette
,pain de navette en poudre
5,pain de grain seigle
,palangre
,palme
,palme en feuille
,paneston
,panier
,panier d'habit
,panier d'oseille
,panier de caudré
,panier de coudre
,panier de cuivre
,panier de jonc
,panne d'Amiens
,panne écarlatte
,panne de soie
,panne ordinaire
,"panne, pluche et trippe"
,panne poil
,panneau
,pantalon
,pantalon en laine
,pentoufle brodée
,paon
,papeterie
,papeterie papier à écrire toute espèce
,papeterie papier commun et à enveloppe
,papeterie papier peint et à tapisserie
,papeterie registre en blanc
,papier
,papier à cartouche
,papier à doublage
,papier à envelopper
,papier à éventail
,papier à faire carte
,papier à gargousse
,papier à image
,papier à imprimer
,papier à imprimer et à faire carte
,papier à l'écu
,papier à l'écu fin
,papier à l'étoile
,papier à l'étoile fin
,papier à la piperie
,papier à leurre
,papier à lettre
,papier à meubler
,papier d'emballage
,papier à plan
,papier à sucre
,papier de tapisserie
,papier argenté et doré
,papier bâtard
,papier bâtard fin
,papier blanc à écrire
,papier blanc
,papier blanc petit
,papier bleu
,papier bleu à couvrir
,papier brouillard
,papier brun
,papier buvard
,papier buvard fin
,papier collé
,papier commun
,papier tontisse
,papier d'éventail
,papier de Charente
,papier de couleur
,papier de Hollande
,papier de Chine
,papier de Lamballe
,papier de musique
,papier de pliage
,papier de poste
,papier des Indes
,papier doré
,papier en balle
,papier gaufré
,papier de Gênes commun
,papier de Gênes fin
,papier de Gênes peint
,papier grande rame
,papier gris
,papier intissé
,papier marbré
,papier marbré doré
,papier marbré et à meubler
,"papier marbré, fleuragé et doré"
,papier métallisé
,papier musique gravée
,papier noir
,papier peint
,papier peint et à meubler
,papier petit fin
,papier pot fin
,papier roux
,papier violet
,papillon sec
,parapluie
,parapluie commun
,parapluie de taffetas
,parapluie de toile
,parapluie et parasol
,parasol
,parasol de peau
,parasol de soie
,parchemin
,parchemin en feuille
,parchemin neuf
,parchemin vieux
,parfumerie eau de senteur
,parfumerie pommade
,parfumerie eau spiritueuse
,parfumerie huile et essence
,parfumerie musc
,pâte d'amande
,parfumerie poudre à poudrer
,parfumerie savonnette
,bois chêne
,parure d'argent
,passementerie argent faux
,passementerie de soie
,passementerie bouton de crin
,passementerie fil cordon
,passementerie laine tressé
,passementerie gant en soie
,passementerie fine en filet d'or
,passementerie fine en velours
,passementerie galon de soie
,passement argent
,passementerie d'or
,passementerie d'or et d'argent
,passementerie d'or et de soie
,passementerie de coton
,passementerie de fil et coton
,passementerie de fil et laine
,passementerie de fil et soie
,passementerie de laine
,passementerie de laine ou sayette
,passementerie de poil de chèvre
,passementerie de soie et laine
,passementerie galon d'or et d'argent
,passementerie galon d'or et d'argent faux
,passementerie galon d'or et d'argent fin
,passementerie divers
,passementerie mêlé de soie
,passementerie ruban de fil
,passementerie ruban de filoselle
,passementerie ruban de soie
,pastille
,patate
,pâte
,pâte à papier
5,pâte d'Italie
5,pâte d'Italie sagou
5,pâte d'Italie semoule
,pâte d'orgeat
,pâte de cacao
,pâte de guimauve
,pâte et tablette de guimauve
5,pâte semoule
,pâté
,pâté de canard
,pâté de chèvre et autre
,patin
,patin de bois
,patin pour femme
,pâtisserie
,patte d'ancre
,patte ou vieux chiffon
,paumelle germée
,peau à panche
,pavé
,pavé de morue
,pavot
,peau apprêtée d'agneau
,peau apprêtée de buffle
,peau apprêtée de chamois
,peau apprêtée de chèvre et chevreau
,peau apprêtée de chevreuil
,peau apprêtée de daim
,peau apprêtée de roussette
,peau apprêtée de veau
,peau apprêtée diverse
,peau blanche
,peau blanche apprêtée
,peau de bœuf
,peau bronzée
,peau brute et apprêtée
,peau corroyée de maroquin
,peau corroyée de veau
,peau corroyée
,peau crue
,peau d'agneau
,peau d'agneau en laine
,peau apprêtée d'agneau en mesquis
,peau d'agneau en poil
,peau non apprêtée d'agneau
,peau non apprêtée d'âne
,peau d'écureuil
,peau d'élan
,peau d'élan crue
,peau d'élan en parchemin
,peau pour emballage
,peau d'éventail
,peau d'haye
,peau d'orignal
,peau d'orignal apprêtée
,peau d'ours apprêtée et non apprêtée
,peau d'ours crue
,peau de C apprêtée
,peau de biche
,peau de blaireau
,peau de bœuf en poil
,peau séchée de bœuf
,peau de bouc
,peau apprêtée de bouc
,peau non apprêtée de bouc
,peau de bouc et chèvre
,peau non apprêtée de chèvre
,peau de buenosaire en poil
,peau de buffle chamoisée
,peau de cabri
,peau de carcajou
,peau de carcasson
,peau de caribou
,peau de castor
,peau de castor gras
,peau de castor gras et sec
,peau de castor sec
,peau de cazeaux
,peau de cerf et chevreuil
,peau de chagrin
,peau de chameau
,peau de chamois
,peau de chat
,peau de cheval
,peau de cheval apprêtée
,peau de cheval en poil
,peau de chèvre
,peau de chèvre à poil
,peau de chèvre diverse
,peau de chèvre teinte
,peau de chèvre en mégie
,peau de chèvre passée
,peau de chèvre verte
,peau de chevreau
,peau de chevreau apprêtée
,peau de chevreau en poil
,peau de chevreau non apprêtée
,peau de cheval passée
,peau de chevreuil
,peau de chevreuil apprêtée
,peau de chevreuil demie
,peau de chevreuil en parchemin
,peau de chevreuil passée
,peau de chevrotin
,peau de chien
,peau de crible
,peau de daim
,peau de daim chamoisée
,peau non apprêtée de daim
,peau de fauve
,peau crue de figue
,peau de fouine
,peau de glouton
,peau de guinée
,peau de la Louisiane
,peau de lapin
,peau de léopard
,peau apprêtée de lièvre
,peau de lièvre et lapin
,peau apprêtée de lièvre et lapin
,peau non apprêtée de lièvre et lapin
,peau de lièvre sans poil
,peau de loup
,peau apprêtée de loup
,peau de loup de Moscou
,peau de loup du Canada
,peau de loup marin
,peau de loutre
,peau de marmotte
,peau de martre passée
,peau de mouton
,peau de mouton apprêtée et en couleur
,peau de mouton chamoisée
,peau de mouton basane
,peau de mouton blanc
,peau de mouton en gris
,peau apprêtée de mouton en mesquis
,peau de mouton passée en blanc
,peau de mouton tannée
,peau de panthère
,peau de parchemin
,peau de pecan
,peau de pécaude
,peau de pelisse
,peau apprêtée de petit gris
,peau de plongeon
,peau non apprêtée de porc
,peau de rat
,peau de renard
,peau apprêtée de renard
,peau de renne
,peau de requin
,peau de sanglier
,peau de sauvagine
,peau de tambour
,peau de taureau
,peau de tigre
,peau non apprêtée de tigre
,peau de vache
,peau apprêtée de vache
,peau de vache de Russie
,peau corroyée de veau en noir
,peau de veau dit roussette
,peau de veau basane
,peau de veau en blanc
,peau de veau en chamois
,peau de veau teinte
,peau de veau en croûte
,peau de veau en grain
,peau de veau en magie
,peau de veau marin
,peau de veau pour cordonnier
,peau de vélin
,peau de vison
,peau diverse en poil
,peau diverse non apprêtée
,peau du harnois
,peau en maroquin
,peau en parchemin
,"peau de chèvre, fine"
,peau de fourrure
,peau d'âne
,peau passée
,peau pelisse
,peau fine
,peau salé
,peau séché
,peau tannée
,peau tannée de veau
,peau tapisserie
,fruit pêche
,pêche sèche
,peigne
,peigne à tisserand
,peigne d'écaille
,peigne d'herbe
,peigne d'ivoire
,peigne de coton
,peigne de griffon
,peigne d'étoffe
,peinture
,peinture commune
,peinture grossière
,peinture et tableau
,peinture préparée
,pékin
,pelisse commune
,pelle
,pelle commune
,pelle de bois
,pelle de bois ferrée
,pelle de sapin
,pelle pour cheminée
,pelleterie commune
,pelleterie commune crue
,pelleterie commune du Canada
,pelleterie de castor
,pelleterie diverse apprêtée
,pelletrie en parchemin
,pelleterie fine
,pelleterie non apprêtée
,pluche de bois
,pluche de coton
,pendant d'oreille
,pendule
,penne aguipon
,percale ou coutil pour couette
,percerette
,perche
,perche commune
,perche de sapin
,perche moyenne
,perche grande
,perdreau
,perle
,perle de verre
,perle fausse
,perle fine
,perpétuane blanche
,perpétuane peinte
,pierrier
,pierrier de fer
,perroquet
,perruque
,perruque de peau de mouton
,perruque de chèvre de poil
,perruque de laine
,perruque vieille
,étoffe de laine camelot petit dit de Berlin
,petite pièce en fer
,"balai, petit"
,futaille petite de bière
,"oiseau petit grive, etc."
,petit pois
,pieds d'élan
,pieds de bœuf
,pieds de bouteille
,pieds de vide
,pieds doré
,pierre de fil
,pierre de laine
,pierre à aiguiser
,pierre à broyer couleur
,pierre à calfeutrer
,pierre à diguer
,pierre à écurer
,pierre à filtrer
,pierre à filtrer l'eau
,pierre à foyer
,pierre à manganèse
,pierre à moule
,pierre à paver non poli
,pierre à paver poli
,pierre à polir
,pierre à rasoir
,pierre à tallandier
,pierre antique
,pierre blanche
,pierre blanche à bâtir
,pierre à chaux
,pierre bleue brûlée
,pierre bleue en carreau
,pierre bleue travaillée
,pierre calcaire
,pierre code
,pierre cornalienne
,pierre coupée
,pierre d'agate travaillée
,pierre d'asphalte
,pierre d'architecture
,pierre d'ardoise
,pierre d'arquebuse
,pierre d'autel
,pierre d'écrevisse
,pierre d'élan
,pierre d'émeri
,pierre d'éponge
,pierre d'hyacinthe
,pierre de barrique
,pierre de bas de meule
,pierre de Bentem
,pierre de chaux
,pierre de composition
,pierre de Coument
,pierre de grès à pares
,pierre de grison
,pierre de jais
,pierre de jais brut
,pierre de jaspe
,pierre de meuble
,pierre de Milan
,pierre de mine
,pierre de mouche
,pierre de Namur
,pierre ponce
,pierre de roche
,pierre de seuil
,pierre de taille
,pierre de touche
,pierre de verre
,pierre de vin
,pierre d'Inde
,pierre éclatante
,pierre en borne-frontière
,pierre en carreau à mouler
,pierre en cippe
,pierre en masse et en bloc
,pierre en mortier
,pierre en quartier
,pierre en statue
,pierre à meule en grès taillé
,pierre meule à aiguiser
,pierre plâtre
,pierre façonnée d'architecte
,pierre fausse
,pierre fine
,pierre jayet ouvrée
,pierre manganèse
,pierre marcassite
,pierre meule
,pierre noire
,pierre pour faire sucre
,pierre pour sol
,pierre pourrie
,pierre rouge
,pierre serpentine
,pierre tailler à bâtir
,pierre tendre
,pierre toilée
,pierre travaillée
,pieu
,pigeon
,pigment d'or
,pignon
,pignon cassé
,pignon d'Inde
,bois pile de
,pilule de Belloste
,pinceau
,pinceau à dorer
,pinceau à goudron
,pinchina
,pioche
,pioche de fer
,pipe à cordée
,pipe à cuivre
,pipe vieille vide
,pipe vide
,pipe en botte
,pipe vieille
,piphout en bloc
,pique
,arme pique
,pistache
,plays
,placard
,planche
,planche d'acajou
,planche d'ardoise
,planche de bois blanc
,planche de bois des Indes
,planche de chêne commune
,planche de chêne pour bordage
,"planche de poirier, cerisier, etc."
,planche de Copernic
,planche de cyprès
,planche de hêtre
,planche de lin
,planche de Lorient
,planche de merisier
,planche de navire
,planche de noyer
,planche de peuplier
,planche de pont de barque
,planche de rebut
,planche de sapin 12 à 14 pieds
,planche de sapin 6 pieds
,planche de sapin 7 à 8 pieds
,planche de sapin de 11 pieds
,planche de sapin 24 pieds
,planche de sapin de tout pieds de longueur
,planche de sapin duicroco
,planche de sapin ordinaire
,planche de Suise
,planche de Prusse demie
,planche demie
,planche dit feuillet
,planche diverse
,planche de Danemark
,planche en chêne
,planche en faux
,planche en poutre
,planche lourde
,planche moyenne
,planche petite
,planche pour grenier
,planche sapin
,planche sapin de bordage
,planche sciée
,plançon
,plant d'asperge
,plante des bois
,plant de fleur
,plante diverse
,plante tinctoriale
,plant d'arbre
,plant d'oignon
,planche de cèdre
,plant de citronnier
,plant de jardin
,plant de jasmin
,plant de vigne
,plaque de bois
,plaque de cuirasse
,plaque de fer
,plaque de fer battu
,plaque de four
,plaque en cuivre
,plaque en tôle
,plaque
,plaquette
,plat en grès
,plateau
,plateau de bois
,platille pour guinée
,platine
,platine à cassave
,platine de cuivre
,platine de fer
,platine de ferrure
,plat de bois
,plomb de chasse
,plomb argenté
,plomb brut
,plomb brut en pain
,plomb de caisse de thé
,plomb en grenaille
,plomb divers
,plomb en balle
,plomb en barre
,plomb en bloc
,plomb en feuille
,plomb en lingot
,plomb en masse
,plomb en pain
,plomb en planche gravée
,plomb en plaque
,plomb en rouleau
,plomb en table
,plomb en tuyau
,plomb thé
,plomb vieux
,plume
,plume apprêtée à écrire
,plume brute à écrire
,plume à écrire non travaillée
,plume de lin
,plume à lit
,plume à manchon
,plume à plumet
,plume à volant
,plume apprêtée
,plume d'aiglon
,plume d'autruche
,plume apprêtée d'autruche
,plume d'édredon
,plume d'oie
,plume d'oie à lit
,plume de coq
,plume de soie
,plume noire
,plume pour dévidoir
,plume teinte
,plume vive
,plume pour chapeau
,poche de peau
,poêle
,poêle à chauffer
,poêle à frire
,ouvrage de faïence poêle
,poêle de fer à feu
,poêle en fer pour chauffage
,poêle en fer pour faire la cuisine
,poêle en laiton
,poignée d'épée
,poignet de chemise
,poil blanc
,poil et cheveu
,poil de bœuf
,poil de bouc
,poil de carton
,poil de castor
,poil de chameau
,poil de cheval
,poil de chèvre
,poil de chèvre filé
,poil de chèvre simple
,poil de chevreau
,poil de chevrotin
,poil de lapin
,poil de lièvre
,poil de loup
,poil de porc
,poil de sanglier
,poil de vache
,point d'or
,point de Hongrie
,pointe de bat
,pointe de bois
,pointe de bois pour bâtir
,pointe de corne
,pointe de Hollande
,pointe de Lübeck
,pointe de queue de martre
,pointe en métal
,poire
,poire de bon chrétien
,pois commun
,poix fin
,poisson
,poisson à la daube
,poisson anchois
,poisson d'eau douce frais
,poisson d'eau douce
,poisson d'Islande
,poisson de mer
,poisson de mer divers
,poisson de mer frais
,poisson de mer salé
,poisson de mer salé anchois
,poisson de mer salé divers
,poisson de mer salé hareng blanc
,poisson de mer salé hareng saur
,poisson de mer salé merluche
,poisson de mer salé morue sèche
,poisson de mer morue verte
,poisson de mer salé rogue de morue
,poisson de mer salé sardine
,poisson de mer salé saumon
,poisson de mer salé stockfish
,poisson de mer salé thon
,poisson de mer saumon
,poisson de mer sec
,poisson de mer stockfish
,poisson de Norvège
,poisson de rebut
,poisson divers salé
,poisson en anchoi
,poisson en hareng
,poisson de mer frais hareng
,poisson en huître
,poisson d'eau douce truite
,poisson et produit de poisson
,poisson frais
,poisson frais anguille
,poisson frit
,poisson hareng blanc
,poisson salé ou mariné hareng
,poisson huître
,poisson maquereau
,poisson de mer salé ou mariné maquereau
,poisson mariné
,poisson morue
,poisson œuf de thon
,poisson rogue
,poisson rogue de Macy
,poisson salé anchois
,poisson saumon salé
,poisson salé maquereau
,poisson salé mariné anchois
,poisson salé mariné hareng blanc
,poisson salé mariné morue
,poisson salé mariné saumon
,poisson salé morue
,poisson salé morue verte
,poisson salé sardine
,poisson sardine
,poisson saumon
,poisson sec
,poisson stockfish
,poisson thon mariné
,épicerie poivre blanc
,poivre blanc-noir
,poivre commun
,poivre doux
,poivre en grain
,poivre ordinaire
,poix blanche
,poix gros
,poix molle
,pommade de senteur
,pomme
,pomme de canne
,pomme de grenade
,pomme de terre
,pompe à feu
,pompe à hollande
,pompe de bois
,pompe en cuivre
,pompe pour pompier
,porcelaine commune
,porcelaine contrefaite
,porcelaine de Saxe
,porcelaine de Tournai
,porcelaine ordinaire
,porc porcelet
,porc
,porc frais
,porc gras
,porc maigre
,porc maigre salé
,porc salé
,porc tué
,portant
,portefeuille
,porte manteau
,porte manteau de cuir
,vin de Porto
,portrait de cour
,pot de grès
,poteau et montant en chêne
,poterie commune
,poterie de terre
,poterie de fer
,poterie de grès barbue
,poterie de grès cavelle
,poterie de grès divers
,poterie de grès moque
,poterie de livre
,poterie de terre cannette
,poterie de terre cruche
,poterie de terre diverse
,poterie de terre terraille
,poterie diverse
,poterie jarre
,poterie terraille
,potin à plomber poterie
,potin cru
,potin gris
,pot à raffinerie
,pot d'étain
,pot de cervier
,pot de faïence
,pot de fer
,poterie de pierre
,pot à sucre
,pot de terre
,poterie de cuivre
,pou de soie
,poudre à canon
,poudre à fer
,poudre à fusil
,poudre à tirer
,poudre bronzant
,poudre cosmétique
,poudre d'aventurine
,poudre de capucin
,poudre en grenaille
,poudre et amidon
,poudre médicinale
,poudre purgative
,poulain
,poularde
,poule
,poulet
,poulie
,poupée d'enfant
,pourette de mûrier
,poussière d'encens
,poudre d'or
,poussière de buis
,poussière de mûrier
,poussière de résine
,poussière de tartre
,poussière de terre
,poussière de vitriol
,poussin
,poutargue
,poutrelle
,poutrelle de sapin
,poutre
,poutre de chêne
,poutre de navire
,poutre de sapin
,précipité rouge
,présure
,marchandise diverse
,produit chimique
,marchandise prohibée
,provision
,provision de bouche
,pruneau noir
,fruit prune
,fruit prune de St. Catherine
,quart à farine
,quartier de réduction
,quenouille
,queue de martre
,queue de petit gris
,quille de hêtre
,quille de vaisseau
,quincaillerie d'acier
,quincaille d'acier doré
,quincaille de bois
,quincaille de cuivre
,quincaille de fer grosse
,quincaille de fumée
,quincaille mêlée
,quincaillerie de cuivre
,quincaillerie carde
,quincaillerie commune
,quincaillerie d'acier en faucille
,quincaillerie de cuivre clou
,quincaillerie de fer clou
,quincaillerie de fer faux
,quincaillerie de fer faux et ferraille
,quincaillerie de fer pigne à corde
,quincaillerie de fer scie
,quincaillerie diverse
,quincaillerie clou
,quincaillerie faux
,quincaillerie lime
,quincaillerie platine
,quincaillerie fine
,quincaillerie fine d'acier
,quincaillerie de laiton filé noir pour épingle
,racine d'angélique
,racine d'Angleterre
,racine d'arcanette
,racine de squine
,racine d'ortie
,racine de brionc
,racine de galanga
,drogue pour la peinture et la teinture garance racine
,racine de ginsin
,racine de guimauve
,racine de jalap
,racine de persil
,racine de rhubea
,racine de riz
,racine de violette
,racine marron
,racine médicinale
,raclure de carnet
,raclure de corne
,raclure de fer
,radeau
,radis chins
,radis dictame
,raie
,rail de fer
,réseau d'argent
,réseau d'or
,raisin de Galop
,fruit sec amande et raisin
,résine en pot
,rame
,rame de bateau
,houblon en rame
,ramure
,ramure de sapin
,râpe
,rapière
,rognure de corne
,rognure de corne de cerf
,rognure de gaïac
,raquette
,raquette et volant
,rasoir
,rasoir commun
,ratine de Beauvais
,ratine de Hollande
,ratine frisée
,ratine teint
,rave
,rave à filer
,ravitaillement
,rayon de mouche à miel
,raz de castor
,raz de laine
,raz de Saint-Cyr
,raz de Saint-Maure
,raz du Maroc
,réchaud de terre
,redingote
,registre
,reliquaire
,remède
,remorque de navire
,résine
,réveil
,rhubarbe du levant
,rideau
,rivet en bois
,robe brodée
,robinet de bronze
,rocaille de verre
,roche de diable
,rognon de castor
,rognon de cerf
,rognon de rat musqué
,rognon de stockfish
,rognure d'écaille
,rognure d'ivoire
,rognure de baleine
,rognure de carte
,rognure de castor
,rognure de chapeau
,rognure de cuir
,rognure de dent d'éléphant
,rognure de drap
,rognure de mis
,rognure de papier
,rognure de parchemin
,rogue de maquereau
,rogue de poisson
,rogue pour la pêche
,rollet et batiste
,rosaire
,roseau
,roseau champêtre
,roseau d'Espagne
,roseau d'Inde
,rose de province
,rotin
,rouergue
,roue
,roue à cabrouet
,roue de charrette
,roue de bois
,roue de brouette
,roue de chaise
,roue de chariot
,roue ferrée
,roue neuve
,rouet
,rouet à filer
,rouge Annatto colorant
,rouge clair
,rouge commun
,rouge commun en poudre
,rouge d'Angleterre
,rouge d'Espagne
,rouge de Perse
,rouge en poudre
,rouge de rosse
,rouge d'Inde
,rouge en pierre
,rouge gras
,ruban
,ruban de fil
,ruban d'argent
,ruban d'or
,ruban de cuivre
,ruban de Elberfeld
,ruban de fer
,ruban de fil blanc
,ruban de fil teint
,ruban de filoselle
,ruban dorure d'argent
,ruban dorure d'or
,ruban et passementerie divers
,ruban et passementerie de soie
,ruban mi soie
,ruban pour vêtement
,ruban velouté
,rubanerie de soie
,rubanerie ordinaire
,ruche
,ruche à miel
,ruche à mouche
,rusque de chêne
,rusque de pin
,sabatine
,sable de mer
,sable de verre
,sablier
,sabre
,sachet
,sac de poluard
,sac vieux
,safran orange
,anchois salé et mariné
,salicor
,salin
,saloir de bois
,"salpêtre, crû"
,"salpêtre, raffiné"
,sangle
,sanglier
,sanguine
,santal citrin
,sanitaire
,sapin à bâtir
,sapin à faire gaffe
,sapin anspects
,sapin en bloc
,sardine
,poisson de mer salé sardine
,sarge de poitou
,sarge de Saint-Mexant
,sarge de soie
,satin brodé en or
,satin de Chine
,satin gris
,saturne
,saucisse
,saucisse de Boulogne
,saucisson
,sauge
,saumon frais
,saumon fumé
,saumon mariné
,son
,savon blanc
,savon d'Alicante
,savon d'Espagne
,savon de Marseille
,savon et cuir
,savon madré
,savon noir
,savon vert
,savonnette
,saye blanche
,saye de Bruges
,saye de Liège
,saye teinte
,scie
,scie à moulu
,scie de fer
,scille maritime
,seau de Martre
,seau de fer blanc
,seau de vin
2,grain seigle en gerbe
2,grain seigle et blé
2,grain seigle et orge
2,seigle de grain
,sel
,sel antarctique
,sel blanc
,sel chimique de lait
,sel chimique de nitre
,sel d'absinthe (alsem)
,sel d'alsem
,sel d'Angleterre
,sel d'Espagne
,sel de chimie
,sel de France
,sel de Franche-Comté
,sel de lait
,sel de Lorraine
,sel de Marennes
,sel de mer
,sel de roche
,sel de Rocq
,sel de samoine
,sel de tamarin
,sel de tartaric
,sel de tartre
,sel des sables d'olonne
,sel dit beggere
,sel de Poulinguen
,sel grain
,sel gris
,sel médicinal
,sel misay
,sel ordinaire
,sel peccain
,sel pour la pèche libre
,sel teint
,sel volatil
,selle de fer
,selle de poste
,semence de chanvre
,semence de colsaet
,semence de cumin
,semence de jardin
,semence de luzerne
,semence de sainfoin
,senegré
,drap serge blanc
,drap serge d'Angleterre
,serge de laine
,serge d'écarlatine
,serpentin à distiller
,serratule de teinture
,serviette de lin
,serviette de table
,singe
,sirop brut
,sirop d'amont
,sirop de calabre
,sirop de calbasse
,sirop de capitaine
,sirop de cèdre
,sirop de citron
,sirop de framboise
,sirop de limon
,sirop de mûre
,sirop de sucre
,sirop de sucre candi
,sirop de vinaigre
,sirop de violette
,sirop fin
,sirop fin et mélasse
,sirop terré
,sistresay
,soie à broder
,soie à coudre
,soie apprêtée
,soie blanche
,soie brute
,soie cocon
,soie crue
,soie de Chine
,soie de la chaîne
,soie de nankin
,soie des Indes
,soie de Bengale
,soie écrue
,soie en cocon
,soie floche
,soie torce
,soie moresque
,soie nankin
,soie plate
,soie pour tisser
,soie tapis
,soie teinte
,soierie de toile
,poisson sole
,sole ou langue
,sommier ou corps d'arbre de sapin
,son de farine
,drogue médicinale plante Guajocum
,vin
,soude
,soude et tarte
,soulier de cuir
,soierie de fil de fleur
,spath zinc smithsonite
,spicaceltica
,squille de grain
,stil de grain
,storax liquide
,drogue médicinale sublime corosif
,sucre bâtard
,sucre blanc
,sucre blanc en pain
,sucre blanc terré
,sucre brun
,sucre brut
,sucre brut en forme
,sucre carré
,sucre cassonade
,sucre commun
,sucre d'orge
,sucre divers
,sucre en poudre
,sucre en poudre blanc
,sucre et cuir
,sucre et prune
,sucre et fruit sec raisin
,sucre et roucou
,sucre et tabac
,sucre et vert-de-gris
,sucre mélasse
,sucre non raffiné
,sucre raffiné
,suif en branche
,suif en masse
,suif en pain
,suif en poil
,suif pour faire du savon
,suif pour raffiner le cuivre
,étoffe de sutoze
,tabac à fumer
,tabac à varié
,tabac avarié
,tabac commun
,tabac d'Espagne
,tabac de caisse
,tabac de cantine
,tabac de Hollande
,tabac de St. Domingue
,tabac de St. Vincent
,tabac de Séville
,tabac de Virginie
,tabac divers
,tabac en andouille
,tabac en caisse
,tabac en manoque
,tabac en role
,tabac et savon
,tabac fabriqué
,tabac feuille
,tabac filé
,tabac ouvré
,tabac pour échantillon
,tabac pressé d'Allemagne
,tabac râpé
,tabatière de bois
,tabatière d'agate
,tabatière d'émail
,tabatière d'olivier
,tabatière d'or
,tabatière de bergamote
,tabatière de bois verni
,tabatière de carton
,tabatière de cuir
,tabatière de nacre
,tabatière de paille
,tabatière enrichie
,tabernacle de marbre
,tableau
,tableau de famille
,tableau sur toile
,table
,table à café
,table de bois
,table de noyer
,table de nuit
,table de sapin
,table de sapin peinte
,table de toilette
,taffetas d'Avignon
,taffetas foulas
,tamarin gras
,tamis à tabac
,tamis de crin
,??? Tanabare
,tapis d'Angleterre
,tapis d'Aubusson
,tapis d'Auvergne
,tapis d'indienne
,tapis de coton
,tapis de guinée
,tapis de laine
,tapis de moquette
,tapis de table
,tapis de toile cirée
,tapis de toile peinte
,tapis de Turquie
,tapis de velours
,tapis divers
,tapis fabrique de Tournais
,tapis fil teint
,tapisserie
,tapisserie commune
,tapisserie de laine
,tapisserie vieille
,tapisserie d'Amiens
,tapisserie d'Anvers
,tapisserie d'Auvergne
,tapisserie de Beauvais
,tapisserie de Bergame
,tapisserie de filoselle
,tapisserie de la Marche
,tapisserie de moquette
,tapisserie de toile cirée
,tapisserie des Gobelins
,tapisserie de Dauphiné
,tapisserie peinte
,tapisserie peinte de Hongrie
,tapisserie tantisse
,tapisserie verdure
,tapsel large
,carnatane
,tartre
,tartre glan
,tartre de vin
,tartre émétique
,tartre rouge
,tartre vitriolé
,tasse rouge
,ouvrage de faïence tasse
,tavelle de laine
,tavelle de fil et de laine
,télescope
,térébenthine commune
,térébenthine de Venise
,térébenthine en pâte
,terraille noire de Gênes
,terre pour verrerie
,terre à baril
,terre à bâtir
,terre à ciment
,terre à faïence
,terre à fouler
,terre à poterie
,terre à sucre
,terre blanche
,terre commune
,terre de Bologne
,terre de ciment
,terre de Cologne
,terre de France
,terre de grès
,terre de marne
,terre de mine
,terre de monnaie
,terre de mulardeau
,terre de plomb
,terre de porcelaine
,terre de rocou
,terre de Rome
,terre de Rouen
,terre de Satine
,terre de soufre
,terre de Suède
,terre de Vérone
,terre dite souda
,terre du Limousin
,terre glaise
,terre grasse
,terre houille
,terre jaune
,terre noire
,terre pourrie
,terre rouge
,terre sigillée
,terre verte
,terrerie blanche
,terrier de fer
,tête de clou de girofle
,tétras noir
,textile
,textile Gronekens
,textile Gronen
,toile laine saye de Honscote
,textile Stramian
,thé
,thé de l'Inde
,thé et porcelaine
,thé filé
,thé hayssuen
,thé saotchaon
,thé tonkay
,thé vert
,thé pays
,thériaque de Venise
,thon frais
,thon mariné
,thon salé
,poisson de mer thon thonine
,tiers à tonneau
,tiretaine
,tissu
,tissu de coton
,tissu de coton gratté d'un côté
,tissu de crin
,tissu de Windau
,tissu écarlate
,tissu de laine angora
,tissu de laine double fil
,tissu de laine fabriqué à Arras
,tissu de soie
,tissu pour vêtement militaire
,tissu fin
,toile à bas
,toile à doubler
,toile à drapeau
,toile à matelas
,toile à paillasse
,toile à pavillon
,toile à peindre
,toile à tapisser
,toile abas
,toile assortie
,toile au lait lin
,toile dessinée
,toile bajutapeau
,toile de fil basin
,toile de fil et coton basin
,toile Bem à voile
,toile Bem de Vimoutiers
,toile blancard
,toile blanche de la compagnie
,toile blanche de Saint Quentin et Valenciennes
,toile blanche fine
,toile blanche ordinaire
,toile bleue
,toile bougran
,toile brochée
,toile brodée
,toile beaudille
,toile canevas
,toile céruse
,toile de chanvre blanche
,toile chapelure
,toile chapilas
,toile de crin cirée
,toile colette
,toile commune
,toile commune de Lille
,toile cordat
,toile de coton à bas
,toile de coton à jamin
,toile de coton aman
,toile de coton d'Antioche
,toile de coton demitte
,toile de coton forte
,toile de coton de guinée
,toile de coton large
,toile de coton mousseline
,toile de coton peinte
,toile de coton vieux
,toile coutil fil
,toile cretonne
,toile crise
,toile d'Agen
,toile d'Angers
,toile d'Antal
,toile d'Antioche
,toile d'azar
,toile d'ecripe
,toile lin
,toile jute
,toile d'Irlande
,toile damassée
,toile de Barbezieux
,toile de basin
