marchandises_norm_ortho,classification_hambourg_large
bourillon,
bourlet de velours,
bourras,
bourre,
bourre à bâtir,
bourre à bourrer,
bourre chiquette,
bourre de bœuf,
bourre de bœuf et vache,
bourre de chèvre,
bourre de coton,
bourre de drap,
bourre de fil,
bourre de laine,
bourre de Mismes,
bourre de Nîmes,
bourre de soie,
bourre de vache,
bourre du Levant,
bourre fil et coton,
bourre-lanisse,
bourrelet de velours,
bourse,
bourse à bartier,
bourse à butier,
bourse à cheval,
bourse à cheveu,
bourse à perruque,
bourse à ressort,
bourse de coton,
bourse de coton et fil,
bourse de cuir à ressort,
bourse de Damas,
bourse de fil,
bourse de filoselle,
bourse de perruque,
bourse de soie,
bourse de taffetas,
bourse or et argent,
bourses à cheveux,
boussole,
bout de corne,
boutanne,
boutarge,
bouteille,
bouteille clisé,
bouteille clissé,
bouteille cristal,
bouteille de bois,
bouteille de composition,
bouteille de cristal et carafe,
bouteille de grès,
bouteille de gros verre,
bouteille de marbre,
bouteille de terre,
bouteille de verre,
bouteille de verre clissée,
bouteille de verre garnie de jonc,
bouteille de verre gros,
bouteille de verre lissée,
bouteille de verre lissée,
bouteille de verre vide,
bouteille de verre vide,
bouteille Elisées,
bouteille lissée,
bouteille vide,
bouteilles de verre,
bouton,
bouton à pierre fausse,
bouton à pierre fausse par douzaine,
bouton blanc étamé,
bouton brodé de nacre de perle et d'acier,
bouton brodé or et argent,
bouton d'acier,
bouton d'argent,
bouton d'argent sur bois,
bouton d'argent sur bois,
bouton d'argent trait,
bouton d'étain,
bouton d'or,
bouton d'or et d'argent,
bouton d'or faux,
bouton d'or fin,
bouton d'or traité,
bouton d'os,
bouton d'os et de corne,
bouton d'uniforme,
bouton de bois de coco,
bouton de coco,
bouton de corne,
bouton de coton,
bouton de crin,
bouton de crin et poil,
"bouton de crin, poil de soie",
bouton de cristal,
bouton de cuivre,
bouton de cuivre argenté et dorée,
bouton de cuivre doré,
bouton de cuivre doré,
bouton de cuivre et d'étain,
bouton de cuivre et d'étain argenté,
bouton de cuivre sur bois,
"bouton de cuivre sur bois, d'os de cocq et de corne",
bouton de fil,
bouton de fil blanc,
bouton de fil d'argent,
bouton de fil d'or,
bouton de fil d'or et d'argent,
bouton de fil de poil de chevre,
bouton de fil or et argent,
bouton de fil or et argent,
"bouton de fil, or et argent",
bouton de jais,
bouton de jayet,
bouton de laiton,
bouton de livrée,
bouton de manche,
bouton de métal,
bouton de métal doré,
bouton de nacre,
bouton de nacre de perle,
bouton de nacre de perle et jayet,
bouton de Pinsbach,
bouton de Pinsbeck,
bouton de poil,
bouton de poil de chèvre,
bouton de soie,
bouton de soie à poil,
bouton de tombacq doré,
bouton de trait d'or et d'argent fin,
bouton de verre,
bouton de verre émaillé,
bouton divers,
bouton dorure d'argent,
bouton dorure d'or et d'argent,
bouton dorure d'or faux,
bouton dorure d'or fin,
bouton fil d'or,
bouton masquiné,
bouton or et argent faux,
boutonnière d'or,
boutons de jais,
boutons de soie,
boutons dorure d'or,
boutons dorure d'or fin,
boutons dorure or et argent,
boutty,
boyau salé,
bozemin,
brai,Goudron ; de Suède
brai à brasser,
brai en poix résine,Goudron ; de Suède
brai et goudron,Goudron ; de Suède
brai goudron,Goudron ; de Suède
brai goudron et résine,
brai goudron résines brai,Goudron ; de Suède
brai goudron résines et poix brai,Goudron ; de Suède
brai goudron résines et poix résines,Goudron ; de Suède
"brai goudron, galipot et résine",
"brai goudron, poix et résine",
brai gras,
brai gros,Goudron ; de Suède
brai poix,Goudron ; de Suède
brai poix blanche et noire,Goudron ; de Suède
brai raffiné,Goudron ; de Suède
brai raze,Goudron ; de Suède
brai résine,Goudron ; de Suède
brai sec,Goudron ; de Suède
brai térébenthine,Thérébenthine
"brai, goudron et résine",Goudron ; de Suède
"brai, goudron, poix et résine",Goudron ; de Suède
brancard de chaise,
brancard de fer,
brancard de soie,
brandan,
brandebourg,
brandebourg d'or,
brandebourg de fil,
bras de chandelle,
bras de cheminée,
bras de soie,
braserie,
brasselet,
brasselet de crin,
braule,
bray,
bray et eau de rose,
bray goudron,
bray goudron eau de raze,
bray goudron et eau de rose,
bray goudron et poix,
bray goudron et résine,
bray goudron poix noire et blanche,
bray gras,
bray gros,
bray résine,
bray sec,
brebis,
brian,
bride argentée,
brigadis,
brignole,
brique,
brique de terre,
brique de terre cuite,
brique hollandaise en terre cuite,
briquet,
bris d'espar,
brocade,
brocatelle,
brocatelle de Venise,
broche,
brochet,
broderie,
broderie commune,
bronze,
broole,
brose,
brose à goudron,
brosse à cirer,
brosse à goudron,
brosse à goudronner,
brosse a peindre,
brosse et pinceau,
brosse et vergette,
brosserie,
brouette,
broule,
brousse fraiche,
broute de chaderdoral,
brun,
brun rouge,
bruste à tisserand,
bruyère,
buffet,
buffle,
buffletin,
buldan,
burail,
bure,
bure de sanglier,
bure étoffe,
bureau,
bureau de bois de sapin,
bureau de bois de sapin,
bureau de noyer,
bureau de sapin,
bureau garni de cuivre doré,
bureau verni,
busquière or et argent,
buste de marbre,
buvie,
cabaret,
cabaret de bois verni,
cabaret peint,
cabaret verni,
cabarets vernis,
cabas,
cabas d'auf,
cabas de jonc,
cabas de laine,
cabas de palme,
cabillaud,
cabine de bain,
cabinet,
cabinet de noyer,
cabinet de sapin,
cabinet peint,
câble,
câble assorti,
câble de navire,
câble pour navire moyen,
caboche,
caboche de fer,
cabochon,
cabriolet,
cabriolets,
cabrion,
cabrouet,
cacao,Cacao
cacao beurre de,
cacao broyé,
cacao des îles,
cacao des Îles,Cacao
cacao en graine,
cacao et chocolat,
cacao étranger,
cache,
cachet d'argent,
cachet doré,
cachou,
cachou brut,
cadena,
cadena de fer,
cadena petit,
cadi,
cadi rouge,
cadre de bois,
cadre doré,
café,Café
café d'Amérique,Café
café de bourbon,Café
café de Bourbon,Café
café de la Martinique,Café
café de Levant,
café de Martinique,
café de moka,Café
café de Moka,Café
café des Iles,Café
café des Îles,Café
café des Indes,Café
café du Levant,Café
café et cacao,Café
café et provision,
café ordinaire,
cafetière,
cafetière de cuivre,
cafetière de fer blanc,
cafetière de Levant,
cafetière de métal,
cafetou fer,
caffar,
caffar blanc,
caffar de laine,
caffard carpette et ligature,
cage,
cage d'oiseau,
cage d'oiseau,
caille,
caillou,
caisse,
caisse à carafon,
caisse de berline et train,
caisse de carosse,
caisse de liège,
caisse et tête de carton,
caisse vide,
caladari,
caladaris,
calamine,
calamine grillée,
calamus,
calamus aromatisé,
calandrine,
cale en bois,
calèche,
calice d'argent,
calicot,
callemande,
calmotte,
calotte,
calotte de peau divine,
calotte de prêtre,
calotte et sac de papier,
cambaye,
cambouis,
cambray,
camelot,
camelot a peu de soie,
camelot à peu de soie,
camelot au quart,
camelot au sixième de soie,
camelot burail,
camelot d'Amiens,
camelot d'Angleterre et Hollande,
camelot d'Auvergne,
camelot d'écarlatte,
camelot de Bruxelles,
camelot de burail,
camelot de Hollande,
camelot de laine,
camelot de laine et soie,
camelot de Lille,
camelot de Lille et autre,
camelot de soie,
camelot de terrine,
camelot des Indes,
camelot des isles,
camelot écarlate,
camelot laine et soie,
camelot mêlé de soie,
camelot mi soie,
camelot poil et laine,
camelot poil et soie,
camelot rayé,
camelot soie et laine,
camisolle,
camphre,
camphre raffiné,
canapé,
canapé de cuir de Russie,
canapé de maroquin et table à joué,
canard,
canard en vie,
canari ou serin,
canaux,
candeta,
canefice,
canéfice,
canefiée,
"canelle, giroffle, poivre, etc.",
canetille d'or faux,
canette de grès,
canette de terre,
canevas,
canevas de fil,
canevas tracé,
canevette,
canevette à flacon,
canevette de grès,
canif,
canique,
canne,
canne à main,
canne à pomme d'or,
canne à pomme d'or ayant servi,
canne bambou,
canne de bois,
canne de bois montée et non montée,
canne de jonc,
canne dit genette,
canne diverse,
canne et bâton verni,
canne garnie,
cannelle,
cannelle et poivre,
cannette,
cannette d'étain,
cannette de ?,
cannette de bois de sapin,
cannette de grès,
cannette de grez,
cannette de terre,
cannette de terre et de grès,
canon,
canon  de fer,
canon de 18 de balle,
canon de cuivre,
canon de divers calibre,
canon de fer,
canon de fer avec leurs affût,
canon de fer de 18 a 24 livre,
canon de fer de 18 et 30 livre de balle,
canon de fer de 3 livre,
canon de fer de 4 livre,
canon de fer de 4 livre de balle,
canon de fer petit,
canon de fonte,
canon de fonte petit,
canon de fusil,
canon de métal,
canon en fer de 2 livre,
canon et balle de fer,
canon et boulet,
canon et boulet de fer,
canon et boulet de fer,
canonnière de cantil,
canons de fer,Fer
cantharide ou mouche d'Espagne,
cantharides,
cantine,
caoutchouc,
capa,
capalme,
caparaçon,
cape,
cape cabas,
cape de Bearn,
cape de camelot,
cape de drap,
capeabas,
capies,
capilaire,
capilaire en herbe,
capilaire vert,
capiton,
capiton de soie,
capons,
capoterie,
câpre,
câpre et olive,
"capre, cornichon et olive",
câpres,
capsliatte,
caput mortum,
carabé,
carabé jaune,
carabine à air comprimé,
caractère à imprimer,
caractère d'imprimerie,
caractères d'imprimerie,
caramel,
carcajou,
carcasse,
carcasse à peu de soie,
cardamome,
cardamomum,
cardamone,
carde,
carde à carder,
carde à drapier,
carde carder,
carde de bois et fil de fer,
carde en fer,
carde et cardon champêtre,
carde neuve,
carde vieille,
cardes à carder,
cardine,
cardine de sapin,
cardon,
carelet,
caret,
cargaison,
caril,
carisaye blanche,
carisaye mellée,
carisaye teinte,
carizé,
carizé étoffe,
carizé vieille,
carlé,
carmin,
carnadière,
carnasse,
carnatane,
carnifié,
carny,
carol,
carotte,
carotte d'enfant,
carpe,
carpeaux alvin,
carpette,
carré,
carreau,
carreau ?,
carreau à dentelle,
carreau à paver,
carreau bleu,
carreau d'ardoise,
carreau de bidache,
carreau de brique,
carreau de dentelle,
carreau de faïence,
carreau de lorre,
carreau de marbre,
carreau de marbre à paver,
carreau de marbre pour le roi,
carreau de pierre,
carreau de pierre à paver,
carreau de pierre de terre,
carreau de pierre noire,
carreau de sera,
carreau de sol en ter cuite,
carreau de terre,
carreau de terre à paver,
carreau de terre cuite,
carreau de verre,
carreau de verre à vitre,
carreau Île de France,
carreau meulage de Brie,
carreau meulage de France,
carreau moulage,
carreau moulage de Brie,
carreau moulage de France,
carreau noir,
carreau pour le sol,
carreau rouge,
carreaux de verre,
carrelage,
carrelet séché,
carret,
carrosse,
carrosse et harnois,
carrosse grand monté sur leur train et harnois riche,
carrosse neuf,
carrosse vieux,
carrouge,
cartager,
carte,
carte à jouer,
carte de géographie,
carte de géographie sur toile,
carte de la côte d'Angleterre,
carte géographique,
carte marine,
cartes à jouer,
carton,
carton à drapier,
carton en feuille,
carton moulé,
carton ouvré et en feuille,
cartouche,
carubi,
carvi,
carzé,
casaque,
casaque à nègre,
casaque de froc,
casaque de peau,
cascarille,
cascarilles,
casque de charge,
casque et cuirasse,
casse,
casse au canéfice,
casse de fer,
casse de laiton,
casse en bâton,
casse étoffe,
casse garnie,
casse remède,
cassela,
casserole,
casserole de fer,
cassia lignea,
cassis,
cassole,
cassonade des Îles,
cassonnade,
castalogne,
castor,
castor blanc,
castor gras,
castor sec,
castoreum,
castoteunt,
catadarit,
catéchisme,
catendevy,
catequin,
caume bambou,
caume de bois,
caume de jonc,
cauris,
cause de bois,
causel de bar,
cave,
cave à flacon,
cave à tabac,
cave avec 12 flacon,
cave avec 6 flacon,
cave avec flacon,
cave de 6 flacon,
cave de 9 flacon,
cave file,
cave garnie,
cave garnie avec 12 flacon,
cave garnie avec 6 flacon,
cave garnie de 29 flacon,
cave garnie de 6 flacon,
cave garnie de 6 flacon,
cave garnie de 9 flacon,
cave garnie de flacon,
cave garnie de flacon de cristal,
cave non garnie,
caviar,
cavizé,
cayette,
cazé,
ceaustatille étoffe,
cédrat,
cédrat zeste confit,
ceinture,
ceinture brodée de soie,
ceinture d'argent fin,
ceinture de laine,
ceinture de prêtre,
ceinture de soie,
ceinture marine,
ceinturon,
ceinturon brodé,
ceinturon brodé d'argent,
ceinturon brodé d'or,
ceinturon de buffle,
ceinturon de peau,
ceinturon de soie,
ceinturon et bandouilliere,
ceinturon uni,
ceinturons piqué,
céleri,
cement,
cendaline,
cendre,
cendre ??,
cendre à fumer,
cendre à fumer terre,
cendre à orfèvre,
cendre à savon,
cendre barille,
cendre barille et fonde,
cendre blan,
cendre bleu,
cendre bleue,
cendre bleue et verte,
cendre bourde,
cendre broyée à l'huile,
cendre caleinée,
cendre cassant,
cendre casseaux,
cendre cassout,
cendre commune,
cendre d'Angleterre,
cendre d'orfèvre,
cendre d'os,
cendre de bois,
cendre de chaux,
cendre de courbe,
cendre de frêne,
cendre de grignon,
cendre de houille,
cendre de lessive,
cendre de malte,
cendre de matron,
cendre de mer,
cendre de plom,
cendre de plomb,
cendre de Sicile,
cendre de soude,
cendre de tourbe,
cendre de tourbe et de paille,
cendre de toute espece à engraisser,
cendre de varech,
cendre de varet,
cendre de verre,
cendre de vitarch,
cendre des rois,
cendre des tourbe,
cendre dite soude,
cendre diverse,
cendre flore,
cendre fonde,
cendre gravelée,
cendre gravelin,
cendre menuisée,
cendre poreuse,
cendre potasse,Potasse
cendre potasse et vedasse,Potasse
"cendre potasse, vedasse et gravelée",
cendre pour manufacture,
cendre soude,
cendre soude d'Egypte ou Natrum,
cendre soude et potasse,
"cendre soude, natron et salin",
cendre tourbe,
cendre vedasse,
cendre verte,
cense de batiment,
centaurée et bleuet,
cerceau,
cerceau de fût,
cercle,
cercle à baril,
cercle à barrique,
cercle à pipe,
cercle à quart,
cercle à tamis,
cercle à tonneau,
cercle de bois,
cercle de bois de barrique,
cercle de fer,
cercle de feuillard,
cercle de jonc,
cercle et feuillard,
cercle et feuillard en bois,
cercle et feuillard en fer,
cercle ocloir,
cercles de bois,
cercocole,
cereu,
cerise,
cerneau,
céruse,
céruse et blanc-de-plomb,
cervelas,
cévadille,
chade,
chagrin,
chaine de fer,
chaîne de fer,
chaîne de laiton,
chaîne de montre,
chair ?,
chair cuite,
chair de bœuf,
chair de boucherie,
chair de porc en jambon,
chair de porc salée,
chair diverse,
chair fraîche,
chair fraîche de viande,
chair fumée,
chair salée,
chair salée bœuf,
chair salée bœuf fumé,
chair salée bœuf salé,
chair salée boyau,
chair salée chair de bœuf bœuf salé,
chair salée chair de bœuf boyau salé,
chair salée chair de bœuf diverse,
chair salée chair de bœuf langue de bœuf,
chair salée chair de porc diverse,
chair salée chair de porc jambon,
chair salée chair de porc lard,
chair salée chair de porc salée,
chair salée chair de porc saucisson,
chair salée cuisse d'oie,
chair salée cuisses d'oie,
chair salée de porc,
chair salée de toute sorte,
chair salée diverse,
chair salée et fraîche,
chair salée jambon,
chair salée langue de bœuf,
chair salée lard,
chair salée petit salé,
chair salée porc,
chair salée saucisson,
chair salée saumure,
chair salée tripe marinée,
chair volaille et gibier,
chaire fumée,
chaise,
chaise à deux roue,
chaise à porteur,
chaise commune,
chaise d'enfant,
chaise de bois,
chaise de canne,
chaise de commodité,
chaise de commodité avec leurs pot,
chaise de fer,
chaise de jonc,
chaise de noyer,
chaise de paille,
chaise de passerame leurs arnoies,
chaise de poste,
chaise de rotin,
chaise de tapisserie,
chaise et cabriolet,
chaise et fauteuil,
chaise et fauteuil de canne,
chaise et fauteuil de jonc,
chaise et fauteuil de paille,
chaise pliante,
chaise pliante de cuir de Russie,
chaise pour enfant,
chaise roulante,
chaise roulante avec harnais,
chaise roulante avec son train,
chaise roulante vieille,
chaises de canne,
chaises de poste,
chalbafs,
chalon,
chalon blanc,
chalon blanc souphré,
chalon peint,
chaloupe,
chaloupe démontée,
chambranle de porte,
chamois,
chamois teint,
champhew,
champignon,
champignon mariné,
champignon sec,
chamure,
chandal,
chandelier à pique,
chandelier de bois,
chandelier de cuivre,
chandelier de laiton,
chandelle,
chandelle à l'huile de baleine,
chandelle à porteur,
chandelle de bois,
chandelle de canne,
chandelle de commodité,
chandelle de jonc,
chandelle de paille,
chandelle de rotin,
chandelle de suif,
chandelle moitié cire,
chandelle roulante,
changeante,
chanoni,
chanvre,
chanvre 1ère qualité,
chanvre 2e qualité,
chanvre apprêté,
chanvre battu,
chanvre brut,
chanvre cru,
chanvre crû,
chanvre de masse,
chanvre dit chenevolle,
chanvre divers,
chanvre eau,
chanvre écru,
chanvre en lien,
chanvre en masse,
chanvre en ramade,
chanvre en rame,
chanvre et lin,
chanvre peigné,
chanvre saisir,
chanvre sérancé,
chanvre tillé,
