numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,value,quantit,total,quantity_unit,prix_unitaire
453,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,153,Fruits ; Badiane ou Anis étoilé de la Chine,8334,4167,8334,Kilo,2
454,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,153,Fruits ; Barbotine,245,817,245,Kilo,0.3
455,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,151,Fruits ; Casse sans apprêt,94841,63227,94841,Kilo,1.5
456,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,155,Fruits ; Follicules de séné,3581,1279,3581,Kilo,2.8
457,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,153,Fruits ; Graine de moutarde,15617,31234,15617,Kilo,0.5
458,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,153,Fruits ; Tamarins en gousses,3775,8389,3775,Kilo,0.45
459,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,147,Herbes,1225,2449,1225,Kilo,0.5
460,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,137,Ipécacuana,33657,2589,33657,Kilo,13
461,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,129,Jus de réglisse,104235,104235,104235,Kilo,1
462,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,155,Lichens médicinaux,928,3095,928,Kilo,0.3
463,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,127,Manne,19112,10618,19112,Kilo,1.8
464,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,315,Médicaments composés ; Autres,2017270,201727,2017270,Kilo,10
465,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,315,Médicaments composés ; Eaux distillées,423075,84615,423075,Kilo,5
466,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,125,Opium,198432,6201,198432,Kilo,32
467,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,141,Racines ; Iris de Florence,10977,6098,10977,Kilo,1.8
468,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,139,Racines ; Jalap,61207,19127,61207,Kilo,3.2
469,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,139,Racines ; Rhubarbe,36610,7322,36610,Kilo,5
470,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,141,Racines ; Réglisse,113521,252267,113521,Kilo,0.45
471,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,143,Racines non dénommées,269703,89901,269703,Kilo,3
472,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,121,Résineux exotiques ; Scammonée,10200,255,10200,Kilo,40
473,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,137,Salsepareille,143478,47826,143478,Kilo,3
474,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,57,Sangsues,30457,1015245,30457,pièce,0.03
475,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,271,Sels ammoniacaux,9510,2972,9510,Kilo,3.1998654105
476,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,275,"Sels, sulfates ; de magnésie",10292,11695,10292,Kilo,0.88
477,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,273,"Sels, sulfates ; de soude",474628,1582093,474628,Kilo,0.3
478,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,117,Térébenthine ; compacte,18607,93033,18607,Kilo,0.2
479,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,119,Térébenthine ; essence,947750,1353928,947750,Kilo,0.7
480,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,119,Térébenthine ; liquide,503,3352,503,Kilo,0.15
